dataset,dimension,algorithm,n_clusters,silhouette_score,n_samples,embedding_dim,ari,nmi
MUTAG,dim64,kmeans,2,0.033839669078588486,188,64,0.013825118046757264,0.002288214585673335
MUTAG,dim64,spectral,2,0.19047395884990692,188,64,-0.005263597627203609,0.006492992949213744
MUTAG,dim128,kmeans,2,0.07047668099403381,188,128,-0.005263597627203609,0.006492992949213744
MUTAG,dim128,spectral,2,0.0724642351269722,188,128,0.010443646085721446,0.01742072119559355
MUTAG,dim256,kmeans,2,0.5174993276596069,188,256,-0.004630964293783284,1.1804110606261789e-05
MUTAG,dim256,spectral,2,0.334998220205307,188,256,-0.00041392330779498667,3.18231796911812e-07
ENZYMES,dim64,kmeans,6,0.01378635410219431,600,64,0.0068473632324244785,0.041214123822546155
ENZYMES,dim64,spectral,6,0.5579455494880676,600,64,6.77657234822346e-06,0.009829977819414382
ENZYMES,dim128,kmeans,6,-0.0012605690862983465,600,128,0.0026594743077354177,0.013186537210355625
ENZYMES,dim128,spectral,6,0.41479822993278503,600,128,4.692451802118631e-06,0.016156537748224474
ENZYMES,dim256,kmeans,6,0.49867507815361023,600,256,0.01669498281944573,0.04507248745671539
ENZYMES,dim256,spectral,6,0.42263415455818176,600,256,0.00046893552718623127,0.03621736695873476
IMDB-MULTI,dim64,kmeans,2,0.6150745153427124,1500,64,0.0006531667496275861,9.861318553295178e-05
IMDB-MULTI,dim64,spectral,2,0.5936565399169922,1500,64,-0.0006664458509413881,0.0008423601860349327
IMDB-MULTI,dim128,kmeans,2,0.26877278089523315,1500,128,-0.006907659076126248,0.0004029455141508852
IMDB-MULTI,dim128,spectral,2,0.5000490546226501,1500,128,-0.0006664458509413881,0.0008423601860349327
IMDB-MULTI,dim256,kmeans,2,0.5333433151245117,1500,256,0.0011397660864098842,3.2229861866795955e-05
IMDB-MULTI,dim256,spectral,2,0.5967872738838196,1500,256,0.000661786342981483,0.0002431932362013864
