Method,Dataset,Dim,Model,Accuracy,F1,AUC,TrainTime
Graph2Vec,MUTAG,dim64,SVM,0.6578947368421053,0.5221386800334169,0.7538461538461538,0.009343147277832031
Graph2Vec,MUTAG,dim64,MLP,0.5,0.5125448028673835,0.5261538461538461,0.8835639953613281
Graph2Vec,MUTAG,dim128,SVM,0.7105263157894737,0.6304860511935576,0.7507692307692307,0.008790731430053711
Graph2Vec,MUTAG,dim128,MLP,0.6842105263157895,0.6771255060728746,0.6646153846153846,1.2567038536071777
Graph2Vec,MUTAG,dim256,SVM,0.6578947368421053,0.5221386800334169,0.7169230769230769,0.021167278289794922
Graph2Vec,MUTAG,dim256,MLP,0.6578947368421053,0.5221386800334169,0.7907692307692307,0.29668259620666504
Graph2Vec,ENZYMES,dim64,SVM,0.16666666666666666,0.1046778169419679,0.5450833333333333,0.1166999340057373
Graph2Vec,ENZYMES,dim64,MLP,0.2,0.18859138157826427,0.5466666666666666,2.9728856086730957
Graph2Vec,ENZYMES,dim128,SVM,0.15833333333333333,0.11070460505354998,0.45524999999999993,0.1309819221496582
Graph2Vec,ENZYMES,dim128,MLP,0.25,0.21537975049314878,0.60575,3.0970354080200195
Graph2Vec,ENZYMES,dim256,SVM,0.15,0.11210856071457685,0.45766666666666667,0.16766667366027832
Graph2Vec,ENZYMES,dim256,MLP,0.175,0.157742673992674,0.5609166666666666,2.8044281005859375
Graph2Vec,IMDB-MULTI,dim64,SVM,0.36333333333333334,0.32489878542510114,0.5317333333333334,0.34026408195495605
Graph2Vec,IMDB-MULTI,dim64,MLP,0.39666666666666667,0.3954523574428649,0.5787833333333334,7.810846567153931
Graph2Vec,IMDB-MULTI,dim128,SVM,0.3566666666666667,0.33347332026364446,0.5191166666666667,0.4712812900543213
Graph2Vec,IMDB-MULTI,dim128,MLP,0.4,0.3897905768665304,0.5759166666666667,6.8557963371276855
Graph2Vec,IMDB-MULTI,dim256,SVM,0.3466666666666667,0.3375628633683406,0.5143333333333333,0.6914935111999512
Graph2Vec,IMDB-MULTI,dim256,MLP,0.43333333333333335,0.42331220108997886,0.6086499999999999,6.950196743011475
