Method,Dataset,Dim,Model,Accuracy,F1,AUC,TrainTime
NetLSD,MUTAG,dim64,SVM,0.868421052631579,0.8635637494063296,0.8646153846153846,0.00802755355834961
NetLSD,MUTAG,dim64,LogisticRegression,0.7105263157894737,0.7176662586699307,0.7076923076923076,0.04160118103027344
NetLSD,MUTAG,dim64,RandomForest,0.868421052631579,0.8635637494063296,0.9261538461538461,-1.155109167098999
NetLSD,MUTAG,dim64,GradientBoosting,0.8421052631578947,0.8444548872180452,0.9076923076923077,0.7698168754577637
NetLSD,MUTAG,dim64,MLP,0.7368421052631579,0.696511393426094,0.6738461538461539,0.04241514205932617
NetLSD,MUTAG,dim64,Ensemble,0.868421052631579,0.8670794633642932,0.9415384615384614,1.9686031341552734
NetLSD,MUTAG,dim128,SVM,0.7368421052631579,0.696511393426094,0.8030769230769231,0.010930061340332031
NetLSD,MUTAG,dim128,LogisticRegression,0.7631578947368421,0.7651271034729681,0.7415384615384616,0.0497739315032959
NetLSD,MUTAG,dim128,RandomForest,0.7368421052631579,0.6765350877192983,0.8984615384615384,0.6744945049285889
NetLSD,MUTAG,dim128,GradientBoosting,0.868421052631579,0.8695150574849823,0.8738461538461538,1.5468108654022217
NetLSD,MUTAG,dim128,MLP,0.7368421052631579,0.6765350877192983,0.7784615384615384,0.10537910461425781
NetLSD,MUTAG,dim128,Ensemble,0.8421052631578947,0.8421052631578947,0.9199999999999999,1.9972467422485352
NetLSD,MUTAG,dim256,SVM,0.8157894736842105,0.8139112487100103,0.8738461538461538,0.010309457778930664
NetLSD,MUTAG,dim256,LogisticRegression,0.7894736842105263,0.7847503373819162,0.8707692307692307,0.010720252990722656
NetLSD,MUTAG,dim256,RandomForest,0.8421052631578947,0.8444548872180452,0.9076923076923077,0.5787580013275146
NetLSD,MUTAG,dim256,GradientBoosting,0.8157894736842105,0.8173210804789752,0.8815384615384615,1.9752271175384521
NetLSD,MUTAG,dim256,MLP,0.8421052631578947,0.845766590389016,0.8553846153846153,0.2132244110107422
NetLSD,MUTAG,dim256,Ensemble,0.8421052631578947,0.8444548872180452,0.8984615384615384,2.524827241897583
NetLSD,ENZYMES,dim64,SVM,0.20833333333333334,0.20631161792737035,0.5245833333333333,0.10075044631958008
NetLSD,ENZYMES,dim64,LogisticRegression,0.18333333333333332,0.1820345048605918,0.5191666666666667,0.0057146549224853516
NetLSD,ENZYMES,dim64,RandomForest,0.21666666666666667,0.2105088933257296,0.586,0.6081688404083252
NetLSD,ENZYMES,dim64,GradientBoosting,0.125,0.11655325172221291,0.5146666666666667,14.223965883255005
NetLSD,ENZYMES,dim64,MLP,0.16666666666666666,0.1443551909238184,0.47508333333333336,0.12093901634216309
NetLSD,ENZYMES,dim64,Ensemble,0.16666666666666666,0.15774419919349247,0.5418333333333333,9.318753480911255
NetLSD,ENZYMES,dim128,SVM,0.16666666666666666,0.16230971420641074,0.5368333333333334,0.11284255981445312
NetLSD,ENZYMES,dim128,LogisticRegression,0.2,0.19190939509769217,0.52225,0.01006007194519043
NetLSD,ENZYMES,dim128,RandomForest,0.225,0.22105861244019137,0.5626666666666668,0.5684316158294678
NetLSD,ENZYMES,dim128,GradientBoosting,0.19166666666666668,0.19376586744062804,0.5026666666666667,25.15338110923767
NetLSD,ENZYMES,dim128,MLP,0.23333333333333334,0.23823264154146503,0.55,0.2872505187988281
NetLSD,ENZYMES,dim128,Ensemble,0.15,0.1466028966028966,0.523,20.71106243133545
NetLSD,ENZYMES,dim256,SVM,0.25833333333333336,0.24583885178162507,0.59925,0.13028717041015625
NetLSD,ENZYMES,dim256,LogisticRegression,0.20833333333333334,0.16406740337743583,0.5868333333333333,0.05068850517272949
NetLSD,ENZYMES,dim256,RandomForest,0.23333333333333334,0.22828208678678397,0.6053333333333333,0.60263991355896
NetLSD,ENZYMES,dim256,GradientBoosting,0.19166666666666668,0.18941183026548877,0.5759166666666666,42.912370681762695
NetLSD,ENZYMES,dim256,MLP,0.24166666666666667,0.19809167988151366,0.63375,0.9299123287200928
NetLSD,ENZYMES,dim256,Ensemble,0.225,0.22382756132756132,0.6137499999999999,33.97970771789551
NetLSD,IMDB-MULTI,dim64,SVM,0.3566666666666667,0.3545337045738686,0.53545,0.42362165451049805
NetLSD,IMDB-MULTI,dim64,LogisticRegression,0.3566666666666667,0.3514083434151077,0.5361833333333333,0.004320383071899414
NetLSD,IMDB-MULTI,dim64,RandomForest,0.3933333333333333,0.3868041469461348,0.56095,0.865267276763916
NetLSD,IMDB-MULTI,dim64,GradientBoosting,0.39,0.3887994971715902,0.5549666666666666,16.99567937850952
NetLSD,IMDB-MULTI,dim64,MLP,0.38333333333333336,0.38155109232774626,0.5367166666666666,0.572058916091919
NetLSD,IMDB-MULTI,dim64,Ensemble,0.4,0.3954072758880298,0.5689500000000001,11.64615774154663
NetLSD,IMDB-MULTI,dim128,SVM,0.3566666666666667,0.355642838439382,0.52,0.4989473819732666
NetLSD,IMDB-MULTI,dim128,LogisticRegression,0.37,0.36509265119191014,0.5376333333333333,0.007193803787231445
NetLSD,IMDB-MULTI,dim128,RandomForest,0.38,0.3758513897376184,0.55675,0.9324378967285156
NetLSD,IMDB-MULTI,dim128,GradientBoosting,0.38666666666666666,0.3846180497116096,0.5623166666666667,32.003971576690674
NetLSD,IMDB-MULTI,dim128,MLP,0.3566666666666667,0.3474350934028281,0.5201166666666667,0.640819787979126
NetLSD,IMDB-MULTI,dim128,Ensemble,0.41,0.4078662270372115,0.5703333333333335,23.584526300430298
NetLSD,IMDB-MULTI,dim256,SVM,0.41,0.3832264097750823,0.59555,0.7452638149261475
NetLSD,IMDB-MULTI,dim256,LogisticRegression,0.3933333333333333,0.3741573422525901,0.5732166666666666,0.07479310035705566
NetLSD,IMDB-MULTI,dim256,RandomForest,0.35333333333333333,0.3527946371045579,0.54995,1.0194969177246094
NetLSD,IMDB-MULTI,dim256,GradientBoosting,0.3333333333333333,0.33253507270123694,0.5305833333333333,53.967342138290405
NetLSD,IMDB-MULTI,dim256,MLP,0.3566666666666667,0.330697664199385,0.56685,2.249101161956787
NetLSD,IMDB-MULTI,dim256,Ensemble,0.3433333333333333,0.3421751362111973,0.55655,42.12310314178467
