dataset,method,run_name,split,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
MUTAG,GIN,gin_dim128_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,kmeans,0.216846,0.147622,0.696809,0.423914
MUTAG,GIN,gin_dim128_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,spectral,0.23699,0.155812,0.702128,0.422999
MUTAG,GIN,gin_dim128_ep200_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,kmeans,0.282458,0.10957,0.675532,0.491538
MUTAG,GIN,gin_dim128_ep200_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,spectral,0.186766,-0.019781,0.56383,0.429799
MUTAG,GIN,gin_dim128_ep200_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,kmeans,0.006493,-0.005264,0.659574,0.930839
MUTAG,GIN,gin_dim128_ep200_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,spectral,0.186766,-0.019781,0.56383,0.468721
MUTAG,GIN,gin_dim128_ep200_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,kmeans,0.208584,0.175977,0.712766,0.406318
MUTAG,GIN,gin_dim128_ep200_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,spectral,0.111229,-0.060679,0.537234,0.364118
MUTAG,GIN,gin_dim128_ep500_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,kmeans,0.017421,0.010444,0.670213,0.89491
MUTAG,GIN,gin_dim128_ep500_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,spectral,0.076697,-0.057024,0.542553,0.513495
MUTAG,GIN,gin_dim128_ep500_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,kmeans,0.24449,0.102732,0.670213,0.48054
MUTAG,GIN,gin_dim128_ep500_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,spectral,0.186766,-0.019781,0.56383,0.415565
MUTAG,GIN,gin_dim128_ep500_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,kmeans,0.292846,0.126413,0.68617,0.576864
MUTAG,GIN,gin_dim128_ep500_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,spectral,0.111229,-0.060679,0.537234,0.442416
MUTAG,GIN,gin_dim128_ep500_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,kmeans,0.292846,0.126413,0.68617,0.590418
MUTAG,GIN,gin_dim128_ep500_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,spectral,0.267387,0.085782,0.659574,0.596005
MUTAG,GIN,gin_dim256_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,kmeans,0.259932,0.127538,0.68617,0.513105
MUTAG,GIN,gin_dim256_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,spectral,0.195087,-0.011212,0.574468,0.448768
MUTAG,GIN,gin_dim256_ep200_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,kmeans,0.292846,0.126413,0.68617,0.497593
