label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
5,-0.23268107,0.44402173,0.3988998,0.094488055,-0.080438584,0.40895328,0.06990095,0.1833391,0.41991785,0.4462146,0.50672853,-0.4172578,0.3425416,0.06157555,-0.077109136,-0.054193385,-0.009811372,-0.37437445,0.088525146,0.30930665,0.16709152,-0.02137009,-0.036864184,0.33382425,0.4609297,-0.5254494,0.45811763,-0.31837004,0.32930395,0.23769793,0.121593446,-0.1922432,0.15343773,-0.42809403,-0.21378258,-0.14894342,0.46504202,0.15133758,-0.098373875,-0.48996657,0.27483633,0.20130746,0.170721,-0.017211065,-0.15608765,-0.34522817,0.12834896,0.084265046,0.30319434,-0.069168255,0.24509239,-0.14746487,-0.021562234,0.3457522,0.71778023,-0.073776625,-0.6366318,0.116397694,-0.4313374,-0.10689559,-0.63020265,-0.22890535,0.41838306,-0.26819345
5,-0.022411577,-0.0644412,-0.047208413,1.19985,1.4079399,-1.456798,0.58920795,-0.19460042,-0.7284399,0.057156347,-0.32011765,-0.71515036,0.24794951,-1.2683145,-0.93957776,0.3390774,-1.2812898,-1.2745805,1.2763045,-1.0197008,0.2211073,0.5650998,1.3630286,-1.2730199,0.43088794,0.075125225,0.8189066,0.10219263,0.21790013,-0.57498926,0.21838182,-0.09910016,-0.53523636,0.8269643,2.125463,0.6412457,0.2929476,-0.5321375,0.28902906,-0.9969156,-0.2500211,2.6166458,1.852385,1.6236604,0.72023183,0.29167476,0.8051127,1.0032716,0.2971602,2.3042712,0.055684388,-1.3890316,-0.6937647,1.8438253,1.4140506,-0.55622274,0.07319349,0.0035917498,-0.60684514,-0.27435625,1.1011516,1.7841505,-1.0852127,1.1237506
5,-0.57561064,0.18276404,0.91048396,0.020609083,0.57032716,0.2707328,0.44411728,0.43274122,0.83469045,0.47361484,0.40871093,-0.14770682,0.9440023,0.39198902,0.54651636,0.024854876,-0.16177616,-0.39448947,-0.24787843,0.15956245,0.7948832,0.034010224,-0.42250985,1.0278087,0.34353158,-0.12167146,1.4545311,-0.32472718,0.51151323,-0.052075095,0.19020483,-0.6121931,-0.030681029,-0.6097966,-0.40055814,-0.60676455,0.5391282,0.6917906,-0.7401188,-0.09635555,0.70211905,-0.2550516,-0.3407617,-0.4304195,-0.018340632,-0.28099218,0.36212873,0.70577717,0.10873805,0.080307186,0.23861095,0.36676285,0.1440417,-0.18489555,0.2436868,-0.039467156,-0.80224186,0.2438293,-0.19851877,-0.123247914,-1.0145824,-0.47211888,0.8677621,0.27685395
5,-0.56412315,-0.0022238586,0.8838656,-0.12111604,0.8302157,0.1838662,0.27049792,0.31540418,0.86945677,0.5436712,0.17629713,-0.03308347,0.88690794,0.45745194,0.67697465,-0.12782165,-0.016057938,-0.15138209,-0.30635884,0.081087396,0.8389752,0.10045872,-0.74439067,1.003762,0.29689795,0.0136029795,1.631705,-0.19867554,0.5124033,-0.05850316,0.3050513,-0.8313629,-0.30222756,-0.51254576,-0.39555752,-0.68548703,0.2549407,0.4512046,-0.73633087,0.15789483,0.82703674,-0.33108264,-0.243148,-0.47723395,0.16432828,-0.23600385,0.32653823,0.68835413,0.091642454,0.0848085,-0.05593717,0.502625,0.1807575,-0.41310814,-0.06888029,-0.021841558,-0.5871274,0.33653972,0.061139137,-0.115118705,-0.8253788,-0.5147583,0.7513463,0.43723875
5,-0.531604,0.7163613,0.6518773,0.658182,0.35850063,-0.3336614,0.8998239,0.41742212,0.47481987,-0.0033102408,0.65125847,-0.43688768,1.0730127,-0.26640347,-0.052583076,0.45333543,-0.8458571,-1.3870968,0.23209086,-0.09019883,0.6841469,0.26480278,0.66924345,0.5423733,0.5064368,-0.24398866,1.1754551,-0.4610144,0.5518917,-0.4005608,-0.003445007,-0.11285203,0.37777632,-0.5303034,0.34473878,-0.30313507,1.3804705,1.0188439,-0.633024,-0.84301424,0.50058204,0.45335078,-0.16535324,0.10071995,-0.34588897,-0.15733701,0.6914728,1.0051485,0.028305009,0.79864144,0.9236164,-0.1743503,-0.061607346,0.73821676,1.0789441,-0.27470276,-1.1248744,-0.04969981,-0.7448492,-0.31317016,-0.8641905,0.23850587,0.67765135,0.38343602
5,-0.4723911,0.62125605,0.6557897,0.6039385,0.32283974,-0.21979013,0.8029877,0.42260075,0.45358196,0.05509647,0.5946343,-0.41344637,0.93865645,-0.16608605,-0.03798408,0.40603712,-0.75472754,-1.212926,0.19279218,-0.044252828,0.68352115,0.15751594,0.61604255,0.53894585,0.46363217,-0.28393945,1.0439177,-0.41567248,0.4917502,-0.31531975,0.018318169,-0.11748592,0.3422417,-0.47390676,0.26105672,-0.23062423,1.1623863,0.9603321,-0.5683206,-0.75544333,0.40352243,0.44558156,-0.13515529,0.10793935,-0.31365603,-0.16392463,0.60138094,0.9061549,0.029021457,0.6811288,0.7989036,-0.21230114,-0.06679222,0.6922095,0.9965877,-0.19590825,-1.0624614,-0.047914457,-0.6992661,-0.20276955,-0.8259905,0.20264718,0.6522744,0.27899963
5,-0.02700787,-0.118373804,0.015911117,0.77218103,1.2794061,-0.92255294,0.5629659,-0.097522035,-0.6915059,0.47984752,-0.045876615,-0.6306278,0.21762756,-1.0908353,-0.75233597,0.16080698,-0.7727482,-0.6657822,1.1159828,-0.73501354,-0.039701022,0.28839406,0.76690245,-0.9542794,0.3441719,0.30636182,0.8357279,-0.0883934,0.34731302,-0.23588073,-0.00881394,-0.5007764,-0.5644649,0.63115907,1.6048417,0.33347622,0.04916981,-0.60449237,0.16314769,-0.7389022,-0.24337333,2.0326033,1.8030888,1.1029459,0.9278348,0.06007785,0.44429183,0.49558246,0.60994315,1.75282,0.0018055439,-0.93210113,-0.5408246,1.3032627,1.1646796,-0.716145,0.21473518,0.18817838,-0.40681827,-0.36256438,0.6726869,1.2703607,-0.9241355,0.91723514
5,0.1316624,0.2341043,-0.35401064,0.29048106,-0.07121989,-0.2709228,0.057559364,-0.06601703,-0.24127707,0.035898484,-0.07864818,-0.283992,-0.19436893,-0.022134114,-0.3205937,0.16308385,-0.16067314,-0.17403412,0.2721866,-0.050062284,-0.14126796,-0.17149253,0.43619883,-0.56510246,0.38508528,-0.36877754,0.050056618,0.07129299,-0.2515005,-0.09765641,0.2569876,0.034979858,-0.13362907,0.31767872,0.46529475,0.24179912,-0.23375297,-0.30233842,0.6193097,-0.3850782,-0.11721292,0.9857167,0.92760354,0.78617555,-0.14659056,-0.050315227,0.20061772,-0.14803942,-0.03074342,0.654415,-0.13835156,-0.5852066,-0.24764146,0.74059284,0.75028145,0.14688595,-0.08397664,-0.13504316,-0.58829486,0.3502126,0.40981227,0.6107241,-0.604739,-0.30855972
5,-0.471756,0.07881121,0.5505444,-0.077472836,0.75226974,-0.027553767,0.37900135,0.16100173,0.5609659,0.31484237,0.15919477,0.012345061,0.7438271,0.2018184,0.5256559,-0.014865316,-0.15154602,-0.22633293,-0.19044799,-0.05720575,0.5774659,0.18193942,-0.50215966,0.6953685,0.1715219,0.19558832,1.4433322,-0.17334566,0.466923,-0.14591795,0.1919787,-0.67216665,-0.22931974,-0.3607924,-0.10321835,-0.5254915,0.32356775,0.2818372,-0.6212498,0.11240896,0.6971881,-0.2207463,-0.09849515,-0.281453,0.15098032,-0.1206629,0.31207508,0.56361747,0.00391604,0.3038177,-0.002401054,0.41442683,0.20274048,-0.24762842,-0.019237412,-0.13558932,-0.34448653,0.23935084,0.07171581,-0.21162692,-0.5828575,-0.26062742,0.47320008,0.55067164
5,-0.3468547,-0.526795,0.6620996,-0.5053084,1.0139483,0.33339417,-0.08107541,0.08035962,0.68699867,0.6614075,-0.25852016,0.20706783,0.41383886,0.6002626,0.73537177,-0.37946802,0.32489783,0.57881695,-0.38091755,0.04380814,0.6594222,-0.10064792,-1.1464347,0.7119738,0.06294274,0.10603713,1.4007766,0.04139196,0.30882764,0.11336232,0.47951916,-0.976995,-0.67055714,-0.19023886,-0.37095556,-0.5496172,-0.5709268,-0.23093845,-0.4456572,0.63643616,0.5568977,-0.3224389,0.13671657,-0.404774,0.51755804,-0.17081422,0.05059546,0.35099655,0.11220722,-0.049151003,-0.75974154,0.46381107,0.12914516,-0.6331284,-0.5566948,0.08460983,0.060443617,0.39943781,0.4481789,0.05577641,-0.312829,-0.5932032,0.3655799,0.44891238
