label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127
1,-0.3827439,0.27213115,0.44296488,-0.30729327,-0.5237087,-0.08860224,-0.54993904,-0.7768375,0.42171666,0.35813782,0.01978498,0.09690969,-0.12427081,-0.09843466,-0.74585044,-0.4939244,0.1683068,0.16970384,-0.10962592,0.06023384,0.2738631,-0.28032124,-0.16159013,-0.3105126,-0.5784974,0.051055104,-0.0012236666,0.55632794,0.26670128,0.10032455,0.2728949,0.18848768,0.31686568,0.2550693,-0.023536436,-0.5445714,-0.38148135,-0.09413667,0.2295145,0.24861872,0.42000875,-0.24912137,-0.067133605,-0.54431206,-0.15515701,0.39998227,-0.05665353,0.256897,0.15147275,0.23375188,0.29478619,0.51794046,0.11068715,-0.05585667,-0.43079543,0.17382678,0.10278377,-0.81240964,-0.03472703,0.21175843,0.033744738,0.27809367,0.25442523,0.21564242,0.5164498,-0.23796958,0.19526163,0.052597493,0.37408727,0.59017956,0.16994207,-0.7399264,0.18599202,-0.18060842,-0.46221069,-0.7827194,-0.18079814,-0.38764256,-0.43974125,0.07125618,0.4691113,0.071459815,-0.15994406,-0.19423005,-0.78750646,0.25330245,0.49846658,0.3928215,-0.24439052,0.25278288,-0.46733126,0.01448258,-0.14871255,0.35503903,0.321541,-0.35590717,0.52188814,0.0814665,-0.3266479,-0.08322403,-0.15984067,0.2654953,-0.041489597,0.036518738,-0.24039382,-0.33062494,0.20625356,0.06902064,0.3304665,0.05943653,-0.04100015,-0.040609036,0.6416743,-0.3229496,-0.36039275,-0.39339435,0.4586125,0.049235933,0.2994605,-0.3243895,-0.04296612,-0.026162608,-0.3179815,-0.3629248,0.14854532,-0.20203155,-0.1168526,0.27841038
0,-0.08044171,-0.02330524,0.06796456,0.0021263305,-0.112877905,0.0065024486,-0.11413864,-0.074858025,0.018427942,-0.029653782,-0.02900856,0.035670526,-0.0355203,-0.075673014,-0.04293944,-0.039557524,-0.06578993,-0.0060512014,-0.03221729,-0.0158072,-0.0051511005,0.009471852,0.07320499,0.04819633,-0.12669307,0.0018402338,0.02764397,-0.028108187,0.024989046,0.11029004,0.06063228,0.047676064,-0.046134677,-0.021988515,0.065258965,-0.08826977,-0.07439772,-0.011694226,0.08450141,-0.033906747,0.096165314,0.01629146,0.026503585,-0.10046366,0.0142341135,0.0497168,0.06647128,0.032119244,0.11648541,0.011563781,-0.024248661,0.10439539,-0.07881728,-0.017604023,-0.12825888,0.003881408,0.016725916,-0.08534276,0.09552817,-0.013916038,-0.037261985,0.065136,-0.03045899,0.017358514,0.02098808,0.0203913,-0.07298868,0.020804059,0.108061895,0.11217837,0.020544788,-0.023736596,0.021210821,0.07079972,0.016483191,-0.027551062,-0.11261858,-0.00824786,0.008772392,0.0035833614,0.11031128,0.032571338,0.05970202,0.037194867,-0.05834171,-0.012684036,0.0013997257,-0.0029161014,-0.101485796,-0.028888408,-0.065663576,-0.048244853,-0.015411999,-0.047110114,-0.075826384,-0.07455356,0.053915545,-0.018211689,-0.021988863,0.055710115,-0.025841445,0.06486912,-0.00016524782,-0.060831163,-0.09521495,-0.08153689,0.04482479,-0.07217468,0.07757114,-0.06020485,0.067447826,0.023048714,0.03581971,0.005731957,-0.072712064,0.017861165,-0.0339975,0.007362591,-0.011697631,-0.014405603,-0.020004308,-0.0439808,-0.09919598,0.0376063,-0.05262829,0.025607161,0.08629073,0.0038861223
0,-0.06252555,-0.044184398,0.035960726,0.027898379,-0.089553416,0.009660378,-0.085884996,-0.027433429,-0.009578794,-0.05498606,-0.030328155,0.0353705,-0.025712397,-0.0740543,0.00896878,-0.0051201577,-0.07332396,-0.016876534,-0.012235329,-0.025071107,-0.034273766,0.02748292,0.100123644,0.0647378,-0.095058404,-0.0027726889,0.021450486,-0.082432255,0.014495799,0.10871661,0.037928373,0.031507485,-0.07372193,-0.049118478,0.08541034,-0.040074266,-0.05442975,-0.01750363,0.08061087,-0.051859118,0.0700868,0.039581344,0.026172683,-0.06949874,0.023846634,0.01931436,0.074850895,0.020106936,0.11249841,-0.0017230194,-0.054757383,0.06773762,-0.09933987,-0.0044276956,-0.111055166,-0.025510577,0.0054992437,-0.035546552,0.10748501,-0.035500348,-0.04035827,0.041921552,-0.057162434,0.016459068,-0.007588133,0.025892898,-0.090122975,0.020692796,0.08720074,0.08499622,0.014541762,0.03315347,0.00047015585,0.092170455,0.055175312,0.039692774,-0.107066005,0.030096786,0.036293082,0.0018811454,0.087469876,0.028759612,0.078066476,0.047902383,0.003567228,-0.033798363,-0.028515004,-0.027608147,-0.1052686,-0.04462039,-0.03557435,-0.07098988,-0.010707546,-0.07813202,-0.11251888,-0.06567408,0.021059677,-0.033965204,0.010091823,0.06032656,-0.010037054,0.055006765,0.011055233,-0.07862491,-0.08539581,-0.06889917,0.027217614,-0.0829036,0.06006853,-0.059793383,0.07888402,0.03372933,-0.02465845,0.026342675,-0.057094634,0.05181911,-0.067580566,0.00935809,-0.03910852,0.015804544,-0.010561204,-0.04873223,-0.08336781,0.059706543,-0.067602,0.04848803,0.096901596,-0.023240522
1,-0.47884646,0.36185545,0.559659,-0.40274572,-0.65402937,-0.11909235,-0.68552464,-0.9975322,0.5488359,0.47846422,0.034953132,0.11612749,-0.1485676,-0.107539624,-0.9673008,-0.63714767,0.24299303,0.22227949,-0.1304877,0.08669754,0.3602465,-0.37552547,-0.23067173,-0.42457142,-0.72174335,0.06785542,-0.013089931,0.7353706,0.34493887,0.09597901,0.33881897,0.23209217,0.42912698,0.33947462,-0.04911021,-0.6843287,-0.47876918,-0.123264015,0.2761373,0.33552778,0.5199285,-0.3309332,-0.09582271,-0.6845431,-0.20845503,0.5081415,-0.098329544,0.32801476,0.16127461,0.3066527,0.39122143,0.64520603,0.16618069,-0.06516201,-0.5262079,0.22201812,0.12576237,-1.0404451,-0.073672704,0.2834919,0.0584334,0.3414636,0.33994082,0.27946743,0.6718414,-0.32400495,0.27910006,0.061502844,0.4595213,0.7416982,0.21453714,-0.966443,0.2355939,-0.25657293,-0.61381274,-1.016653,-0.20278552,-0.50579464,-0.58063906,0.09213111,0.5836909,0.08393485,-0.22602323,-0.26603156,-1.0150917,0.33850855,0.6569085,0.51556623,-0.2908871,0.34296206,-0.59297276,0.031403482,-0.1898231,0.48166904,0.44114494,-0.44546682,0.66931605,0.10952066,-0.42260846,-0.12953053,-0.19972274,0.32982755,-0.053130936,0.06755774,-0.2878394,-0.41158247,0.2558395,0.11178079,0.40784067,0.0989542,-0.07272769,-0.056915347,0.8270242,-0.42623794,-0.44821733,-0.52224946,0.61025673,0.061511144,0.39554042,-0.42220017,-0.049457483,-0.019457718,-0.3872432,-0.48975298,0.21030828,-0.27399033,-0.18121772,0.36316448
0,-0.06468446,-0.041246936,0.037392933,0.026382536,-0.08956374,0.0097413175,-0.085762694,-0.028328642,-0.007224245,-0.054205723,-0.02890956,0.03716634,-0.026408574,-0.073928505,0.006921686,-0.00708383,-0.07320912,-0.016776605,-0.01497939,-0.024692848,-0.031197773,0.02758448,0.096713535,0.065273516,-0.09597463,-0.0046990663,0.021430742,-0.07756721,0.01188058,0.10978307,0.038310695,0.031663366,-0.07207198,-0.04573431,0.082865894,-0.043303423,-0.054889355,-0.014245074,0.08020699,-0.050283365,0.07169412,0.037235986,0.022600241,-0.07124966,0.02148258,0.021728266,0.07466197,0.020878281,0.11027321,-0.0015913453,-0.05088751,0.06860756,-0.0955378,-0.006626647,-0.11009388,-0.022615997,0.00719608,-0.037282247,0.1073744,-0.036648825,-0.041442826,0.045459058,-0.05388338,0.01442655,-0.0071756877,0.026715666,-0.08914535,0.020907078,0.08859661,0.08442959,0.018605886,0.029881699,0.0006493842,0.08810163,0.051856644,0.033035878,-0.10635723,0.029180769,0.036275234,0.0027399296,0.08637897,0.026402637,0.0761747,0.046961978,-7.7047385e-05,-0.033184726,-0.028097965,-0.025263177,-0.102974206,-0.044699464,-0.037388876,-0.06844135,-0.010319684,-0.07559793,-0.10838267,-0.063712075,0.024743378,-0.03341317,0.0067817327,0.06148503,-0.012900359,0.054072388,0.010075152,-0.07731765,-0.08656512,-0.0682262,0.03017066,-0.07985214,0.062088486,-0.059769407,0.076513045,0.03168712,-0.021313516,0.02555779,-0.059689127,0.04937411,-0.0655012,0.008445266,-0.03709204,0.011889257,-0.013546534,-0.048279956,-0.084137365,0.059480615,-0.06615183,0.04804986,0.09570724,-0.02097467
1,-0.21178569,0.10554904,0.2309303,-0.12789586,-0.2911544,-0.03686707,-0.3015523,-0.3812919,0.19370395,0.13207006,-0.0043968633,0.06223102,-0.07232262,-0.0825274,-0.34687912,-0.23661408,0.036805302,0.07182439,-0.06428806,0.018859603,0.11832476,-0.115103945,-0.025655769,-0.110243015,-0.31909636,0.022093683,0.015721796,0.22328553,0.12516835,0.10563227,0.15317553,0.109635666,0.10744901,0.09401918,0.027895208,-0.28719983,-0.21126786,-0.045019373,0.14464147,0.09013012,0.23593402,-0.09812142,-0.014535182,-0.29710636,-0.0592357,0.20115395,0.011287563,0.13114321,0.13076779,0.110506676,0.1100916,0.27840966,0.0022350326,-0.033767775,-0.2585557,0.07728931,0.052412823,-0.3977035,0.03520046,0.083276324,-0.0050649494,0.15325466,0.09200512,0.1046754,0.23657827,-0.09455203,0.043519147,0.031377144,0.22614992,0.31875536,0.08231384,-0.3315903,0.09307884,-0.038793,-0.18980625,-0.354368,-0.14344624,-0.16935612,-0.18887231,0.03178443,0.2666652,0.049711227,-0.037014514,-0.06495904,-0.3689811,0.102690116,0.21801159,0.17155541,-0.16636623,0.09239881,-0.23577824,-0.021300562,-0.0723848,0.13189673,0.09571238,-0.19833706,0.25753427,0.024140665,-0.15356703,-0.0062423088,-0.082672976,0.15208344,-0.018145619,-0.017914012,-0.15761125,-0.19192079,0.114342436,-0.009526078,0.18471938,-0.009056948,0.019560806,-0.002600593,0.29688922,-0.1404722,-0.19417377,-0.15936527,0.17927903,0.024318896,0.12346588,-0.15493497,-0.030563029,-0.0380013,-0.1933347,-0.13363484,0.0320232,-0.07411019,-0.0048477612,0.12269112
0,-0.26109505,0.15702537,0.29535368,-0.18574682,-0.35782063,-0.050576136,-0.3781672,-0.49696514,0.26081672,0.20538491,0.00064674765,0.07192275,-0.092882395,-0.08785552,-0.46588105,-0.3130364,0.07173841,0.10219002,-0.08477622,0.028460048,0.1663273,-0.1604695,-0.07317867,-0.16612408,-0.3956429,0.03071677,0.015068708,0.33013666,0.16697712,0.105159946,0.19109891,0.13591446,0.17250982,0.14755191,0.0060806945,-0.36928642,-0.25756413,-0.054790072,0.17021237,0.13666655,0.29356495,-0.1454303,-0.02945245,-0.3684344,-0.08727311,0.2623065,-0.0053723603,0.16693902,0.13849114,0.14109324,0.17134771,0.3565235,0.04034885,-0.04521109,-0.30933404,0.11333711,0.072277255,-0.5218307,0.014935829,0.1221542,0.0023011118,0.19831854,0.14720514,0.13215113,0.31812182,-0.12787637,0.08852995,0.0394885,0.26673418,0.39742893,0.11158399,-0.454108,0.12613896,-0.08277421,-0.27248174,-0.48819485,-0.15406281,-0.23922826,-0.26056916,0.043128315,0.32351962,0.05706217,-0.07559562,-0.10099917,-0.5001573,0.14682999,0.29674336,0.23638898,-0.18377836,0.13798383,-0.30773863,-0.004658468,-0.09541704,0.19559216,0.16807751,-0.24039459,0.33629847,0.046084538,-0.20743315,-0.025783014,-0.10886743,0.1829473,-0.027554197,-4.7795475e-05,-0.17978284,-0.22943172,0.14497851,0.014943883,0.2315684,0.0071212947,-0.0014556572,-0.019280804,0.40937313,-0.19113229,-0.24715386,-0.22996928,0.26463267,0.03189978,0.17732668,-0.2025348,-0.035685167,-0.033598453,-0.22981045,-0.2002252,0.069289126,-0.113914385,-0.03575922,0.17144707
1,-0.30178228,0.19264272,0.3413848,-0.22278604,-0.41392088,-0.06362392,-0.4321676,-0.5881633,0.31397724,0.2522613,0.007889073,0.08061835,-0.09900415,-0.09215677,-0.55755866,-0.3725591,0.1055965,0.12210867,-0.0880892,0.041401647,0.19950752,-0.20274128,-0.09656782,-0.2149469,-0.45655048,0.037723698,0.005914027,0.39794633,0.20085248,0.10303017,0.21509996,0.15076011,0.2178067,0.17967235,0.000596039,-0.42144078,-0.29987356,-0.07257765,0.18994302,0.17229885,0.33356822,-0.17808193,-0.0434305,-0.42692432,-0.11036883,0.3055023,-0.02499102,0.19761468,0.1402526,0.17539047,0.20807733,0.40450746,0.059357494,-0.044864446,-0.34907103,0.12703526,0.07858323,-0.6159035,0.0006909892,0.1504831,0.014796577,0.2200754,0.17726982,0.16253316,0.38393992,-0.17018217,0.12327085,0.042596556,0.30325553,0.46188822,0.12919226,-0.5475369,0.14091557,-0.112680465,-0.33329204,-0.57984763,-0.16309267,-0.28443784,-0.3198021,0.05348799,0.37189344,0.06064872,-0.10113251,-0.13320017,-0.5903331,0.18211621,0.36526117,0.28722972,-0.20694643,0.17758495,-0.35811618,-0.0026075095,-0.11198811,0.24830753,0.21388726,-0.28081396,0.39735046,0.05313223,-0.24466303,-0.047441352,-0.122955926,0.21206217,-0.029425485,0.0104983,-0.20165084,-0.26464915,0.16346957,0.032602087,0.2617371,0.027193919,-0.013357632,-0.02217553,0.47742882,-0.23509,-0.28316844,-0.2822473,0.3253975,0.03791463,0.21525641,-0.24362831,-0.03771346,-0.029968416,-0.2588353,-0.25458416,0.09349125,-0.14171003,-0.06419437,0.2044506
0,-0.061033733,-0.04489874,0.03264503,0.027424596,-0.0873085,0.009818138,-0.0874457,-0.022089066,-0.009377591,-0.057567284,-0.03127054,0.03741341,-0.023895781,-0.072803944,0.010231076,-0.004538563,-0.072177455,-0.014802702,-0.0116024725,-0.021837622,-0.03367857,0.026587188,0.10235727,0.06417054,-0.09896171,-0.0011909716,0.020978998,-0.08580934,0.017658923,0.110343836,0.035517875,0.026401449,-0.07509269,-0.05059372,0.090690345,-0.03045176,-0.053783644,-0.025015697,0.082143515,-0.052682616,0.069406204,0.03877864,0.02817256,-0.06936435,0.027461616,0.019790495,0.07243447,0.021739114,0.11438757,-0.00076646917,-0.054791473,0.06530397,-0.10275383,-0.0026848689,-0.114835486,-0.025170056,0.005626127,-0.034981318,0.107431725,-0.03262533,-0.03848747,0.037731715,-0.06355922,0.017141966,-0.005414605,0.021445509,-0.08785303,0.024773113,0.089665115,0.08427904,0.011441957,0.035463985,-0.0059063574,0.09661919,0.06295976,0.047222316,-0.10774069,0.03284679,0.036714323,0.0019980175,0.08956395,0.031465903,0.08036704,0.04764176,0.005399296,-0.030482113,-0.026505888,-0.029519584,-0.11056538,-0.042067125,-0.032538705,-0.07429481,-0.008097373,-0.080234215,-0.11217239,-0.06662565,0.019994006,-0.03960963,0.014290046,0.059226375,-0.0032965718,0.058986284,0.017994786,-0.08036889,-0.088188514,-0.07040347,0.026900526,-0.08445045,0.05525685,-0.059878133,0.07889181,0.038150612,-0.03057713,0.027226293,-0.05574394,0.055260967,-0.06984699,0.009657398,-0.040036727,0.018308084,-0.009353302,-0.04751029,-0.0795118,0.05691549,-0.06823089,0.047368,0.0994592,-0.023583185
1,-0.4105812,0.29772568,0.47646564,-0.3346299,-0.56157905,-0.09715476,-0.58819306,-0.8398372,0.45823044,0.392124,0.024217471,0.10264784,-0.13076593,-0.10097474,-0.8093547,-0.53511906,0.19016066,0.1843272,-0.11487235,0.067849495,0.2980689,-0.30841744,-0.18074727,-0.34303612,-0.6203381,0.05592689,-0.005392367,0.6066749,0.289273,0.09908394,0.29132947,0.20029277,0.34943196,0.27911445,-0.029934928,-0.5840169,-0.4094471,-0.10322431,0.2428805,0.27364177,0.4483784,-0.2724555,-0.07530437,-0.58410686,-0.17044246,0.43081897,-0.06864919,0.27697796,0.15434754,0.25539795,0.3226588,0.5543827,0.12606348,-0.057877414,-0.45820087,0.18698123,0.1088836,-0.8780981,-0.04540517,0.23219705,0.041185193,0.29563046,0.2780755,0.23452204,0.561003,-0.26354876,0.21977526,0.05538541,0.39865965,0.63368386,0.18294948,-0.8052884,0.19881013,-0.20244277,-0.50538504,-0.84895486,-0.18689659,-0.42138582,-0.47996765,0.077656075,0.502225,0.074321285,-0.1786348,-0.2150501,-0.85242885,0.2778764,0.54436547,0.4278188,-0.2579231,0.27886882,-0.50377977,0.018568538,-0.16033415,0.3909574,0.35550576,-0.3816969,0.5636921,0.08915241,-0.3539366,-0.096438274,-0.1714516,0.28428516,-0.044868123,0.04481773,-0.25458488,-0.3540562,0.22006492,0.08078271,0.35234395,0.07163519,-0.049323924,-0.044974666,0.69328076,-0.35277042,-0.38526952,-0.43029284,0.50161093,0.0530434,0.32701707,-0.35219336,-0.044791915,-0.023961267,-0.33835545,-0.3999956,0.16635284,-0.22215451,-0.1350841,0.30249572
