label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
1,0.19880268,1.3225925,0.4850745,0.034835197,0.5435492,0.6675381,-0.84922004,1.3874717,0.43517798,-1.1378913,-0.79174227,0.29325807,1.0713208,-0.6722916,-0.90711266,-0.32726145,0.044871375,1.0743372,0.90668696,0.14729331,0.5101166,-0.35303092,0.685281,-0.90344596,0.52083856,-0.577579,-0.025859093,0.9763654,-0.091011755,0.6728313,-1.1513877,-0.6386094,0.7826523,0.6258609,0.8620228,-0.6477428,1.0445275,-0.7463535,0.13880304,-0.5781618,0.28428864,-0.31668705,-0.7075482,0.0682171,0.400068,1.0253158,0.06239424,0.6053937,0.641308,0.6415235,0.398813,0.24116808,-1.5451618,0.42366782,-0.45593432,0.1090391,-0.7169761,0.01981191,0.43278092,0.52282494,0.3230869,0.091659725,-0.5347509,-1.2837176
0,-0.24770509,0.18003088,-0.015461519,-0.19992343,-0.08529748,-0.1529662,0.16424859,0.09696686,-0.16676071,0.04255624,-0.1807568,-0.14112996,-0.070553675,0.22820893,0.20648351,0.18838121,-0.03116456,-0.056125768,-0.050389737,-0.11962593,-0.046614405,-0.016044866,-0.05933656,0.2158853,-0.06824897,0.0043957084,0.00459053,0.16542485,0.19759741,-0.079645336,0.06768596,0.0703269,0.15842609,-0.031646587,0.16246912,0.12979928,0.036649935,0.09554642,0.21147943,0.2652073,-0.06811967,-0.01747936,0.11907884,-0.22044073,0.13830268,-0.06343971,0.14761102,-0.036271855,0.010844763,-0.041828137,-0.04060681,0.11202285,0.19582811,-0.076819286,-0.024165854,-0.036006108,0.073137864,-0.08744176,-0.12743989,-0.084374554,-0.24928528,-0.07706033,0.25091875,-0.0611192
0,-0.29439285,0.13214248,-0.04593133,-0.21968651,-0.13259053,-0.22684532,0.2851186,-0.006454043,-0.20725524,0.1130623,-0.15151104,-0.21907589,-0.13336053,0.34815067,0.31085485,0.21576893,-0.04784236,-0.13845176,-0.10160736,-0.14763111,-0.06796808,0.014510438,-0.10567601,0.2952471,-0.10830409,0.061170667,0.014156053,0.118972346,0.2388508,-0.14590684,0.16992979,0.12646022,0.14161807,-0.059412196,0.12395772,0.21308403,-0.019515514,0.12023554,0.2460652,0.35746235,-0.09030052,0.015307039,0.1524961,-0.29660797,0.11362851,-0.13070613,0.18362677,-0.0893794,-0.030091569,-0.083834335,-0.08478628,0.089429274,0.3330998,-0.098832466,-0.023321059,-0.043205112,0.14340328,-0.07893124,-0.1909578,-0.13444322,-0.31310293,-0.11978242,0.31618607,0.0042477697
1,0.31390157,1.6940848,0.6505921,0.09728698,0.7337444,0.9026799,-1.1453637,1.7898934,0.6165611,-1.5052783,-0.9904229,0.42470852,1.4258232,-0.9342114,-1.2382443,-0.48656338,0.070474684,1.4296342,1.2147994,0.22205521,0.682355,-0.46769387,0.9112824,-1.2443712,0.69711024,-0.7483057,-0.03412152,1.2471677,-0.16641185,0.9054936,-1.5244081,-0.85799444,0.9827399,0.8390225,1.0888747,-0.8779322,1.3727198,-1.0112971,0.13064158,-0.8195251,0.38536653,-0.40110558,-0.97310907,0.14712435,0.4869278,1.36658,0.05479046,0.7962944,0.8423109,0.85061926,0.5218768,0.27964288,-2.0790792,0.5754702,-0.6072887,0.14946216,-0.95443344,0.046384078,0.59511,0.71021897,0.47376308,0.12663656,-0.7630106,-1.6779673
0,-0.28158686,0.1258067,-0.047029242,-0.21410191,-0.13164823,-0.21546939,0.26720086,0.0019344985,-0.20342493,0.11108766,-0.15040271,-0.20908189,-0.12860398,0.32921615,0.30071256,0.21427813,-0.046020284,-0.13587008,-0.09873918,-0.14160438,-0.06712278,0.015977282,-0.10106715,0.28876436,-0.106904104,0.051107794,0.010806831,0.11593628,0.23100701,-0.1371267,0.163179,0.12432529,0.13684142,-0.06121823,0.12405829,0.20342788,-0.022840325,0.12115532,0.23775929,0.34393558,-0.086565234,0.010871045,0.15037759,-0.285153,0.11412038,-0.12474561,0.1752702,-0.08360843,-0.03162992,-0.08006272,-0.07917091,0.09227802,0.3194146,-0.09519193,-0.020782936,-0.03984209,0.13562115,-0.080212265,-0.1833579,-0.12696594,-0.30068707,-0.11090118,0.3050295,0.0063679367
1,-0.024023904,0.7426709,0.23078725,-0.088510364,0.2256755,0.24979863,-0.33422184,0.73705703,0.12272239,-0.5386946,-0.47854376,0.07191165,0.4904357,-0.22149345,-0.34756544,-0.06954558,0.0035247048,0.50240093,0.42374957,0.010877156,0.22350916,-0.18255249,0.30818167,-0.32987213,0.22136946,-0.28352052,-0.0091986265,0.5653029,0.05550357,0.28884414,-0.5267362,-0.27643365,0.46265662,0.2946084,0.51212907,-0.25584787,0.53891075,-0.31428194,0.17150098,-0.15210369,0.10331393,-0.15872137,-0.28855696,-0.07923387,0.26509252,0.47599977,0.11150054,0.2697867,0.32444265,0.3013269,0.17519835,0.17272021,-0.65950775,0.1670415,-0.23970738,0.038700342,-0.3195934,-0.035746444,0.15096946,0.21258904,0.037523933,0.010183122,-0.14006296,-0.6640884
0,0.055677034,0.852776,0.27080742,-0.04614283,0.30094025,0.36721978,-0.47679642,0.8742253,0.20661809,-0.6750241,-0.5385652,0.13277826,0.61768895,-0.33906022,-0.48895103,-0.123903334,0.018256329,0.6222102,0.51434886,0.049800284,0.28924575,-0.2119711,0.39806435,-0.47409117,0.2936587,-0.35650656,-0.009802198,0.6306891,0.006420575,0.3786176,-0.68066126,-0.36203545,0.52997893,0.35330945,0.5694653,-0.35625422,0.6280801,-0.40101165,0.14588964,-0.27196473,0.15445147,-0.21036674,-0.36594418,-0.025791049,0.28777674,0.58946955,0.06918342,0.36875623,0.3885194,0.37123713,0.24343596,0.18906513,-0.86379755,0.22693186,-0.26342085,0.051585786,-0.4126561,-0.014267329,0.23277326,0.28632432,0.12955925,0.048775602,-0.24279845,-0.7811944
1,0.07554729,0.9979051,0.33906236,-0.03391757,0.36211753,0.4358751,-0.56459844,1.0236167,0.2662509,-0.8052323,-0.6147384,0.17243537,0.7471457,-0.42434585,-0.59263486,-0.18211088,0.026438907,0.752741,0.633697,0.07267373,0.35048375,-0.26023495,0.4751223,-0.58522433,0.35048482,-0.41272607,-0.016815638,0.74458843,-0.0090600625,0.46164635,-0.8066179,-0.43532687,0.6050678,0.44053996,0.66398144,-0.42877567,0.7588725,-0.50192523,0.1575211,-0.34105852,0.18528183,-0.2329201,-0.4742734,-0.007941142,0.32413977,0.717846,0.08538791,0.42336345,0.46296024,0.44849688,0.2769276,0.20567815,-1.0507702,0.28208604,-0.33621672,0.06586477,-0.4943248,-0.012853552,0.27676678,0.35217774,0.16249058,0.045667175,-0.3164209,-0.9377115
0,-0.3164061,0.1260458,-0.028873794,-0.22579002,-0.14376968,-0.2430906,0.2836509,-0.0004812777,-0.21804082,0.125087,-0.15198016,-0.20538971,-0.13107947,0.3469204,0.3169497,0.21987072,-0.045545693,-0.13288599,-0.07908805,-0.1532174,-0.06710847,0.018787518,-0.11174241,0.314589,-0.118758865,0.07032716,0.00387742,0.13580102,0.24143386,-0.14801338,0.17755084,0.13299602,0.13248424,-0.064095795,0.13777737,0.2113563,-0.01755495,0.11582432,0.2555112,0.36945176,-0.09155216,0.016857728,0.13842991,-0.30470252,0.12431459,-0.12576191,0.18997931,-0.10320847,-0.03937211,-0.080578096,-0.09831415,0.08158757,0.32518467,-0.106374644,-0.03611671,-0.036307536,0.14543895,-0.09024978,-0.20436619,-0.13395868,-0.33083394,-0.1246447,0.32634676,0.0073901042
1,0.2246081,1.4258207,0.5332779,0.050716795,0.5940956,0.7275402,-0.9249699,1.4970096,0.48333174,-1.2360153,-0.84722877,0.32790813,1.167579,-0.74078256,-0.99338245,-0.37041223,0.05116701,1.1714609,0.9916324,0.1667061,0.55793387,-0.3849815,0.74466604,-0.9937997,0.5675106,-0.62270176,-0.02865622,1.0528655,-0.10911026,0.73600155,-1.2514701,-0.69816124,0.8377465,0.684848,0.92531896,-0.7085004,1.1361071,-0.8201073,0.13973191,-0.6391692,0.31114182,-0.33832335,-0.7815544,0.08644043,0.4250482,1.1182814,0.063796096,0.6547111,0.69570386,0.6979166,0.4290241,0.2518613,-1.6893169,0.46429798,-0.499333,0.11952536,-0.7803345,0.025422733,0.4733187,0.57207614,0.35888803,0.097578764,-0.5939709,-1.3933387
