label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127
5,0.15499732,-0.10883067,-0.17128721,0.13673398,0.018886382,-0.04297815,-0.03635494,-0.041228797,0.17356323,-0.05551671,-0.093111664,0.15320665,-0.21736287,0.14707622,0.020597393,0.12394721,0.049844764,-0.14996092,0.00574434,0.009739899,0.074056014,0.13396694,0.022001624,-0.0676765,-0.0013358826,0.00043593146,0.046643477,-0.07568604,-0.21176682,-0.013042585,-0.22589146,-0.004772881,0.038401477,0.05602565,-0.10823014,-0.096826926,-0.040499832,0.052949317,0.15284659,-0.023357634,-0.04991109,-0.032167546,-0.046207126,0.0066373143,0.068043776,-0.05927619,0.024261096,0.02205126,0.09764457,-0.111364506,0.108185664,-0.025681641,0.06718129,-0.11572976,0.065255664,0.11431031,0.034242947,0.012998732,-0.05996604,0.077872835,0.050777983,0.003811739,0.110989116,0.10981623,0.047819626,0.10845457,0.033630148,0.07758505,0.1015073,0.05075311,-0.13689639,-0.118709184,0.012239566,0.022448512,0.055519946,-0.18792172,0.030574245,0.08124801,-0.04097206,0.11262426,-0.011939116,-0.1437915,-0.012869711,0.090828106,0.010050801,0.22376777,0.035369113,0.012773633,0.09496177,-0.102804266,-0.0069837137,-0.1062086,0.012051327,0.11433066,0.06838914,-0.018422319,0.04239098,-0.13412763,0.15833072,-0.05953033,0.08589241,0.012256676,-0.016210755,-0.11262961,0.029736064,-0.060469225,0.02129138,0.020162068,0.13448502,-0.04536695,-0.06920964,0.04360203,0.03746481,0.012887683,-0.044871647,0.07684952,-0.23997052,0.06663343,0.104062326,-0.0070247366,-0.06734377,-0.08202201,0.027306434,-0.05164673,-0.08254857,0.13257357,-0.114174,-0.06293896
5,0.12000286,-0.082553044,-0.14108348,0.11083012,0.02579253,-0.032988038,-0.026176255,-0.034978572,0.13242388,-0.036464065,-0.066214,0.113802075,-0.16756983,0.10650421,0.010117527,0.09324767,0.040068913,-0.12819155,0.009496479,0.008405897,0.05134794,0.10698787,0.020454673,-0.053706083,-0.006409821,-0.0033508523,0.02433607,-0.0608268,-0.1591783,-0.01589789,-0.17062616,-0.006763363,0.03917837,0.048733078,-0.085281946,-0.07905428,-0.031962164,0.038081884,0.1233098,-0.011175769,-0.03604655,-0.020738717,-0.02290004,0.002708838,0.053147484,-0.04196452,0.021256933,0.015698072,0.07671805,-0.08748291,0.07744438,-0.02331975,0.05927324,-0.09940974,0.056764647,0.083309405,0.020700797,0.013854545,-0.041818827,0.06674495,0.041884728,0.0009605334,0.08605453,0.08453513,0.038848013,0.07830686,0.023878274,0.062110417,0.07603334,0.033298343,-0.10163963,-0.07865266,0.013288236,0.013843574,0.053446718,-0.1524364,0.030042918,0.06513443,-0.034364097,0.095951095,0.0050886134,-0.1058767,0.0011810508,0.06900145,0.0074363514,0.16775516,0.027558831,0.010831598,0.077343866,-0.08527319,-0.011659158,-0.07532022,0.0126908505,0.07546257,0.056009755,-0.016406361,0.041214388,-0.09761779,0.1307758,-0.051723022,0.07518505,0.013348925,-0.014450993,-0.10145952,0.025049487,-0.060459055,0.018120363,0.027198596,0.11871069,-0.025241967,-0.05625838,0.03169439,0.030373385,0.0111678075,-0.04238185,0.049952984,-0.18055597,0.054759003,0.077284284,0.0022584544,-0.051418874,-0.060016844,0.020823266,-0.042561874,-0.06909336,0.09388993,-0.08719276,-0.05387982
5,0.16803136,-0.12508218,-0.19707954,0.16256315,0.03699648,-0.049585372,-0.03257827,-0.054432023,0.18774799,-0.049308997,-0.101145044,0.15145393,-0.2260892,0.15969722,0.020044683,0.12942593,0.06492318,-0.17164853,0.010660002,-0.0015269967,0.07640745,0.14388265,0.029750684,-0.07649969,0.00081706623,0.0032565044,0.0471004,-0.08303165,-0.22140114,-0.015664151,-0.23362851,0.0070560304,0.05175496,0.06377999,-0.11302809,-0.09528315,-0.03672782,0.050979875,0.15783389,-0.027748642,-0.045592554,-0.030135226,-0.037026532,0.006269584,0.06875319,-0.06880462,0.036115218,0.027360817,0.09799631,-0.103782125,0.11574297,-0.0365332,0.06592133,-0.13121732,0.06785291,0.12389561,0.030695375,0.028721612,-0.06792159,0.07751559,0.050656147,-0.007322093,0.11554867,0.12134031,0.04861548,0.10592821,0.036718175,0.07163028,0.10492888,0.05211927,-0.14726089,-0.116736874,0.001231319,0.026028613,0.065913536,-0.2072902,0.040579494,0.094661616,-0.03195654,0.1265801,-0.010362718,-0.15914257,-0.01651088,0.100041375,0.014488558,0.23957108,0.040775802,0.012850735,0.096665375,-0.116849765,-0.019290758,-0.1131294,0.020418026,0.109374195,0.061251923,-0.017582478,0.054635596,-0.14857,0.16723548,-0.06898848,0.09366085,0.013724945,-0.023327947,-0.13553707,0.012368924,-0.07666733,0.018765483,0.023029925,0.15383044,-0.046668362,-0.07327135,0.054339945,0.044481877,0.019215506,-0.04557642,0.07578717,-0.262104,0.05448523,0.110911846,0.0012910009,-0.08263606,-0.09624258,0.019294038,-0.068931945,-0.07808967,0.12655972,-0.13396351,-0.066847324
5,0.1581438,-0.12327055,-0.18428777,0.13941668,0.019734832,-0.038387593,-0.031172693,-0.054218147,0.17436427,-0.047299117,-0.081170574,0.15439491,-0.21564808,0.1550399,0.01145325,0.11808055,0.049016777,-0.15810801,0.010329047,0.014128282,0.069785655,0.13115245,0.022688067,-0.055770654,-0.00094546285,-0.0017322865,0.0466247,-0.07260152,-0.21848574,-0.012088088,-0.21100752,0.008824584,0.04165265,0.067193195,-0.10265597,-0.10104824,-0.03242559,0.05056234,0.15475735,-0.019636048,-0.04005625,-0.038190376,-0.047366034,0.016822135,0.06485155,-0.06958068,0.02921972,0.030116284,0.10497747,-0.11197005,0.10840124,-0.039580118,0.06202127,-0.11814059,0.064034164,0.11940081,0.026048193,0.027789012,-0.06054312,0.081863075,0.059465054,-0.006045805,0.1132858,0.101986185,0.042165317,0.11218927,0.03383384,0.06457746,0.10067622,0.050258987,-0.12358299,-0.10941995,0.014944595,0.011363154,0.053988155,-0.19823095,0.04143271,0.078022845,-0.034670286,0.11221069,0.006838763,-0.142408,-0.010846282,0.10454958,0.015221595,0.21782711,0.03768553,0.024006896,0.10010042,-0.09862507,-0.0038597023,-0.104775175,0.007617064,0.11173557,0.07010372,-0.02226716,0.049533386,-0.13433611,0.16070724,-0.0533685,0.08579597,0.013919111,-0.023328414,-0.13216588,0.029972168,-0.07748308,0.00394592,0.030776614,0.14858706,-0.038660366,-0.059497807,0.043249447,0.046544563,0.02385404,-0.0436602,0.07354301,-0.24639122,0.051251065,0.10328418,-0.004373996,-0.07077402,-0.08494695,0.0153901465,-0.068551645,-0.082779855,0.12926467,-0.1216773,-0.07119171
5,0.18337266,-0.14281808,-0.21669464,0.16801597,0.03271079,-0.045559116,-0.034085795,-0.06057717,0.21598442,-0.06224611,-0.09502695,0.16698007,-0.24212149,0.1815294,0.016880937,0.14381357,0.065289766,-0.18608868,0.0052433857,5.867383e-05,0.08589165,0.15700823,0.03101092,-0.08117061,0.007891982,-0.0054965126,0.05444387,-0.081258155,-0.23847002,-0.017658535,-0.25941467,-0.003594501,0.051313028,0.07242405,-0.1226627,-0.10853609,-0.044681177,0.054734312,0.17938775,-0.015613296,-0.058128066,-0.03895749,-0.045616362,0.015911102,0.06729091,-0.07849889,0.03700267,0.018095007,0.11287059,-0.12192682,0.11371708,-0.035280354,0.082761504,-0.13379245,0.076598436,0.12256096,0.02725448,0.018539915,-0.07517658,0.090193436,0.056387324,-0.0007645269,0.13703068,0.13062662,0.051036347,0.111433774,0.037124824,0.07812213,0.11025593,0.06118013,-0.15545015,-0.13036692,0.012991237,0.027796805,0.0649732,-0.22320889,0.039855324,0.10351815,-0.04877202,0.13750504,0.0043476424,-0.17252462,-0.01679669,0.10626632,0.016409844,0.2560979,0.03206755,0.02603442,0.10697278,-0.12980023,-0.01677606,-0.11873043,0.015535438,0.12807545,0.07768289,-0.03339082,0.05268876,-0.14993086,0.1923792,-0.06664789,0.11108861,0.023713343,-0.032792117,-0.14554891,0.023428012,-0.08543287,0.01273223,0.028789274,0.16072041,-0.04553499,-0.078822024,0.056868903,0.051448576,0.021245616,-0.056567445,0.09156929,-0.27054167,0.07368044,0.12624452,-0.0034878207,-0.08894359,-0.10354659,0.02448596,-0.06205137,-0.086985715,0.144921,-0.14208108,-0.08627289
5,0.17432886,-0.13019487,-0.20010631,0.15784559,0.023917858,-0.03952598,-0.033233594,-0.057874475,0.20614953,-0.047151733,-0.10047079,0.16570105,-0.23549978,0.16676472,0.010300696,0.13360685,0.06182626,-0.18305026,0.00807286,0.013346382,0.08469054,0.13929114,0.024117531,-0.07154047,0.0013520673,0.000868827,0.044339683,-0.07295313,-0.22311792,-0.024162276,-0.24650346,0.008283273,0.0505544,0.06787511,-0.12147323,-0.10073453,-0.03708224,0.056156445,0.16687126,-0.017518302,-0.05036522,-0.03678093,-0.04336579,0.016756516,0.059732407,-0.07782024,0.03863703,0.01769072,0.11306007,-0.112263955,0.10215112,-0.027339341,0.07290856,-0.12905042,0.072646946,0.11151271,0.03350397,0.0180221,-0.0695842,0.0851705,0.049856815,-0.0033592712,0.12717067,0.11799475,0.054593764,0.10273007,0.04470964,0.08282673,0.09696464,0.04909102,-0.1360503,-0.121848,0.014378986,0.027755938,0.06444186,-0.212373,0.030751016,0.09631129,-0.043089774,0.1241125,-0.0027442104,-0.1529088,-0.005513611,0.10876591,0.017154194,0.23349552,0.041198894,0.028286936,0.104557596,-0.12087985,-0.01517699,-0.11390034,0.011921009,0.11411294,0.06841896,-0.028672421,0.05160108,-0.1495717,0.17560817,-0.06627928,0.09417247,0.018385531,-0.023601115,-0.12781116,0.02177791,-0.08032922,0.024107292,0.03395994,0.15226775,-0.046361886,-0.066392526,0.049985148,0.046175428,0.019598337,-0.046904337,0.078227945,-0.26465103,0.06103173,0.11586383,0.0035517055,-0.07605841,-0.10200787,0.029407175,-0.071408555,-0.08864417,0.12678011,-0.1235984,-0.08074669
5,0.1302251,-0.11287978,-0.171488,0.13059172,0.018357942,-0.028934024,-0.026079698,-0.038982064,0.16765234,-0.04813157,-0.07812681,0.13768195,-0.20058909,0.13757244,0.017270755,0.11245944,0.045163013,-0.14296171,0.0075674984,0.00021058091,0.066936225,0.12745318,0.012213363,-0.04982114,-0.0014745134,0.007151073,0.035213713,-0.06962219,-0.19503789,-0.005882097,-0.1998245,0.0045139682,0.0443766,0.0613828,-0.099231355,-0.093266524,-0.029243119,0.038488757,0.12889661,-0.013527987,-0.036428995,-0.03783496,-0.041884966,0.0059880884,0.053068172,-0.06289263,0.018388258,0.028457792,0.0830083,-0.09595052,0.10012385,-0.031910438,0.06751436,-0.10972322,0.05011967,0.10586786,0.032739446,0.026996475,-0.060839146,0.075411655,0.045103677,0.004948267,0.09330152,0.099047974,0.03831083,0.090389654,0.038397666,0.072000325,0.088498875,0.05365978,-0.12105199,-0.101756975,0.0052438183,0.022971693,0.0621871,-0.16521394,0.03738989,0.07804424,-0.03215235,0.10298348,-0.0011642469,-0.13453983,-0.011880792,0.086072244,0.017794276,0.19432753,0.028893245,0.020126313,0.09433765,-0.09534218,-0.0045468784,-0.08796455,0.0110384505,0.09237462,0.056609485,-0.018430274,0.03822248,-0.122874,0.1525914,-0.057680223,0.080806434,0.014590369,-0.015771464,-0.117653824,0.02679389,-0.059523135,0.015733961,0.023818344,0.12610869,-0.032876614,-0.05386316,0.04554022,0.03265079,0.02006385,-0.042322293,0.064780116,-0.22463062,0.058648236,0.08572134,0.002098016,-0.06520913,-0.08488961,0.02261275,-0.05297635,-0.069683224,0.12040417,-0.10259665,-0.05682507
5,0.16466025,-0.14148837,-0.18763742,0.15452349,0.012477671,-0.05702234,-0.04025844,-0.028444614,0.21462238,-0.034365736,-0.09663198,0.15703738,-0.234915,0.19219266,0.014319279,0.14544617,0.06749947,-0.17623375,0.006125011,-0.0011519678,0.076201074,0.16175263,0.041725866,-0.07223586,-0.014645106,-0.008133534,0.044556048,-0.085369475,-0.2296007,-0.0059525645,-0.26439124,-0.0033477582,0.04558343,0.09132802,-0.13645473,-0.109950386,-0.028623441,0.07221334,0.15224616,-0.022577697,-0.04982843,-0.03393647,-0.06700337,0.008796933,0.096455805,-0.067862995,0.05796125,0.036858972,0.11497691,-0.12958284,0.11323358,-0.02297406,0.079261936,-0.13695858,0.09383032,0.11656287,0.026146868,0.024540436,-0.06368722,0.08343539,0.05156604,0.0112349,0.12040539,0.11477468,0.041540444,0.13872987,0.049257435,0.0942062,0.08499817,0.047853988,-0.17125311,-0.12008362,0.011638996,0.01452506,0.079486586,-0.2195389,0.059504323,0.11124525,-0.045176346,0.12721714,0.006347345,-0.17851524,-0.011823911,0.11959413,0.020726833,0.2389104,0.028668487,0.00030646595,0.07446514,-0.11883609,-0.052106418,-0.1024803,0.017448304,0.14226745,0.06867429,-0.03674094,0.043247182,-0.1587212,0.18429582,-0.053067606,0.10793715,0.013984422,-0.019773487,-0.114621595,0.041227795,-0.06566786,0.028893188,0.02260506,0.16696803,-0.0323257,-0.07818808,0.065523714,0.058844287,0.02669109,-0.04575347,0.07566946,-0.28395313,0.048137117,0.12911738,-0.02408332,-0.071372256,-0.08874926,0.052304257,-0.052127045,-0.10307626,0.14166364,-0.15154684,-0.07338628
5,0.1560097,-0.113627866,-0.18010281,0.13311058,0.01804528,-0.037352834,-0.025688777,-0.040170062,0.18013954,-0.042861905,-0.08269522,0.14624184,-0.21682405,0.14764552,0.013832825,0.12612803,0.051082324,-0.15914205,0.011166209,0.010646814,0.06996832,0.13967137,0.028256778,-0.055732876,-0.007610758,0.00060637604,0.038523067,-0.07387144,-0.2028633,-0.02213235,-0.21748208,0.006066948,0.04619343,0.06544975,-0.10671972,-0.09259717,-0.030940179,0.039470054,0.15010136,-0.020506209,-0.043513462,-0.026021626,-0.046212614,0.013975941,0.057149984,-0.058591843,0.019798098,0.020473918,0.087515,-0.1002954,0.102507174,-0.025573228,0.06309827,-0.12002624,0.071149796,0.11062135,0.031423125,0.009913077,-0.0632537,0.08010565,0.046241514,-0.001544699,0.11089132,0.100002944,0.047597434,0.09694749,0.037947048,0.069234945,0.09346979,0.054426294,-0.13047192,-0.1036923,0.0116033675,0.021454707,0.06709409,-0.18322529,0.040123176,0.09090336,-0.03007643,0.12106487,0.0029659192,-0.14376774,-0.01161237,0.10109517,0.015362398,0.22256224,0.024731655,0.025750877,0.09259501,-0.097206526,-0.012235023,-0.1098745,0.0037803932,0.10403408,0.059939317,-0.027741268,0.046843287,-0.1363667,0.1563735,-0.05574172,0.08150674,0.024969053,-0.025127266,-0.11965743,0.020236434,-0.063162826,0.011417346,0.02257696,0.13415228,-0.030410938,-0.0706876,0.051426623,0.03772089,0.0204677,-0.049879104,0.061833903,-0.22992517,0.056251135,0.09893064,-0.006503141,-0.073407866,-0.08786815,0.01624678,-0.061064065,-0.081843115,0.12894158,-0.12418765,-0.072076164
5,0.16659349,-0.120697245,-0.19752921,0.14606822,0.032636456,-0.040186375,-0.029751219,-0.052187055,0.20222037,-0.05723562,-0.08957924,0.15464935,-0.23373766,0.16655374,0.007979274,0.13461702,0.045728065,-0.17125183,0.021509709,0.009103046,0.07399308,0.13966669,0.01567149,-0.06251111,0.0014747143,0.0088163875,0.048294254,-0.0779111,-0.22531742,-0.017490797,-0.24232857,-0.0018025496,0.044199456,0.058188293,-0.11452549,-0.09802143,-0.040543333,0.05026534,0.15410326,-0.023426088,-0.048049554,-0.038540706,-0.040686894,0.012434536,0.06764282,-0.07290098,0.021745862,0.02482078,0.100744896,-0.11472463,0.10870105,-0.036255237,0.06801457,-0.1345601,0.0682157,0.112017356,0.038886435,0.010983771,-0.07090692,0.09194047,0.048097335,0.0067205573,0.12597951,0.11851417,0.035501998,0.11507296,0.043906517,0.07523329,0.099466175,0.052770086,-0.1285389,-0.117515944,0.016820692,0.029061828,0.05954422,-0.21180248,0.033723306,0.09286868,-0.03855826,0.13352337,-0.0061856406,-0.15819049,-0.008745314,0.101627596,0.010989157,0.24126805,0.025666822,0.023125425,0.10104892,-0.108222224,-0.0127736535,-0.110239916,0.021358684,0.122042105,0.08011379,-0.018118117,0.048753213,-0.13553348,0.16605,-0.06861468,0.09500189,0.016784573,-0.021461718,-0.13336717,0.02047086,-0.07962145,0.013784464,0.024375806,0.15425484,-0.048897363,-0.076195285,0.050384656,0.04426581,0.026090002,-0.05948913,0.07603029,-0.25171164,0.059358623,0.11178777,-0.0028236806,-0.06591092,-0.089834616,0.017727286,-0.06965595,-0.09353295,0.1295745,-0.12377787,-0.07228724
