label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
0,-0.07770043,-0.004535233,-0.0017344385,-0.0005726937,0.00013444293,-2.0537249e-05,4.9140573e-07,5.9082555e-07,-4.3073376e-07,1.3332719e-07,-4.239771e-08,-8.2299515e-08,-6.793526e-08,-1.168016e-08,-4.668984e-08,-6.1739506e-08,-2.3930042e-09,-1.3341712e-09,8.395567e-09,-7.984856e-08,-6.1464235e-08,-3.2586087e-09,1.7757414e-10,1.6785169e-08,-4.3885953e-09,2.447303e-08,5.6978218e-09,4.4310458e-09,9.436106e-10,-3.1945405e-08,3.209451e-08,8.366178e-09,-3.795693e-08,8.1367425e-08,-3.0165164e-09,3.9398916e-08,4.5557442e-09,-5.870207e-09,2.5426631e-08,-3.3489078e-10,-3.0344516e-08,2.4947397e-08,-7.3052897e-09,1.2424289e-08,-1.41618495e-08,-1.8086039e-09,3.172113e-09,-1.6323156e-09,2.5493813e-08,5.6085687e-09,2.930386e-08,-1.0849647e-09,-1.406888e-08,8.226519e-09,-1.2754413e-08,-3.4495957e-09,7.709554e-10,3.5462875e-09,6.617691e-09,2.3019599e-08,6.281229e-09,-4.4202286e-09,1.899708e-09,3.5045093e-09
0,-0.07770036,-0.004535261,-0.001734447,-0.0005727039,0.00013445296,-2.0547699e-05,5.0300633e-07,5.7850355e-07,-4.229973e-07,1.3003728e-07,-5.421661e-08,-8.4383196e-08,-2.687505e-07,-5.5697882e-08,-2.2832143e-08,-8.974659e-08,5.6381587e-08,3.359819e-07,-1.13216174e-07,9.461681e-08,-9.347105e-09,7.889814e-08,4.847943e-09,3.0107472e-08,6.267117e-08,-1.6619326e-08,-2.6927863e-08,4.495974e-08,-1.790482e-08,-6.1775944e-09,3.1935276e-08,6.730206e-08,-5.1317116e-08,3.7453518e-08,-2.6470046e-08,2.1241043e-08,5.1908547e-08,-1.4416656e-08,6.937257e-09,2.582146e-08,1.8378108e-08,2.296087e-08,1.1429793e-07,-1.5389727e-08,-6.4549606e-09,-3.400703e-08,4.49281e-08,7.583806e-08,2.160208e-08,2.953106e-08,2.2197845e-08,1.6737287e-08,-3.6511604e-08,-4.3441023e-08,2.139436e-08,-5.009413e-08,-4.28844e-08,-1.4952192e-08,1.8375847e-08,-1.3700199e-08,-9.426011e-09,2.6686523e-08,-5.1681493e-08,3.5189172e-09
0,-0.07770054,-0.004535198,-0.0017344364,-0.0005726952,0.00013444686,-2.0542147e-05,4.965519e-07,5.8639586e-07,-4.2856868e-07,1.3439198e-07,-6.1063595e-08,-9.9357884e-08,-9.225206e-08,-5.832735e-10,-3.2387863e-08,-9.063852e-08,2.1957153e-08,-9.9011594e-08,-1.5812693e-08,-4.100079e-08,1.2860622e-08,-2.2052538e-08,-1.2707697e-08,-5.1669686e-09,-6.616562e-09,-1.4664127e-08,-1.188705e-08,1.3411543e-09,-9.937063e-09,1.330023e-08,-3.6664671e-09,-3.9741073e-09,5.5978617e-09,-2.4569452e-08,1.0134833e-09,-1.7284867e-08,-2.164753e-09,9.505547e-09,2.0194422e-09,9.181348e-09,1.100112e-08,-5.5416107e-09,4.647678e-09,-1.4579867e-08,1.02821e-08,1.2224325e-08,-5.431515e-09,-5.934725e-09,-6.257044e-09,-5.460918e-09,-3.3922882e-09,-6.779005e-09,1.3900743e-08,-3.2455758e-09,5.4820535e-09,8.7602245e-09,1.024412e-08,4.722116e-09,-4.7013122e-09,5.828334e-09,-1.2577126e-09,8.106628e-09,5.5987287e-10,8.4634005e-10
0,-0.07770054,-0.004535195,-0.0017344292,-0.0005726849,0.00013443686,-2.0532867e-05,4.8768663e-07,5.943209e-07,-4.3354993e-07,1.3714703e-07,-5.2071822e-08,-9.1486726e-08,-8.812498e-08,7.609102e-10,-2.2985045e-08,-7.439088e-08,-6.7948593e-09,-8.992998e-08,-5.5428595e-09,-6.0574408e-09,3.0885296e-08,2.3876048e-09,-2.225894e-08,-1.2347502e-08,-3.0085197e-09,-1.5354022e-08,1.7310379e-08,1.7663968e-08,2.1597204e-08,4.857966e-09,-1.1093929e-08,-1.5671754e-08,3.0367232e-08,-2.2685187e-08,1.0941983e-08,4.8354117e-08,1.2009302e-08,1.644137e-08,7.5988265e-09,6.689307e-10,-2.0229743e-08,-2.8185315e-08,-1.2400265e-08,2.963885e-08,-3.8349746e-08,-3.638636e-08,9.085693e-09,1.6914864e-08,-1.3575121e-08,1.9698874e-08,-3.8494942e-08,1.2059127e-08,-1.1319339e-08,-1.5677037e-08,2.0757938e-08,-8.377706e-09,-2.877961e-08,-1.307355e-08,3.5438388e-09,-2.1883183e-08,1.9302439e-08,5.731285e-09,-1.6039098e-09,-2.155457e-09
0,-0.17622733,0.027282389,0.0006966812,0.0005589434,-0.00010614875,1.4049439e-05,-3.9569e-07,-1.5513443e-06,7.64157e-07,-2.202655e-07,-2.2593902e-08,6.291982e-08,3.3174633e-08,9.529876e-09,1.7586979e-08,-4.9914988e-08,-6.300939e-09,-6.8261468e-09,1.8424856e-08,-1.3712482e-08,-1.5790507e-08,4.8103445e-08,1.8647865e-08,5.02721e-09,-4.1867017e-09,-3.252829e-08,-2.989077e-08,4.599748e-09,4.17474e-08,5.93659e-09,1.1030997e-08,1.20652865e-08,-2.5330538e-08,1.6356045e-08,-5.9469785e-09,-1.5698058e-08,-4.1618133e-08,-3.1839804e-08,3.1593135e-09,9.335154e-09,9.385205e-10,1.6906005e-08,-1.2582085e-08,1.7720039e-08,3.7687478e-08,1.7678355e-08,5.615502e-08,2.2829997e-08,-2.038293e-08,-5.702389e-09,2.2923624e-08,-5.188904e-09,-8.17175e-09,5.1240196e-08,-1.1183014e-08,1.9648898e-08,-5.097994e-08,-2.523386e-10,-2.7195782e-08,7.622271e-09,-1.1159379e-08,1.9478268e-08,1.04686855e-08,-3.2866197e-08
0,-0.31395608,0.07056329,0.003356101,0.0017645339,-0.00031586437,2.4614259e-05,1.0285014e-05,-8.303088e-06,2.633069e-06,-5.788112e-07,-1.2884415e-08,1.3585112e-07,-2.5846083e-08,-3.2604756e-08,-1.2283236e-08,-7.78802e-09,3.5153725e-08,-3.7675085e-09,-4.1686086e-08,-6.550156e-08,9.2816625e-09,-1.9641444e-08,-4.4400018e-08,9.5965156e-08,5.587873e-08,8.384476e-08,4.3386748e-09,1.5771048e-08,1.7423785e-08,4.121721e-08,7.2344033e-09,-5.5415477e-08,-1.9020044e-08,2.8179945e-08,-4.8592433e-08,1.2055394e-08,1.3429285e-08,-2.4060947e-08,-6.6150214e-08,5.9796236e-08,-1.7268325e-08,2.9680058e-08,-5.030596e-09,4.6129756e-08,-8.378246e-09,-2.2623707e-08,-1.8766377e-08,-2.1742354e-08,2.7791893e-08,7.5156885e-09,-5.161874e-08,7.555142e-09,2.3614438e-08,-4.9106728e-08,1.0725942e-08,-7.2282327e-09,3.3805605e-08,-2.527268e-08,-3.2538477e-08,3.160977e-08,-1.1908425e-09,-8.935945e-09,-4.8205504e-08,-2.321082e-09
0,-0.07770058,-0.00453519,-0.0017344378,-0.0005726942,0.0001344443,-2.0538739e-05,4.9239094e-07,5.9095663e-07,-4.318974e-07,1.364632e-07,-5.806245e-08,-9.996009e-08,-8.960773e-08,9.34251e-09,-4.114429e-08,-8.613231e-08,1.9902078e-08,-9.193868e-08,-9.586964e-09,-3.732234e-08,8.762612e-09,-1.6946053e-08,-1.064339e-08,-6.783757e-09,5.7607377e-09,-1.4384635e-08,-1.8024128e-08,-8.080644e-09,-1.257408e-09,2.3061698e-08,-5.680158e-09,-7.558566e-09,1.4962035e-08,-2.4021691e-08,-6.1075265e-09,-1.7810091e-08,-1.5699197e-10,-3.9172035e-09,-1.9955067e-08,1.9322604e-08,2.1657309e-08,-2.1090127e-09,-7.731721e-09,-1.8754534e-08,3.0881974e-08,1.469835e-09,-1.5046338e-08,-2.5412765e-08,-1.1694691e-08,-1.5426965e-08,9.648114e-09,1.1409026e-08,1.6755791e-08,1.4397619e-08,-8.984278e-09,1.9419563e-08,-1.7751365e-09,1.0335256e-08,-1.6357176e-09,5.499769e-10,-2.9063145e-08,-1.3018888e-08,8.471445e-09,1.4508162e-08
0,-0.3139562,0.07056331,0.0033560907,0.0017645254,-0.00031586003,2.4613577e-05,1.0281747e-05,-8.295458e-06,2.6244525e-06,-5.7162015e-07,2.1749207e-08,1.2663325e-07,-1.87319e-09,-3.570591e-08,-1.594202e-08,2.2155338e-09,5.630432e-08,-3.2901763e-08,-7.2961877e-09,-6.132875e-08,3.7226748e-08,-2.564377e-08,-5.641359e-08,7.306731e-08,6.895016e-08,5.7302206e-08,2.6993996e-09,1.0874851e-08,1.5300191e-08,5.518722e-08,-1.2670826e-08,-4.2646885e-08,1.7937023e-08,2.7573593e-08,-9.470413e-08,2.579712e-08,-2.8810025e-08,2.4999387e-08,-4.3677005e-08,9.92646e-08,-6.96496e-08,-1.1061315e-08,-9.268832e-09,4.9921944e-08,-2.7078611e-08,-2.064308e-08,-2.750906e-08,-1.4530566e-08,3.0558596e-08,-5.7363048e-09,-1.3794543e-08,-1.6281499e-08,5.5283293e-09,-5.179651e-08,-3.975989e-08,-2.6412758e-08,2.8260528e-08,2.9723608e-08,-1.650321e-08,-4.2299295e-08,-9.003966e-09,-5.5960445e-09,3.655681e-09,3.6304513e-09
0,-0.07770049,-0.0045351884,-0.0017344125,-0.0005726735,0.00013443152,-2.0531052e-05,4.8853036e-07,5.906768e-07,-4.3015004e-07,1.352729e-07,-5.683299e-08,-1.01387286e-07,-2.8966687e-07,-4.2950383e-08,-1.8391544e-08,-1.1598561e-07,5.20698e-08,2.9141424e-07,-1.0397967e-07,1.1094334e-07,2.0654255e-08,3.3934644e-08,2.6650557e-08,2.3746257e-08,8.642892e-08,-3.185485e-08,-4.4675556e-08,5.3004126e-08,-2.4733888e-08,-5.7458376e-09,3.9836255e-08,5.1727298e-08,-3.235548e-08,-5.9476277e-09,-7.276585e-08,-2.7324026e-08,6.552199e-08,-4.0319282e-08,-4.4927887e-08,6.1391574e-08,5.8971974e-08,-4.2092125e-09,8.2951836e-08,-2.2220854e-09,4.2806974e-08,-3.3497948e-08,4.144827e-08,2.355714e-08,-4.1102265e-08,-2.5247283e-08,1.746425e-08,5.74567e-08,-1.42259085e-08,1.675387e-08,-2.9621159e-09,-2.1770001e-08,-7.531321e-09,-1.8688588e-08,3.7741547e-08,-3.3458683e-08,-6.611759e-08,-1.4990675e-08,-1.2538117e-08,2.7585774e-08
0,0.28535548,0.11813188,-0.018713072,0.0013182635,-0.00037540056,-0.00018183033,-1.4514645e-05,3.833139e-06,2.5982697e-06,6.053641e-07,1.0600434e-07,-4.8082036e-08,1.669438e-08,7.677143e-08,1.6307368e-08,-1.3707756e-08,9.1698375e-08,5.4523397e-08,8.128108e-08,-7.993948e-08,1.07948416e-07,2.0300561e-07,-1.6548965e-07,-1.4845862e-07,2.2940456e-07,4.3347953e-08,2.937785e-09,-1.1789266e-07,7.021923e-08,-6.178414e-08,8.6150045e-08,8.2239225e-08,-2.358457e-08,-8.763302e-08,3.3915142e-09,1.3240108e-08,4.4470934e-09,-9.150087e-08,-3.606023e-08,3.905302e-08,4.795785e-09,-8.5396e-09,-1.8889958e-08,-1.7940158e-09,7.302754e-09,2.2019444e-08,9.851686e-09,-4.76029e-08,-3.460595e-08,-2.1260684e-08,3.208613e-08,2.9270197e-08,-8.8516344e-08,3.965028e-08,-7.0074777e-09,2.040088e-09,3.5902044e-08,-2.931012e-09,3.5968828e-08,6.211379e-08,-4.7593023e-08,4.0036e-08,-3.688658e-08,1.6226954e-08
