label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127
1,0.01523381,-0.028323779,0.004228503,0.001926132,-0.00021690983,9.86975e-05,7.4137633e-06,1.4007751e-05,-1.0025895e-05,-4.458469e-06,-1.3283632e-06,-4.3292096e-07,1.08873216e-07,-8.125528e-08,2.0266855e-08,-1.108384e-07,-8.47262e-09,6.96442e-08,2.1474778e-08,2.9261538e-09,5.7456834e-08,1.09194936e-07,1.8660355e-08,5.986276e-08,-6.7060554e-08,-3.1389032e-08,-6.191016e-08,-6.0025364e-08,3.9903053e-08,3.3930863e-08,-1.1094008e-07,-2.6572831e-08,-4.6555733e-08,-7.904116e-09,-7.7324884e-08,-3.460949e-08,-1.1503634e-07,-2.4846068e-08,6.894055e-08,-2.1782403e-08,2.8564559e-08,-3.199108e-08,5.213802e-08,5.9135875e-08,1.7509644e-09,2.6022379e-08,-7.661889e-11,1.1990661e-08,-8.808199e-08,-1.1346299e-08,-3.138998e-08,5.627188e-08,1.1049652e-08,2.3587898e-08,1.5027375e-08,-3.962728e-08,3.1364003e-08,-5.1090417e-08,-8.19893e-09,3.6816445e-08,-2.3887731e-08,-2.749793e-08,-1.5812589e-08,-2.8621802e-08,3.1804493e-08,6.730651e-08,6.050582e-09,-4.9964953e-08,-1.0353482e-07,-4.6442572e-08,9.669593e-08,-3.8769095e-08,-3.298028e-08,-4.8286296e-08,-1.9582037e-08,1.7393962e-09,-1.8918241e-08,2.6926994e-08,-3.1606696e-08,-4.778506e-09,2.3625784e-08,1.7877514e-09,-2.3508245e-10,2.1180567e-08,-3.9443535e-08,3.917992e-08,1.8110252e-09,-1.200169e-08,-1.966198e-10,8.862681e-09,-2.8332305e-08,-4.6718838e-09,1.330433e-08,2.1456554e-08,8.589357e-10,2.9279402e-08,1.1826305e-08,-2.383679e-08,6.6599206e-09,7.504687e-09,5.0052105e-09,9.024379e-09,9.167219e-09,3.0427059e-09,-1.1627627e-08,-2.2763999e-10,-2.8903948e-08,-1.8332344e-08,4.1909338e-08,-3.15295e-08,-5.9813905e-09,2.140345e-09,7.4500983e-09,1.7577788e-08,3.5737975e-09,-7.594729e-09,-9.896129e-09,2.7951386e-09,8.918705e-09,1.594553e-08,2.4153188e-08,5.345716e-09,5.8037366e-09,-2.2650312e-08,1.070604e-08,-8.030355e-09,-1.3310551e-08,1.0320078e-08
0,0.15327974,0.003291366,0.003891955,0.001401771,-0.000109665714,0.00012341162,9.799585e-05,8.054674e-05,-1.4994818e-05,-5.7257535e-06,9.694163e-07,-1.9020646e-07,-1.2804257e-07,-4.1587224e-08,1.3231163e-07,2.8540295e-08,-1.21568515e-08,-6.1869505e-09,6.912915e-08,-3.655274e-08,-6.7306765e-08,5.9508135e-08,-7.907798e-08,-1.28371065e-08,-5.83526e-08,1.053685e-08,6.355559e-08,-1.8806563e-08,-2.4130179e-08,4.7321578e-08,4.1948955e-08,-3.8457028e-08,2.2133344e-08,4.6283628e-08,7.8014814e-08,-4.3456858e-08,4.357168e-08,-7.149007e-08,-8.3640806e-08,5.4130286e-08,-1.6653914e-08,2.7590655e-08,-3.5920564e-08,1.1250432e-08,2.9381798e-08,-3.80595e-09,-8.226858e-09,9.364792e-09,-1.548019e-08,-1.9960495e-08,1.8079096e-08,-2.0426363e-09,-1.7012805e-08,-6.278277e-08,3.4152503e-08,4.1935937e-08,-2.5342493e-08,2.9603349e-09,-3.0653183e-08,-1.8819012e-08,1.7823874e-08,-3.34112e-09,-2.3184631e-08,-8.528957e-09,6.7011348e-09,-2.5352385e-08,5.093049e-09,-4.4719506e-08,-5.7732052e-08,3.1260868e-08,-2.8721663e-08,2.0650582e-08,-3.8748023e-09,-2.649096e-08,3.9097734e-09,5.6880218e-08,-4.407282e-09,4.2993292e-08,-3.869745e-09,2.4648964e-08,-3.6861323e-08,6.0857763e-09,-4.9038473e-08,1.7403758e-08,1.4377017e-08,-2.9058086e-08,-3.84337e-08,2.1138428e-08,-1.1264637e-08,4.1059394e-08,-2.7102656e-09,-9.122597e-09,1.4865118e-08,-9.643942e-10,-2.7424705e-09,-6.9466517e-09,-4.295232e-08,1.0995115e-08,2.2081371e-08,8.259564e-09,-1.5527498e-08,-2.0514884e-08,-2.7465964e-08,1.4365879e-08,1.5098568e-08,-1.735746e-08,2.0225249e-08,-1.2957824e-08,1.6996081e-08,6.439941e-09,1.4107109e-08,-2.6916283e-09,-3.8181216e-08,6.4503856e-09,1.9747578e-08,1.2362188e-08,6.119252e-09,3.6694697e-08,1.4150491e-08,4.7010276e-09,6.708355e-09,4.69663e-09,-2.9411415e-10,1.1488265e-08,2.5324104e-08,9.0690415e-09,-6.645653e-09,-6.8526482e-09
0,0.15328006,0.003291436,0.0038919495,0.0014017719,-0.00010965803,0.00012343112,9.796043e-05,8.05064e-05,-1.50338155e-05,-5.7610487e-06,9.4666325e-07,-2.0557466e-07,-1.3987066e-07,-7.6454185e-08,7.2004845e-08,4.882394e-08,-4.3943933e-09,-7.980715e-09,1.0385145e-07,-4.301433e-08,-8.8644086e-08,-1.662225e-08,-7.770673e-08,-4.3894616e-08,-3.7422645e-08,1.2242143e-08,5.4707446e-08,-4.320727e-08,-2.4077595e-08,2.9545687e-08,5.03669e-09,-9.405759e-08,3.2787838e-08,3.7990066e-08,7.325148e-08,-1.2193044e-08,4.254069e-08,-5.5835294e-08,-3.5123893e-08,3.4401207e-08,1.4844448e-08,5.3232505e-08,-3.3624207e-08,3.037653e-09,2.3699567e-08,-2.401693e-08,-5.0003774e-09,-3.655704e-08,2.0472807e-08,-5.3915596e-08,1.0372415e-08,-3.77664e-09,3.6020749e-09,1.0556462e-09,1.4496232e-10,4.6541878e-08,-1.9276186e-08,2.0488153e-08,2.5308179e-08,-1.5783595e-08,-9.09836e-09,-1.6753761e-08,-1.2923456e-08,5.2914974e-08,-1.798702e-08,-6.363219e-08,1.3424827e-08,9.76166e-09,-2.0088118e-08,-1.6662083e-08,-4.0912035e-08,6.7457044e-08,-1.8850004e-08,3.367899e-08,-5.0295053e-08,2.5166404e-08,-1.6269247e-08,8.909055e-09,-2.5542448e-08,-3.643267e-08,-2.5801503e-08,8.535831e-09,-4.3395918e-08,7.478859e-09,3.1669266e-08,8.6464766e-08,1.2925568e-08,-3.1622267e-08,-3.5580246e-08,-3.0055194e-08,2.6531014e-08,3.5277314e-08,2.7032746e-08,1.4531026e-09,1.1190914e-08,6.9399793e-09,-1.8862147e-08,3.9328283e-09,-6.420551e-09,-9.702375e-09,-2.5862408e-09,1.35191e-09,6.3916077e-09,-1.9114324e-08,-1.1583351e-08,5.6457052e-09,-3.2361964e-08,-6.1923533e-09,1.6111503e-08,-9.142036e-09,-2.889984e-08,3.197632e-08,4.77582e-08,2.2339304e-08,5.2241225e-09,1.079104e-08,-1.9667056e-08,-4.854915e-09,1.2093417e-08,-4.91044e-09,-5.7530776e-09,1.4744235e-08,2.2647004e-09,-2.8047273e-09,-2.7039573e-09,-6.821718e-09,1.5464663e-09,1.8823538e-08
1,-0.06616277,-0.0071049724,-0.0032661576,0.0005585918,0.0012558943,-0.00021364473,4.5089626e-05,2.7327027e-05,3.653876e-05,-4.198623e-06,-3.1992425e-07,1.914003e-08,-4.9205166e-08,-2.2084814e-08,1.1627222e-07,-5.1469442e-08,-5.3720754e-08,-2.2325768e-08,-4.565808e-08,-6.6614525e-08,2.7324553e-08,1.6768814e-08,7.0000894e-08,-2.0324569e-08,3.6911267e-08,2.2795808e-08,5.5047913e-08,4.4262624e-08,1.4031267e-08,-3.413114e-08,2.963536e-08,-4.5794113e-08,-4.3892525e-09,-3.0377524e-08,7.3053394e-09,-4.950793e-08,-1.9360982e-08,-4.2062464e-08,8.2469676e-08,-7.884598e-08,1.9922622e-08,-2.3720755e-08,-6.428476e-08,-1.9331875e-08,-3.3715484e-08,3.2996244e-08,2.5758656e-08,-7.2279974e-08,-1.5662076e-08,-2.0286008e-08,-7.035916e-08,2.2081581e-08,7.797895e-08,-4.5834916e-08,3.111454e-08,3.9956358e-08,6.318149e-08,2.718776e-08,1.6480751e-08,-4.9328346e-08,-1.6460984e-08,1.8505933e-08,-1.05816646e-07,1.9737264e-08,-3.0728138e-09,1.9103684e-08,-1.2414219e-08,-1.5865265e-08,1.5199726e-08,-2.097062e-08,-3.4365822e-08,-7.941917e-09,7.917762e-09,-7.38156e-08,-1.3161689e-08,-1.18547e-08,-1.697864e-08,-2.4015694e-08,-1.3438164e-09,-4.5992802e-08,-9.726993e-09,2.7278118e-08,1.9439431e-08,-1.13296466e-08,-4.1972648e-09,2.3941147e-09,5.3042877e-09,3.7804337e-09,2.4217808e-08,-2.2093262e-08,3.596626e-08,-1.8643979e-08,-5.5888382e-08,-1.5539122e-08,6.8960513e-09,-1.2417661e-08,-9.786761e-09,-1.1483683e-08,-4.959063e-09,8.706926e-09,1.3244708e-09,-2.3027857e-09,1.0964729e-08,-1.1668057e-08,-3.352765e-08,2.4241352e-08,1.0926367e-08,1.6766942e-09,-5.735065e-09,-9.219679e-09,2.1257001e-08,2.9318047e-08,5.165709e-08,1.2599931e-08,-1.0200822e-09,2.1506288e-09,1.70041e-09,-5.0038262e-09,6.2370282e-09,2.2546377e-08,-1.0739657e-08,4.8483484e-09,-8.473967e-09,1.7103865e-08,7.2665896e-09,-2.2749345e-09,2.3522409e-08,5.3017586e-09
0,0.28407985,0.029735796,-0.001548136,-0.0029730538,-0.0012112509,-0.00034650983,3.6923167e-05,6.443563e-05,7.98469e-06,-1.1279224e-05,-3.834235e-06,-6.771789e-07,1.2405996e-08,3.1783433e-08,-2.7795151e-08,-9.106796e-08,2.579744e-08,-7.238474e-08,4.7941494e-08,1.1864095e-09,1.1856792e-08,3.7211702e-08,2.5422352e-08,-4.427537e-08,6.5150694e-08,4.585768e-08,5.4715983e-08,-2.9222768e-08,-4.5079698e-08,-2.6012776e-08,-2.6754037e-08,3.5498566e-08,-2.3400327e-08,5.8667517e-08,-4.8522e-08,-3.6883858e-08,-1.1552428e-08,-2.368204e-09,2.5069625e-08,-2.0812713e-08,3.2155544e-08,-5.297271e-09,-2.0871761e-08,1.2036541e-08,1.8806313e-08,-1.5944696e-08,-2.4088548e-08,3.9308393e-08,1.3597369e-08,-1.0401801e-08,-1.1113572e-08,-1.3748987e-08,1.5605549e-08,-2.1776811e-08,5.5082823e-09,2.0488766e-08,-2.0198684e-08,3.6469534e-09,8.401565e-09,-2.9742676e-08,-2.5626452e-08,-4.923173e-08,2.5573879e-08,-5.585154e-09,5.474068e-08,1.0704841e-08,-2.6931696e-08,3.309694e-08,4.160239e-09,-1.8687908e-08,-2.8367838e-08,-1.2334595e-08,1.0098006e-09,-2.2077868e-08,-3.2186893e-08,-9.783476e-09,3.016366e-08,6.223126e-09,2.2270385e-08,1.4331605e-09,2.8002649e-08,-1.8046743e-08,-1.20974715e-08,-1.6619682e-08,9.626344e-09,1.2781974e-09,6.2061005e-09,-2.8304343e-09,-1.41335095e-08,-1.215745e-08,-1.01638244e-08,-2.4261869e-08,4.8124904e-09,2.2526166e-08,-8.969792e-09,5.247725e-09,-7.609997e-09,5.359091e-09,1.0770098e-08,1.6550048e-08,2.071477e-08,3.407074e-09,-3.258593e-08,2.5742398e-08,5.252676e-09,6.2922343e-09,1.4214364e-08,-1.8051372e-08,8.263793e-09,-9.123031e-09,1.0212511e-08,-2.7423114e-08,8.6298e-09,-2.6745213e-09,-7.666305e-09,4.812207e-09,-2.1126895e-10,2.25345e-08,-1.0971188e-08,-3.7339865e-09,-1.4892336e-08,-3.5781522e-10,9.631923e-09,-5.676306e-09,1.0653604e-08,1.1338296e-08,1.6838786e-08,-9.619377e-11
1,-0.2788199,0.040991932,-0.0041364073,-0.0027532042,0.00037270802,-0.00037995825,-8.486537e-05,4.1278974e-05,-1.47017945e-05,6.3752896e-06,3.3477716e-07,-1.7834458e-07,2.5225756e-07,2.1698078e-08,-1.04479255e-07,-1.1834212e-07,7.395765e-11,-2.0906704e-08,8.503034e-08,-1.3128671e-09,-3.1313746e-08,-8.253108e-08,-1.054476e-08,-9.612764e-08,-4.0126082e-08,-3.2576743e-08,-1.229523e-07,1.5969272e-08,1.2989494e-07,1.7906094e-08,-1.0919885e-07,5.2506337e-08,3.2161935e-08,8.577736e-08,-2.9056382e-08,-3.436173e-09,8.603296e-09,-3.748744e-08,3.9443817e-09,2.600893e-08,3.0070102e-09,-1.0019601e-07,2.317764e-08,5.6472583e-08,6.8805015e-08,2.7124807e-08,-3.6394724e-08,-7.509576e-08,-2.1740146e-08,-5.9361096e-08,5.170238e-08,-4.0899742e-08,-6.833088e-09,7.7583614e-08,4.6793044e-08,-1.890256e-08,-3.8985675e-08,3.1768174e-08,-1.62554e-08,3.69055e-08,-2.2487818e-08,2.1237498e-09,1.0732022e-08,-2.935581e-08,-8.408154e-09,-7.187606e-08,5.5020806e-08,1.2679808e-09,1.6445306e-08,-1.5034264e-08,1.4302964e-08,-2.7644502e-08,-3.007227e-08,4.4242256e-08,2.0868196e-08,-1.15067955e-08,6.6237287e-09,2.3456716e-08,3.7009862e-09,-2.0666992e-08,-3.8299195e-08,-1.7689274e-08,4.9152497e-08,8.599157e-08,-3.0556737e-09,-1.1362512e-08,-1.0008933e-08,-2.4688736e-08,-2.460184e-08,-2.7813268e-08,-1.24183e-08,-6.5901626e-09,4.1755683e-08,2.4174938e-08,-2.6501286e-09,3.2247815e-08,-4.186151e-08,5.587074e-09,-2.3107505e-08,-3.96155e-08,-5.053236e-11,-4.4563713e-09,-3.180469e-08,-6.3160774e-09,-1.1528938e-08,1.2123784e-08,-5.8334737e-09,-4.2203596e-09,-9.716121e-09,-2.5582459e-08,1.0043606e-08,6.9887984e-09,2.1726889e-08,-1.48112225e-08,-4.8247437e-09,-5.9500787e-09,-1.0615319e-09,1.794798e-08,-1.6795543e-08,1.6064337e-08,1.3601685e-08,1.3960905e-08,-9.954e-09,-1.6470812e-08,7.3182598e-09,8.22583e-09,-2.8859342e-09,1.8163622e-08
0,0.029946834,-0.015199402,0.0077621196,0.0035033901,0.00017623093,8.67868e-05,-5.3380067e-05,-8.487967e-05,-1.99668e-05,2.6032608e-06,3.0444875e-07,-1.7362422e-07,3.4991423e-08,-6.543983e-08,-9.580987e-08,-2.3478428e-08,-7.8222655e-08,-1.1229564e-07,-1.2907412e-08,-1.2282337e-07,4.4913303e-08,1.8679415e-08,5.4501108e-08,-1.145717e-07,-1.0756799e-08,-2.8175982e-08,5.2467023e-08,-1.34338825e-08,-3.3593764e-08,-3.728975e-08,-9.3724616e-08,-3.0285055e-10,8.827943e-08,-1.0830066e-07,3.0656146e-08,6.1436247e-09,-1.0100449e-08,8.6060446e-08,8.4787075e-08,4.4042373e-08,6.725547e-08,-6.1318346e-08,1.7823304e-09,-3.133326e-08,5.9091313e-08,-8.225549e-10,-9.616037e-09,6.8382473e-09,-4.3702567e-08,3.2322102e-08,-6.597593e-08,-2.4524208e-08,5.278746e-08,-2.3742782e-08,-8.354424e-09,-5.8434427e-08,2.6892677e-08,6.157068e-08,1.2081604e-08,-3.1768387e-08,5.414843e-09,3.8916635e-08,8.562295e-09,-5.4548465e-08,-2.3594918e-08,3.0292927e-08,-4.3785238e-09,-3.7685112e-08,3.0743436e-08,-6.109861e-08,4.0751658e-08,-3.8550003e-09,1.9838286e-08,4.426881e-08,4.9712042e-08,-2.7644518e-08,5.7203717e-08,-2.2457675e-08,-5.4108632e-08,4.483176e-08,7.36583e-09,1.4624422e-09,-4.0795342e-08,4.8583257e-08,4.340375e-09,-1.4169046e-10,2.1232786e-08,3.6419742e-08,-1.7751427e-08,3.398288e-08,-1.4250872e-08,2.8431245e-08,-3.2525396e-08,2.7497475e-08,-4.4570054e-08,-1.1838501e-08,-2.0647855e-08,6.302219e-09,-6.840602e-08,6.7636106e-09,1.6523813e-08,1.8952386e-08,2.8470883e-08,-9.788494e-10,-9.376702e-09,-1.99023e-08,2.0229425e-08,-3.4298903e-08,-3.925597e-08,9.518227e-09,-8.631292e-09,1.3515547e-08,-2.4186466e-09,1.2950234e-09,-2.280574e-09,-1.31275435e-08,1.5580099e-08,1.645451e-08,2.6892548e-09,-1.2554962e-08,-1.5729952e-08,4.862757e-09,-4.0985806e-09,4.0268393e-09,1.0345233e-08,7.673148e-10,-2.0933961e-09,-5.287102e-09
1,-0.0923023,0.0078095305,-0.005972623,-0.0023451652,0.00044814075,-0.00016469727,-0.00018620057,-3.4332934e-05,-1.5200899e-05,-2.7181495e-06,3.1885672e-06,-6.014442e-07,-1.8323323e-07,-2.089635e-07,4.534799e-08,-2.6047728e-08,4.858568e-08,-5.3929394e-08,-4.0386702e-08,7.9270656e-08,-7.749738e-08,-1.3992337e-07,1.4499392e-08,-1.9436895e-08,6.415017e-08,-9.148392e-08,-4.2728626e-08,4.8417814e-08,-3.0686884e-08,-3.3850277e-08,1.4658585e-07,3.2026957e-08,-1.0831471e-07,-3.788842e-09,3.6752528e-09,-3.1745557e-08,-1.6279389e-08,5.6529103e-08,-7.241217e-08,-1.26037465e-08,-5.6112633e-08,-2.3015055e-08,5.475681e-08,-1.4994836e-08,7.473208e-08,1.01993765e-08,2.34883e-09,4.1270308e-08,-5.154086e-08,6.047614e-08,-2.2998142e-08,9.2163916e-08,5.442996e-08,-3.4435047e-08,-1.9737577e-08,-1.9014985e-08,5.8776717e-08,2.7159409e-08,5.8795493e-08,2.2245297e-08,1.2268476e-08,6.6756245e-09,-1.4358165e-08,2.475281e-08,-3.245468e-08,-1.1270768e-08,5.460201e-08,1.6381263e-08,1.7038863e-08,-4.583988e-08,-2.3317545e-08,1.2207094e-08,9.1274375e-09,-3.5421415e-08,-1.6900705e-08,1.562297e-08,2.7422008e-08,-1.7636399e-08,1.9643764e-08,1.9360344e-08,-3.774276e-08,-1.3030211e-08,-2.5622954e-08,-5.3178276e-08,2.4496275e-08,1.1803121e-09,-4.3240322e-09,-3.3559676e-08,3.7540455e-09,-2.8171169e-08,-1.3362522e-08,1.5887695e-08,2.2780714e-08,3.5101603e-08,-7.552707e-09,-7.2458417e-09,2.0638003e-08,2.4902095e-08,-3.3002298e-08,2.3151964e-08,3.7733148e-08,1.5480813e-08,1.1760247e-08,-3.64392e-08,-2.834792e-08,-2.0078181e-08,-7.955248e-09,-1.1209777e-08,9.20074e-09,-1.1813313e-08,1.1734605e-08,1.22437305e-08,-1.2167174e-08,1.606584e-09,-8.3521945e-09,-1.6935628e-08,-9.631984e-09,2.8541802e-09,1.2873023e-08,-9.412362e-10,-1.0750929e-09,1.1419988e-08,-9.509351e-09,-4.504778e-10,1.5449631e-08,9.722086e-09,-8.662225e-09,2.6294268e-08
0,0.268983,-0.0040800506,-0.013482816,-0.0006780166,0.0012110606,0.00038334355,-0.00012860566,1.3221453e-05,2.832657e-05,9.213444e-06,-3.7351649e-07,-1.2944818e-07,-9.275567e-08,2.5020557e-09,-3.555727e-08,4.6074778e-08,4.5143725e-08,7.611295e-08,-1.3338754e-08,-2.5018034e-08,1.185133e-08,8.858529e-08,-2.8424038e-08,-2.2483102e-08,-1.4364651e-09,-3.93509e-09,-2.5459249e-08,3.1935613e-08,4.3973014e-08,-1.4772669e-08,-3.5799517e-09,4.064093e-08,4.747013e-08,-2.7028115e-08,5.4169274e-08,5.3136723e-08,3.4101667e-08,4.4061803e-08,1.8931862e-08,-3.032691e-08,2.237368e-09,5.7997522e-09,-2.4754558e-08,-2.9956304e-09,2.3495847e-08,1.0056642e-09,-3.913443e-08,5.9532283e-08,-3.345304e-08,-2.6354994e-09,3.148527e-08,-3.3189618e-08,1.8456747e-08,-3.5225913e-08,2.0444263e-08,-5.8427787e-09,-7.611359e-09,-4.2078078e-08,4.5384724e-08,-4.1186002e-08,1.8115367e-08,-1.16925865e-08,-5.3102497e-08,-2.8859247e-08,6.881622e-09,1.5341396e-08,-2.2247143e-08,-1.7109345e-08,-1.747052e-08,-7.855428e-08,1.4254965e-08,9.3106856e-09,4.040812e-08,8.232694e-09,-2.395475e-09,-3.5104854e-08,-2.7840821e-08,-1.4959761e-08,7.539853e-09,4.9220564e-08,-2.1964437e-08,-1.2726697e-08,-2.7663413e-08,-2.862721e-08,-1.8659462e-08,-1.3775662e-08,8.444386e-09,-1.9210905e-08,3.699413e-08,-2.9663587e-08,-3.0420033e-08,-4.189282e-08,2.807597e-08,-1.8206002e-08,8.621478e-09,1.9544911e-08,-1.8668505e-08,2.095376e-08,9.8838555e-09,2.3227926e-08,-2.2440847e-08,1.8222256e-08,-6.9435185e-10,-1.7021287e-08,4.568175e-09,-1.3155222e-08,1.1172808e-08,1.0243141e-08,-4.514791e-09,3.954715e-09,-1.3226873e-08,-4.5693356e-09,-1.4001975e-08,-1.4799585e-08,-3.514836e-09,9.276787e-10,8.951572e-09,3.1929637e-09,1.2050377e-08,1.2106405e-08,-8.402476e-09,1.43146535e-08,7.4970063e-10,-9.286226e-09,2.02474e-09,-4.5945936e-09,6.3586323e-09,-4.8734448e-09
1,0.037435085,-0.029174633,-0.0036600945,-0.0016295043,-9.474136e-05,6.655812e-05,-5.1180023e-06,-6.2941705e-05,-9.130626e-06,6.5457543e-06,6.283781e-08,-4.6458496e-07,1.4380802e-07,2.8472246e-07,2.4230079e-07,-5.5778354e-08,2.286186e-08,-5.2428863e-08,5.3925813e-08,2.5592728e-08,-8.801893e-09,-2.1280844e-08,-3.013972e-08,-3.0596013e-08,9.143568e-09,1.8519647e-09,-3.6079822e-08,9.287151e-09,-1.1108879e-08,-2.146282e-08,1.4257905e-08,-5.3877027e-08,3.5407266e-09,-6.3774284e-11,-1.7507235e-08,-4.993128e-09,-2.2401666e-08,-7.1705974e-09,5.20293e-09,5.443866e-09,-2.2881977e-08,1.0873028e-08,6.1392003e-09,-4.8695277e-08,1.206586e-08,9.694771e-09,1.0408856e-08,2.5290143e-09,1.0489143e-08,-3.1995604e-08,1.6375569e-09,-6.387818e-09,3.4998997e-08,5.983968e-09,-4.3116888e-08,-4.4265512e-08,-1.7804917e-08,-4.5816986e-08,-1.970964e-08,-9.414815e-09,2.0453383e-09,-2.717309e-08,-5.507144e-08,-2.237084e-08,4.864423e-09,-2.8092748e-08,-1.44850185e-08,-2.424519e-08,3.3657482e-08,-2.8905175e-08,-8.272818e-10,-2.8288571e-09,2.2937736e-09,9.037494e-09,1.8676674e-08,7.78688e-09,1.1477862e-08,-5.208435e-08,-1.7921868e-08,9.030232e-09,-2.8673734e-09,1.6021474e-08,-9.100609e-09,3.7372974e-08,2.4399483e-08,-9.87277e-09,2.1323626e-08,1.9644048e-08,3.65723e-09,2.5398135e-08,-1.2060476e-08,-1.3853641e-08,-9.558649e-11,1.6643998e-08,2.9113728e-08,-1.9492427e-08,1.4198404e-08,-1.28703e-08,-2.157571e-09,-2.6509767e-10,1.4700635e-08,-3.9346364e-08,-3.2019017e-08,-3.404887e-08,2.7869044e-08,3.6064478e-08,2.409944e-08,4.2691145e-08,-2.6017922e-08,-3.6699635e-08,7.679647e-09,5.9832467e-10,2.2220474e-08,-3.756996e-09,-2.4094758e-08,1.2717352e-08,5.4338836e-09,7.243167e-09,-1.2806602e-08,-1.7818005e-08,2.6937315e-08,-7.469149e-09,-3.3031549e-09,2.229571e-08,5.747874e-10,-1.9764931e-08,-2.1442796e-08,3.7043726e-09
