label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
1,0.01523381,-0.028323779,0.004228503,0.001926132,-0.00021690983,9.86975e-05,7.4137633e-06,1.4007751e-05,-1.0025895e-05,-4.458469e-06,-1.3283632e-06,-4.3292096e-07,1.08873216e-07,-8.125528e-08,2.0266855e-08,-1.108384e-07,-8.47262e-09,6.96442e-08,2.1474778e-08,2.9261538e-09,5.7456834e-08,1.09194936e-07,1.8660355e-08,5.986276e-08,-6.7060554e-08,-3.1389032e-08,-6.191016e-08,-6.0025364e-08,3.9903053e-08,3.3930863e-08,-1.1094008e-07,-2.6572831e-08,-4.6555733e-08,-7.904116e-09,-7.7324884e-08,-3.460949e-08,-1.1503634e-07,-2.4846068e-08,6.894055e-08,-2.1782403e-08,2.8564559e-08,-3.199108e-08,5.213802e-08,5.9135875e-08,1.7509644e-09,2.6022379e-08,-7.661889e-11,1.1990661e-08,-8.808199e-08,-1.1346299e-08,-3.138998e-08,5.627188e-08,1.1049652e-08,2.3587898e-08,1.5027375e-08,-3.962728e-08,3.1364003e-08,-5.1090417e-08,-8.19893e-09,3.6816445e-08,-2.3887731e-08,-2.749793e-08,-1.5812589e-08,-2.8621802e-08
0,0.15327974,0.003291366,0.003891955,0.001401771,-0.000109665714,0.00012341162,9.799585e-05,8.054674e-05,-1.4994818e-05,-5.7257535e-06,9.694163e-07,-1.9020646e-07,-1.2804257e-07,-4.1587224e-08,1.3231163e-07,2.8540295e-08,-1.21568515e-08,-6.1869505e-09,6.912915e-08,-3.655274e-08,-6.7306765e-08,5.9508135e-08,-7.907798e-08,-1.28371065e-08,-5.83526e-08,1.053685e-08,6.355559e-08,-1.8806563e-08,-2.4130179e-08,4.7321578e-08,4.1948955e-08,-3.8457028e-08,2.2133344e-08,4.6283628e-08,7.8014814e-08,-4.3456858e-08,4.357168e-08,-7.149007e-08,-8.3640806e-08,5.4130286e-08,-1.6653914e-08,2.7590655e-08,-3.5920564e-08,1.1250432e-08,2.9381798e-08,-3.80595e-09,-8.226858e-09,9.364792e-09,-1.548019e-08,-1.9960495e-08,1.8079096e-08,-2.0426363e-09,-1.7012805e-08,-6.278277e-08,3.4152503e-08,4.1935937e-08,-2.5342493e-08,2.9603349e-09,-3.0653183e-08,-1.8819012e-08,1.7823874e-08,-3.34112e-09,-2.3184631e-08,-8.528957e-09
0,0.15328006,0.003291436,0.0038919495,0.0014017719,-0.00010965803,0.00012343112,9.796043e-05,8.05064e-05,-1.50338155e-05,-5.7610487e-06,9.4666325e-07,-2.0557466e-07,-1.3987066e-07,-7.6454185e-08,7.2004845e-08,4.882394e-08,-4.3943933e-09,-7.980715e-09,1.0385145e-07,-4.301433e-08,-8.8644086e-08,-1.662225e-08,-7.770673e-08,-4.3894616e-08,-3.7422645e-08,1.2242143e-08,5.4707446e-08,-4.320727e-08,-2.4077595e-08,2.9545687e-08,5.03669e-09,-9.405759e-08,3.2787838e-08,3.7990066e-08,7.325148e-08,-1.2193044e-08,4.254069e-08,-5.5835294e-08,-3.5123893e-08,3.4401207e-08,1.4844448e-08,5.3232505e-08,-3.3624207e-08,3.037653e-09,2.3699567e-08,-2.401693e-08,-5.0003774e-09,-3.655704e-08,2.0472807e-08,-5.3915596e-08,1.0372415e-08,-3.77664e-09,3.6020749e-09,1.0556462e-09,1.4496232e-10,4.6541878e-08,-1.9276186e-08,2.0488153e-08,2.5308179e-08,-1.5783595e-08,-9.09836e-09,-1.6753761e-08,-1.2923456e-08,5.2914974e-08
1,-0.06616277,-0.0071049724,-0.0032661576,0.0005585918,0.0012558943,-0.00021364473,4.5089626e-05,2.7327027e-05,3.653876e-05,-4.198623e-06,-3.1992425e-07,1.914003e-08,-4.9205166e-08,-2.2084814e-08,1.1627222e-07,-5.1469442e-08,-5.3720754e-08,-2.2325768e-08,-4.565808e-08,-6.6614525e-08,2.7324553e-08,1.6768814e-08,7.0000894e-08,-2.0324569e-08,3.6911267e-08,2.2795808e-08,5.5047913e-08,4.4262624e-08,1.4031267e-08,-3.413114e-08,2.963536e-08,-4.5794113e-08,-4.3892525e-09,-3.0377524e-08,7.3053394e-09,-4.950793e-08,-1.9360982e-08,-4.2062464e-08,8.2469676e-08,-7.884598e-08,1.9922622e-08,-2.3720755e-08,-6.428476e-08,-1.9331875e-08,-3.3715484e-08,3.2996244e-08,2.5758656e-08,-7.2279974e-08,-1.5662076e-08,-2.0286008e-08,-7.035916e-08,2.2081581e-08,7.797895e-08,-4.5834916e-08,3.111454e-08,3.9956358e-08,6.318149e-08,2.718776e-08,1.6480751e-08,-4.9328346e-08,-1.6460984e-08,1.8505933e-08,-1.05816646e-07,1.9737264e-08
0,0.28407985,0.029735796,-0.001548136,-0.0029730538,-0.0012112509,-0.00034650983,3.6923167e-05,6.443563e-05,7.98469e-06,-1.1279224e-05,-3.834235e-06,-6.771789e-07,1.2405996e-08,3.1783433e-08,-2.7795151e-08,-9.106796e-08,2.579744e-08,-7.238474e-08,4.7941494e-08,1.1864095e-09,1.1856792e-08,3.7211702e-08,2.5422352e-08,-4.427537e-08,6.5150694e-08,4.585768e-08,5.4715983e-08,-2.9222768e-08,-4.5079698e-08,-2.6012776e-08,-2.6754037e-08,3.5498566e-08,-2.3400327e-08,5.8667517e-08,-4.8522e-08,-3.6883858e-08,-1.1552428e-08,-2.368204e-09,2.5069625e-08,-2.0812713e-08,3.2155544e-08,-5.297271e-09,-2.0871761e-08,1.2036541e-08,1.8806313e-08,-1.5944696e-08,-2.4088548e-08,3.9308393e-08,1.3597369e-08,-1.0401801e-08,-1.1113572e-08,-1.3748987e-08,1.5605549e-08,-2.1776811e-08,5.5082823e-09,2.0488766e-08,-2.0198684e-08,3.6469534e-09,8.401565e-09,-2.9742676e-08,-2.5626452e-08,-4.923173e-08,2.5573879e-08,-5.585154e-09
1,-0.2788199,0.040991932,-0.0041364073,-0.0027532042,0.00037270802,-0.00037995825,-8.486537e-05,4.1278974e-05,-1.47017945e-05,6.3752896e-06,3.3477716e-07,-1.7834458e-07,2.5225756e-07,2.1698078e-08,-1.04479255e-07,-1.1834212e-07,7.395765e-11,-2.0906704e-08,8.503034e-08,-1.3128671e-09,-3.1313746e-08,-8.253108e-08,-1.054476e-08,-9.612764e-08,-4.0126082e-08,-3.2576743e-08,-1.229523e-07,1.5969272e-08,1.2989494e-07,1.7906094e-08,-1.0919885e-07,5.2506337e-08,3.2161935e-08,8.577736e-08,-2.9056382e-08,-3.436173e-09,8.603296e-09,-3.748744e-08,3.9443817e-09,2.600893e-08,3.0070102e-09,-1.0019601e-07,2.317764e-08,5.6472583e-08,6.8805015e-08,2.7124807e-08,-3.6394724e-08,-7.509576e-08,-2.1740146e-08,-5.9361096e-08,5.170238e-08,-4.0899742e-08,-6.833088e-09,7.7583614e-08,4.6793044e-08,-1.890256e-08,-3.8985675e-08,3.1768174e-08,-1.62554e-08,3.69055e-08,-2.2487818e-08,2.1237498e-09,1.0732022e-08,-2.935581e-08
0,0.029946834,-0.015199402,0.0077621196,0.0035033901,0.00017623093,8.67868e-05,-5.3380067e-05,-8.487967e-05,-1.99668e-05,2.6032608e-06,3.0444875e-07,-1.7362422e-07,3.4991423e-08,-6.543983e-08,-9.580987e-08,-2.3478428e-08,-7.8222655e-08,-1.1229564e-07,-1.2907412e-08,-1.2282337e-07,4.4913303e-08,1.8679415e-08,5.4501108e-08,-1.145717e-07,-1.0756799e-08,-2.8175982e-08,5.2467023e-08,-1.34338825e-08,-3.3593764e-08,-3.728975e-08,-9.3724616e-08,-3.0285055e-10,8.827943e-08,-1.0830066e-07,3.0656146e-08,6.1436247e-09,-1.0100449e-08,8.6060446e-08,8.4787075e-08,4.4042373e-08,6.725547e-08,-6.1318346e-08,1.7823304e-09,-3.133326e-08,5.9091313e-08,-8.225549e-10,-9.616037e-09,6.8382473e-09,-4.3702567e-08,3.2322102e-08,-6.597593e-08,-2.4524208e-08,5.278746e-08,-2.3742782e-08,-8.354424e-09,-5.8434427e-08,2.6892677e-08,6.157068e-08,1.2081604e-08,-3.1768387e-08,5.414843e-09,3.8916635e-08,8.562295e-09,-5.4548465e-08
1,-0.0923023,0.0078095305,-0.005972623,-0.0023451652,0.00044814075,-0.00016469727,-0.00018620057,-3.4332934e-05,-1.5200899e-05,-2.7181495e-06,3.1885672e-06,-6.014442e-07,-1.8323323e-07,-2.089635e-07,4.534799e-08,-2.6047728e-08,4.858568e-08,-5.3929394e-08,-4.0386702e-08,7.9270656e-08,-7.749738e-08,-1.3992337e-07,1.4499392e-08,-1.9436895e-08,6.415017e-08,-9.148392e-08,-4.2728626e-08,4.8417814e-08,-3.0686884e-08,-3.3850277e-08,1.4658585e-07,3.2026957e-08,-1.0831471e-07,-3.788842e-09,3.6752528e-09,-3.1745557e-08,-1.6279389e-08,5.6529103e-08,-7.241217e-08,-1.26037465e-08,-5.6112633e-08,-2.3015055e-08,5.475681e-08,-1.4994836e-08,7.473208e-08,1.01993765e-08,2.34883e-09,4.1270308e-08,-5.154086e-08,6.047614e-08,-2.2998142e-08,9.2163916e-08,5.442996e-08,-3.4435047e-08,-1.9737577e-08,-1.9014985e-08,5.8776717e-08,2.7159409e-08,5.8795493e-08,2.2245297e-08,1.2268476e-08,6.6756245e-09,-1.4358165e-08,2.475281e-08
0,0.268983,-0.0040800506,-0.013482816,-0.0006780166,0.0012110606,0.00038334355,-0.00012860566,1.3221453e-05,2.832657e-05,9.213444e-06,-3.7351649e-07,-1.2944818e-07,-9.275567e-08,2.5020557e-09,-3.555727e-08,4.6074778e-08,4.5143725e-08,7.611295e-08,-1.3338754e-08,-2.5018034e-08,1.185133e-08,8.858529e-08,-2.8424038e-08,-2.2483102e-08,-1.4364651e-09,-3.93509e-09,-2.5459249e-08,3.1935613e-08,4.3973014e-08,-1.4772669e-08,-3.5799517e-09,4.064093e-08,4.747013e-08,-2.7028115e-08,5.4169274e-08,5.3136723e-08,3.4101667e-08,4.4061803e-08,1.8931862e-08,-3.032691e-08,2.237368e-09,5.7997522e-09,-2.4754558e-08,-2.9956304e-09,2.3495847e-08,1.0056642e-09,-3.913443e-08,5.9532283e-08,-3.345304e-08,-2.6354994e-09,3.148527e-08,-3.3189618e-08,1.8456747e-08,-3.5225913e-08,2.0444263e-08,-5.8427787e-09,-7.611359e-09,-4.2078078e-08,4.5384724e-08,-4.1186002e-08,1.8115367e-08,-1.16925865e-08,-5.3102497e-08,-2.8859247e-08
1,0.037435085,-0.029174633,-0.0036600945,-0.0016295043,-9.474136e-05,6.655812e-05,-5.1180023e-06,-6.2941705e-05,-9.130626e-06,6.5457543e-06,6.283781e-08,-4.6458496e-07,1.4380802e-07,2.8472246e-07,2.4230079e-07,-5.5778354e-08,2.286186e-08,-5.2428863e-08,5.3925813e-08,2.5592728e-08,-8.801893e-09,-2.1280844e-08,-3.013972e-08,-3.0596013e-08,9.143568e-09,1.8519647e-09,-3.6079822e-08,9.287151e-09,-1.1108879e-08,-2.146282e-08,1.4257905e-08,-5.3877027e-08,3.5407266e-09,-6.3774284e-11,-1.7507235e-08,-4.993128e-09,-2.2401666e-08,-7.1705974e-09,5.20293e-09,5.443866e-09,-2.2881977e-08,1.0873028e-08,6.1392003e-09,-4.8695277e-08,1.206586e-08,9.694771e-09,1.0408856e-08,2.5290143e-09,1.0489143e-08,-3.1995604e-08,1.6375569e-09,-6.387818e-09,3.4998997e-08,5.983968e-09,-4.3116888e-08,-4.4265512e-08,-1.7804917e-08,-4.5816986e-08,-1.970964e-08,-9.414815e-09,2.0453383e-09,-2.717309e-08,-5.507144e-08,-2.237084e-08
