dataset,method,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
MUTAG,NetLSD,64,188,2,kmeans,0.246877,0.302029,0.776596,0.575687
MUTAG,NetLSD,64,188,2,spectral,0.212093,0.267375,0.760638,0.571106
MUTAG,NetLSD,128,188,2,kmeans,0.246877,0.302029,0.776596,0.575687
MUTAG,NetLSD,128,188,2,spectral,0.212093,0.267375,0.760638,0.571106
MUTAG,NetLSD,256,188,2,kmeans,0.246877,0.302029,0.776596,0.575687
MUTAG,NetLSD,256,188,2,spectral,0.212093,0.267375,0.760638,0.571106
ENZYMES,NetLSD,64,600,6,kmeans,0.043027,0.015893,0.241667,0.536937
ENZYMES,NetLSD,64,600,6,spectral,0.038138,0.013522,0.25,0.167813
ENZYMES,NetLSD,128,600,6,kmeans,0.043027,0.015893,0.241667,0.536937
ENZYMES,NetLSD,128,600,6,spectral,0.038138,0.013522,0.25,0.167813
ENZYMES,NetLSD,256,600,6,kmeans,0.043027,0.015893,0.241667,0.536937
ENZYMES,NetLSD,256,600,6,spectral,0.038138,0.013522,0.25,0.167813
IMDB-MULTI,NetLSD,64,1500,3,kmeans,0.021031,0.015675,0.41,0.545977
IMDB-MULTI,NetLSD,64,1500,3,spectral,0.004564,0.000265,0.35,-0.460153
IMDB-MULTI,NetLSD,128,1500,3,kmeans,0.021031,0.015675,0.41,0.545977
IMDB-MULTI,NetLSD,128,1500,3,spectral,0.003305,0.00028,0.342667,-0.378804
IMDB-MULTI,NetLSD,256,1500,3,kmeans,0.021031,0.015675,0.41,0.545977
IMDB-MULTI,NetLSD,256,1500,3,spectral,0.015822,0.001232,0.353333,-0.0635
