dataset,method,run_name,split,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
MUTAG,GIN,gin_dim128_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,kmeans,0.197813,0.157733,0.702128,0.400829
MUTAG,GIN,gin_dim128_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,spectral,0.310097,0.38964,0.81383,0.344339
MUTAG,GIN,gin_dim128_ep200_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,kmeans,0.197813,0.157733,0.702128,0.361014
MUTAG,GIN,gin_dim128_ep200_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,spectral,0.226941,0.225338,0.739362,0.348849
MUTAG,GIN,gin_dim128_ep200_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,kmeans,0.20398,0.148309,0.696809,0.35887
MUTAG,GIN,gin_dim128_ep200_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,spectral,0.243573,0.235607,0.744681,0.341604
MUTAG,GIN,gin_dim128_ep200_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,kmeans,0.167781,0.107847,0.670213,0.384198
MUTAG,GIN,gin_dim128_ep200_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,spectral,0.28116,0.375082,0.808511,0.349211
MUTAG,GIN,gin_dim128_ep500_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,kmeans,0.142749,0.051276,0.62766,0.364029
MUTAG,GIN,gin_dim128_ep500_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,spectral,0.272842,0.302623,0.776596,0.296552
MUTAG,GIN,gin_dim128_ep500_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,kmeans,0.226941,0.225338,0.739362,0.402741
MUTAG,GIN,gin_dim128_ep500_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,spectral,0.327357,0.390333,0.81383,0.37989
MUTAG,GIN,gin_dim128_ep500_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,kmeans,0.177263,0.140869,0.691489,0.370511
MUTAG,GIN,gin_dim128_ep500_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,spectral,0.215093,0.205132,0.728723,0.356481
MUTAG,GIN,gin_dim128_ep500_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,kmeans,0.177263,0.140869,0.691489,0.344073
MUTAG,GIN,gin_dim128_ep500_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,643,188,2,spectral,0.310097,0.38964,0.81383,0.317734
MUTAG,GIN,gin_dim256_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,kmeans,0.214642,0.16624,0.707447,0.372425
MUTAG,GIN,gin_dim256_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,spectral,0.302763,0.351447,0.797872,0.328632
MUTAG,GIN,gin_dim256_ep200_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,kmeans,0.243573,0.235607,0.744681,0.396234
MUTAG,GIN,gin_dim256_ep200_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,spectral,0.301494,0.376504,0.808511,0.370599
MUTAG,GIN,gin_dim256_ep200_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,kmeans,0.201378,0.122088,0.680851,0.405344
MUTAG,GIN,gin_dim256_ep200_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,spectral,0.318965,0.402998,0.819149,0.338092
MUTAG,GIN,gin_dim256_ep200_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,kmeans,0.237183,0.20453,0.728723,0.359251
MUTAG,GIN,gin_dim256_ep200_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,spectral,0.301494,0.376504,0.808511,0.343713
MUTAG,GIN,gin_dim256_ep500_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,kmeans,0.145037,0.071787,0.643617,0.391767
MUTAG,GIN,gin_dim256_ep500_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,spectral,0.173099,0.149882,0.696809,0.374531
MUTAG,GIN,gin_dim256_ep500_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,kmeans,0.177435,0.123671,0.680851,0.380146
MUTAG,GIN,gin_dim256_ep500_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,spectral,0.28116,0.375082,0.808511,0.343065
MUTAG,GIN,gin_dim256_ep500_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,kmeans,0.114441,0.012947,0.590426,0.421429
MUTAG,GIN,gin_dim256_ep500_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,spectral,0.242728,0.268207,0.760638,0.350896
MUTAG,GIN,gin_dim256_ep500_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,kmeans,0.231432,0.214909,0.734043,0.386858
MUTAG,GIN,gin_dim256_ep500_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,1283,188,2,spectral,0.301494,0.376504,0.808511,0.371329
MUTAG,GIN,gin_dim64_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.086359,0.064691,0.632979,0.330727
MUTAG,GIN,gin_dim64_ep200_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,spectral,0.158244,0.213793,0.734043,0.287274
MUTAG,GIN,gin_dim64_ep200_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.239316,0.246373,0.75,0.43944
MUTAG,GIN,gin_dim64_ep200_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,spectral,0.339283,0.464487,0.845745,0.37299
MUTAG,GIN,gin_dim64_ep200_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.103117,-0.000496,0.574468,0.40769
MUTAG,GIN,gin_dim64_ep200_lr0.001_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,spectral,0.160262,0.077546,0.648936,0.361497
MUTAG,GIN,gin_dim64_ep200_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.203147,0.166753,0.707447,0.345055
MUTAG,GIN,gin_dim64_ep200_lr0.001_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,spectral,0.294023,0.37609,0.808511,0.314365
MUTAG,GIN,gin_dim64_ep500_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.16943,0.091874,0.659574,0.376729
MUTAG,GIN,gin_dim64_ep500_lr0.0005_drop0.0_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,spectral,0.256312,0.290851,0.771277,0.324823
MUTAG,GIN,gin_dim64_ep500_lr0.0005_drop0.4_pooladd_gfeat1_norm1_attr1_ls0.05_de0.2,all,323,188,2,kmeans,0.249838,0.246266,0.75,0.386672
