label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
0,0.09996127,-0.051961966,-0.07466829,0.11048786,0.0071287234,0.014706736,0.06570059,-0.08797712,-0.008977917,-0.11073388,0.04686267,-0.001814475,-0.12315438,0.0033587401,-0.12713316,0.14990096,-0.01702952,-0.06503547,-0.04352257,0.14383863,0.11185293,0.10090143,0.05238688,-0.023049008,0.010329403,-0.002306531,-0.016614625,-0.14045577,-0.089695945,-0.0036342249,0.010629517,-0.02164784,0.08793036,0.008752124,0.16030443,-0.0500534,0.0013678077,-0.036009368,0.014646318,-0.08920645,-0.0012496165,-0.07455761,0.010644398,-0.027361382,0.06392722,0.033548083,-0.070970625,0.080137655,-0.0065276306,0.036910165,-0.021709926,0.12652767,-0.09211566,-0.077895224,-0.06536455,0.0487819,0.02657478,-0.12127139,0.054540575,0.028408062,-0.027292725,-0.010381224,-0.01410641,0.13860478
0,0.08614005,-0.050477397,-0.0838719,0.115602955,0.033089302,0.020079136,0.051353473,-0.09802116,0.006189238,-0.07824305,0.036089227,-0.013964526,-0.109842315,-0.009515077,-0.13299179,0.11785102,-0.02834471,-0.076856986,-0.03655958,0.11354139,0.08489738,0.10412726,0.05523596,-0.017279766,0.011085119,0.00026597086,-0.018817551,-0.11991959,-0.070331834,0.009834401,0.021960223,0.006034329,0.080253184,0.015205398,0.14633544,-0.04906329,0.00046457647,-0.05296096,0.011304222,-0.058567926,0.022788212,-0.053151313,0.03114915,-0.035921667,0.036866475,0.013501494,-0.061204404,0.061236724,-0.008060475,0.036350843,-0.023596551,0.11008053,-0.08701799,-0.06297967,-0.057763513,0.021869475,0.023650954,-0.08944133,0.053509526,0.0340697,-0.024986641,-0.0069491067,-0.012830351,0.12424119
0,0.107444264,-0.06513131,-0.10880735,0.14569756,0.033816304,0.022107046,0.08466622,-0.11653268,-0.014203546,-0.11303891,0.07159731,-0.02226264,-0.13850614,-0.014258416,-0.16916819,0.16740122,-0.021847112,-0.09890423,-0.0412412,0.16904256,0.11354868,0.13070595,0.07083817,-0.019094473,3.585487e-05,-0.005886241,-0.05360431,-0.16833383,-0.0879205,-0.014231298,0.026566396,-0.02527099,0.1276087,0.023480032,0.19394945,-0.0684523,0.0012705533,-0.05075018,0.021324543,-0.09005993,0.009448869,-0.08034266,0.036675233,-0.03855076,0.073463544,0.046651974,-0.07612915,0.09509824,-0.008644245,0.047687884,-0.048120562,0.1369444,-0.09414641,-0.11452729,-0.07237689,0.040285442,0.019643823,-0.13208741,0.0727428,0.041151386,-0.025795255,-0.019277684,-0.02113838,0.1554977
0,0.13363926,-0.10026567,-0.13311557,0.1813304,0.03387794,0.015679354,0.09799975,-0.120842375,0.012247837,-0.1383495,0.08692479,-0.03867656,-0.15602677,-0.004228401,-0.20992751,0.21181157,-0.008249592,-0.10525849,-0.034358837,0.18043835,0.14364956,0.14141938,0.07901922,-0.020549629,0.021346483,-0.008444585,-0.05036908,-0.16931756,-0.10577129,-0.0189634,0.04458023,-0.006699212,0.14948039,0.03509226,0.25052088,-0.081462994,0.01993598,-0.063122965,0.0033029767,-0.12866312,0.026682181,-0.1205523,0.03860544,-0.027524196,0.089968935,0.05078519,-0.0970854,0.105820864,-0.009380489,0.06349075,-0.061662704,0.15003912,-0.12287729,-0.108933985,-0.10666803,0.05313851,0.036334917,-0.1388994,0.08464789,0.037726115,-0.05049922,-0.03245019,-0.017304301,0.18389122
0,0.114550576,-0.08120337,-0.117554575,0.16210397,0.037640806,0.012509594,0.09034189,-0.12802956,-0.010633067,-0.11261635,0.05410875,-0.032549687,-0.13003096,-0.0015195372,-0.15651155,0.16582651,-0.0030945258,-0.0939216,-0.046262126,0.14810833,0.1172314,0.12412642,0.073205054,-0.027793825,0.011886168,0.003770111,-0.031505767,-0.16478,-0.093083955,-0.00082974636,0.032714263,-0.0012208584,0.12551823,0.015024388,0.19870281,-0.04276008,0.009393253,-0.053531013,0.0036528679,-0.10902127,0.00911101,-0.08481305,0.035920057,-0.033776198,0.06813938,0.03022814,-0.06521917,0.1041997,-0.02180857,0.07274315,-0.027431693,0.12953058,-0.11930886,-0.1093691,-0.08815104,0.056359414,0.019051671,-0.11533506,0.055764552,0.0181611,-0.037680507,-0.031882815,-0.023793416,0.16651346
0,0.085345425,-0.073407814,-0.08899282,0.10107146,0.031240802,0.016356232,0.050773334,-0.08772104,-0.0134705445,-0.077928334,0.04750755,-0.0298884,-0.10199331,0.0064958464,-0.114767395,0.13305584,-0.025719011,-0.08665882,-0.045038108,0.120699465,0.096746214,0.11182761,0.062170375,-0.017850328,0.003552026,-0.011883644,-0.041121777,-0.12257418,-0.059481096,-0.01218853,0.008560044,0.0063027986,0.10203676,0.0059624566,0.15239888,-0.058515493,0.00011508924,-0.0506957,-0.00022726867,-0.08371661,-0.007953124,-0.075629,0.022808723,-0.032451443,0.05330274,0.017028874,-0.061298274,0.07769194,-0.0024322018,0.047439467,-0.020638637,0.10484289,-0.100335464,-0.09611327,-0.06217295,0.037893165,0.004964628,-0.108564354,0.041561928,0.013896513,-0.011579382,-0.024845608,-0.032652695,0.13495144
0,0.09969003,-0.08082506,-0.09549561,0.11694384,0.010550331,0.022923395,0.07883614,-0.1140388,-0.014883964,-0.09932456,0.06864387,-0.0042164596,-0.1193484,0.011492035,-0.15097196,0.1406539,-0.018997453,-0.077184476,-0.03861861,0.15542917,0.1000503,0.09758085,0.057344414,0.0028719592,0.009669879,-0.0021842988,-0.017574022,-0.13841489,-0.09477249,4.308294e-05,0.039842494,0.006661193,0.095235355,0.026649458,0.1783,-0.05987587,0.013732864,-0.0426951,0.011893545,-0.08489923,0.015632188,-0.090389445,0.0070127803,-0.013435688,0.060569745,0.017896777,-0.06222119,0.09738917,0.0038045368,0.037842028,-0.02743945,0.10185324,-0.10300746,-0.08301493,-0.07338315,0.049362373,0.012482485,-0.09736136,0.058095668,0.029334042,-0.013897888,-0.026775539,-0.015787043,0.12287979
0,0.0777518,-0.04795676,-0.08650331,0.09894491,0.029649734,0.019547533,0.07990283,-0.08885578,0.008729342,-0.10090783,0.036059044,-0.030257234,-0.09505203,-0.01391497,-0.12361315,0.12150265,0.00085234275,-0.07378374,-0.033627763,0.13625433,0.09960498,0.08886011,0.060608204,0.0027081121,0.01867809,0.008336142,-0.017648771,-0.11900031,-0.08244368,0.004601173,0.026402952,-0.003599542,0.09689185,0.016621904,0.1597209,-0.038883068,-0.0028183465,-0.047494244,-0.004340002,-0.09010253,0.020346334,-0.08129211,0.0010154371,-0.015782565,0.06018043,0.027988194,-0.044354547,0.06548408,0.009421689,0.056316674,-0.024917066,0.10294309,-0.09834711,-0.09287735,-0.06047455,0.023843443,0.016585214,-0.09690395,0.038082313,0.0081042275,-0.023531465,-0.010180788,-0.02127307,0.11795318
0,0.12191321,-0.096943706,-0.12397318,0.15868236,0.029205663,0.02684556,0.09785351,-0.13497785,0.0098576285,-0.13500726,0.084721096,-0.02999831,-0.13259532,0.015732147,-0.17759222,0.18428425,-0.012720202,-0.10063133,-0.061045706,0.15928246,0.1312933,0.134734,0.07471434,-0.025107369,0.027671613,-0.0079293735,-0.025861677,-0.15996708,-0.09408638,-0.008049928,0.027398525,-0.020907907,0.121895686,0.024242396,0.21553619,-0.057327326,0.00038740181,-0.06308766,0.01762571,-0.09067937,-0.0012044917,-0.09814842,0.028162094,-0.020906843,0.060860015,0.02577415,-0.075122446,0.090545066,-0.011608481,0.06569527,-0.054332145,0.14613123,-0.10727274,-0.09659941,-0.08795335,0.038196165,0.012505528,-0.14634354,0.05823023,0.03080365,-0.039005198,-0.020438666,-0.009280057,0.17398988
0,0.0905696,-0.084530346,-0.105072774,0.11374263,0.024970267,0.0293271,0.06887361,-0.10377736,0.0022308705,-0.093535,0.045564145,-0.02095996,-0.12360465,0.0056341165,-0.16025487,0.15556009,-0.0030196006,-0.09592698,-0.049867265,0.12848799,0.110815085,0.11226286,0.04517092,-0.00039167446,0.007971434,-0.012283853,-0.036522046,-0.13126424,-0.08247474,-4.3589058e-05,0.025044046,-0.016236758,0.104538344,0.030351168,0.1927468,-0.052076176,0.017241433,-0.04346713,-0.010858846,-0.09290411,0.006176263,-0.087363705,0.01288693,-0.034189664,0.04658049,0.028332608,-0.0682351,0.085467905,-0.00047713632,0.052622814,-0.038976192,0.13432138,-0.08569267,-0.08305051,-0.064631015,0.03189263,0.010945415,-0.120094456,0.052858967,0.036848616,-0.016807267,-0.021005128,-0.028404053,0.12702811
0,0.09949288,-0.07042436,-0.091949016,0.12338735,0.006280043,0.028090494,0.07340549,-0.11021771,0.0154506,-0.085493095,0.04697106,-0.006592108,-0.119594574,0.010790747,-0.14786416,0.1416915,-0.008697045,-0.09292351,-0.041384436,0.14714807,0.10715302,0.08999827,0.050447088,-0.00998885,0.012002511,0.004392327,-0.032675285,-0.12048485,-0.07004518,-0.019929927,0.011212631,0.008782853,0.10203253,0.017333165,0.15729754,-0.046165314,0.009618023,-0.040989496,0.011918074,-0.07663944,0.007096378,-0.07803303,0.017222164,-0.012212582,0.040448356,0.011840666,-0.04857506,0.07253491,0.0012687402,0.05306028,-0.052458677,0.1230558,-0.0913092,-0.08152885,-0.070440255,0.021101747,0.025470357,-0.11263122,0.043297693,0.02380393,-0.03451096,-0.02236684,-0.007388279,0.1250566
0,0.12678438,-0.101101734,-0.10435748,0.16219537,0.015576737,0.015516174,0.10406193,-0.12600808,0.00572185,-0.113974914,0.0651611,-0.03347696,-0.16141894,0.003568845,-0.18501139,0.17819054,-0.022843705,-0.09927339,-0.035689317,0.18140341,0.13882218,0.12725206,0.08125144,0.0016139974,0.018488685,-0.00966025,-0.043178502,-0.16549677,-0.10614388,-0.01242216,0.026558962,-0.01277887,0.13242286,0.013535516,0.21948472,-0.06902278,0.00049731217,-0.061620645,0.0027504147,-0.091638036,0.0073400964,-0.10386915,0.039288078,-0.026635628,0.059339877,0.02594023,-0.06746761,0.101180434,-0.0055331266,0.058978867,-0.037736304,0.14579566,-0.13331518,-0.1207792,-0.08501799,0.049231682,0.030596547,-0.15347011,0.07791544,0.01610592,-0.03847755,-0.03856478,-0.014212406,0.15747608
0,0.05110052,-0.06314374,-0.081251964,0.09166422,0.0017905552,0.03016635,0.06093943,-0.06633568,0.009299257,-0.080995776,0.047143422,-0.0058514643,-0.0959477,0.009769342,-0.09649451,0.111795165,-0.016876847,-0.051230058,-0.032511164,0.093079634,0.08155436,0.086927086,0.025171883,0.008308502,0.0073030414,0.0112265665,-0.027588991,-0.10883408,-0.06992908,0.008881892,0.017017165,0.00051377993,0.081739835,0.024129571,0.11985728,-0.0495043,0.014238244,-0.044692148,-0.010544217,-0.054533526,0.0163074,-0.07084364,0.004039829,-0.022926675,0.034118507,0.0104276305,-0.06272815,0.077118196,-0.016928317,0.038460176,-0.01486751,0.081589326,-0.05816586,-0.06367826,-0.067009166,0.040457316,0.024826616,-0.06573784,0.030279431,0.030012095,-0.022571549,-0.0037393267,-0.028165407,0.09933398
0,0.08988589,-0.08103368,-0.08539803,0.14155942,0.025904374,0.038769063,0.06938782,-0.10163648,-0.0035611887,-0.09323743,0.07136422,-0.003468415,-0.11295951,-0.0025032577,-0.14684205,0.14491613,-0.012194512,-0.09942928,-0.04382273,0.1450218,0.12354936,0.10150317,0.05536442,-0.0030120271,0.025977124,0.0019726339,-0.021694388,-0.12475896,-0.08570521,-0.014116452,0.017821886,-0.00068906904,0.10033676,0.01619839,0.19290775,-0.060748212,0.006700378,-0.05219429,0.010251266,-0.09902347,0.018875536,-0.07260959,0.0247728,-0.033348374,0.05012719,0.0356502,-0.05235352,0.09109981,-0.011559532,0.06174255,-0.03482356,0.11918261,-0.114859894,-0.08736885,-0.093095586,0.042608794,0.020079518,-0.12745745,0.061022386,0.027090339,-0.021168027,-0.01046689,-0.012535376,0.14892761
0,0.08049783,-0.06221645,-0.06310863,0.10339437,0.0068021603,0.0155170625,0.06747457,-0.07277873,0.0099386405,-0.07002376,0.04746106,-0.026302006,-0.097084135,0.015690077,-0.11853916,0.11697569,-0.0039387923,-0.07586875,-0.022562392,0.098183416,0.08618505,0.091101944,0.043697752,0.0058316053,-0.0035124165,-0.0019671544,-0.0167633,-0.115159996,-0.07219838,-0.013499857,0.01690094,-0.008931882,0.090632856,0.029122595,0.13405177,-0.030618643,0.006542395,-0.022384139,0.018474396,-0.069206156,0.0013709213,-0.058768313,0.005821112,-0.014394483,0.059461407,0.030867958,-0.039294228,0.07029086,-0.0039727227,0.045245405,-0.022208612,0.09359858,-0.07449377,-0.07620737,-0.048417296,0.01998041,0.031003825,-0.08671121,0.04754344,0.02904359,-0.022797221,-0.0043746973,-0.0037441785,0.10747611
0,0.06999726,-0.05753244,-0.07733659,0.1169709,0.005386025,0.025907429,0.05513436,-0.099348314,0.01079657,-0.0839672,0.059537996,-0.03117435,-0.1110368,0.013479831,-0.14274344,0.13641721,-0.0016178736,-0.0878562,-0.046248868,0.133858,0.100880735,0.10596105,0.043633465,-0.018411063,-0.006388009,-0.005166898,-0.039738905,-0.114018016,-0.062020067,0.0046057138,0.015048143,-0.003873243,0.08816636,0.028675675,0.16597183,-0.042490225,0.0072537498,-0.05135171,0.012891498,-0.07549134,0.023276571,-0.07561925,0.016788099,-0.027764162,0.06493609,0.02692423,-0.06493938,0.08899996,-0.016034195,0.059834383,-0.03125944,0.11100196,-0.096676745,-0.09135481,-0.0667883,0.028670425,0.024110844,-0.10241442,0.06932635,0.015981147,-0.0346243,-0.0063566207,-0.034324247,0.12324999
0,0.1255168,-0.08520313,-0.12189491,0.14686747,0.008543747,0.02672653,0.10271909,-0.11484112,0.0052122883,-0.116661645,0.07343952,-0.01730149,-0.1596644,0.0026127843,-0.17776729,0.19478601,-0.020940349,-0.10520249,-0.044424955,0.18060823,0.12748463,0.14805086,0.08346311,-0.00015495848,0.0012973242,0.0016900777,-0.041932166,-0.17236638,-0.09583178,-0.019485384,0.025068376,-0.0049884086,0.12763935,0.033818353,0.2075948,-0.059659056,0.013878429,-0.07334515,0.013015328,-0.105471,0.00941799,-0.08933914,0.012037653,-0.023817385,0.059029635,0.03872239,-0.09498062,0.10116993,-0.023996117,0.065833226,-0.042079452,0.15411584,-0.117438935,-0.11351819,-0.07532051,0.052064165,0.028295863,-0.15509942,0.060517803,0.031740364,-0.03935454,-0.024750177,-0.01961633,0.15188599
0,0.07847359,-0.058187407,-0.06558458,0.08608603,0.020357022,0.023078308,0.04283551,-0.06305455,0.0036644815,-0.06665098,0.051439848,-0.008766969,-0.07587247,0.01068723,-0.09450516,0.11727975,0.0018834667,-0.070630416,-0.029504709,0.11407646,0.08279877,0.09371221,0.025764966,0.008831968,0.010681999,0.008869631,-0.025395101,-0.11051883,-0.07337267,-0.0038210568,0.006540725,-0.018831085,0.07881076,0.0027045805,0.12921207,-0.034047745,-0.0074481815,-0.016693458,-0.008572901,-0.06150506,0.0062550823,-0.04505985,0.0071172887,-0.023447033,0.028316079,0.034582328,-0.05470036,0.07059111,-0.0032191847,0.044284042,-0.02984972,0.06987709,-0.06351981,-0.06734897,-0.05303711,0.012730256,0.0030508994,-0.08729829,0.027923338,0.01389548,-0.024424095,0.0014850965,-0.028001823,0.08564615
0,0.08117583,-0.05033598,-0.084176816,0.09201901,0.030304449,0.022560598,0.07098228,-0.08552127,0.015933322,-0.09363345,0.05367079,-0.02032387,-0.10212484,0.011644694,-0.12995003,0.1296133,-0.027494492,-0.06649811,-0.014298282,0.121045806,0.07572875,0.078675084,0.03454452,-0.0043488406,0.015541458,0.011738878,-0.017795974,-0.10546619,-0.06902024,-0.0048636766,0.008359532,-0.018042944,0.06828969,-0.0010096997,0.13092545,-0.032034848,-7.811909e-05,-0.038112387,-0.0057387785,-0.07179614,0.0029915385,-0.07590262,0.021208808,-0.021675652,0.04823492,0.012392964,-0.06696819,0.072526,-0.012373966,0.034849614,-0.031360727,0.08994419,-0.077354915,-0.07823147,-0.063123964,0.020373309,0.023159293,-0.104304545,0.034827854,0.034917176,-0.035861544,-0.0006419298,-0.007069585,0.11434407
0,0.07630251,-0.062279962,-0.08712441,0.122852266,0.020260606,0.015428337,0.09014669,-0.100267954,0.011638703,-0.085958116,0.043231696,-0.032775726,-0.12596275,0.0031446072,-0.14461969,0.15991025,-0.017606067,-0.09584984,-0.028677784,0.13325097,0.10082327,0.12009088,0.042447113,-0.005406729,0.011373744,0.005618066,-0.036577716,-0.13316827,-0.0663144,0.009423537,0.036908805,-0.00036633768,0.09986068,0.030770773,0.17204851,-0.06152896,0.0033474027,-0.04744761,0.0026034506,-0.0868541,0.0055406876,-0.08743372,0.018479135,-0.028344275,0.057962194,0.01441312,-0.07508758,0.08158113,0.0029623595,0.061607692,-0.052399363,0.11624036,-0.08664992,-0.09526027,-0.060910743,0.02954588,0.03756997,-0.10906461,0.04675931,0.015646694,-0.04178613,-0.03031708,-0.011267935,0.13861907
0,0.117225096,-0.079658106,-0.118058614,0.17330511,0.014350054,0.020498535,0.0858354,-0.11586386,-0.01128,-0.113641135,0.059391625,-0.026343519,-0.15748096,0.017400118,-0.18659724,0.19732274,-0.019461308,-0.09747763,-0.042750258,0.17639874,0.12668344,0.12304033,0.06660733,-0.005216928,0.017674822,0.00051962887,-0.037013933,-0.18307373,-0.10918893,-0.009890133,0.018127365,-0.020103041,0.1447991,0.026915748,0.21218894,-0.061951187,-0.008032919,-0.060067754,0.0075024944,-0.10049784,0.01847945,-0.10289697,0.012353783,-0.019309621,0.07860897,0.051699083,-0.081766546,0.09993552,-0.0015963446,0.06144896,-0.053475484,0.13997883,-0.11496327,-0.12989587,-0.083704285,0.048435945,0.040536728,-0.12982717,0.07394719,0.025059065,-0.020962726,-0.02312475,-0.01285347,0.1811716
0,0.12630334,-0.10665924,-0.11862425,0.1713814,0.03843354,0.04215987,0.09358585,-0.14700915,-0.0025248406,-0.11601869,0.075392045,-0.024428012,-0.17334084,-0.008682176,-0.19786099,0.21187569,-0.025474822,-0.12675972,-0.04246377,0.1780552,0.1411392,0.13426329,0.06595319,-0.010993418,0.030206528,0.007730933,-0.027031362,-0.18663779,-0.12238717,0.0063564833,0.039917298,0.0026758066,0.13535097,0.032501027,0.22115369,-0.06496517,-0.0100980345,-0.07763638,0.016316779,-0.10521042,0.013260839,-0.11718332,0.039023723,-0.028751915,0.08736071,0.053280987,-0.087923095,0.123802796,-0.025554739,0.053913873,-0.04546365,0.16674939,-0.14321493,-0.10790568,-0.0960229,0.047495015,0.046121716,-0.15333095,0.06492599,0.037106182,-0.026553042,-0.029760517,-0.017527433,0.18810476
0,0.075402915,-0.046395704,-0.057911567,0.105015,0.0072067627,0.0064173685,0.052194167,-0.073868126,0.011877894,-0.073823705,0.042852785,-0.0043947534,-0.10457795,-0.014387573,-0.107033126,0.11120321,-0.0027424314,-0.07603121,-0.037391387,0.10241328,0.07965725,0.081263885,0.035067886,-0.0037352869,0.00732529,0.008585974,-0.013086972,-0.111966655,-0.060517047,-0.010887285,0.033833772,0.0013574238,0.079070315,0.022037372,0.13449606,-0.033674363,0.007544134,-0.022456096,-0.00060614507,-0.08261719,0.0018072893,-0.069854446,0.009700465,-0.010280345,0.028010854,0.02063871,-0.04120828,0.06789788,0.0072074854,0.047717445,-0.022789972,0.08545224,-0.0644581,-0.072906524,-0.06940144,0.017933628,0.024105389,-0.07740129,0.03716769,0.024772491,-0.02787176,-0.007772756,-0.009659043,0.12230807
0,0.11545837,-0.08372168,-0.11015002,0.15666294,0.017661298,0.016354976,0.07792195,-0.12568694,0.015653078,-0.11638397,0.07019927,-0.03457851,-0.14856061,-0.015656775,-0.15856856,0.17424046,-0.010350478,-0.104510926,-0.029381005,0.15974009,0.14033712,0.1405608,0.056869037,-0.01147794,0.003166024,0.0029275855,-0.02771579,-0.16734606,-0.10055653,0.006413947,0.013169503,-0.017185597,0.114902705,0.029115079,0.2065904,-0.062515624,0.012919633,-0.06539304,0.020331113,-0.09927067,0.009979529,-0.0838578,0.015790783,-0.01743489,0.07318495,0.02209008,-0.08373647,0.102786094,-0.017312342,0.06742622,-0.046266142,0.1318404,-0.10902611,-0.11038629,-0.07344979,0.029592032,0.023118095,-0.11970584,0.051671166,0.034174383,-0.03979351,-0.009462326,-0.03107065,0.16780117
0,0.10724638,-0.07921402,-0.10967049,0.16048886,0.018139519,0.020261163,0.09561357,-0.1042567,-0.007724787,-0.10331804,0.06590713,-0.018198468,-0.13771376,-0.0127027985,-0.16017768,0.17821573,-0.033819783,-0.09981004,-0.024796978,0.14868405,0.13497826,0.1346011,0.07756932,-0.017943472,0.0050905957,-0.008413558,-0.03566048,-0.15472761,-0.08456488,-0.013721356,0.014296218,-0.018338379,0.12354166,0.010764436,0.19889279,-0.04078644,6.302155e-05,-0.04533332,-0.010557149,-0.09884148,0.012392696,-0.075228855,0.023522412,-0.017679617,0.055390358,0.04284789,-0.08651867,0.082168266,-0.013879118,0.059365388,-0.03013866,0.149557,-0.11112218,-0.108212836,-0.0789707,0.028751248,0.03061035,-0.13567974,0.051458824,0.018109327,-0.026375126,-0.026592106,-0.015861573,0.14701633
0,0.0818317,-0.0751282,-0.09011551,0.14404085,0.022958988,0.022455703,0.07536119,-0.096828066,-0.008147679,-0.10368882,0.06644794,-0.030231465,-0.11024732,0.011065752,-0.14899775,0.16133922,-0.014529106,-0.077391796,-0.045052405,0.13569708,0.115191884,0.10342739,0.049909875,-0.0013331472,0.011720893,0.006013574,-0.024522107,-0.13992473,-0.07966902,-0.0024977534,0.036968727,0.006584783,0.09695352,0.0100538675,0.19734731,-0.064998575,-0.0042893365,-0.06519395,-0.007851942,-0.095195696,-0.0031622727,-0.091530085,0.026496628,-0.04031412,0.07135111,0.0247174,-0.06500572,0.09328688,-0.006758046,0.05900525,-0.03749624,0.12768634,-0.11427776,-0.09188767,-0.07857297,0.030849576,0.03350877,-0.11398668,0.062177394,0.0412701,-0.022839177,-0.015383611,-0.032958448,0.13348448
0,0.10194949,-0.06974945,-0.088152096,0.15251489,0.0048607537,0.013020398,0.087725714,-0.12087324,0.0012261193,-0.11039691,0.07680722,-0.024897987,-0.13731737,0.010624381,-0.14889109,0.17811963,-0.023258911,-0.08100314,-0.03223155,0.16256413,0.1275409,0.10647401,0.06930884,-0.013666386,0.008647093,-0.0023938713,-0.029680692,-0.16690668,-0.10381511,0.014341918,0.025188623,-0.0036926253,0.12488228,0.03328768,0.19390754,-0.04297711,0.015189257,-0.050909586,-0.0014978492,-0.11276439,0.02212209,-0.0837927,0.019759942,-0.021703975,0.07256205,0.039940376,-0.06945748,0.08306917,-0.0019440447,0.048086807,-0.050539974,0.14254606,-0.10178228,-0.11431959,-0.09385665,0.035245027,0.008897932,-0.13027376,0.066179655,0.02968402,-0.03714889,-0.03267861,-0.027904028,0.15135191
0,0.11716999,-0.075704046,-0.09852282,0.16166365,0.016744325,0.0084881885,0.103331864,-0.11225697,-0.013833165,-0.12267526,0.08402726,-0.0208093,-0.14398104,0.0026303062,-0.16688703,0.18605737,-0.022815553,-0.09548363,-0.035249606,0.17782448,0.14439985,0.14342424,0.06419739,-0.023141064,0.01200423,0.006303277,-0.03158149,-0.16426714,-0.1062797,-1.0223366e-05,0.024292687,-0.02293639,0.11250108,0.020941466,0.21359558,-0.047041323,0.011741619,-0.054550488,0.020513205,-0.12133558,-0.0019208955,-0.10210841,0.026701592,-0.040746864,0.05284739,0.040134672,-0.09315908,0.10912998,-0.019539235,0.05191543,-0.05323084,0.15182982,-0.1191358,-0.119326346,-0.100266814,0.053769883,0.01710547,-0.14697628,0.07555979,0.031385604,-0.029912073,-0.009790216,-0.03724878,0.18697757
0,0.12926681,-0.095122285,-0.1270917,0.19408321,0.027808966,0.02682641,0.10463009,-0.14645846,-0.005229927,-0.1471779,0.07484111,-0.014099326,-0.17135231,0.015019786,-0.2326254,0.23261867,-0.011429867,-0.13133505,-0.04698841,0.21364994,0.14921176,0.16328216,0.077576235,-0.028876709,0.022430044,-0.0048637292,-0.06370901,-0.18634005,-0.11016427,-0.013732122,0.036874417,0.0017127513,0.16064887,0.03237611,0.24016292,-0.05683132,0.020812955,-0.084080845,-0.0016817765,-0.13515681,0.012456343,-0.11944589,0.016597861,-0.04878975,0.06769257,0.03581282,-0.08627162,0.1189546,-0.008993807,0.0713531,-0.062319815,0.18434411,-0.13431935,-0.13979283,-0.09870748,0.04281768,0.04395319,-0.16722828,0.095639996,0.03947033,-0.040350698,-0.03293084,-0.041220978,0.19108158
0,0.08458155,-0.07224344,-0.067035675,0.1226749,0.00815878,0.02804348,0.080296956,-0.094093435,0.0032547216,-0.10256037,0.06469729,-0.01012589,-0.10918207,0.011595134,-0.12077553,0.1494508,-0.02371141,-0.07933949,-0.04538554,0.1110782,0.085694104,0.10189326,0.053873308,0.004518833,0.011453002,-0.010846423,-0.028170874,-0.13599543,-0.08682974,-0.0030243965,0.025719961,-0.01626301,0.088530034,0.017769268,0.16321515,-0.057952885,-0.0019940191,-0.039819892,-0.002577079,-0.08422084,0.011442032,-0.08002547,0.017017055,-0.040617682,0.040369082,0.03259599,-0.050409365,0.09033216,0.0011528438,0.03268164,-0.050409842,0.116416864,-0.09343321,-0.0733525,-0.07725403,0.017670557,0.016261552,-0.11384373,0.062216222,0.035303824,-0.020312391,-0.0037778274,-0.005398021,0.11546805
0,0.09206327,-0.07438146,-0.10676995,0.14333244,0.030202849,0.019681297,0.09080475,-0.1200999,0.00262604,-0.110526964,0.059678003,-0.015109356,-0.14392193,-0.0039745565,-0.17918728,0.16412288,-0.010232072,-0.109319136,-0.046201535,0.18045494,0.14082593,0.13696122,0.053999145,-0.0033030526,0.019163769,0.005059896,-0.045729313,-0.14789326,-0.1028638,0.0020737173,0.02498213,-0.006023971,0.1166769,0.019983357,0.2010977,-0.046203896,-0.0054295002,-0.04691232,0.0036740347,-0.09579148,-0.0040676324,-0.09376624,0.026791908,-0.045795802,0.06834573,0.0198022,-0.090253495,0.11160559,-0.004900521,0.05775308,-0.034395933,0.12500672,-0.10081161,-0.10439718,-0.10245113,0.027946359,0.038775776,-0.11819383,0.06365049,0.037241638,-0.020991966,-0.026878193,-0.012745399,0.16791533
0,0.06670069,-0.06633967,-0.07990725,0.10105589,0.016717205,0.010864528,0.057672128,-0.08871166,0.0067797587,-0.095076956,0.05167097,-0.025654843,-0.08957258,-0.0017021619,-0.12022121,0.13975973,-0.026017984,-0.06905047,-0.045114346,0.11199742,0.08418039,0.092476904,0.039311506,-0.004839381,0.0055440706,-0.0027578915,-0.03266042,-0.12905423,-0.086538404,-0.0073339455,0.03399482,-0.018726107,0.098807864,0.016630298,0.1617734,-0.045925118,-0.004832623,-0.026142498,-7.687791e-06,-0.07590131,0.0044095046,-0.06416085,0.023281546,-0.02269745,0.05519206,0.03375721,-0.070938684,0.075563215,-0.013197497,0.043559417,-0.030946769,0.099664524,-0.07410044,-0.09367999,-0.061433088,0.03327065,0.0077581503,-0.08476007,0.059062954,0.007122549,-0.018247783,-0.0076997667,-0.005108585,0.12962724
