label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127
1,0.014096521,0.00859376,-0.01682167,0.005171426,3.6750847e-05,-0.0025516711,0.015757654,-0.0027608585,-0.0055367863,-0.011815692,-0.00953501,0.045490723,-0.03850995,0.024637604,-0.0041793403,0.0016391512,-0.017300397,-0.002683961,0.00073449314,0.002098735,0.0048674997,-0.008236312,-0.0076376763,-0.0041937856,-0.011826004,0.021494402,0.011095837,-0.013809962,-0.034701597,-0.010045479,-0.005032928,0.0042226943,0.00348913,-0.010906192,-0.007453769,0.020995665,-0.013193615,-0.0243644,0.014212365,0.0026846982,-0.0068005314,-0.023595069,0.0067613195,0.0011367095,0.01663626,0.0051958445,-0.024101106,0.005109277,-0.0040689595,-0.0050019743,0.028642153,0.0019537641,0.023168415,-0.018922212,0.004272537,0.030566,0.025374008,0.013385169,-0.017700259,0.018063633,0.0038901265,0.014656197,0.023959061,0.024869317,0.017291067,-0.0040521557,-0.0014727797,-0.013123846,0.026506085,-0.0038305856,0.0047840104,-0.011565043,0.0053219725,-0.021230584,-0.0032730333,-0.024516916,-0.010985325,-0.016665425,-0.014794405,0.0045950413,-0.00032626966,-0.015926827,-0.014767973,0.011735669,0.00071258046,0.026192987,0.018117953,0.0005506078,0.02719557,-0.006351767,0.01822765,-0.016624695,0.010577514,0.031103656,0.022003477,-0.00054993946,0.008035185,-0.012326811,0.0134928,-0.02476203,-0.006890433,-0.005050057,-0.010735839,0.0054336363,0.026336951,0.008542631,0.013476799,-0.020448882,0.011458444,-0.0059108306,0.009361675,-0.008575303,-0.002875892,-0.003109393,0.0007604825,0.023357872,-0.030612452,0.0047069145,0.0014925727,0.0072345873,-0.0010806222,0.008333934,0.0049349414,0.0017458276,0.010829274,0.01134585,0.013539903,-0.0075086704
0,0.0055818195,0.008230875,-0.014354527,0.0046440517,0.008483996,-0.0011885738,0.00942523,-0.0031447893,-0.007334818,-0.0016738063,-0.00079935585,0.019751126,-0.01929787,0.0049666567,-0.0061305985,-0.0022071714,-0.010348707,-0.0075762887,0.0029776618,0.0027958858,-0.005201549,-0.001223251,0.0003430724,-0.0023955076,-0.012330061,0.008925912,-0.0053921435,-0.010459683,-0.012344778,-0.0097233495,-2.4283965e-05,-0.002058725,0.010327594,-0.0019010352,-0.0053022862,0.0065074977,-0.009114537,-0.014810938,0.012577972,0.0075803054,-0.0017640429,-0.007260955,0.0134636285,-0.0028272425,0.011161929,0.007875069,-0.011018373,0.002102325,-0.0025701893,-0.004137527,0.009743419,-0.0018030714,0.020081107,-0.017396223,0.0077354154,0.011842771,0.0093824025,0.00945197,-0.0068755355,0.01597624,0.0050057345,0.0068550287,0.0126315495,0.011688007,0.012876626,-0.007008982,-0.0040961583,-0.0044922465,0.013031535,-0.0089621935,0.0046618953,0.0049612666,0.0071136784,-0.013871997,0.005830442,-0.01943495,-0.0017479,-0.009005801,-0.011128351,0.01039438,0.011068018,-0.0046530524,0.0010737431,0.0038451322,7.901213e-05,0.008416125,0.009620503,0.00011000251,0.01836776,-0.007924607,0.0055784215,-0.0006334688,0.008300372,0.0069362526,0.016609903,-0.0019489919,0.012381223,-0.0018331044,0.014829187,-0.019132106,0.0036126976,0.0012725997,-0.00862494,-0.0068221893,0.01808936,-0.0043262267,0.009964002,-0.0017652479,0.016393881,0.00488002,0.0023313772,-0.0059336,-0.0013349373,-0.0025631126,-0.0064065265,0.0046029952,-0.012531215,0.0065020346,-0.0032581126,0.008740897,0.0012127403,0.009965146,0.0039210697,0.00095534296,0.00012811253,-0.0005978357,0.009727295,-0.007262995
0,0.008621947,-0.0002829868,-0.014995153,0.011544909,0.009056667,-0.004734075,0.009455492,-0.007912626,-0.00561976,-0.0006026447,-0.007134648,0.0085024135,-0.010116932,0.008190154,0.0013200728,-0.0024357664,0.0016746543,-0.0027965922,9.9821074e-05,-0.006237798,-0.0023754917,-0.0035022441,0.0029988198,-0.0062204995,-0.0050277817,0.0100914985,0.004552711,-0.0073808935,-0.010097479,-0.0026254498,0.0017488678,0.007858465,0.007469133,-0.0047607226,-0.0019932745,0.014010108,-0.002659624,-0.010617832,0.0028605112,-0.0032656596,-0.0009590067,-0.0055911005,0.010313206,-2.09191e-05,0.006661767,-0.00092688936,-0.0020778107,0.0059829135,-0.008376986,0.007978395,0.01525422,-0.0051003327,0.0039724093,-0.010325399,-0.00082234165,0.015889121,0.0051747384,0.014570325,-0.012208317,0.0015776983,-0.0015185735,-0.0007738001,0.0072854324,0.012345907,0.0073136287,-0.009208021,-0.0034976106,-0.012004413,0.01304536,-0.0033053048,-0.0034351896,-0.00075981894,-0.0063257036,-0.0033181664,-0.0001264602,-0.016197458,-0.0007911228,-0.0017376428,0.003156104,0.0044602784,-0.0028921315,-0.011622838,-0.01073196,0.003842297,0.0016910724,0.014912206,0.011406438,-0.0024832082,0.0072242515,-0.008758907,-4.751832e-05,-0.006215451,0.0107008545,0.004814628,0.0011476787,0.0045086564,0.009871802,-0.009584261,0.0044063884,-0.015419622,-0.0040961285,-0.0040932167,-0.0075256964,-0.004160613,-0.00053340633,-0.0016041269,0.00564418,-0.009209945,0.008636859,-0.004308658,0.003108494,0.00025596877,0.00075897004,0.0016570926,0.0057643624,0.006706133,-0.018214894,-0.008269134,0.0015558455,0.0076230015,-0.008833118,-0.0024908918,-0.004016242,-0.0053601866,0.010534975,-0.0025869072,-0.0035251763,0.0026537217
1,0.014722008,-0.0034711035,-0.031750347,0.008186783,0.003670989,0.0023742886,0.026445476,-0.015274964,-0.008382961,-0.005962681,-0.0019246188,0.05510748,-0.044446412,0.034580506,-0.01595633,-0.0061067175,-0.022694182,-0.009387504,0.005710923,0.005449242,-0.0033047514,-0.013660037,-0.007845981,0.009883307,-0.015252088,0.028048841,0.012085439,-0.013340806,-0.043084946,-0.011148979,0.0091250595,0.020647975,0.007935687,-0.003165367,-0.0024500294,0.022649206,-0.010261555,-0.035282765,0.015116208,0.007895316,0.00086296565,-0.036764737,0.0075489352,0.009489217,0.016922528,-0.003258515,-0.024265341,0.012902239,6.541573e-05,-0.0049110427,0.03227852,-0.013716332,0.025751457,-0.026040956,0.0020749245,0.03638889,0.024293877,0.03299872,-0.021552075,0.023183806,0.012997836,0.009941756,0.029409325,0.021571908,0.015460986,-0.0036839044,-0.00050662435,-0.028581178,0.029351914,-0.0055388603,0.02123171,-0.006105317,0.008242894,-0.036896024,-0.004760425,-0.03857187,-0.0033617858,-0.02324615,-0.01025165,0.006227263,0.017408956,-0.016879804,-0.0154764345,0.025459433,0.007351287,0.022507692,0.02390474,0.012884196,0.038542718,-0.003403884,0.024241166,-0.01748421,0.007973127,0.035032585,0.028951727,-0.007242903,0.018086923,-0.015419365,0.021317527,-0.025339028,-0.010882283,-0.0020386493,-0.021995952,-0.009098286,0.03154034,-0.0031634043,2.876404e-05,-0.012829777,0.026949178,0.0010124972,0.020943446,-0.009421366,0.0044610607,0.005388044,0.00017169172,0.022955075,-0.04250934,-0.009164787,0.0006378544,0.010865709,-0.005126171,0.0084384,-0.0029563764,-0.012983851,0.015779473,0.010615765,0.011727168,-0.016430708
0,0.009890901,-0.0047098394,-0.019016983,0.0059992988,0.005455761,0.0008418251,0.013182816,-0.009344419,0.0038298438,-0.008353557,0.0046783015,0.01735859,-0.0124260895,0.02012871,-0.004242164,-0.00022100113,-0.0052324054,-0.0054161246,-0.0043259715,-0.0064967363,-0.00015889296,-0.0038673382,-0.00032973397,-0.0043082503,0.00074058026,0.0079801325,0.009330865,-0.0019749312,-0.012786211,-0.005895381,-0.001355166,0.0009798405,0.003272547,-0.0022089297,-0.001304113,0.013648759,-0.0089793,-0.01813934,0.010971075,0.009842067,-0.0070583434,-0.013068207,0.0071807615,0.007697947,0.0024827484,-0.003611721,-0.0076355184,-0.0031071038,-0.0039983066,0.0019504684,0.0080457525,-0.0022464176,0.018056,-0.0054706116,0.0021397432,0.01066109,0.0050638276,0.007070644,-0.015982881,0.008970108,0.00020807193,0.007011807,0.018817624,0.015321841,0.0069493484,-0.011296461,-0.005495521,-0.016453268,0.012168095,0.0006177333,0.002717998,-0.004230357,0.0025736778,-0.00910205,-0.0050770603,-0.014999616,-0.0047906702,-0.0045272736,-0.011035076,0.007085871,0.010344311,-0.013298775,-0.012150523,0.0019829972,0.0024576602,0.012567606,0.0027338502,0.008362892,0.012525401,-0.009847734,0.0061387774,-0.004023946,0.006219304,0.015689986,0.011466513,-0.008235867,0.006398815,-0.0005382529,0.015118105,-0.012509939,0.00354234,0.0033095332,-0.01539889,-0.003905783,0.008414997,-0.002056795,-0.0002624271,-0.010072296,0.0045832815,-0.00035722365,0.0053853597,-0.0023094944,0.0026180851,0.0006525532,-0.0017119285,0.01750007,-0.009146469,0.0028902825,0.0048782644,0.004110956,-0.007396928,-3.432858e-05,-0.0023141755,0.0040681707,0.012386572,0.0027854922,0.0016408297,-0.012020114
1,0.015622766,-0.00034122425,-0.031302333,0.01330405,0.0022015795,0.0046268245,0.024234673,-0.014478838,0.006076443,-0.001064397,-0.011403645,0.052159555,-0.04608471,0.032590646,-0.017239707,-0.0023135042,-0.016705118,-0.018887369,0.0026995435,0.005223816,0.004008147,-0.014100767,-0.009879551,0.0034447468,-0.013821457,0.03000229,0.003624935,-0.007375416,-0.03167367,-0.019835966,-0.0050291503,0.019757155,0.01256734,-0.00655844,-0.009392454,0.028278481,-0.011585866,-0.033499394,0.014693518,0.009986203,-0.0039739828,-0.02994321,0.012308602,0.009418038,0.007591353,-0.0051026978,-0.01718713,0.003077016,-0.00074225746,0.0037913488,0.018596258,-0.0007785612,0.028903564,-0.025712335,0.0019952126,0.023027143,0.029294407,0.023056347,-0.025254503,0.020419478,0.0014056871,0.011013238,0.030989697,0.02466487,0.023356168,-0.017018478,0.0065929885,-0.018636702,0.018047106,-0.011412457,0.019144237,-0.007150334,0.0060188393,-0.024686486,0.00015159081,-0.036099236,-0.016010623,-0.013280429,-0.01513342,0.007998246,0.008070375,-0.014059186,-0.009777931,0.021848347,0.0077616223,0.021350658,0.023821887,0.014400069,0.035243805,-0.012427237,0.016117863,-0.016674884,0.010912808,0.027104473,0.023390643,-0.010474528,0.016556447,-0.018742133,0.020042395,-0.030394286,-0.00939803,7.597373e-06,-0.018379617,0.005228072,0.021951284,-0.0006761977,0.014996457,-0.012278209,0.017256426,-0.0047396957,0.020144278,-0.006413701,-0.0007708281,-0.0017524181,0.00085319474,0.022762856,-0.041634217,-0.006846107,0.0016158592,0.016750889,-0.001947344,-0.00029044508,0.0072321063,-0.012039025,0.012936924,0.00026486913,0.01763141,-0.019890606
0,0.00059849676,-0.0052644596,-0.03033628,0.009449519,0.000548661,0.008221595,0.022007788,-0.0032890954,0.0031145972,-0.00896079,-0.0031697138,0.041671153,-0.039565064,0.027775865,-0.006187612,2.6396243e-05,-0.01906959,-0.0056022964,0.0020801527,-0.0064579537,0.0022738795,-0.0031896404,-0.014670023,0.009983721,-0.012159035,0.02931183,0.0014603417,-0.01406253,-0.03405282,-0.0047201603,0.0010697258,0.013997301,0.012125522,-0.0006566021,-0.0074243695,0.015634026,-0.0060868664,-0.03455759,0.0021827,0.010493787,0.0027624397,-0.030801596,0.006115446,0.0002613743,0.008079503,-0.00338574,-0.027324185,0.0134591805,-0.010005736,0.0023064425,0.027582237,-0.0069260453,0.029165076,-0.022077084,-0.005751507,0.03094457,0.027059654,0.028391272,-0.02237657,0.021551251,0.0029819268,0.0155784255,0.014752304,0.022210138,0.011396567,-0.012621533,0.0061429674,-0.012111074,0.020741174,0.002893654,0.0077085053,-0.004577604,0.00059187016,-0.018960292,0.007698089,-0.017417435,-0.0022026494,-0.013624112,-0.0076406873,0.0045016594,0.008893201,-0.019758884,-0.015511397,0.014960889,0.010006542,0.015321707,0.013764963,0.01034011,0.033160158,-0.005399295,0.01968336,-0.00709648,0.010210692,0.019831523,0.018187469,-0.0033597515,0.008612114,-0.01366509,0.021187203,-0.026304297,-0.0042600064,-0.00014593134,-0.011420295,-0.006963766,0.02424259,0.0059502237,0.008951439,-0.015823826,0.013758282,0.0023461198,0.018709272,-0.0023855641,-0.004312549,0.004377947,-0.0008745873,0.018028809,-0.035809044,0.00079012674,-0.008970534,0.014147009,-0.004259485,-0.0009995206,0.003933684,-0.0039176815,0.015515309,0.010300872,0.015411808,-0.0076675583
1,0.010020044,-0.0024285493,-0.013370832,0.008630805,0.00037608336,-0.0003138318,0.018790336,-0.001100561,0.004362589,0.0015383027,-0.0043578967,0.024450958,-0.028951248,0.026288884,-0.008967028,-0.003248194,-0.009181903,-0.012798129,0.007674946,-0.008333854,0.0001968137,-0.0032064028,-0.0056526186,0.009636324,-0.015793797,0.01731565,0.007400479,-0.009923813,-0.02685073,-0.013402086,-0.0009593653,0.0063380636,0.011078102,0.0020191513,-0.006240475,0.022258338,-0.007658643,-0.01601021,0.014654525,0.004910636,-0.0048686676,-0.016316427,0.0036630176,0.005160794,0.016264355,0.0051561035,-0.009485016,0.00572951,-0.002677606,0.0030605602,0.021264333,-0.0046221493,0.019837761,-0.02001585,0.0064730053,0.014877909,0.024268903,0.018741798,-0.012461741,0.017644396,0.0037912435,0.014112866,0.0225482,0.016387813,0.00414462,-0.0034827092,0.004956177,-0.014281432,0.008545899,-0.00072938256,0.0017355314,-0.00742993,0.0073650787,-0.0151928505,0.0055287597,-0.027172731,-0.006438883,-0.0031411068,-0.012375372,0.0065503255,0.012975421,-0.015375298,-0.015345175,0.013955438,0.0034307311,0.018883608,0.007541254,0.00019660099,0.013636547,-0.007801193,0.006991246,-0.0052818637,0.014763364,0.023793235,0.012947667,-0.003353864,0.0064055696,-0.0037246225,0.01417722,-0.016103415,-0.0029204274,-0.0023393254,-0.006158483,0.0006855388,0.023392225,0.0008500236,0.0043982184,-0.01149722,0.020237943,3.7081016e-05,0.0066957986,0.00223687,-0.006778416,0.0066671013,-3.847656e-05,0.016105508,-0.026949959,-0.0052688695,-0.00048109647,0.006652171,-0.0006492854,0.0051464913,0.009842767,-0.0070155547,0.005039776,0.011108698,0.0013441864,-0.010971702
0,0.008997298,0.0010874021,-0.011237637,-0.0016652865,-0.005296185,0.0011574359,0.010710372,0.0024533996,0.0020001766,0.0010925065,0.0008974812,0.01317688,-0.01666215,0.0075405394,-0.002426932,0.0066377693,-0.0048773224,-0.0041532065,0.0014176847,0.0042243353,-0.0019975256,0.005067221,0.005320821,0.0068043196,-0.0085128285,0.0067246757,-0.00021027926,-0.0057167974,-0.0053538065,-0.009256949,-0.0031126458,0.005624583,0.0041081687,0.0037903925,-0.0043508215,0.006530196,0.0005299065,-0.015625186,0.0062880428,0.0011263919,-0.0010470804,-0.0025416643,-0.0028128743,0.0056361593,-0.0008305564,0.0033701917,-0.012506767,0.0010652617,-0.008652773,0.0024516513,0.00808906,0.002828265,0.0072666807,-0.0071876976,0.0078424625,0.010307402,0.006948339,-0.001825056,-0.010496043,0.007610185,-0.0012911547,0.002584473,0.008128687,-0.0011274002,0.010971354,-0.00642066,-0.00013521011,-0.006955738,0.008063867,0.0025572556,-0.0016565827,0.0020541197,0.0022374054,-0.0045153336,0.0062653827,-0.0051390794,0.0021542301,0.0016405046,0.0015608029,0.008706806,0.008620454,-0.009437411,-0.0052089347,0.011103404,0.003949407,0.013677188,-0.0029399649,0.009676066,0.009596647,0.00227313,0.0033228938,-0.010895091,-0.004267323,0.0072511397,0.00047201192,-0.008055921,0.006497124,-0.008659917,0.0073285033,-0.006026288,-0.0071025603,0.008282059,-0.010047693,-0.00088915677,0.005196411,0.0059413705,-0.0011959843,-0.005754375,-0.00039062463,0.006940883,-0.00094517425,0.004378259,-6.313734e-06,0.0036912048,-0.002819285,-0.0017895956,-0.0058025788,-0.0019436914,-0.00043782176,-0.0031010378,-0.0069933506,-0.0020887782,-0.005949421,-0.0033842637,0.0012419475,0.0087649645,-0.0041662757,-0.008362398
1,0.007279998,0.0037236244,-0.01608555,-0.00051400193,0.010163532,0.0030501846,0.014114729,-0.0048864083,0.0074371323,-0.008232546,0.0005146191,0.015868181,-0.01991648,0.016919745,-0.011319877,0.0036407912,-0.015148144,-0.004123347,0.009449,0.0027764004,-0.005165134,-0.007963207,-0.008774504,0.003517051,-0.0020469415,0.0166841,0.005433493,-0.001543976,-0.014944556,-0.0054240962,-0.0050836853,-0.0009645119,-0.00215096,-0.010567578,-0.006676461,0.014310283,-0.007474827,-0.014563161,-0.0007515707,0.0017231508,-0.0035316297,-0.017836409,0.008039253,0.0016475281,0.0077591944,-0.004581852,-0.016712211,0.003940857,-0.005057798,-0.0027710702,0.010533825,-0.005179278,0.011603156,-0.013369666,-0.0007189053,0.0068028606,0.013237825,0.0029316193,-0.013821308,0.015138124,-0.0041974485,0.012376895,0.014515483,0.013400351,0.00011770724,-0.0011123035,0.0024268082,-0.009640707,0.009156786,-0.0046543893,0.012925997,-0.00296615,0.0072586033,-0.004509792,-0.0051954063,-0.019259231,-0.007521508,-0.0050057783,-0.0048116636,0.011119763,0.0029312777,-0.013359085,-0.0018418693,0.0043157805,-0.0008973417,0.015491393,0.0009579868,0.005096066,0.013887883,-0.000667208,0.004835482,-0.0062551,0.012141196,0.018582588,0.016260799,0.00052799773,0.0055590933,0.00031728306,0.0065549393,-0.017226106,-0.0034694858,0.0002762919,-0.0075273565,-0.0018098701,0.00823243,-0.0028140778,0.0028252192,-0.0062321,0.0099919755,-0.006856108,0.0003456374,-0.003118197,0.003129949,0.006029193,-0.008405149,0.008264061,-0.00977179,-0.0030636897,0.0058051236,0.002658924,0.0064513353,0.0038102877,-0.0037039414,-0.0058042402,-0.00143027,-0.003058873,0.008917755,-0.0038929153
