dataset,method,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
MUTAG,Graph2Vec,64,188,2,kmeans,0.120065,0.03509,0.611702,0.429751
MUTAG,Graph2Vec,64,188,2,spectral,0.126234,0.028182,0.606383,0.434209
MUTAG,Graph2Vec,128,188,2,kmeans,0.153907,0.085612,0.654255,0.43221
MUTAG,Graph2Vec,128,188,2,spectral,0.153907,0.085612,0.654255,0.431589
MUTAG,Graph2Vec,256,188,2,kmeans,0.142749,0.051276,0.62766,0.452255
MUTAG,Graph2Vec,256,188,2,spectral,0.122938,0.053717,0.62766,0.447696
ENZYMES,Graph2Vec,64,600,6,kmeans,0.035325,0.006909,0.235,0.151724
ENZYMES,Graph2Vec,64,600,6,spectral,0.032297,0.004366,0.225,0.152657
ENZYMES,Graph2Vec,128,600,6,kmeans,0.034192,0.005603,0.233333,0.220287
ENZYMES,Graph2Vec,128,600,6,spectral,0.025807,0.001516,0.208333,0.233649
ENZYMES,Graph2Vec,256,600,6,kmeans,0.032889,0.006422,0.225,0.300274
ENZYMES,Graph2Vec,256,600,6,spectral,0.028226,0.004471,0.218333,0.287165
IMDB-MULTI,Graph2Vec,64,1500,3,kmeans,0.006284,0.004528,0.368,0.27181
IMDB-MULTI,Graph2Vec,64,1500,3,spectral,0.007432,0.002893,0.359333,0.274134
IMDB-MULTI,Graph2Vec,128,1500,3,kmeans,0.00668,0.005025,0.367333,0.339822
IMDB-MULTI,Graph2Vec,128,1500,3,spectral,0.005546,0.001971,0.355333,0.338032
IMDB-MULTI,Graph2Vec,256,1500,3,kmeans,0.006231,0.004542,0.356667,0.404628
IMDB-MULTI,Graph2Vec,256,1500,3,spectral,0.00554,0.001753,0.352667,0.396132
