label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127
5,41.23273,-19.615025,-2.5013933,0.114309885,-0.64962745,0.12607118,0.02623546,0.004113696,-0.010046256,-0.0005826889,-0.00039653855,1.5845267e-06,0.00013219536,3.411896e-05,4.9272723e-05,3.548819e-05,2.0038573e-05,4.169135e-05,-2.373363e-05,-1.6971586e-05,4.0231907e-06,5.2388645e-05,-3.8719158e-05,2.1364305e-05,2.0134946e-06,1.1004001e-05,6.5420013e-06,-3.5216e-05,-2.4314148e-05,-9.618765e-06,2.9910574e-05,-3.2765165e-05,-3.4162193e-05,-4.818956e-05,-2.4097242e-05,-2.5109857e-05,-1.7491652e-07,-1.8687597e-05,1.2191482e-05,-1.5477697e-05,-5.943531e-06,-1.6603155e-05,1.954198e-05,1.644482e-05,9.315737e-06,2.197884e-05,-1.0956667e-06,4.7242258e-05,3.2841694e-05,9.602456e-06,1.6217746e-05,8.048424e-06,-1.17561085e-05,3.5484012e-05,-1.3916337e-08,2.638201e-05,1.6507204e-06,-5.7222583e-06,-2.3408424e-05,4.1068994e-05,-5.8398155e-06,1.0817142e-05,-1.391676e-05,-2.1622855e-05,-7.503604e-06,-1.5102279e-05,2.0692409e-05,-5.739456e-06,-1.9030811e-05,1.8551133e-05,-1.1176345e-06,7.147023e-08,1.4841608e-05,-5.8699775e-06,1.2984157e-05,-9.189308e-06,-1.5457694e-06,-1.6975959e-05,-4.842063e-07,1.9270008e-05,7.4825157e-06,1.928024e-05,-1.1679457e-05,5.2700594e-05,2.3933974e-06,4.0191517e-05,1.7588196e-05,1.8376919e-05,2.047942e-05,-1.1915903e-05,-3.6636598e-06,7.256366e-06,1.9263723e-06,-1.5448548e-05,3.8583516e-05,-2.100836e-05,1.2882583e-05,-3.3121796e-05,-9.763732e-06,2.5756413e-05,4.379748e-06,4.0769253e-05,-7.368507e-06,2.2207032e-06,2.7318774e-06,1.3022268e-05,-1.1615099e-05,2.6419762e-05,3.9687926e-05,-3.1557967e-05,-1.181023e-05,1.3672328e-05,2.0966352e-06,-1.3724377e-05,1.2306679e-05,2.8693956e-05,-2.131506e-05,2.0317808e-05,1.8004757e-05,6.569273e-06,-3.5930243e-05,-4.3632146e-05,3.890392e-05,1.222368e-05,-3.5780715e-05,-1.853467e-05,7.016218e-06,-4.201289e-05
5,-108.49532,12.861917,0.10580337,-0.2644216,-0.025817137,0.091856085,0.019005414,0.0004177497,-0.00052410807,-0.0014395475,0.00067561754,-0.00039174542,0.00015756855,-7.512057e-05,2.5462428e-05,4.0843828e-05,1.7252685e-05,-3.2871907e-05,4.2577947e-05,2.7714364e-05,-9.351558e-06,-2.4905337e-05,5.137217e-05,-2.1870624e-06,9.429148e-06,1.9279243e-05,3.4699577e-05,-2.175384e-05,-2.038263e-05,-2.3133065e-05,2.3173923e-05,4.9968157e-06,3.214906e-05,-2.7477758e-05,2.1916945e-05,-3.145658e-05,-2.0256032e-07,2.9493076e-06,-2.7344402e-05,-1.4933814e-05,1.941358e-06,-2.227869e-05,9.627601e-06,3.4890868e-06,-9.136601e-06,-4.1935386e-06,-8.468021e-06,2.4670937e-05,-3.532067e-06,3.7004458e-05,-1.1064784e-05,3.0988955e-05,8.2608685e-06,-8.062575e-06,-2.522203e-05,-7.6074343e-06,-1.9502198e-05,-3.6046917e-05,-1.3289962e-05,-6.2014703e-07,-3.1378553e-05,-1.2704972e-05,-1.771442e-05,1.4983532e-05,-5.3448883e-07,9.035134e-06,-2.1388266e-06,-1.3200199e-05,1.5607378e-06,-3.463651e-05,-8.635905e-06,1.8681745e-05,-2.7171695e-06,-1.3501925e-06,-9.284375e-06,-2.62595e-05,-4.7850194e-06,1.1333944e-05,3.297735e-07,1.2917656e-05,1.7769435e-05,-4.1250193e-08,2.1138452e-05,1.1510983e-05,-1.1047334e-05,1.0154273e-05,1.2366678e-05,-1.9758127e-05,-6.96122e-06,-3.5570414e-05,1.4499974e-06,7.742192e-06,3.0221929e-05,-3.75634e-05,-3.27648e-05,-2.1728142e-06,-2.6888532e-05,2.7024595e-05,1.9290752e-05,-2.3254928e-05,2.4626792e-05,3.8351853e-05,3.1711388e-05,1.2328524e-05,-1.2511614e-05,-3.826093e-05,5.105767e-07,-2.0624351e-05,2.3754985e-06,-2.5412568e-05,3.352003e-05,-1.6301545e-05,5.8813725e-06,8.26387e-06,7.266626e-06,4.1055213e-05,9.432251e-06,5.7707424e-05,-1.0951421e-07,4.1729127e-05,1.4776955e-05,-2.3638854e-06,2.9731186e-06,-1.1588982e-05,8.294323e-06,6.618578e-07,4.9177404e-05,1.5068794e-06
5,-81.51376,18.308336,2.9727013,0.31149822,-0.26164174,0.10819217,-0.019389678,-0.013229193,-0.00039065388,-0.0034661472,0.0013925822,0.00010610434,0.00014434975,-7.069441e-05,7.050196e-06,-2.9151133e-06,-1.1631262e-05,-6.0045177e-06,-3.3468893e-06,-2.4941335e-05,-1.7262097e-05,-7.2862604e-06,-1.240936e-05,-1.0079282e-05,1.0871845e-06,-1.3117196e-05,5.5419055e-06,-3.3908684e-06,1.4011098e-05,8.425742e-06,3.4501336e-05,2.8114991e-06,-3.8008147e-05,-4.2405836e-07,-2.4358364e-05,1.1626002e-05,1.6593945e-05,-9.844697e-06,-3.2818343e-06,-1.3144581e-05,-6.646499e-06,1.5301743e-05,8.167191e-06,-3.9451306e-06,-1.2648245e-05,3.8204853e-06,2.2113885e-05,7.388324e-06,-2.1102005e-05,1.1227595e-05,-7.2576127e-06,6.0049497e-06,-1.3149817e-05,5.867026e-06,-2.272654e-05,-2.428063e-05,-5.605005e-06,1.9084577e-05,9.363733e-06,-2.6409283e-05,1.8515608e-05,-2.5417876e-05,1.4291218e-05,-1.264167e-05,-4.589423e-06,-6.5566437e-06,-3.8305745e-07,-4.437861e-06,-1.7400413e-05,2.4861887e-05,3.8749906e-05,-1.21428275e-05,-2.5591544e-05,4.965524e-06,3.4671193e-05,1.642961e-05,-2.07099e-06,8.811528e-06,1.37214965e-05,-1.0352064e-05,-1.3130879e-05,-2.1022051e-05,-1.9940508e-05,7.552233e-06,-1.7015655e-05,2.6087593e-05,1.4715349e-05,1.0820446e-05,-4.235941e-06,-3.663734e-06,1.46855655e-05,6.2361833e-06,1.0420212e-05,1.1544161e-05,-5.9495133e-06,1.1042804e-05,-8.707137e-06,2.470143e-05,-1.8442175e-05,-8.749615e-06,-1.6149927e-05,-3.3154698e-05,-1.8974628e-05,1.1005668e-06,-1.28714655e-05,1.661501e-05,7.2318767e-06,-1.2066276e-05,1.0268216e-05,-5.0731182e-06,2.454168e-05,-2.0111705e-05,-2.9475368e-05,7.552242e-06,-3.4284833e-05,4.5310393e-05,8.314707e-06,1.1406169e-05,-2.5153591e-05,7.8914645e-06,-9.845473e-06,-7.2459306e-06,3.5859641e-06,-1.7823957e-05,5.3391723e-06,6.3975017e-06,-3.7992886e-05,2.9684572e-05
5,-99.916725,4.735059,-3.3426845,0.3638008,0.037563078,-0.16559735,-0.03249633,0.0016309604,-0.0052150674,0.004803417,0.00095452374,0.00011157639,0.00014658616,-2.7676739e-05,2.829184e-05,-2.0370731e-05,2.0446421e-05,-2.0109087e-06,-1.1896974e-05,-2.8098318e-06,7.5711987e-06,-3.3594945e-06,7.954887e-06,-1.6405591e-05,4.8074605e-07,-2.6800828e-05,-2.3028692e-06,-2.3786995e-05,1.2199891e-05,-6.5235995e-06,2.6446396e-06,-1.8711094e-06,6.820058e-06,-1.1564038e-05,1.0877811e-05,-6.554847e-06,-1.2447688e-05,-5.0961185e-06,-1.6803813e-05,-1.5753654e-05,-9.437335e-06,-1.6156636e-06,-1.8333896e-05,-2.942591e-05,-1.4973252e-06,-7.5197754e-06,1.17840045e-05,2.261337e-05,-3.8088235e-06,6.3810207e-06,1.8763072e-06,-1.2401292e-05,-9.815362e-06,5.21277e-06,1.2489366e-05,-3.098024e-06,-2.439833e-06,4.884976e-06,1.6971035e-05,7.652088e-06,3.5002904e-06,-1.9878978e-05,9.1207185e-06,-8.165675e-06,4.2608785e-06,1.3423132e-05,3.4767954e-06,-6.8378795e-06,3.2797245e-06,8.123538e-06,-1.4182813e-05,1.0539957e-05,1.3065686e-05,-9.290768e-07,-2.3831039e-05,5.649776e-07,-2.736363e-05,-9.314861e-06,1.2748827e-05,-3.4025982e-06,4.5108627e-07,5.630855e-06,-4.4927215e-06,-2.4507359e-05,1.1778707e-05,-2.837498e-06,1.30356975e-05,-2.7095022e-05,1.828015e-06,2.0280862e-05,1.3633633e-05,5.768539e-06,-8.255774e-06,-2.8592249e-06,-8.481224e-06,-2.0479441e-05,-6.6181906e-07,1.6571731e-06,-4.0412309e-07,6.44603e-06,-4.111496e-06,1.5153264e-05,2.9258148e-05,-1.504323e-06,1.7226845e-05,-1.0956264e-05,2.8714281e-05,3.6241113e-06,2.2623653e-05,-4.5644942e-06,3.726979e-06,1.959626e-05,1.37469115e-05,1.1214613e-05,-1.6924065e-05,-1.9752386e-05,1.5671911e-06,-1.5665035e-05,-5.077173e-06,-5.852712e-06,-1.8519908e-05,-1.9644933e-05,-1.1065439e-05,1.224507e-05,2.1101469e-06,-1.0061273e-06,-9.298212e-06,-8.141573e-06
5,-116.60636,2.8240187,2.2631068,-0.0024916383,0.46020338,-0.07389753,-0.04437643,0.002668626,0.0024350719,0.0013326599,-0.0004941866,-2.2256476e-05,0.0001300808,8.0869715e-05,2.622882e-06,-1.0536052e-05,-8.509176e-06,2.1200913e-06,-9.869479e-06,-2.1640462e-05,8.272203e-06,1.0848176e-05,-5.2154683e-06,-5.9811305e-07,7.67823e-06,1.587306e-05,-3.6612569e-06,2.3452796e-05,-1.3693621e-07,-1.5611735e-05,-5.6862073e-06,-6.433552e-06,2.4647782e-06,7.5537732e-06,2.357754e-06,-1.4260242e-05,-1.0591474e-05,1.5461997e-05,-7.568002e-07,1.1258944e-06,-7.784433e-06,1.463836e-05,-1.7104643e-05,6.491245e-06,8.622127e-06,-2.668933e-06,1.5013847e-05,8.434042e-06,-1.0784884e-06,-9.739603e-06,2.6894239e-05,1.600335e-05,-6.5142676e-06,9.623393e-06,-1.1625513e-05,-4.858696e-06,-2.9457318e-05,1.0874439e-05,8.4893645e-06,2.6764533e-06,6.4653395e-06,5.951435e-07,-1.6169384e-05,-5.271451e-06,1.9895186e-05,2.130494e-05,-1.9723911e-06,2.1128424e-05,-4.1919993e-06,4.4528974e-06,2.594034e-06,-6.4521337e-06,-1.529364e-05,-1.4080768e-05,-4.4633157e-06,5.8688543e-06,-2.2327014e-05,-1.5103403e-06,4.722767e-06,1.7180759e-05,-5.0327544e-06,7.7762315e-06,4.6190453e-07,3.2565474e-06,-2.0205382e-06,2.097074e-05,-2.2802818e-05,1.02074955e-05,-3.237388e-06,-8.069773e-06,1.5016264e-05,-2.7378449e-06,8.499567e-06,-1.3716279e-05,1.049482e-05,3.819413e-06,-5.0336103e-06,-5.0087488e-06,8.8907757e-07,-4.0313123e-05,1.4396603e-05,1.2060688e-05,-5.8766677e-06,-1.1489823e-05,-2.1520806e-05,-6.3303226e-08,-2.1482097e-06,1.7162927e-05,-1.3763449e-05,-9.4432235e-06,-1.0170327e-05,-1.9408592e-06,1.3932537e-05,-1.9671292e-07,-4.2706183e-06,-8.99765e-06,2.057244e-05,8.364383e-06,-3.4694715e-06,-5.3155472e-06,-1.5176937e-05,1.3476194e-05,-4.4256863e-06,2.6779027e-05,3.5338103e-06,8.171217e-06,8.664091e-06,1.540305e-05
5,-101.87619,4.208636,-1.1868578,-0.81679815,-0.117261454,-0.016183235,-0.027293323,0.0023273404,0.0062159495,-0.0007009308,-0.00048112043,0.00038230547,0.00012583888,7.564886e-05,2.1179818e-05,-1.9053687e-05,1.1079992e-05,-1.3960963e-05,-2.268769e-07,2.8145648e-06,-2.2131353e-07,-5.774978e-06,-1.4713503e-05,-1.47090805e-05,3.1316524e-06,7.365e-06,-1.31803545e-05,2.4642195e-05,-1.3169711e-05,1.0045451e-05,-1.8209505e-06,1.5617221e-05,-2.2764572e-05,-3.7169352e-06,-4.456984e-06,7.655462e-06,2.5288009e-05,9.719372e-07,-4.9907226e-06,3.0754065e-05,3.7573877e-06,2.7933384e-05,-4.0009863e-06,-9.707734e-06,1.2412598e-05,5.886422e-06,8.9070375e-07,6.7923693e-06,6.04955e-06,6.959084e-06,2.3157993e-06,-4.085024e-06,-9.288798e-06,2.4911335e-06,8.344277e-06,-1.1095157e-05,-5.603725e-06,1.744062e-06,-1.226954e-06,1.5547861e-05,3.28172e-05,3.8917647e-06,-1.3837307e-05,-1.5812466e-05,-8.515706e-06,3.2681546e-05,-6.4257506e-07,8.716082e-06,1.258218e-05,7.1173768e-06,-3.1877356e-05,-9.06587e-06,9.66381e-06,-1.1563863e-05,2.8932861e-06,-8.628263e-06,-8.821683e-06,-1.9235882e-05,-3.6243737e-06,3.292544e-06,4.9909e-06,-2.452228e-06,2.5179984e-06,-6.135274e-06,4.4653484e-06,1.3995979e-05,-9.351595e-06,-1.8528838e-06,-1.0513951e-05,-9.899137e-06,-1.0296355e-05,1.688563e-05,-9.7445345e-06,-1.6320902e-05,1.0687852e-05,-5.301153e-06,1.6387306e-05,1.0489581e-05,1.0107855e-05,-2.9454966e-07,-3.1025493e-06,5.9666604e-06,1.8613138e-05,-1.2668827e-05,2.0222364e-05,-2.4193625e-05,-9.1976267e-07,-4.8220454e-06,1.3036585e-05,8.354738e-06,3.0133162e-06,-1.4152276e-05,-1.4319983e-06,1.3604354e-06,-2.0188274e-06,-1.3341481e-05,-1.7074293e-05,-3.01667e-05,-1.4112021e-05,2.3215585e-05,-1.9215215e-05,3.1160125e-06,1.2936768e-05,8.70915e-06,-2.2057027e-06,2.0075897e-05,4.1923536e-06,1.0453109e-05
5,-85.10299,-4.5615554,1.3889567,-1.2111427,-0.09859311,-0.021097323,-0.053304408,0.011838722,-0.004488693,0.0007601738,0.0009988028,0.0003691508,0.00014045525,-3.4512495e-06,4.5184457e-05,-1.0190708e-05,4.742885e-06,-9.060998e-06,-2.1529688e-06,-5.8972214e-06,-8.838861e-06,-6.412105e-06,1.8433471e-05,-1.636939e-06,8.723066e-06,2.2181937e-05,4.8669165e-07,1.0695504e-05,-1.3849501e-05,-4.0549717e-06,1.4722635e-05,1.35640785e-05,-2.2570874e-05,1.4364902e-05,-1.8464234e-05,-3.7943223e-06,4.777007e-07,-2.1342754e-05,1.1927908e-06,-2.367778e-06,-1.2075533e-05,-2.535532e-06,-3.0340682e-06,4.2757374e-06,-2.074729e-06,-1.2711738e-05,6.1849996e-06,1.0362448e-05,1.9339435e-05,6.0108773e-06,2.6537977e-05,9.874201e-06,6.705919e-06,9.207481e-06,1.3185949e-05,3.5784144e-06,-2.7880642e-06,1.8003662e-05,2.3149356e-05,-1.3141967e-05,-2.8132633e-06,-4.723896e-06,-2.530562e-05,7.337211e-07,2.5961748e-05,1.213243e-05,2.1677174e-06,1.1406796e-05,-4.7255603e-06,-6.508725e-06,1.949521e-05,3.627812e-06,4.8304223e-06,4.8194647e-06,8.874223e-06,1.4298671e-05,-3.450088e-06,-9.895969e-07,-1.547284e-05,2.319955e-05,1.0572739e-05,9.767433e-06,3.8481307e-06,-2.6346439e-05,-7.936599e-06,1.3358265e-05,-1.861684e-05,-1.3300025e-05,-8.035109e-07,4.0118853e-06,6.770795e-06,-1.9103838e-05,-6.7695014e-06,-1.3840298e-05,-3.7162272e-06,-1.3233542e-06,2.2044962e-05,1.1973954e-06,-7.6611e-06,-1.1715806e-05,-1.5256644e-05,1.6076852e-05,3.4795507e-06,9.015097e-06,2.676215e-05,-8.028114e-06,-4.917319e-06,1.2055705e-05,-1.563795e-05,-1.5047094e-05,1.0965507e-05,2.874144e-06,-4.4515796e-06,2.5034913e-06,-1.951799e-05,-4.0077443e-06,2.219234e-05,2.2487351e-05,1.1518127e-05,-2.0141699e-05,7.0864235e-06,7.4609484e-06,-1.5939486e-05,-2.0244015e-05,3.8097494e-06,-1.6440508e-05,-6.9822686e-06,3.7082007e-06
5,708.57007,47.944153,-2.8615847,0.57322294,-0.15542416,0.046406385,-0.057946015,-0.021032121,-0.010753438,-0.003276271,0.0015987146,-0.0006749071,0.00013479522,2.343619e-05,-3.7862475e-05,1.6109654e-05,-2.6328253e-06,1.4584037e-05,9.580608e-06,-5.9171107e-05,1.557722e-05,-8.859085e-06,-2.3804173e-06,3.7356756e-05,5.2974206e-06,-1.0287271e-05,-3.440105e-05,2.636165e-05,-4.603516e-05,1.3532492e-05,4.162631e-06,-2.7876693e-05,7.233407e-06,3.1696425e-06,1.104416e-05,-1.0039944e-05,4.4978728e-07,-2.3053823e-05,-4.3935957e-05,-3.259919e-05,1.1933158e-05,-1.5771964e-05,4.6162942e-05,2.3714267e-05,8.138211e-06,1.8559394e-05,9.827151e-06,-3.5282494e-05,-2.949612e-05,-1.3306068e-05,-1.7645267e-05,-3.982427e-06,1.568929e-05,-2.0235913e-05,-6.635911e-06,-6.489929e-05,3.1491134e-05,3.1807085e-05,-8.230086e-08,1.0793384e-05,2.7382206e-05,4.066289e-05,-2.4901214e-05,4.876897e-05,-4.5825213e-06,6.509354e-06,1.711269e-05,-7.351069e-07,2.4823636e-05,2.1128457e-05,2.8442778e-07,1.0458682e-06,2.1691932e-05,2.2459595e-05,2.4238387e-05,-2.2412298e-05,-1.8359303e-06,2.0761585e-05,4.23634e-06,2.889394e-05,9.095808e-06,7.130987e-06,-2.5832847e-05,1.7770986e-05,-3.2374417e-05,-1.5003721e-05,1.7262014e-06,1.5032398e-06,2.1195694e-05,8.9214876e-07,-1.9083564e-05,1.1016389e-05,-9.839032e-06,1.4018896e-05,-1.5018611e-05,-8.985611e-06,-2.4531222e-05,-5.7333255e-06,-1.9313093e-05,2.0454652e-05,9.6931935e-06,-4.781694e-05,-3.9917927e-06,2.434705e-05,1.7722094e-05,-2.1872484e-05,3.4842265e-05,1.7872359e-05,7.1224154e-06,-1.7210607e-05,3.593737e-06,1.1043788e-05,-2.5629904e-05,-1.1443035e-05,1.9583342e-05,1.1491062e-05,3.587668e-05,-4.731773e-06,1.9010531e-05,5.362763e-06,1.1433521e-05,6.370749e-06,-5.0387112e-05,-2.6427017e-06,2.1577722e-05,-1.1364297e-06,2.7199498e-05,-2.8059012e-05
5,-94.799446,31.133556,-2.371926,-0.43799165,-0.042583045,-0.1370621,0.053578608,-0.0097046355,0.005527252,0.0015867581,0.000792061,0.0002249564,0.00014750814,-9.586211e-05,-2.5771235e-05,1.4615853e-05,2.6308805e-06,-1.1502354e-05,1.0486837e-06,1.0385511e-05,3.556641e-06,-8.81066e-06,-3.0241165e-06,8.247157e-06,1.7060707e-05,4.8509464e-06,-8.101659e-06,7.8412495e-07,-2.088238e-05,-2.0286818e-06,-7.902483e-06,7.1503728e-06,-1.9462674e-05,-4.722336e-06,1.0444005e-05,1.3994789e-05,-1.2075332e-06,-7.702973e-06,3.1524555e-06,-1.785001e-05,-9.218219e-06,-1.8622055e-05,2.5718746e-06,4.0936543e-06,1.2232937e-05,5.7310945e-08,1.560349e-05,5.064564e-06,1.6198537e-05,6.391424e-06,-8.994282e-06,-8.868139e-06,1.4554879e-06,8.514042e-06,6.219685e-06,-1.5990265e-05,-5.44947e-06,1.7156217e-06,2.88869e-06,2.0789576e-06,1.8991786e-05,-8.342322e-06,-1.5974733e-06,1.0725149e-05,-1.0123703e-05,-2.0890371e-05,8.994451e-06,3.9290935e-05,1.5700525e-05,2.918201e-06,4.061653e-06,6.9183134e-06,1.1596817e-06,-1.0226381e-05,-6.8077734e-06,1.8217721e-05,1.4133507e-05,-2.309412e-05,-1.4215434e-05,-1.7398013e-05,-1.0425629e-06,-5.18113e-06,5.321094e-06,3.2407693e-06,-8.15228e-06,-9.3673325e-06,1.35647415e-05,-1.1331602e-05,2.3390056e-05,-7.0598358e-06,2.0321524e-05,3.138566e-06,7.4997724e-06,2.9316161e-05,-1.0614706e-05,9.075927e-06,3.0188896e-06,1.7836252e-05,3.285182e-07,-3.2715882e-06,9.243287e-11,1.9914089e-05,8.123916e-06,5.0074273e-06,7.4826876e-06,4.5224456e-07,-1.3124888e-05,6.499498e-06,-8.042912e-06,-9.72834e-06,-2.0463789e-05,1.4510452e-05,-4.937726e-06,-1.494612e-06,7.5977636e-07,-3.367449e-06,1.2714963e-05,1.6456634e-05,2.9216599e-06,9.016166e-06,-4.146316e-06,-2.1894806e-05,-7.630059e-06,9.251359e-06,2.5357858e-05,1.0394029e-05,1.8117793e-06,4.6111385e-05
5,13.135598,31.277498,1.8325583,0.8117617,0.21716866,-0.21615104,0.013167341,-0.0034616005,0.005966326,0.00071267126,-0.001506789,0.0001785946,0.00013943392,1.1261836e-05,8.827333e-06,-3.5800346e-07,2.9182008e-06,4.1447543e-06,-9.467727e-07,-1.14991195e-07,3.729271e-06,-5.213149e-06,1.3115381e-05,-7.668361e-06,1.06944735e-05,-2.6761707e-06,-5.7622524e-06,-3.5709135e-07,-4.6369864e-06,-6.6258726e-06,4.072835e-06,5.781038e-07,2.4743847e-05,-1.3721357e-05,-8.3264877e-07,-3.1512138e-06,-2.1869912e-06,-9.890632e-06,8.182987e-06,-9.950805e-06,2.8700186e-05,-9.42835e-06,1.8466111e-05,-2.2514068e-05,2.7364815e-05,7.865493e-06,-1.0398141e-05,-8.237677e-06,5.12675e-07,4.1696553e-06,7.7023415e-06,8.55529e-06,1.1372506e-05,4.228818e-06,-1.05334275e-05,-9.2139726e-07,1.8824987e-05,1.3216354e-05,-8.223025e-06,-8.636391e-06,5.600917e-06,-1.591552e-05,-9.0794265e-06,9.1292117e-07,-1.7681057e-05,-3.3671538e-06,-2.2306223e-05,6.4439355e-06,1.355189e-05,9.747469e-06,3.2624626e-05,-1.2932198e-05,-8.1526105e-06,7.77035e-06,6.4494584e-06,1.1655072e-05,1.552541e-06,-1.5752782e-06,-1.0294013e-05,-4.838096e-06,-5.2284054e-06,-7.936109e-06,2.9579035e-06,2.073653e-07,1.2264844e-05,-1.0378039e-05,9.94645e-07,-1.155745e-05,6.5410944e-08,-9.14918e-06,1.2731187e-05,-9.552738e-06,-1.3186971e-05,-1.6956144e-05,3.0710146e-06,-2.4421279e-05,-5.009286e-06,-1.1822803e-05,-1.4759879e-05,7.001808e-06,1.6251259e-05,2.322098e-05,3.0178873e-07,1.2036214e-05,-1.0843608e-05,8.69276e-06,1.1892802e-05,5.305101e-06,2.1143862e-06,-1.7639328e-05,-2.5329993e-05,-1.0881009e-05,-2.316279e-05,1.8096418e-05,7.5216135e-06,7.492708e-06,1.4593927e-05,6.1151286e-06,-3.2380185e-06,-4.3503795e-05,-9.238601e-06,1.4913352e-05,4.171801e-06,-1.6377995e-05,-1.0787476e-06,-2.078603e-06,-1.0911908e-05,1.0191722e-05
