label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127,dim128,dim129,dim130,dim131,dim132,dim133,dim134,dim135,dim136,dim137,dim138,dim139,dim140,dim141,dim142,dim143,dim144,dim145,dim146,dim147,dim148,dim149,dim150,dim151,dim152,dim153,dim154,dim155,dim156,dim157,dim158,dim159,dim160,dim161,dim162,dim163,dim164,dim165,dim166,dim167,dim168,dim169,dim170,dim171,dim172,dim173,dim174,dim175,dim176,dim177,dim178,dim179,dim180,dim181,dim182,dim183,dim184,dim185,dim186,dim187,dim188,dim189,dim190,dim191,dim192,dim193,dim194,dim195,dim196,dim197,dim198,dim199,dim200,dim201,dim202,dim203,dim204,dim205,dim206,dim207,dim208,dim209,dim210,dim211,dim212,dim213,dim214,dim215,dim216,dim217,dim218,dim219,dim220,dim221,dim222,dim223,dim224,dim225,dim226,dim227,dim228,dim229,dim230,dim231,dim232,dim233,dim234,dim235,dim236,dim237,dim238,dim239,dim240,dim241,dim242,dim243,dim244,dim245,dim246,dim247,dim248,dim249,dim250,dim251,dim252,dim253,dim254,dim255
5,36.819027,36.812244,36.805202,36.7979,36.79033,36.782475,36.774326,36.765873,36.757107,36.748016,36.738586,36.728806,36.718662,36.70814,36.69723,36.685917,36.674183,36.662014,36.649395,36.63631,36.62274,36.608673,36.59408,36.578957,36.563274,36.547012,36.530155,36.512676,36.494556,36.475773,36.456303,36.43612,36.4152,36.393517,36.37104,36.347748,36.32361,36.298595,36.27267,36.24581,36.21798,36.18914,36.159267,36.12832,36.096256,36.063046,36.02865,35.993023,35.956127,35.917923,35.87836,35.8374,35.794994,35.751095,35.705654,35.658623,35.609947,35.559578,35.507458,35.453537,35.39776,35.34006,35.280388,35.21868,35.154873,35.08891,35.02072,34.950245,34.87741,34.80216,34.72442,34.64412,34.561188,34.47556,34.38716,34.295918,34.201756,34.104607,34.00439,33.901035,33.79447,33.68462,33.571407,33.45476,33.33461,33.210876,33.083492,32.952393,32.8175,32.678757,32.53609,32.389442,32.238754,32.08397,31.92503,31.761889,31.594503,31.422829,31.246828,31.066475,30.881739,30.692602,30.499054,30.301086,30.0987,29.891907,29.680725,29.465178,29.245304,29.02115,28.79277,28.56023,28.323606,28.08299,27.83848,27.590187,27.338236,27.082762,26.823914,26.561853,26.296751,26.028797,25.758184,25.485126,25.209845,24.93257,24.653547,24.37303,24.091282,23.808573,23.525187,23.241405,22.957525,22.673841,22.390654,22.108267,21.826979,21.547094,21.268913,20.992731,20.718838,20.447515,20.179039,19.913675,19.651678,19.393288,19.13873,18.88822,18.641953,18.400108,18.162851,17.930325,17.702654,17.47995,17.2623,17.049778,16.842438,16.640316,16.443432,16.251791,16.06538,15.884179,15.708148,15.537237,15.3713875,15.210527,15.054579,14.903455,14.757062,14.615299,14.478064,14.345243,14.216725,14.092393,13.972125,13.855799,13.743288,13.634466,13.529205,13.427374,13.328841,13.233476,13.141146,13.051719,12.965064,12.881053,12.799555,12.720446,12.6436,12.5689,12.496227,12.425469,12.35652,12.289274,12.223639,12.159518,12.096831,12.035497,11.975443,11.916604,11.858919,11.802337,11.746808,11.692293,11.638757,11.586169,11.534505,11.483747,11.433878,11.384889,11.336774,11.289529,11.2431555,11.197656,11.153036,11.1093025,11.066465,11.024535,10.983521,10.943436,10.90429,10.866096,10.828862,10.7926,10.757315,10.723015,10.689704,10.657386,10.62606,10.595726,10.56638,10.538014,10.510623,10.484196,10.458719,10.43418,10.410563,10.387851,10.366024,10.345064,10.324949,10.30566,10.287174,10.269469,10.252525,10.23632,10.220831,10.206039,10.191924,10.178468,0.0,0.0,0.0,0.0,0.0,0.0
5,22.890034,22.88591,22.881634,22.877197,22.872597,22.867823,22.862873,22.857738,22.852411,22.846888,22.84116,22.835217,22.829054,22.822662,22.816034,22.80916,22.802032,22.79464,22.786974,22.779026,22.770782,22.762236,22.753374,22.744186,22.73466,22.724783,22.714542,22.703926,22.69292,22.681513,22.669687,22.657429,22.644722,22.631554,22.617905,22.603758,22.5891,22.573908,22.558167,22.541855,22.524956,22.507446,22.489305,22.470514,22.451048,22.430887,22.410004,22.388376,22.36598,22.342787,22.318773,22.293913,22.268175,22.241531,22.213955,22.185413,22.155876,22.125313,22.09369,22.060978,22.027138,21.992136,21.95594,21.918512,21.879814,21.83981,21.79846,21.755728,21.71157,21.66595,21.618826,21.570156,21.519897,21.468008,21.414446,21.359167,21.302128,21.243286,21.182596,21.120014,21.055498,20.989002,20.920483,20.849897,20.777203,20.702356,20.625317,20.546043,20.464499,20.38064,20.294434,20.205841,20.114832,20.021372,19.925432,19.826984,19.726006,19.622473,19.516369,19.407679,19.296387,19.182491,19.065985,18.946869,18.825151,18.700842,18.573956,18.444517,18.312553,18.178097,18.04119,17.901878,17.760218,17.61627,17.4701,17.321789,17.171415,17.019075,16.864866,16.708895,16.551275,16.392134,16.231598,16.069807,15.906905,15.743045,15.578386,15.413094,15.247337,15.081294,14.915145,14.749073,14.583267,14.417918,14.253216,14.089354,13.926523,13.764915,13.604717,13.446115,13.289288,13.134411,12.981652,12.831173,12.683125,12.537649,12.39488,12.254938,12.117932,11.98396,11.853106,11.725439,11.601021,11.479893,11.362087,11.2476225,11.136502,11.028721,10.924259,10.823088,10.725164,10.630442,10.538861,10.450357,10.364858,10.282286,10.2025585,10.125591,10.051296,9.979584,9.910362,9.843543,9.779034,9.716746,9.656593,9.598488,9.542346,9.488087,9.435631,9.384901,9.335825,9.28833,9.242349,9.197815,9.154664,9.112836,9.072272,9.032917,8.994716,8.95762,8.921579,8.88655,8.852487,8.819352,8.7871065,8.755716,8.72515,8.695378,8.666376,8.638119,8.610587,8.583762,8.557631,8.532178,8.507394,8.48327,8.459799,8.436976,8.414798,8.39326,8.372361,8.352101,8.3324795,8.313494,8.295146,8.277433,8.260358,8.2439165,8.228109,8.212933,8.198385,8.1844635,8.171162,8.158476,8.1463995,8.134925,8.124046,8.113752,8.104034,8.094881,8.086282,8.078223,8.070691,8.063673,8.057153,8.051113,8.045539,8.040412,8.035714,8.031425,8.027528,8.023999,8.020821,8.017971,8.015428,8.013171,8.01118,8.009432,8.007908,8.006586,0.0,0.0,0.0,0.0,0.0,0.0
5,24.883656,24.879293,24.87477,24.870075,24.865206,24.860157,24.854918,24.849485,24.84385,24.838005,24.831944,24.825657,24.819136,24.812374,24.80536,24.798086,24.790545,24.782722,24.77461,24.766201,24.757479,24.748434,24.739058,24.729336,24.719254,24.708803,24.697968,24.686733,24.675089,24.663015,24.650501,24.63753,24.624084,24.610147,24.595703,24.580734,24.565222,24.549145,24.532486,24.515224,24.49734,24.478807,24.45961,24.439722,24.41912,24.397781,24.375679,24.352789,24.329084,24.304537,24.27912,24.252804,24.225561,24.19736,24.168167,24.137955,24.106688,24.074333,24.040857,24.006226,23.9704,23.933346,23.895023,23.855394,23.814423,23.772066,23.728283,23.683035,23.636276,23.587967,23.538063,23.486519,23.433292,23.378336,23.321606,23.263056,23.202639,23.140308,23.076017,23.00972,22.94137,22.870918,22.798319,22.723528,22.646496,22.56718,22.485537,22.40152,22.315088,22.2262,22.134817,22.040897,21.944408,21.845316,21.743584,21.639187,21.532095,21.422287,21.30974,21.194439,21.076372,20.955526,20.831902,20.705494,20.576313,20.444368,20.309673,20.172255,20.032139,19.88936,19.743965,19.595999,19.445518,19.29259,19.137283,18.979683,18.819872,18.657951,18.494024,18.328205,18.160618,17.99139,17.820662,17.648582,17.475304,17.300993,17.125818,16.949957,16.773596,16.596922,16.42013,16.243423,16.067005,15.891083,15.715865,15.541563,15.368388,15.19655,15.02626,14.857721,14.691138,14.526706,14.364616,14.205052,14.04819,13.894196,13.743224,13.595421,13.450919,13.309839,13.172289,13.038361,12.908136,12.78168,12.659045,12.540269,12.425376,12.314375,12.207264,12.104029,12.004642,11.909063,11.817246,11.729133,11.644655,11.56374,11.486304,11.412263,11.341522,11.273987,11.209556,11.148128,11.089598,11.03386,10.980809,10.930336,10.882335,10.8366995,10.793325,10.752108,10.712943,10.675733,10.640377,10.606781,10.574849,10.544493,10.515622,10.488155,10.46201,10.43711,10.413382,10.390756,10.369167,10.3485565,10.328865,10.310042,10.29204,10.274814,10.258325,10.2425375,10.22742,10.212944,10.199085,10.185821,10.173134,10.161006,10.149424,10.138375,10.12785,10.117837,10.108329,10.099318,10.090795,10.082753,10.075186,10.068083,10.061437,10.055239,10.049476,10.044139,10.039214,10.034689,10.030547,10.026773,10.023353,10.020265,10.017492,10.015017,10.012817,10.010876,10.0091715,10.007685,10.006396,10.005288,10.00434,10.003535,10.002858,10.002292,10.001822,10.001437,10.001123,10.00087,10.000667,10.000506,10.0003805,10.000282,10.000208,10.000151,10.000109,10.000077,0.0,0.0,0.0,0.0,0.0,0.0
5,23.887207,23.882978,23.878592,23.87404,23.86932,23.864424,23.859346,23.854078,23.848616,23.842949,23.837072,23.830976,23.824654,23.818098,23.811298,23.804247,23.796934,23.78935,23.781487,23.77333,23.764875,23.756107,23.747015,23.737589,23.727814,23.717682,23.707174,23.696283,23.684992,23.673286,23.661152,23.648575,23.635538,23.622025,23.60802,23.593506,23.578463,23.562874,23.54672,23.529984,23.51264,23.49467,23.476055,23.45677,23.436792,23.4161,23.394667,23.372469,23.349482,23.325676,23.301027,23.275507,23.249084,23.221735,23.193424,23.164122,23.133797,23.102419,23.06995,23.036358,23.00161,22.965668,22.928495,22.890057,22.850311,22.809223,22.76675,22.722855,22.677492,22.630623,22.582207,22.532196,22.48055,22.427227,22.372179,22.315361,22.256731,22.19624,22.133844,22.069498,22.003153,21.934767,21.864292,21.791683,21.716894,21.639883,21.560604,21.479015,21.395075,21.30874,21.219975,21.128736,21.03499,20.938704,20.839842,20.738377,20.63428,20.527525,20.41809,20.305962,20.191122,20.073559,19.953266,19.830242,19.70449,19.576017,19.444834,19.31096,19.174421,19.035244,18.893465,18.74913,18.602287,18.452995,18.301313,18.147318,17.991087,17.832705,17.672266,17.509872,17.345636,17.179672,17.012104,16.843065,16.672695,16.501139,16.328547,16.155079,15.980901,15.806177,15.6310835,15.455796,15.280496,15.105362,14.930579,14.756331,14.582801,14.410171,14.238619,14.068321,13.899448,13.732167,13.566636,13.4030075,13.241425,13.082021,12.924922,12.770242,12.618082,12.4685335,12.321677,12.177579,12.036294,11.897864,11.762321,11.629684,11.499961,11.373149,11.249236,11.1282015,11.010016,10.894643,10.782039,10.672157,10.564945,10.460349,10.358312,10.258775,10.161679,10.066969,9.974585,9.884474,9.796581,9.710858,9.627257,9.5457325,9.466242,9.388747,9.313212,9.239603,9.167888,9.098037,9.030024,8.96382,8.899402,8.836744,8.775822,8.716612,8.659091,8.603232,8.549014,8.496409,8.445393,8.395938,8.348018,8.301603,8.256666,8.213177,8.171104,8.13042,8.091088,8.05308,8.01636,7.9808955,7.9466515,7.9135933,7.8816853,7.8508906,7.821172,7.792493,7.764814,7.7380967,7.7123013,7.6873884,7.6633177,7.640048,7.61754,7.5957527,7.5746465,7.5541816,7.53432,7.5150237,7.4962573,7.4779863,7.460178,7.4428015,7.42583,7.4092364,7.3929987,7.377096,7.3615117,7.3462305,7.331241,7.316534,7.302104,7.287947,7.2740626,7.2604513,7.2471175,7.234066,7.221304,7.208841,7.196686,7.1848493,7.173343,7.1621795,7.1513696,7.1409254,7.130858,7.121178,0.0,0.0,0.0,0.0,0.0,0.0
5,22.877928,22.873352,22.868605,22.86368,22.858572,22.853273,22.847778,22.84208,22.836166,22.830036,22.823675,22.81708,22.81024,22.803144,22.795788,22.788157,22.780245,22.77204,22.76353,22.754707,22.745558,22.73607,22.726234,22.716036,22.705462,22.694498,22.683132,22.671349,22.659132,22.64647,22.633343,22.619738,22.605635,22.591017,22.575869,22.560167,22.543898,22.527037,22.509565,22.49146,22.472704,22.453272,22.43314,22.412283,22.39068,22.368303,22.345127,22.321125,22.29627,22.270533,22.243883,22.216293,22.18773,22.158165,22.127563,22.095892,22.063116,22.029202,21.994114,21.957815,21.920267,21.881432,21.84127,21.799744,21.75681,21.712427,21.666553,21.619144,21.57016,21.519552,21.467278,21.413288,21.35754,21.299988,21.24058,21.17927,21.116013,21.050756,20.983456,20.91406,20.842522,20.768793,20.692825,20.614573,20.533985,20.45102,20.36563,20.27777,20.187397,20.09447,19.998947,19.900793,19.799969,19.696442,19.59018,19.481152,19.369335,19.254705,19.137245,19.016937,18.893772,18.767742,18.638847,18.507092,18.372482,18.235035,18.09477,17.951717,17.805908,17.657385,17.506195,17.352396,17.19605,17.037233,16.876022,16.712507,16.546787,16.378967,16.209164,16.0375,15.864112,15.689137,15.512731,15.335048,15.156259,14.976536,14.796063,14.61503,14.433633,14.25207,14.07055,13.889282,13.70848,13.528358,13.349134,13.171025,12.9942465,12.819011,12.645528,12.474004,12.304636,12.137617,11.973129,11.811346,11.652429,11.496527,11.343779,11.194305,11.048216,10.9056015,10.76654,10.63109,10.499297,10.371187,10.246772,10.126046,10.00899,9.895571,9.785739,9.679434,9.576585,9.477109,9.380918,9.287911,9.197989,9.111042,9.026961,8.945636,8.866955,8.790808,8.717088,8.645693,8.576524,8.509485,8.44449,8.381458,8.320312,8.2609825,8.203409,8.147534,8.093308,8.040689,7.989637,7.940119,7.8921065,7.845576,7.8005066,7.7568808,7.7146845,7.6739054,7.634533,7.596558,7.5599732,7.5247703,7.490943,7.4584827,7.4273825,7.3976326,7.3692236,7.3421435,7.316379,7.291916,7.268736,7.24682,7.2261457,7.206689,7.1884227,7.1713176,7.1553416,7.1404605,7.1266384,7.113837,7.102015,7.0911317,7.0811434,7.072007,7.063677,7.056108,7.0492554,7.043073,7.037517,7.0325427,7.0281067,7.0241675,7.0206842,7.0176177,7.0149307,7.0125875,7.0105543,7.008799,7.0072927,7.0060062,7.004915,7.003995,7.0032244,7.002583,7.0020533,7.0016193,7.0012665,7.000982,7.000754,7.0005736,7.000432,7.0003223,7.0002375,7.000173,7.000125,7.000089,7.0000625,7.0000434,0.0,0.0,0.0,0.0,0.0,0.0
5,23.88058,23.876102,23.871458,23.866642,23.861645,23.85646,23.851086,23.845509,23.839725,23.833727,23.827505,23.821053,23.81436,23.807419,23.800222,23.792757,23.785015,23.776989,23.768663,23.76003,23.751081,23.7418,23.732176,23.722198,23.711853,23.701126,23.690006,23.678478,23.666529,23.654139,23.641296,23.627985,23.614187,23.599886,23.585066,23.569704,23.553785,23.537289,23.520195,23.502483,23.48413,23.465117,23.44542,23.425014,23.403877,23.381983,23.359306,23.335821,23.3115,23.286318,23.260242,23.233246,23.205297,23.176367,23.146421,23.11543,23.083359,23.050173,23.015837,22.980314,22.94357,22.905565,22.866262,22.825623,22.783606,22.740168,22.695272,22.648874,22.60093,22.551397,22.50023,22.447386,22.392818,22.336481,22.278326,22.21831,22.156384,22.092499,22.026608,21.958664,21.88862,21.81643,21.742043,21.665413,21.586494,21.505241,21.42161,21.335552,21.24703,21.155998,21.062418,20.966251,20.86746,20.766012,20.661873,20.555014,20.44541,20.333035,20.217873,20.099901,19.979115,19.8555,19.729055,19.599783,19.467688,19.332783,19.195087,19.054623,18.91142,18.765518,18.616959,18.465796,18.312086,18.155897,17.997303,17.836386,17.673239,17.50796,17.340654,17.17144,17.000444,16.827797,16.653639,16.478123,16.301401,16.12364,15.945014,15.765697,15.5858755,15.405738,15.22548,15.0453,14.865399,14.685982,14.507254,14.329421,14.152688,13.977259,13.803334,13.63111,13.460779,13.292525,13.126526,12.962952,12.801961,12.6437025,12.488315,12.335921,12.186636,12.040556,11.897765,11.758335,11.622319,11.4897585,11.36068,11.235094,11.112999,10.994379,10.879207,10.767442,10.659032,10.553918,10.452029,10.353288,10.25761,10.164907,10.075083,9.988042,9.903684,9.821908,9.742613,9.665699,9.591067,9.5186205,9.448264,9.379906,9.313458,9.2488365,9.185962,9.124755,9.0651455,9.007064,8.950448,8.895238,8.841377,8.7888155,8.737505,8.687401,8.638464,8.590657,8.543947,8.498303,8.453697,8.410105,8.367501,8.325866,8.285179,8.245422,8.206578,8.16863,8.131561,8.095357,8.06,8.025477,7.9917703,7.958864,7.9267426,7.895388,7.864784,7.8349133,7.805758,7.777301,7.7495246,7.722412,7.6959453,7.670109,7.6448855,7.620261,7.59622,7.572749,7.549835,7.527467,7.505633,7.4843235,7.4635296,7.443244,7.4234595,7.40417,7.3853703,7.3670554,7.3492227,7.3318677,7.3149886,7.298583,7.282649,7.267185,7.2521906,7.2376637,7.223605,7.2100134,7.196889,7.1842318,7.172042,7.160319,7.1490636,7.138275,7.127954,7.1180997,7.1087112,7.0997868,0.0,0.0,0.0,0.0,0.0,0.0
5,25.860844,25.855627,25.850214,25.8446,25.838778,25.832739,25.826473,25.819975,25.813236,25.806246,25.798996,25.791477,25.783678,25.77559,25.767204,25.758505,25.749485,25.740131,25.73043,25.720371,25.709942,25.699127,25.687914,25.676287,25.66423,25.651733,25.638775,25.625341,25.611416,25.596981,25.582016,25.566505,25.550426,25.533764,25.516493,25.498592,25.480043,25.460821,25.440903,25.420263,25.39888,25.376724,25.353773,25.329996,25.305365,25.279854,25.253431,25.226067,25.19773,25.168385,25.138002,25.106546,25.07398,25.040272,25.00538,24.969269,24.9319,24.893232,24.853226,24.811838,24.769026,24.724745,24.678953,24.631601,24.582647,24.53204,24.47973,24.425673,24.369816,24.312107,24.252499,24.190933,24.127361,24.06173,23.993982,23.924067,23.851925,23.777506,23.700752,23.621609,23.540022,23.455933,23.369291,23.280039,23.188124,23.093493,22.996094,22.895878,22.792791,22.686789,22.577826,22.465855,22.350834,22.232727,22.111496,21.987108,21.859533,21.728745,21.594719,21.457443,21.3169,21.173084,21.025991,20.875628,20.722,20.565128,20.405033,20.241747,20.075308,19.90576,19.733162,19.557573,19.37907,19.197731,19.01365,18.826927,18.637674,18.44601,18.25207,18.05599,17.857925,17.658037,17.456497,17.253487,17.049196,16.843824,16.63758,16.430683,16.22335,16.015818,15.808319,15.601095,15.394391,15.188454,14.983532,14.779876,14.577734,14.377352,14.178971,13.982831,13.78916,13.598182,13.410109,13.225143,13.043475,12.865281,12.690722,12.519946,12.35308,12.190237,12.03151,11.876976,11.726691,11.580693,11.439001,11.301617,11.168523,11.039687,10.915059,10.794574,10.678155,10.56571,10.45714,10.352332,10.25117,10.153529,10.05928,9.968291,9.880429,9.79556,9.713552,9.634275,9.557603,9.483411,9.411582,9.342003,9.274566,9.209168,9.145717,9.08412,9.024293,8.966158,8.909641,8.854674,8.801193,8.74914,8.698457,8.649093,8.601,8.554133,8.5084505,8.463911,8.420478,8.378117,8.336794,8.296479,8.257144,8.2187605,8.181304,8.14475,8.109076,8.074261,8.040285,8.007131,7.9747777,7.9432106,7.912413,7.882369,7.8530636,7.8244815,7.7966084,7.769429,7.7429295,7.7170944,7.69191,7.66736,7.64343,7.6201053,7.597369,7.5752063,7.5536013,7.5325375,7.5119996,7.4919715,7.472438,7.453383,7.434793,7.4166536,7.398951,7.3816733,7.364808,7.348346,7.3322773,7.316594,7.30129,7.2863593,7.271799,7.257606,7.243779,7.23032,7.2172284,7.204509,7.1921635,7.1801977,7.1686172,7.157427,7.1466336,7.1362433,7.126262,7.1166954,0.0,0.0,0.0,0.0,0.0,0.0
5,87.67722,87.66512,87.65257,87.63955,87.62604,87.61203,87.597496,87.58243,87.566795,87.550575,87.53376,87.51632,87.49823,87.47947,87.460014,87.439835,87.41891,87.39721,87.37471,87.35137,87.32718,87.302086,87.27608,87.2491,87.22114,87.19214,87.16208,87.13092,87.09861,87.065125,87.0304,86.994415,86.957115,86.91846,86.87839,86.83686,86.79382,86.74923,86.70301,86.65513,86.605515,86.55411,86.50085,86.44568,86.38853,86.32934,86.26802,86.20452,86.13876,86.07067,86.00017,85.92717,85.85159,85.77337,85.69239,85.60858,85.52186,85.432106,85.33925,85.24319,85.143814,85.04103,84.93473,84.824814,84.71117,84.59368,84.472244,84.34673,84.21705,84.08305,83.94464,83.80168,83.65405,83.50163,83.34429,83.1819,83.014336,82.84147,82.66317,82.4793,82.28975,82.09437,81.89303,81.685616,81.472,81.252045,81.025635,80.792656,80.55298,80.306496,80.05309,79.79267,79.52512,79.25035,78.96828,78.67881,78.38188,78.07742,77.76538,77.4457,77.118355,76.78332,76.440575,76.090126,75.73199,75.36619,74.99278,74.61182,74.22338,73.82757,73.42449,73.0143,72.59713,72.17318,71.74263,71.3057,70.862656,70.41374,69.95925,69.4995,69.03482,68.56557,68.092125,67.61489,67.1343,66.65079,66.16482,65.67687,65.187454,64.697075,64.206276,63.71558,63.225544,62.73673,62.24969,61.764996,61.283207,60.804886,60.33058,59.86084,59.396187,58.937138,58.484188,58.037807,57.598446,57.166523,56.742428,56.32652,55.919113,55.520504,55.130936,54.75062,54.37973,54.01839,53.666702,53.32471,52.99244,52.66987,52.356937,52.053566,51.75964,51.475006,51.19951,50.932953,50.675133,50.425823,50.18479,49.95179,49.726574,49.508884,49.298466,49.09506,48.89842,48.708286,48.524426,48.346596,48.17457,48.008118,47.847034,47.69111,47.540146,47.393955,47.252357,47.115173,46.982243,46.853405,46.728508,46.60741,46.489964,46.37605,46.26553,46.15829,46.054222,45.953213,45.855164,45.759975,45.667564,45.577843,45.49073,45.406162,45.324062,45.24437,45.167023,45.09197,45.019154,44.948532,44.88005,44.813667,44.749344,44.68703,44.62669,44.56828,44.51176,44.457096,44.404236,44.35314,44.303776,44.256084,44.21003,44.16556,44.122635,44.0812,44.041206,44.00261,43.965355,43.929394,43.894672,43.86114,43.82875,43.79745,43.767193,43.73793,43.709618,43.682205,43.65566,43.62993,43.60498,43.58078,43.55729,43.534477,43.512318,43.490776,43.469837,43.449474,43.429665,43.410393,43.39164,43.373398,43.355648,43.338383,0.0,0.0,0.0,0.0,0.0,0.0
5,22.907125,22.903645,22.900032,22.896286,22.8924,22.88837,22.88419,22.879854,22.875357,22.870691,22.865854,22.860836,22.855633,22.850235,22.844639,22.838835,22.832815,22.826574,22.8201,22.81339,22.80643,22.799215,22.791733,22.783974,22.775932,22.767593,22.758947,22.749985,22.740694,22.731064,22.72108,22.710732,22.700006,22.68889,22.677368,22.665428,22.653055,22.640234,22.626947,22.61318,22.598917,22.58414,22.568832,22.552973,22.536547,22.519533,22.501913,22.483664,22.464767,22.4452,22.42494,22.403967,22.382254,22.359777,22.336517,22.312443,22.28753,22.261755,22.235086,22.207499,22.178965,22.149452,22.118933,22.087378,22.054756,22.021034,21.986181,21.950165,21.91295,21.874508,21.834799,21.793793,21.751451,21.70774,21.662624,21.616068,21.568035,21.518488,21.467392,21.41471,21.360405,21.30444,21.24678,21.187391,21.126236,21.06328,20.99849,20.93183,20.86327,20.79278,20.720327,20.645884,20.569422,20.490917,20.410347,20.327688,20.242922,20.15603,20.067001,19.975822,19.882488,19.786991,19.689331,19.589512,19.48754,19.383425,19.277185,19.168842,19.058418,18.945946,18.831459,18.715004,18.596624,18.476376,18.354319,18.230516,18.105042,17.977974,17.8494,17.719408,17.588097,17.45557,17.32194,17.187319,17.051832,16.915606,16.778772,16.641468,16.503836,16.36602,16.228168,16.090433,15.952968,15.815926,15.6794615,15.54373,15.408884,15.275075,15.142452,15.011161,14.881339,14.753123,14.626641,14.502014,14.379355,14.258771,14.140354,14.024194,13.910363,13.798928,13.689943,13.583451,13.4794855,13.378068,13.279208,13.182907,13.089157,12.997938,12.9092245,12.822982,12.739169,12.657738,12.578635,12.501804,12.427186,12.354717,12.284334,12.215971,12.149565,12.085052,12.0223675,11.961454,11.902253,11.844709,11.788769,11.734384,11.681506,11.630095,11.580107,11.531506,11.484255,11.438321,11.393673,11.350281,11.308115,11.267149,11.227353,11.188703,11.151169,11.114726,11.079347,11.045001,11.011663,10.979303,10.947891,10.917398,10.887793,10.859043,10.831119,10.803989,10.777621,10.751986,10.727049,10.702783,10.679157,10.656143,10.633713,10.611839,10.590498,10.569665,10.549317,10.529434,10.509996,10.490985,10.472385,10.454181,10.436359,10.418908,10.401818,10.385078,10.368684,10.352626,10.336901,10.321505,10.306436,10.291691,10.277273,10.263182,10.249419,10.23599,10.2228985,10.21015,10.19775,10.185706,10.1740265,10.162719,10.151791,10.141251,10.131105,10.121365,10.112034,10.103119,10.094625,10.086556,10.078915,10.071701,10.064914,10.058552,10.052609,10.047081,0.0,0.0,0.0,0.0,0.0,0.0
5,31.868143,31.863201,31.858072,31.852753,31.847237,31.841513,31.835577,31.82942,31.823034,31.816412,31.809544,31.802418,31.795029,31.787367,31.779419,31.771177,31.76263,31.753767,31.744577,31.735046,31.725164,31.714916,31.704292,31.693275,31.681854,31.670012,31.657736,31.645008,31.631813,31.618135,31.603958,31.589262,31.57403,31.55824,31.541878,31.52492,31.507345,31.489134,31.470263,31.45071,31.43045,31.40946,31.387714,31.365189,31.341854,31.317686,31.292654,31.26673,31.239883,31.212084,31.1833,31.153502,31.12265,31.090717,31.057665,31.023457,30.988056,30.951427,30.91353,30.874323,30.833769,30.791824,30.74845,30.703596,30.657227,30.60929,30.559744,30.508541,30.455635,30.400978,30.344519,30.28621,30.226,30.16384,30.099676,30.033463,29.965141,29.894663,29.821976,29.747028,29.669765,29.590137,29.508091,29.423576,29.33654,29.246935,29.15471,29.05982,28.962215,28.86185,28.758684,28.652674,28.54378,28.431963,28.317194,28.199436,28.078665,27.954853,27.827982,27.698034,27.564997,27.428864,27.289633,27.147306,27.001894,26.853413,26.701883,26.547333,26.3898,26.229326,26.065964,25.899775,25.730822,25.559187,25.384953,25.208214,25.029074,24.847649,24.664059,24.478436,24.290924,24.101673,23.910841,23.718601,23.525127,23.330606,23.135235,22.93921,22.742743,22.546045,22.349337,22.152842,21.956785,21.761398,21.566908,21.373549,21.181547,20.991133,20.802526,20.61595,20.431612,20.24972,20.07047,19.894049,19.720629,19.550373,19.383434,19.219944,19.060024,18.90378,18.751297,18.602652,18.4579,18.31708,18.180214,18.047314,17.918371,17.793365,17.672262,17.555016,17.441568,17.331856,17.2258,17.123322,17.024332,16.928741,16.836456,16.747383,16.661423,16.578485,16.498478,16.42131,16.346899,16.275164,16.206026,16.139414,16.075262,16.013508,15.954093,15.896965,15.842076,15.789381,15.738836,15.690404,15.644048,15.599731,15.557422,15.517086,15.478691,15.4422035,15.407591,15.374817,15.343848,15.314645,15.287169,15.26138,15.237233,15.2146845,15.193684,15.174182,15.156127,15.139463,15.124134,15.110082,15.097244,15.085562,15.07497,15.065407,15.056809,15.049112,15.042253,15.03617,15.030801,15.026087,15.02197,15.018394,15.015306,15.012656,15.010396,15.008481,15.006868,15.005522,15.004405,15.003485,15.002734,15.002127,15.001639,15.001251,15.000946,15.000708,15.000524,15.000383,15.0002775,15.000198,15.00014,15.000097,15.000067,15.000046,15.0000305,15.00002,15.000013,15.000009,15.000005,15.000003,15.000002,15.000001,15.000001,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
