label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
5,41.23309,-19.615019,-2.501377,0.11432116,-0.64963007,0.1260888,0.026228676,0.0041105654,-0.010021345,-0.00056660554,-0.00039307497,2.2802962e-05,0.00013580182,4.4501936e-05,7.140441e-05,-9.984313e-05,-7.962273e-05,4.844736e-06,-4.374729e-05,6.470961e-05,3.820213e-05,2.190656e-08,-3.9690254e-05,-1.5809152e-05,1.6452686e-05,-3.1429612e-05,-5.729517e-05,-1.7179582e-05,3.1875257e-05,1.0351639e-05,-2.4518862e-05,-1.6181808e-05,-4.8517846e-05,-1.7556518e-05,1.6117378e-05,-3.7671794e-05,-1.45834365e-05,-4.373639e-05,-1.8762068e-05,-3.5610037e-06,-2.9913526e-05,-6.3994516e-06,6.0369e-05,-3.1370302e-05,2.0973412e-06,2.3628476e-05,1.2518617e-05,-1.2084071e-05,-1.2096469e-05,-8.308967e-06,-2.3533848e-05,1.3918931e-05,-2.638489e-05,4.194127e-05,-2.0925763e-05,1.9868734e-05,3.484137e-06,1.3942692e-06,1.07755195e-05,-5.876257e-06,-6.0937655e-06,-2.2619946e-05,4.7542824e-05,-9.706809e-06
5,-108.49514,12.862143,0.105789155,-0.26443452,-0.025808718,0.09185043,0.019001005,0.00042868094,-0.0005267355,-0.0014462324,0.000674135,-0.00038311395,0.0001482231,-8.519679e-05,2.623816e-05,1.9300005e-05,-1.5751659e-05,2.4243103e-05,-1.1488803e-06,-3.4659681e-06,-7.529415e-07,-2.6206608e-05,-4.279819e-05,1.1427583e-05,1.5397389e-05,-2.0062491e-06,2.6066896e-06,1.974923e-05,-1.0513075e-05,-1.13292e-05,2.151707e-05,1.1983078e-06,5.9470126e-06,-4.4506945e-05,1.2668274e-05,7.593687e-07,4.683748e-06,-1.0506735e-05,1.4018502e-05,-5.2569235e-06,4.5335305e-06,-2.6822563e-05,2.702052e-05,2.950553e-07,1.2237513e-05,-1.531648e-05,-2.416733e-05,8.1173575e-06,-2.4765091e-05,-3.421114e-05,2.1949601e-05,-1.44285805e-05,3.1523962e-06,-8.547359e-07,9.539338e-06,-1.7873104e-05,-6.195355e-06,3.57861e-05,2.4158824e-05,-1.6104428e-05,-5.429123e-06,1.8063076e-05,2.6732701e-05,4.088473e-05
5,-81.51374,18.308365,2.9727042,0.31150377,-0.26162907,0.1081981,-0.019386841,-0.013225311,-0.0003885773,-0.0034534023,0.0014032648,0.00012006788,0.00014831843,-6.6524066e-05,5.8838104e-06,-5.0342423e-06,3.4864768e-06,-2.3332823e-06,5.401246e-06,4.7890817e-06,1.5655474e-05,6.918275e-06,-9.562972e-07,3.464696e-06,8.083934e-06,-2.0094687e-06,2.2685789e-07,9.762691e-07,-3.1345687e-06,-1.8564299e-06,-3.4409845e-06,-6.6367375e-06,-1.6848486e-06,-4.5784545e-06,-3.7615202e-06,6.8022796e-06,-2.6059956e-06,4.0463005e-06,8.427026e-06,-2.777325e-06,6.280312e-07,2.195252e-06,-5.362257e-06,6.1845826e-06,7.1925906e-06,-6.9675757e-06,-2.6772625e-06,-2.5865425e-06,-5.432741e-06,-1.2519662e-05,-5.004403e-06,-3.0513352e-06,-1.0231094e-05,5.6513375e-07,2.4330282e-06,-4.1733865e-06,-4.976323e-06,-5.444277e-06,-7.482927e-06,-8.47428e-06,-6.96e-06,2.2089794e-06,6.858321e-06,-1.575534e-05
5,-99.9167,4.735063,-3.3426774,0.36379918,0.037568912,-0.16559885,-0.032494925,0.0016267169,-0.0052247737,0.0048106285,0.0009621579,0.000115564566,0.00015222268,-3.3502074e-05,1.7725019e-05,-2.8169094e-05,1.7915549e-05,-3.981427e-06,9.7980455e-06,-3.9921165e-06,3.852551e-06,7.1771306e-06,-1.944152e-06,3.8826613e-07,-1.623452e-05,-2.1234466e-06,-2.2926079e-06,-9.063887e-07,5.668757e-06,3.0781555e-07,1.5888114e-05,-1.2814872e-05,-7.951925e-06,-1.0384013e-05,1.8596532e-07,-6.1472088e-06,7.2760395e-06,2.6803554e-07,2.4063972e-06,5.2142227e-06,1.0062762e-06,4.8531397e-06,-4.279545e-06,-1.2789878e-06,1.3815924e-06,-3.1760646e-06,8.8636525e-06,-5.1363236e-06,6.5487357e-06,8.428923e-06,-2.645314e-06,-4.174349e-06,2.572403e-06,6.6378734e-06,-5.6291788e-06,-3.383369e-06,-1.0459121e-06,1.0797707e-05,-8.9558835e-06,-4.184586e-06,-4.8427532e-06,-7.38575e-06,8.908313e-06,-1.1131693e-06
5,-116.60654,2.8240108,2.2631142,-0.0024794524,0.46021312,-0.07389239,-0.044368267,0.0026691586,0.0024408712,0.0013453646,-0.00047606634,-1.234878e-05,0.00012992781,9.457689e-05,5.0206013e-06,1.4419592e-06,9.889991e-06,5.093864e-06,-2.2805998e-06,-8.077018e-06,-1.2354137e-05,-6.859939e-07,-3.5728865e-06,9.7460725e-06,-5.988269e-06,-2.9056534e-06,-1.0278305e-05,7.1167267e-07,-7.590047e-07,1.3891489e-05,7.369716e-06,-1.2724723e-06,-3.413365e-06,7.757533e-06,1.0603533e-05,-1.9154731e-06,-4.906228e-06,-7.904771e-06,-2.893827e-06,5.0957524e-06,-2.8300476e-06,-4.772637e-06,1.7421118e-05,1.345581e-05,-3.3561882e-06,2.077579e-05,-4.6821738e-06,-1.3116783e-05,5.270202e-06,-3.2505247e-07,1.7184291e-06,4.116306e-06,3.6998656e-06,-1.2211863e-05,-7.4003356e-06,1.1438798e-05,4.3155418e-07,-7.389475e-06,-3.1915824e-06,3.854949e-06,-6.2443564e-06,1.6392056e-05,1.7193054e-07,1.2258447e-06
5,-101.87633,4.2086086,-1.1868525,-0.8167955,-0.11725586,-0.016185682,-0.02728914,0.0023309714,0.006216242,-0.00069619314,-0.0004684628,0.00039167682,0.00013293102,7.726e-05,2.637486e-05,-2.8350444e-06,1.191327e-05,-8.160687e-06,5.548015e-07,7.1704367e-06,-4.756502e-06,-1.138545e-05,1.0660488e-06,-5.6723405e-07,-8.959073e-06,7.91265e-06,-1.4218813e-05,-1.5694501e-06,-3.993783e-06,6.0862e-06,7.7742025e-06,5.620357e-06,-3.103942e-06,-7.175605e-07,3.943855e-07,-4.014462e-06,1.0868692e-05,-5.8760986e-07,-8.74528e-06,-1.6495231e-06,-5.55726e-07,-1.3303756e-05,-4.553339e-06,-4.6646874e-06,4.3921755e-06,-1.073475e-05,3.7168822e-06,6.032924e-07,-3.7722457e-06,1.8188663e-05,-1.7004932e-05,-1.1336313e-05,-2.3671791e-06,1.7866353e-06,5.841148e-06,-1.705392e-05,4.084136e-06,2.3840394e-06,-2.919572e-07,-7.885774e-06,1.6874051e-06,-1.466377e-05,-1.3897385e-05,-6.385375e-06
5,-85.10304,-4.561553,1.3889546,-1.2111433,-0.09859804,-0.021098725,-0.05330282,0.011837182,-0.004491328,0.0007625575,0.0009914686,0.0003617848,0.00013747076,-7.943734e-06,4.965048e-05,-5.225953e-06,1.0523675e-05,-6.343683e-06,5.217189e-06,9.213415e-06,-7.050632e-06,6.113952e-06,-4.579803e-06,6.104228e-06,-1.7486316e-05,-4.158018e-06,-7.0447736e-06,-1.0407658e-05,-8.6972095e-06,-9.047938e-06,-4.1310977e-06,3.5975208e-06,-1.0610574e-08,-3.6378176e-06,-5.978265e-06,-8.176728e-06,-6.5108165e-06,-4.0517743e-06,-5.0831914e-06,5.3064114e-06,6.925908e-07,2.9782198e-06,3.7922819e-06,7.2769735e-06,5.7772377e-06,2.9718647e-06,-2.4499486e-06,1.0007544e-05,-6.78642e-06,-2.5102406e-06,6.9331054e-06,5.9904655e-06,8.960679e-06,4.056487e-06,1.1415297e-05,-8.013092e-07,-7.439691e-06,3.0165566e-07,5.7221555e-06,-9.677424e-07,7.3712617e-06,-9.279838e-06,4.10077e-06,1.1232547e-05
5,708.57025,47.944077,-2.8615723,0.5732197,-0.15546729,0.04641446,-0.057963252,-0.021026798,-0.010744705,-0.003318427,0.0015877665,-0.0007154105,0.000140436,9.868022e-06,-3.6397323e-05,5.344437e-06,-1.6757873e-05,-5.8663187e-05,7.4112745e-06,-1.6587608e-05,-3.3688462e-05,-9.808962e-06,-9.842724e-07,-2.9997602e-05,-2.9983183e-05,5.110114e-06,-2.1395519e-05,-8.701711e-06,1.6457581e-05,1.1601085e-05,-2.6908145e-05,1.0152323e-05,-1.675202e-05,1.9554902e-05,-6.0256036e-05,-2.7753085e-05,-3.919228e-05,-1.2868344e-06,-1.14488075e-05,-1.6261167e-05,-4.157323e-05,2.5426356e-05,-1.1131264e-05,-4.3131058e-07,1.9074952e-05,-7.0385e-06,-4.34838e-05,-8.5329375e-06,-3.96501e-05,-1.7366525e-05,2.6348973e-05,-4.8322036e-05,-7.0155174e-06,-8.598382e-05,2.2220336e-05,-1.6533859e-05,-1.6892634e-05,1.4613035e-05,1.9448638e-07,2.3749797e-05,-1.3035424e-06,-2.190404e-06,3.1220898e-05,8.164993e-06
5,-94.79936,31.1336,-2.371917,-0.43798435,-0.04257859,-0.13705456,0.053587202,-0.009705686,0.005540849,0.0016002789,0.0007981113,0.00023453274,0.00014572994,-7.705536e-05,-1.9073768e-05,1.2164217e-05,-8.760948e-06,3.487875e-06,-3.6206332e-06,-1.3515354e-06,9.290358e-06,-6.580924e-06,5.6127747e-06,1.3176917e-06,2.964283e-06,1.1379574e-05,6.6398543e-06,1.4813946e-05,-4.209765e-06,-2.8620761e-06,-3.6869938e-06,-1.6533288e-06,-1.9460622e-06,9.661819e-06,1.8705033e-06,-3.7026712e-06,-2.3670404e-07,-6.7074524e-07,5.5642204e-06,1.8729021e-06,4.2774436e-06,-3.7078553e-06,3.7240795e-08,-5.683279e-06,3.0549868e-06,1.0948545e-05,-3.7909977e-06,-5.124246e-07,-9.623797e-06,-1.2198492e-05,3.2397363e-06,-1.0339384e-05,1.6286449e-06,-6.022359e-07,2.7415492e-06,8.387308e-06,-1.2867579e-05,-1.4936572e-05,7.5519024e-06,-5.1102126e-07,7.4971217e-06,-1.0676634e-06,1.160831e-06,-1.8076613e-06
5,13.135679,31.277512,1.8325493,0.8117619,0.2171672,-0.2161554,0.013164275,-0.0034629514,0.005961414,0.000708175,-0.0015117016,0.00017773062,0.0001380102,1.3256561e-05,6.060156e-06,-2.3294738e-06,3.1514032e-06,4.5242646e-06,-1.9240254e-06,-1.2848141e-06,-3.4394873e-06,-2.352699e-06,-1.3500013e-06,5.535111e-08,-5.95646e-07,7.9782586e-07,4.3542914e-06,3.8285827e-07,-1.37278e-06,3.2315555e-07,-6.637345e-06,4.177156e-08,-4.9216874e-06,-3.8030366e-06,1.2050198e-06,-7.5153724e-07,-6.8627554e-07,1.2357499e-06,-6.0066513e-06,-4.8382176e-06,2.1784554e-06,8.709999e-07,1.4772367e-06,4.639316e-06,-3.4348614e-07,-2.0607208e-06,2.7351666e-06,-3.014396e-06,3.8054015e-06,-3.6697267e-07,-1.0228559e-05,-6.8214235e-06,1.4780144e-06,-3.948545e-06,-6.6131224e-07,3.4281518e-06,9.736201e-07,-6.0110057e-07,6.844195e-06,-3.3198814e-06,-7.1530676e-06,-6.0534217e-07,6.771291e-08,2.034102e-08
