label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127,dim128,dim129,dim130,dim131,dim132,dim133,dim134,dim135,dim136,dim137,dim138,dim139,dim140,dim141,dim142,dim143,dim144,dim145,dim146,dim147,dim148,dim149,dim150,dim151,dim152,dim153,dim154,dim155,dim156,dim157,dim158,dim159,dim160,dim161,dim162,dim163,dim164,dim165,dim166,dim167,dim168,dim169,dim170,dim171,dim172,dim173,dim174,dim175,dim176,dim177,dim178,dim179,dim180,dim181,dim182,dim183,dim184,dim185,dim186,dim187,dim188,dim189,dim190,dim191,dim192,dim193,dim194,dim195,dim196,dim197,dim198,dim199,dim200,dim201,dim202,dim203,dim204,dim205,dim206,dim207,dim208,dim209,dim210,dim211,dim212,dim213,dim214,dim215,dim216,dim217,dim218,dim219,dim220,dim221,dim222,dim223,dim224,dim225,dim226,dim227,dim228,dim229,dim230,dim231,dim232,dim233,dim234,dim235,dim236,dim237,dim238,dim239,dim240,dim241,dim242,dim243,dim244,dim245,dim246,dim247,dim248,dim249,dim250,dim251,dim252,dim253,dim254,dim255
1,16.953564,16.951822,16.950016,16.948143,16.946201,16.944185,16.942095,16.939926,16.937677,16.935347,16.932926,16.930418,16.927816,16.925117,16.92232,16.919418,16.916409,16.913288,16.910051,16.906696,16.903215,16.899609,16.895866,16.891989,16.887966,16.883797,16.879475,16.874994,16.870348,16.865534,16.860542,16.855368,16.850006,16.844448,16.838686,16.832718,16.82653,16.82012,16.813477,16.806595,16.799463,16.792074,16.784422,16.776493,16.76828,16.759775,16.750965,16.741842,16.732395,16.722612,16.712484,16.701998,16.691143,16.679909,16.66828,16.656244,16.643791,16.630907,16.617577,16.603786,16.589523,16.574772,16.559517,16.543745,16.527441,16.510588,16.493168,16.475168,16.456572,16.43736,16.41752,16.39703,16.375875,16.354036,16.331497,16.30824,16.284246,16.259499,16.23398,16.20767,16.180553,16.15261,16.123825,16.09418,16.063654,16.032236,15.999907,15.966651,15.932453,15.897298,15.861171,15.82406,15.785953,15.746836,15.7067,15.665537,15.623337,15.580094,15.535804,15.490462,15.444067,15.39662,15.348122,15.298578,15.247995,15.1963825,15.143751,15.090116,15.035494,14.979906,14.923376,14.865929,14.807595,14.748409,14.688408,14.627631,14.566123,14.503931,14.441109,14.37771,14.313796,14.249429,14.184675,14.119605,14.054295,13.988819,13.92326,13.8577,13.792228,13.72693,13.661898,13.597225,13.533005,13.469333,13.406303,13.344013,13.2825575,13.22203,13.162522,13.104126,13.046927,12.991011,12.936456,12.883338,12.831727,12.781689,12.73328,12.686553,12.641553,12.598315,12.55687,12.51724,12.479436,12.443465,12.409325,12.377003,12.346481,12.317735,12.29073,12.265428,12.241783,12.219744,12.199256,12.180259,12.162689,12.146482,12.131571,12.117886,12.105357,12.093917,12.083497,12.074029,12.065448,12.057692,12.050697,12.044409,12.038769,12.033725,12.029228,12.025232,12.021692,12.018567,12.015819,12.013412,12.011313,12.009491,12.007916,12.006564,12.005408,12.004426,12.003597,12.002903,12.002324,12.001846,12.001454,12.001136,12.000878,12.000673,12.000511,12.000384,12.000285,12.00021,12.000153,12.00011,12.000077,12.000054,12.000037,12.000026,12.000017,12.000011,12.000008,12.000005,12.000003,12.000002,12.000001,12.000001,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12.953563,12.951822,12.950016,12.948143,12.9462,12.944185,12.942095,12.939927,12.937678,12.935346,12.932927,12.930418,12.927816,12.925118,12.922319,12.919417,12.916409,12.913287,12.910051,12.906695,12.903215,12.899608,12.895866,12.891988,12.887966,12.883798,12.879475,12.874993,12.870349,12.865533,12.860541,12.855368,12.850005,12.844447,12.838687,12.832717,12.82653,12.82012,12.8134775,12.806594,12.799463,12.792075,12.784422,12.776493,12.768281,12.759774,12.750965,12.741842,12.732394,12.722612,12.712483,12.701999,12.691144,12.679908,12.66828,12.656245,12.643792,12.630906,12.617576,12.6037855,12.589522,12.574771,12.559517,12.543745,12.527441,12.510587,12.493169,12.475169,12.456573,12.437362,12.41752,12.39703,12.3758745,12.354036,12.331497,12.30824,12.284247,12.2595,12.23398,12.20767,12.180553,12.152611,12.123825,12.094178,12.063655,12.032236,11.999907,11.966651,11.932453,11.897298,11.861171,11.82406,11.785953,11.746836,11.7067,11.665537,11.623337,11.580094,11.535804,11.490462,11.444067,11.39662,11.348122,11.298578,11.247995,11.1963825,11.143751,11.090116,11.035494,10.979906,10.923376,10.865929,10.807595,10.748409,10.688408,10.627631,10.566123,10.503931,10.441109,10.37771,10.313796,10.249429,10.184675,10.119605,10.054295,9.988819,9.92326,9.8577,9.792228,9.72693,9.661898,9.597225,9.533005,9.469333,9.406303,9.344013,9.2825575,9.22203,9.162522,9.104126,9.046927,8.991011,8.936456,8.883338,8.831727,8.781689,8.73328,8.686553,8.641553,8.598315,8.55687,8.51724,8.479436,8.443465,8.409325,8.377003,8.346481,8.317735,8.29073,8.265428,8.241783,8.219744,8.199256,8.180259,8.162689,8.146482,8.131571,8.117886,8.105357,8.093917,8.083497,8.074029,8.065448,8.057692,8.050697,8.044409,8.038769,8.033725,8.029228,8.025232,8.021692,8.018567,8.015819,8.013412,8.011313,8.009491,8.007916,8.006564,8.005408,8.004426,8.003597,8.002903,8.002324,8.001846,8.001454,8.001136,8.000878,8.000673,8.000511,8.000384,8.000285,8.00021,8.000153,8.00011,8.000077,8.000054,8.000037,8.000026,8.000017,8.000011,8.000008,8.000005,8.000003,8.000002,8.000001,8.000001,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12.963513,12.962146,12.960727,12.959254,12.957728,12.956144,12.954502,12.952799,12.951032,12.9492,12.947299,12.945328,12.943283,12.941163,12.938964,12.936684,12.934319,12.931867,12.929323,12.926687,12.923953,12.921118,12.918178,12.915131,12.91197,12.908694,12.905297,12.901776,12.898127,12.894342,12.89042,12.886354,12.88214,12.877773,12.873246,12.868555,12.863694,12.858656,12.853436,12.848027,12.842423,12.836618,12.830604,12.824373,12.817919,12.811234,12.804312,12.797142,12.789718,12.78203,12.77407,12.765829,12.757298,12.748468,12.739329,12.729871,12.720084,12.709957,12.699479,12.688642,12.67743,12.665836,12.653847,12.64145,12.6286335,12.615386,12.601694,12.587546,12.572927,12.557826,12.542228,12.52612,12.509489,12.492321,12.474601,12.456316,12.437452,12.4179945,12.397929,12.377242,12.355919,12.333946,12.311309,12.287994,12.263989,12.239279,12.213851,12.187694,12.160793,12.133139,12.104718,12.075521,12.045539,12.01476,11.983178,11.950784,11.917572,11.883536,11.848672,11.812978,11.776451,11.739091,11.700899,11.66188,11.622037,11.581377,11.539908,11.497643,11.454594,11.410774,11.366204,11.320903,11.274893,11.2282,11.180853,11.132881,11.08432,11.035205,10.985577,10.935477,10.884953,10.834051,10.782824,10.731325,10.679611,10.627743,10.575781,10.52379,10.471838,10.4199915,10.36832,10.316897,10.265795,10.215085,10.164844,10.115144,10.066058,10.01766,9.970022,9.923214,9.877304,9.832356,9.788435,9.745598,9.703902,9.663398,9.624131,9.586144,9.549475,9.514152,9.480202,9.447642,9.416489,9.386747,9.358419,9.331501,9.305981,9.281844,9.2590685,9.237629,9.217495,9.19863,9.180999,9.164558,9.149264,9.13507,9.121929,9.109791,9.098606,9.088325,9.0788965,9.070273,9.062406,9.055245,9.048748,9.042867,9.03756,9.032787,9.028507,9.024683,9.021278,9.018259,9.015592,9.013247,9.011193,9.009406,9.007857,9.006522,9.00538,9.004407,9.003585,9.002894,9.002318,9.0018425,9.001452,9.001134,9.000877,9.000673,9.000511,9.000383,9.000285,9.00021,9.000153,9.00011,9.000077,9.000054,9.000037,9.000026,9.000017,9.000011,9.000008,9.000005,9.000003,9.000002,9.000001,9.000001,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
1,18.935305,18.932878,18.930363,18.927753,18.925045,18.922237,18.919323,18.916302,18.913168,18.909918,18.906546,18.90305,18.899422,18.895662,18.89176,18.887714,18.88352,18.87917,18.874659,18.86998,18.865128,18.860098,18.854881,18.849474,18.843866,18.838053,18.832024,18.825775,18.819296,18.81258,18.805618,18.7984,18.79092,18.783167,18.775131,18.766802,18.75817,18.749224,18.739954,18.730349,18.720396,18.710085,18.6994,18.688332,18.676867,18.66499,18.652687,18.639946,18.62675,18.613087,18.598936,18.584286,18.569118,18.553417,18.537163,18.52034,18.50293,18.484911,18.466269,18.44698,18.427025,18.406384,18.385036,18.362959,18.340132,18.31653,18.292133,18.266918,18.240858,18.213932,18.186113,18.15738,18.127705,18.097061,18.065426,18.032772,17.999073,17.964302,17.928434,17.891441,17.853298,17.813978,17.773455,17.731699,17.688686,17.644394,17.598791,17.551857,17.503565,17.453892,17.402815,17.35031,17.296358,17.240938,17.184032,17.12562,17.06569,17.004221,16.941208,16.876635,16.810493,16.74278,16.67349,16.602621,16.530174,16.456156,16.380571,16.303434,16.224756,16.144556,16.062857,15.979682,15.895064,15.809036,15.721638,15.632911,15.542904,15.45167,15.359266,15.265755,15.171203,15.075682,14.979271,14.88205,14.784106,14.685531,14.586418,14.486871,14.386991,14.286885,14.1866665,14.086449,13.986348,13.886485,13.786981,13.687958,13.589539,13.491847,13.395009,13.299145,13.204378,13.1108265,13.018608,12.927836,12.838622,12.75107,12.665282,12.581353,12.499374,12.419428,12.341592,12.265937,12.192526,12.121414,12.052651,11.986277,11.922325,11.860821,11.801783,11.745222,11.691142,11.63954,11.590405,11.54372,11.499463,11.457605,11.41811,11.380939,11.346045,11.313377,11.282882,11.254498,11.228161,11.203803,11.181353,11.160735,11.141871,11.12468,11.109077,11.094979,11.082297,11.070945,11.060833,11.051872,11.043977,11.037058,11.031033,11.025818,11.021334,11.017504,11.0142565,11.011523,11.00924,11.007349,11.005795,11.004529,11.003507,11.002689,11.002042,11.001534,11.001141,11.000838,11.000609,11.000438,11.00031,11.000217,11.00015,11.000102,11.000069,11.000046,11.00003,11.000019,11.000012,11.000008,11.000005,11.000003,11.000002,11.000001,11.000001,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10.967652,10.966439,10.965181,10.963877,10.9625225,10.961119,10.9596615,10.958151,10.956584,10.954959,10.953273,10.951525,10.949711,10.947831,10.94588,10.943857,10.94176,10.939585,10.937329,10.93499,10.932564,10.930049,10.927441,10.924737,10.921933,10.919026,10.916012,10.912888,10.909648,10.90629,10.902809,10.8992,10.89546,10.891583,10.887566,10.883401,10.879085,10.874612,10.869977,10.865174,10.860198,10.855042,10.8497,10.844166,10.838433,10.832495,10.826344,10.819973,10.813375,10.806543,10.799468,10.792143,10.784559,10.776709,10.768581,10.76017,10.751465,10.7424555,10.733134,10.72349,10.713512,10.703192,10.692518,10.681479,10.670066,10.658265,10.646067,10.633459,10.620429,10.606966,10.593057,10.57869,10.563852,10.548531,10.532713,10.516386,10.4995365,10.482151,10.464217,10.445721,10.426649,10.406989,10.386727,10.3658495,10.344343,10.322197,10.299396,10.2759285,10.251782,10.226946,10.201407,10.175155,10.148179,10.120469,10.092016,10.06281,10.032845,10.0021105,9.970604,9.938317,9.905247,9.87139,9.836745,9.801311,9.765087,9.728078,9.690286,9.651717,9.612378,9.572278,9.531428,9.489841,9.447533,9.404518,9.360819,9.316456,9.271452,9.225835,9.179633,9.132877,9.085601,9.037841,8.989635,8.941025,8.892053,8.842765,8.793209,8.743435,8.693495,8.643442,8.593333,8.543224,8.493175,8.443243,8.393491,8.343979,8.294769,8.245924,8.197504,8.149572,8.102189,8.055413,8.009304,7.963918,7.919311,7.875535,7.832641,7.7906766,7.749687,7.709714,7.670796,7.6329684,7.596263,7.560707,7.5263257,7.4931383,7.4611626,7.4304104,7.4008913,7.372611,7.345571,7.31977,7.2952027,7.27186,7.2497315,7.2288027,7.209055,7.1904693,7.1730223,7.1566887,7.141441,7.127249,7.1140804,7.1019015,7.0906763,7.0803676,7.0709357,7.06234,7.0545387,7.0474896,7.0411487,7.0354724,7.0304165,7.025936,7.0219884,7.018529,7.0155163,7.012909,7.010667,7.008752,7.0071282,7.0057616,7.00462,7.0036745,7.0028973,7.0022645,7.0017533,7.0013447,7.001021,7.000767,7.0005703,7.000419,7.0003047,7.000219,7.000155,7.0001087,7.000075,7.000051,7.0000343,7.000023,7.000015,7.0000095,7.000006,7.000004,7.0000024,7.0000014,7.000001,7.0000005,7.0000005,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
1,27.901312,27.897612,27.893772,27.889791,27.885662,27.881378,27.876936,27.872328,27.867548,27.862589,27.857449,27.852116,27.846584,27.840849,27.8349,27.828732,27.822332,27.815699,27.808819,27.801685,27.794287,27.786617,27.778664,27.770418,27.761868,27.753002,27.743813,27.734285,27.724407,27.714169,27.703554,27.692553,27.681149,27.66933,27.65708,27.644384,27.631227,27.617594,27.603464,27.588825,27.573658,27.557941,27.541662,27.524796,27.507324,27.48923,27.470486,27.451075,27.430973,27.410156,27.388603,27.36629,27.343187,27.319275,27.294523,27.268906,27.242395,27.214962,27.18658,27.157217,27.126844,27.095428,27.062939,27.029345,26.99461,26.958704,26.92159,26.883234,26.8436,26.802652,26.760355,26.71667,26.671558,26.624983,26.576906,26.52729,26.476095,26.42328,26.368807,26.312637,26.25473,26.195047,26.13355,26.070198,26.004955,25.937782,25.86864,25.797497,25.724316,25.64906,25.5717,25.4922,25.410534,25.326674,25.240591,25.152262,25.061666,24.968786,24.873604,24.776108,24.676287,24.574137,24.469656,24.362846,24.253714,24.142271,24.028534,23.912523,23.794268,23.6738,23.551157,23.426386,23.299538,23.170671,23.03985,22.907146,22.77264,22.63642,22.498575,22.35921,22.218431,22.076357,21.933107,21.788816,21.64362,21.49766,21.35109,21.204062,21.056742,20.909294,20.761892,20.614708,20.467924,20.321718,20.176275,20.031776,19.888407,19.74635,19.605782,19.466887,19.329832,19.194792,19.061926,18.931393,18.803339,18.677906,18.555223,18.435411,18.318583,18.20483,18.094246,17.9869,17.882858,17.782167,17.684868,17.590982,17.500525,17.413496,17.32989,17.249683,17.172848,17.099344,17.029127,16.962143,16.898329,16.837618,16.77994,16.725218,16.673374,16.624327,16.577988,16.534275,16.4931,16.454372,16.418005,16.38391,16.351994,16.32217,16.294352,16.268446,16.244368,16.222029,16.20134,16.182219,16.16458,16.14834,16.133417,16.119732,16.107206,16.095766,16.085339,16.075853,16.067245,16.059446,16.0524,16.046047,16.040333,16.035206,16.03062,16.02653,16.022892,16.019667,16.01682,16.014317,16.012123,16.01021,16.00855,16.007118,16.00589,16.004839,16.00395,16.0032,16.002573,16.002054,16.001625,16.001274,16.00099,16.000763,16.000582,16.000439,16.000328,16.000242,16.000177,16.000128,16.000092,16.000065,16.000044,16.00003,16.000021,16.000013,16.00001,16.000006,16.000004,16.000002,16.000002,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
0,15.96102,15.959559,15.958043,15.9564705,15.954839,15.953147,15.951392,15.949572,15.947684,15.945725,15.943695,15.941588,15.939404,15.937138,15.934788,15.932351,15.929824,15.927203,15.924486,15.921668,15.918746,15.915715,15.912574,15.909316,15.905938,15.902436,15.898807,15.895042,15.89114,15.887095,15.882902,15.878556,15.874051,15.869382,15.864542,15.859527,15.854328,15.848942,15.84336,15.837576,15.831583,15.825374,15.818941,15.812278,15.805374,15.798224,15.790818,15.783148,15.775205,15.76698,15.758463,15.749645,15.740516,15.731066,15.721284,15.71116,15.700683,15.689841,15.678623,15.667018,15.655012,15.642595,15.629753,15.616473,15.602743,15.588549,15.573876,15.558712,15.543042,15.526853,15.510128,15.492854,15.475016,15.456598,15.437585,15.417962,15.397714,15.376823,15.355276,15.333056,15.310147,15.286535,15.262202,15.237134,15.211315,15.184731,15.157365,15.129205,15.100234,15.070439,15.039809,15.008328,14.975986,14.94277,14.908669,14.873675,14.837778,14.80097,14.763244,14.724595,14.685018,14.64451,14.60307,14.5606985,14.517397,14.473168,14.42802,14.381958,14.334993,14.287136,14.238403,14.188809,14.138373,14.087119,14.035069,13.982252,13.928697,13.874435,13.819504,13.763942,13.707789,13.651091,13.593892,13.536244,13.478199,13.419811,13.361138,13.30224,13.243177,13.184015,13.124819,13.065654,13.00659,12.947696,12.889041,12.830695,12.772729,12.715213,12.658214,12.601801,12.54604,12.490994,12.436728,12.383298,12.330761,12.279171,12.228576,12.179021,12.130548,12.083192,12.036986,11.991958,11.948128,11.905515,11.864132,11.823987,11.785083,11.747419,11.710992,11.675792,11.641806,11.609019,11.5774145,11.546969,11.517663,11.4894705,11.462365,11.436322,11.411315,11.387316,11.364297,11.342233,11.321097,11.300865,11.281512,11.263015,11.24535,11.228497,11.212433,11.197142,11.182601,11.168794,11.155703,11.14331,11.131597,11.120547,11.110145,11.100371,11.091209,11.082641,11.074649,11.067213,11.060315,11.053936,11.048055,11.04265,11.037703,11.033189,11.029088,11.025378,11.022036,11.019038,11.016363,11.013988,11.01189,11.010048,11.008438,11.007042,11.005837,11.004806,11.003928,11.003186,11.002564,11.002048,11.001621,11.001272,11.00099,11.000762,11.000582,11.00044,11.000328,11.000242,11.000177,11.000128,11.000092,11.000064,11.000045,11.0000305,11.000021,11.000013,11.000009,11.000006,11.000004,11.000002,11.000001,11.000001,11.000001,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
1,19.920393,19.917408,19.914312,19.911102,19.90777,19.904316,19.900732,19.897017,19.893162,19.889162,19.885015,19.880714,19.876255,19.87163,19.86683,19.861856,19.856697,19.851347,19.845798,19.840046,19.83408,19.827894,19.821482,19.814833,19.807938,19.80079,19.793379,19.785698,19.777733,19.769478,19.760921,19.75205,19.742857,19.733328,19.723454,19.713219,19.702612,19.691622,19.680233,19.668432,19.656206,19.64354,19.630417,19.616825,19.602745,19.588161,19.573057,19.557415,19.541218,19.524445,19.50708,19.489101,19.47049,19.451225,19.431288,19.410652,19.389301,19.367207,19.344349,19.320704,19.296247,19.270952,19.244795,19.21775,19.18979,19.16089,19.131021,19.100155,19.068264,19.035318,19.001291,18.96615,18.929869,18.892416,18.853758,18.81387,18.772717,18.730268,18.686495,18.641365,18.594849,18.546915,18.497532,18.44667,18.394302,18.340395,18.284925,18.22786,18.169176,18.108847,18.046846,17.98315,17.917742,17.850595,17.781694,17.711021,17.638565,17.56431,17.488247,17.41037,17.330675,17.249163,17.165834,17.080696,16.993757,16.905035,16.814545,16.722311,16.628363,16.53273,16.435453,16.336575,16.236143,16.134212,16.030846,15.926106,15.820068,15.7128105,15.604419,15.494984,15.384603,15.27338,15.161427,15.048857,14.935794,14.822365,14.708702,14.594943,14.481231,14.367711,14.254532,14.141848,14.029811,13.91858,13.8083105,13.69916,13.591283,13.484836,13.379967,13.276827,13.175556,13.076294,12.979171,12.884309,12.791824,12.701821,12.614396,12.5296335,12.447606,12.368375,12.291989,12.218486,12.147886,12.080202,12.0154295,11.953556,11.894552,11.838382,11.784993,11.734329,11.68632,11.64089,11.597956,11.557428,11.519214,11.483213,11.44933,11.417462,11.38751,11.359374,11.332956,11.308162,11.284902,11.263086,11.242634,11.223466,11.20551,11.188698,11.172966,11.158255,11.144509,11.1316805,11.119721,11.108587,11.098238,11.088635,11.079743,11.0715275,11.063954,11.056992,11.05061,11.044777,11.039463,11.03464,11.030278,11.026348,11.022823,11.019674,11.016874,11.014398,11.012217,11.010306,11.008643,11.007204,11.005965,11.004906,11.004006,11.003248,11.002613,11.002086,11.001651,11.001295,11.001007,11.000776,11.000592,11.000447,11.000335,11.000247,11.000181,11.000131,11.000093,11.000066,11.000046,11.000031,11.000021,11.000014,11.00001,11.000006,11.000004,11.000003,11.000002,11.000001,11.000001,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
0,11.953563,11.951822,11.950016,11.948143,11.9462,11.944185,11.942095,11.939927,11.937678,11.935346,11.932927,11.930418,11.927816,11.925118,11.922319,11.919417,11.916409,11.913287,11.910051,11.906695,11.903215,11.899608,11.895866,11.891988,11.887966,11.883798,11.879475,11.874993,11.870349,11.865533,11.860541,11.855368,11.850005,11.844447,11.838687,11.832717,11.82653,11.82012,11.8134775,11.806594,11.799463,11.792075,11.784422,11.776493,11.768281,11.759774,11.750965,11.741842,11.732394,11.722612,11.712483,11.701999,11.691144,11.679908,11.66828,11.656245,11.643792,11.630906,11.617576,11.6037855,11.589522,11.574771,11.559517,11.543745,11.527441,11.510587,11.493169,11.475169,11.456573,11.437362,11.41752,11.39703,11.3758745,11.354036,11.331497,11.30824,11.284247,11.2595,11.23398,11.20767,11.180553,11.152611,11.123825,11.094178,11.063655,11.032236,10.999907,10.966651,10.932453,10.897298,10.861171,10.82406,10.785953,10.746836,10.7067,10.665537,10.623337,10.580094,10.535804,10.490462,10.444067,10.39662,10.348122,10.298578,10.247995,10.1963825,10.143751,10.090116,10.035494,9.979906,9.923376,9.865929,9.807595,9.748409,9.688408,9.627631,9.566123,9.503931,9.441109,9.37771,9.313796,9.249429,9.184675,9.119605,9.054295,8.988819,8.92326,8.8577,8.792228,8.72693,8.661898,8.597225,8.533005,8.469333,8.406303,8.344013,8.2825575,8.22203,8.162522,8.104126,8.046927,7.9910107,7.9364557,7.883338,7.8317275,7.7816887,7.73328,7.6865535,7.641553,7.5983152,7.5568705,7.5172396,7.4794364,7.443465,7.409324,7.3770027,7.3464813,7.3177347,7.29073,7.265428,7.241783,7.219744,7.199256,7.1802588,7.1626897,7.146483,7.1315713,7.1178856,7.105357,7.093917,7.0834966,7.0740285,7.065448,7.057691,7.0506973,7.0444083,7.0387683,7.0337253,7.0292287,7.0252323,7.021692,7.018567,7.015819,7.013412,7.011313,7.009491,7.0079165,7.006564,7.005408,7.004426,7.0035973,7.0029025,7.002324,7.001846,7.001454,7.0011353,7.000879,7.0006733,7.000511,7.000384,7.0002856,7.00021,7.0001526,7.0001097,7.0000777,7.0000544,7.0000377,7.0000257,7.000017,7.0000114,7.000007,7.000005,7.000003,7.000002,7.000001,7.0000005,7.0000005,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
1,16.94693,16.94494,16.942877,16.940735,16.938515,16.936213,16.933823,16.931345,16.928776,16.926111,16.923346,16.920479,16.917505,16.914421,16.911224,16.907907,16.904469,16.900902,16.897203,16.893368,16.88939,16.885267,16.880993,16.87656,16.871964,16.867199,16.862259,16.857138,16.85183,16.846327,16.840622,16.83471,16.82858,16.82223,16.815647,16.808825,16.801754,16.794428,16.786837,16.77897,16.770823,16.762379,16.753632,16.744572,16.735188,16.725466,16.715399,16.704973,16.694176,16.682997,16.671423,16.659441,16.647036,16.634197,16.620909,16.607155,16.592924,16.5782,16.562965,16.547207,16.530909,16.514051,16.49662,16.478596,16.459965,16.440704,16.420801,16.400232,16.37898,16.357027,16.334354,16.31094,16.286764,16.26181,16.236053,16.209476,16.182058,16.15378,16.124617,16.094553,16.063564,16.031633,15.998738,15.96486,15.929978,15.894074,15.857129,15.819124,15.780043,15.739866,15.698581,15.656168,15.612616,15.56791,15.522038,15.474992,15.426759,15.377332,15.326706,15.274877,15.221842,15.167602,15.112157,15.055514,14.99768,14.9386635,14.878479,14.817142,14.75467,14.691089,14.626421,14.5606985,14.493953,14.426223,14.357549,14.287975,14.217552,14.146332,14.074374,14.001739,13.9284935,13.854707,13.780454,13.705812,13.630865,13.555697,13.480399,13.405063,13.329783,13.254659,13.17979,13.105277,13.031227,12.957742,12.884927,12.812886,12.741725,12.671544,12.602445,12.534524,12.467876,12.402593,12.3387575,12.276451,12.215748,12.156715,12.099415,12.043898,11.99021,11.938387,11.888457,11.84044,11.794345,11.750172,11.707915,11.667557,11.629071,11.592428,11.557587,11.524499,11.493114,11.463373,11.435214,11.40857,11.383374,11.359556,11.337044,11.315767,11.295656,11.276642,11.258658,11.241644,11.225539,11.210286,11.195836,11.18214,11.169157,11.156848,11.145179,11.13412,11.123645,11.11373,11.104357,11.095507,11.087164,11.079314,11.071946,11.065046,11.058602,11.052604,11.047037,11.041891,11.03715,11.032801,11.028829,11.025215,11.021946,11.019002,11.016364,11.014013,11.011931,11.010097,11.0084915,11.007094,11.005887,11.004851,11.003969,11.003222,11.002596,11.002074,11.001643,11.00129,11.001004,11.000774,11.000591,11.000447,11.000334,11.000247,11.00018,11.000131,11.000093,11.000066,11.000046,11.000031,11.000021,11.000014,11.00001,11.000006,11.000004,11.000003,11.000002,11.000001,11.000001,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
