dataset,method,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
MUTAG,NetLSD,64,188,2,kmeans,0.297854,0.326733,0.787234,0.557137
MUTAG,NetLSD,64,188,2,spectral,0.297854,0.326733,0.787234,0.557137
MUTAG,NetLSD,128,188,2,kmeans,0.297854,0.326733,0.787234,0.557137
MUTAG,NetLSD,128,188,2,spectral,0.297854,0.326733,0.787234,0.557137
MUTAG,NetLSD,256,188,2,kmeans,0.297854,0.326733,0.787234,0.557137
MUTAG,NetLSD,256,188,2,spectral,0.297854,0.326733,0.787234,0.557137
ENZYMES,NetLSD,64,600,6,kmeans,0.047041,0.01539,0.24,0.511461
ENZYMES,NetLSD,64,600,6,spectral,0.04128,0.01687,0.255,0.403584
ENZYMES,NetLSD,128,600,6,kmeans,0.047041,0.01539,0.24,0.511461
ENZYMES,NetLSD,128,600,6,spectral,0.04128,0.01687,0.255,0.403584
ENZYMES,NetLSD,256,600,6,kmeans,0.047041,0.01539,0.24,0.511461
ENZYMES,NetLSD,256,600,6,spectral,0.04128,0.01687,0.255,0.403584
IMDB-MULTI,NetLSD,64,1500,3,kmeans,0.005322,0.0026,0.362667,0.622447
IMDB-MULTI,NetLSD,64,1500,3,spectral,0.006229,0.000703,0.354,-0.293759
IMDB-MULTI,NetLSD,128,1500,3,kmeans,0.005322,0.0026,0.362667,0.622447
IMDB-MULTI,NetLSD,128,1500,3,spectral,0.010287,0.002844,0.375333,-0.203613
IMDB-MULTI,NetLSD,256,1500,3,kmeans,0.005322,0.0026,0.362667,0.622447
IMDB-MULTI,NetLSD,256,1500,3,spectral,0.005083,0.002482,0.374,-0.095134
