label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127
5,0.08368761,-0.06131366,-0.15772437,0.09919239,0.014321644,-0.029215764,-0.01814168,-0.08048222,0.0952482,-0.13502799,-0.20009731,0.110873334,-0.17701665,0.069619454,0.05304632,0.06072496,0.037564922,-0.06544105,-0.05055385,-0.04560504,0.052463453,0.08542853,0.0012450432,-0.017851673,0.03997617,0.03688545,0.018940581,-0.055499796,-0.22901778,-0.057531383,-0.09252663,0.023452552,0.07071763,-0.020726187,-0.046612322,-0.10556864,-0.030578816,0.041972023,0.09048221,-0.01419719,-0.10070498,-0.045371205,-0.031244662,0.052268375,0.025419887,-0.058136772,0.01509414,0.04908147,0.120243534,-0.11877792,0.15116696,-0.040121842,0.10565265,-0.08429085,-0.006227587,0.124179296,-0.017947746,-0.00058611546,0.0024551658,0.050484557,0.0746289,-0.008909449,0.10758465,0.084834516,0.032795563,0.06309357,-0.032561183,0.061035417,0.068394035,0.052561805,-0.091241926,-0.15884832,-0.0015433469,0.029069917,-0.0034289456,-0.17017801,-0.02482979,0.043714866,-0.017271617,0.03261248,-0.040585138,-0.14106877,0.007921189,0.066754565,-0.012891123,0.19930433,0.047645543,0.0031010848,0.15630965,-0.08448725,0.05933956,-0.07070962,0.0029272703,0.11486869,0.1009548,-0.108076856,-0.016735226,-0.096899,0.093679145,-0.034366004,0.02802545,0.05932816,0.011258613,-0.056114975,0.0352674,0.017415555,-0.048795663,0.003444678,0.08746733,-0.03677008,-0.026768463,0.09434947,-0.0025280511,-0.031902857,-0.050885104,0.10179461,-0.19979496,0.07075809,0.10706233,-0.013168113,-0.13624442,-0.0063155657,0.04975617,-0.027198233,-0.044075046,0.19211943,0.009701252,-0.046960898
5,0.074627556,-0.057441123,-0.15714483,0.09795529,0.025824264,-0.026262335,-0.0145988455,-0.07882234,0.08829155,-0.119932264,-0.18262805,0.09639339,-0.16319293,0.05697142,0.04294822,0.0519795,0.034469277,-0.071491964,-0.04219914,-0.042565256,0.038776897,0.08393719,0.006145572,-0.014252694,0.031658154,0.03296508,0.002321449,-0.054544635,-0.20707124,-0.057396553,-0.08157357,0.021933425,0.078557394,-0.012203116,-0.04345873,-0.103404075,-0.030615292,0.035865363,0.087481596,-0.0065087373,-0.091342516,-0.03790377,-0.01886033,0.046885077,0.023797587,-0.050807443,0.018061303,0.046748407,0.11102375,-0.109848104,0.1342019,-0.04384428,0.10803883,-0.088734515,-0.0028450596,0.11015445,-0.022454398,0.0057550753,0.0043900856,0.053296458,0.071852766,-0.01224455,0.09905699,0.075739734,0.0314719,0.052717727,-0.032320768,0.057269383,0.059242435,0.04332989,-0.08044446,-0.13556032,0.002026054,0.024374671,0.008268616,-0.16552731,-0.017242786,0.04258652,-0.01827879,0.03973897,-0.023469945,-0.12735589,0.017497728,0.061234757,-0.011894248,0.17864999,0.043472413,0.00471538,0.15045913,-0.083660975,0.049380872,-0.05696298,0.0057091224,0.094925486,0.10002218,-0.10759762,-0.0051376796,-0.0860237,0.09670178,-0.035720382,0.035329323,0.061993696,0.0059299655,-0.06732242,0.03339764,0.0037119796,-0.04631702,0.01471171,0.094738275,-0.023933753,-0.02685249,0.09007069,-4.875756e-05,-0.029286992,-0.055146717,0.08554787,-0.18409102,0.067739934,0.09502831,-0.006449746,-0.12729627,-0.0014123084,0.048061643,-0.029144114,-0.047965344,0.17231934,0.01066704,-0.049740374
5,0.08188305,-0.06870959,-0.16736154,0.1104039,0.029698856,-0.03140797,-0.012492347,-0.0872271,0.09433525,-0.124606326,-0.19977379,0.095489174,-0.16663086,0.0658781,0.050899997,0.054542053,0.044429034,-0.07204405,-0.04765972,-0.054226406,0.04462075,0.08471766,0.007782095,-0.019409172,0.03743686,0.040418617,0.0131873265,-0.055571288,-0.21798588,-0.05478346,-0.082175285,0.03458638,0.080621764,-0.0181526,-0.041978974,-0.097179115,-0.026762504,0.03634874,0.08164659,-0.017227119,-0.092855,-0.04090546,-0.020151373,0.05178925,0.022659525,-0.059717137,0.025595682,0.052996136,0.10920415,-0.101831295,0.14852862,-0.049375348,0.10071041,-0.087366916,-0.012400617,0.12210095,-0.022651926,0.014585971,-0.0037715049,0.043842252,0.06882334,-0.0173857,0.101947844,0.08421692,0.030249052,0.051127642,-0.03297233,0.048829585,0.06399946,0.049434807,-0.09114101,-0.14667244,-0.010580262,0.030601634,0.0028618586,-0.17305334,-0.01802794,0.05079587,-0.005182505,0.037546962,-0.038945585,-0.14185582,0.0044047227,0.066065416,-0.009156043,0.19666228,0.049705353,0.0014753314,0.14825174,-0.08955358,0.047974844,-0.06874026,0.009038362,0.0997574,0.090502836,-0.10559154,-0.005429586,-0.099671215,0.09192221,-0.03763651,0.026801933,0.058669455,0.0049470346,-0.06689386,0.017910788,0.006872432,-0.05296299,0.005291287,0.093297616,-0.035218805,-0.02520404,0.100345455,0.00047867242,-0.02618589,-0.045821995,0.09494103,-0.20334569,0.053060085,0.104531825,-0.0053315856,-0.14292732,-0.012769427,0.04224803,-0.0382063,-0.037085786,0.17870127,-0.0008922155,-0.0449354
5,0.09609032,-0.08649883,-0.19533809,0.11585432,0.021193055,-0.028784292,-0.013113381,-0.106146075,0.10936145,-0.1502999,-0.22280508,0.12858622,-0.20181146,0.08494798,0.051764518,0.062156208,0.04299491,-0.082634576,-0.05352257,-0.048167378,0.05095806,0.09491135,0.0034650594,-0.0055350214,0.046129126,0.04201861,0.02064453,-0.061695013,-0.26768872,-0.06405796,-0.09291076,0.043351736,0.08595351,-0.012755525,-0.047475897,-0.12752411,-0.028648412,0.045045055,0.103034794,-0.012529316,-0.107055,-0.059183173,-0.038420178,0.07017762,0.026289482,-0.07631771,0.024399562,0.06517151,0.14299075,-0.13696773,0.17313722,-0.06235574,0.119521104,-0.10019424,-0.012344678,0.14372607,-0.028303782,0.017047457,0.0024983154,0.060197406,0.09547089,-0.019594068,0.12562427,0.08788978,0.031637564,0.07608351,-0.03877476,0.059402455,0.07546389,0.061148416,-0.0901685,-0.17720434,0.00014841308,0.023598876,-0.0023303027,-0.20526063,-0.017051242,0.048656836,-0.009906714,0.03638508,-0.030360883,-0.16100845,0.012280365,0.08885122,-0.009585304,0.21973883,0.05880331,0.01617762,0.18605374,-0.09342297,0.071462505,-0.07876889,-0.0017515632,0.1295395,0.1194627,-0.13300133,-0.0108476905,-0.11320093,0.115326695,-0.032492355,0.030095411,0.07211047,0.0033965854,-0.08348084,0.039959192,0.0044819354,-0.07345338,0.015847381,0.1148914,-0.034585193,-0.020528223,0.112176105,0.0069247875,-0.02608831,-0.058347944,0.11077571,-0.23730665,0.068149306,0.12492424,-0.015753146,-0.16286276,-0.009926132,0.04836904,-0.049044754,-0.05041256,0.22007716,0.0060064667,-0.06175658
5,0.086715534,-0.07775804,-0.17991461,0.10999436,0.027015757,-0.025917906,-0.012071771,-0.09499055,0.11071168,-0.13955387,-0.19699162,0.10395928,-0.17334495,0.07921501,0.049855765,0.061125237,0.043377366,-0.07625087,-0.055535503,-0.05783113,0.049721025,0.091098554,0.005856471,-0.017943766,0.050121985,0.036354274,0.018167583,-0.052056763,-0.23055658,-0.058792043,-0.09259129,0.027344234,0.079652995,-0.014823479,-0.043823224,-0.10737711,-0.03230882,0.03734296,0.0939951,-0.005131091,-0.10472495,-0.04732251,-0.026994973,0.06288781,0.01661345,-0.06845027,0.024354048,0.04564376,0.12224505,-0.11598392,0.1470453,-0.047878798,0.11945816,-0.08473195,-0.010490762,0.119632654,-0.028583111,0.0023018639,-0.0030671982,0.051181324,0.07629536,-0.01209674,0.116904125,0.08902883,0.030255146,0.05276064,-0.036895923,0.051856298,0.063471764,0.058070734,-0.09125952,-0.16080822,-0.0024487483,0.032138664,-0.002249361,-0.17903736,-0.021284051,0.053097703,-0.019031357,0.0406202,-0.027843826,-0.15016757,0.007760266,0.066832654,-0.009032723,0.20258246,0.041400276,0.0124197565,0.15957367,-0.09564848,0.057696383,-0.06868511,0.003458643,0.114784226,0.10511279,-0.12546372,-0.011812845,-0.094707295,0.10592471,-0.03216367,0.037698492,0.07105974,-0.0003591831,-0.07119184,0.025969116,0.0070581855,-0.06433303,0.0075947815,0.09172573,-0.033911508,-0.02671291,0.10576507,0.0032591906,-0.029666,-0.057596322,0.109054565,-0.20118764,0.070951924,0.116599135,-0.011336104,-0.15034717,-0.013183498,0.046072856,-0.029007463,-0.03989999,0.19628845,0.0029740743,-0.059826016
5,0.072039336,-0.06130357,-0.1458621,0.09370865,0.013589767,-0.019438783,-0.011733005,-0.08110242,0.09404195,-0.1063249,-0.17499655,0.09422979,-0.15299045,0.06284179,0.03693334,0.049147435,0.03660721,-0.07144093,-0.043729868,-0.03520367,0.04430078,0.07028035,0.0011851054,-0.0091316225,0.0340787,0.035234526,0.008253826,-0.040329818,-0.18950298,-0.05519315,-0.081047215,0.033755153,0.0709452,-0.013725939,-0.042145845,-0.09019841,-0.022280028,0.034317244,0.07624027,-0.008124063,-0.08293492,-0.04027464,-0.024269635,0.054371625,0.010862153,-0.058979698,0.023849864,0.03917245,0.10733861,-0.093842685,0.11616599,-0.035056982,0.09311884,-0.073745206,-0.009667967,0.09472035,-0.015362205,0.003917353,-0.0037740362,0.044080686,0.06044764,-0.013799839,0.09664486,0.067657806,0.032053597,0.043573722,-0.019514594,0.051107526,0.046866175,0.03919372,-0.06658776,-0.13354553,-0.0019368007,0.028140811,0.0012132139,-0.15289755,-0.02383003,0.043691058,-0.012614263,0.028128123,-0.030369053,-0.117229864,0.015400857,0.064989306,-0.0042924057,0.16286163,0.04630672,0.013298411,0.13649121,-0.077961825,0.04622509,-0.058940236,0.0009806169,0.09063467,0.08458908,-0.10237628,-0.008200032,-0.08667324,0.08436781,-0.029733174,0.021586902,0.05470179,0.0056624673,-0.048888925,0.0207356,0.0050974293,-0.041510403,0.013145138,0.07789168,-0.03285652,-0.014353614,0.0859209,0.0019514014,-0.02615207,-0.04298119,0.08445202,-0.17883918,0.050252926,0.094542965,-0.0042819674,-0.11909085,-0.014710426,0.04538156,-0.03604212,-0.039870016,0.15587589,0.01026739,-0.05040619
5,0.067242116,-0.0740364,-0.16856161,0.10075436,0.01580441,-0.019269066,-0.011052071,-0.07934719,0.101679064,-0.1296187,-0.18844716,0.104020745,-0.17192143,0.07063211,0.050199285,0.057816844,0.033998627,-0.06778198,-0.04818599,-0.05161233,0.048063546,0.08763635,-0.0062166466,-0.0033979712,0.039197493,0.044386074,0.0077597764,-0.05636839,-0.22206855,-0.048945513,-0.083666004,0.03386209,0.07881389,-0.010314452,-0.04516234,-0.10897691,-0.023286551,0.03253743,0.07424504,-0.0071564014,-0.08732343,-0.05021285,-0.031502653,0.05037219,0.016571965,-0.06461681,0.011338678,0.056679916,0.110373445,-0.10729715,0.1479788,-0.047686893,0.110987365,-0.08474601,-0.018266054,0.12206825,-0.0169849,0.013546121,-0.0024035333,0.05374346,0.070630535,-0.008810972,0.093571566,0.07981755,0.024887158,0.051706612,-0.023433108,0.06011995,0.059114687,0.059928052,-0.08472269,-0.1454847,-0.0058823833,0.03243059,0.008527345,-0.15743403,-0.01295576,0.045100886,-0.009315725,0.030745188,-0.03135397,-0.14114523,0.007945361,0.06715189,-0.003129929,0.18068561,0.042874295,0.011447158,0.15687701,-0.08233345,0.059919555,-0.05992686,0.0026542796,0.10031679,0.092588514,-0.10795868,-0.013857432,-0.095151894,0.098274685,-0.0327444,0.02976834,0.062078167,0.011187493,-0.0692162,0.031146243,0.013652808,-0.052436985,0.0068855,0.08647407,-0.028020222,-0.016096234,0.10017902,-0.002288128,-0.021968728,-0.049405012,0.09354139,-0.20029378,0.06464446,0.09466774,-0.0058736647,-0.13599087,-0.015111057,0.048008267,-0.0326418,-0.039506223,0.18641035,0.012215585,-0.045373183
5,0.076467074,-0.06846141,-0.14776115,0.09808689,0.013325186,-0.026680054,-0.009582881,-0.07473342,0.099230066,-0.11247979,-0.18395323,0.08973415,-0.16136691,0.07347922,0.040913545,0.050387524,0.03981569,-0.07285039,-0.042196807,-0.052057732,0.044845786,0.08153408,0.0033906454,-0.0030499338,0.029487142,0.035386562,0.014635819,-0.05154005,-0.20969234,-0.057810087,-0.08305333,0.02713485,0.07864194,-0.0050920686,-0.043507475,-0.09270356,-0.024192985,0.04272653,0.08710776,-0.010606592,-0.09401853,-0.03837842,-0.031070461,0.056720134,0.026476514,-0.051681098,0.027140746,0.04906411,0.11056473,-0.09884679,0.1400897,-0.045930434,0.103025295,-0.08544807,-0.0028724794,0.10505843,-0.010919633,0.008179974,0.0031541423,0.05028261,0.06988042,-0.006944101,0.10286499,0.07440446,0.017704267,0.055810004,-0.020689681,0.050741464,0.046919562,0.051999714,-0.08458491,-0.14444022,-0.00018467623,0.030973751,0.0056132395,-0.16753943,-0.018331997,0.05108853,-0.01702244,0.031693555,-0.0200712,-0.13406351,0.0053504608,0.06485145,-0.0066675264,0.17799006,0.037067037,0.00050513784,0.1369885,-0.08104128,0.045181654,-0.054085042,0.012160606,0.1059745,0.08907302,-0.10530082,-0.013641776,-0.08105162,0.08936222,-0.025789237,0.029771622,0.055673555,0.014930436,-0.0554359,0.03447865,0.008973515,-0.052647743,0.0073264097,0.09490174,-0.028321158,-0.022839988,0.100232996,-0.0061200764,-0.0160656,-0.044009406,0.092525095,-0.19067869,0.05152816,0.09875179,-0.012863944,-0.1269396,-0.00692773,0.054716606,-0.03481533,-0.04497556,0.18121044,-0.00064555317,-0.049530122
5,0.057273846,-0.04445779,-0.1104126,0.06367907,0.007774684,-0.01591847,-0.004948002,-0.049979284,0.06839746,-0.08094384,-0.124526724,0.069507435,-0.11873907,0.045350064,0.030054651,0.044571348,0.024571521,-0.048476435,-0.03061296,-0.027196255,0.028775617,0.06337438,0.008058783,-0.00043670135,0.020261465,0.027156793,0.00545774,-0.03766396,-0.14282735,-0.044179853,-0.05901202,0.023146532,0.052675743,-0.003853063,-0.03057482,-0.06821207,-0.014484081,0.017088383,0.057276156,-0.008698892,-0.06157471,-0.025014544,-0.023619473,0.039957624,0.008771832,-0.037129965,0.00539314,0.03275508,0.07022302,-0.070166245,0.096670896,-0.026365513,0.07146581,-0.058107734,0.0006088258,0.07969441,-0.013196409,-0.0033243757,-0.0041243797,0.034981642,0.045588568,-0.009317579,0.06843647,0.045055427,0.025046807,0.03431781,-0.01916255,0.033598304,0.040074732,0.038244836,-0.05896831,-0.09330393,-0.0013581524,0.020454051,0.0081494115,-0.10857535,-0.007479607,0.035736427,-0.0049108556,0.030891273,-0.016305853,-0.09569429,0.005625044,0.053263977,-0.0042418204,0.1324525,0.021568699,0.013887417,0.101694904,-0.05079845,0.035115812,-0.051156588,-0.0054432913,0.06979941,0.059314467,-0.08044631,-0.004270647,-0.06875245,0.064654775,-0.018915711,0.014760084,0.05039107,-0.0010589338,-0.043336,0.017025487,0.01200461,-0.041726146,0.0035095052,0.055076297,-0.012707087,-0.019826218,0.072007455,-0.00016332966,-0.014411569,-0.036638174,0.055627458,-0.12763514,0.039192833,0.067400366,-0.013677153,-0.094570495,-0.00929973,0.02494516,-0.025714824,-0.031210747,0.12824985,-0.0034679358,-0.038767345
5,0.051043812,-0.03799008,-0.10208349,0.056520615,0.020310353,-0.013693693,-0.0041780854,-0.052199382,0.067648835,-0.082040824,-0.11211725,0.059034944,-0.10593174,0.048026357,0.021613756,0.038783442,0.01574113,-0.042908575,-0.020491993,-0.025122408,0.02228959,0.04582635,-0.0049320557,-0.005740605,0.027440093,0.029197192,0.010880709,-0.027562559,-0.13413227,-0.035437018,-0.056881033,0.013027928,0.039720524,-0.016417814,-0.030391427,-0.05842909,-0.017864093,0.022635147,0.044660002,-0.008173911,-0.058653563,-0.03231282,-0.013596809,0.03238058,0.013649182,-0.041990135,0.0037747342,0.031207906,0.067852035,-0.069216765,0.08624516,-0.03009611,0.06412094,-0.0552875,-0.0063153813,0.06605058,-0.009362211,-0.0035454046,-0.0038615256,0.03614796,0.038867008,0.0001012706,0.06667563,0.050587606,0.009705195,0.03753541,-0.014570527,0.032413375,0.03427979,0.028161995,-0.04273032,-0.090687916,0.0024907822,0.022611503,-0.004566208,-0.10802964,-0.016009565,0.029440135,-0.008036508,0.028389676,-0.020410452,-0.0884979,0.011153493,0.040007412,-0.0078896405,0.11957543,0.019930948,0.0056834794,0.09260028,-0.04732341,0.029001854,-0.04026304,0.008946958,0.07118025,0.06590061,-0.0647243,-0.007772759,-0.051645473,0.055641536,-0.02418052,0.017811976,0.039400633,0.0034184603,-0.04062935,0.014490568,0.0020775222,-0.03387861,0.0051901555,0.057497587,-0.024790067,-0.019788483,0.05850559,0.004488595,-0.009720647,-0.03828389,0.056668863,-0.11359037,0.03486862,0.069393255,-0.008193301,-0.07453987,-0.0033410215,0.022585586,-0.024419345,-0.0329171,0.104790196,0.007492088,-0.028835805
