label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
1,0.023268279,0.005869962,0.020433037,0.0009198288,-0.0023219332,-0.021897608,-0.001810255,0.010558212,-0.0041333586,-0.07722847,0.033377383,0.048994124,-0.066424124,0.040934566,-0.0057192417,0.034822203,-0.014687892,-0.016212732,-0.023216717,0.02954333,0.00564648,-0.0025532164,-0.04431601,-0.024096865,0.03383448,0.021437908,0.06889249,-0.053348504,-0.029023917,0.03291485,-0.018633068,-0.03779259,0.031202031,-0.015240382,0.029938316,0.0030443512,-0.0070584025,0.0007866656,0.020021815,-0.053492814,-0.023441717,-0.0458614,0.0037858798,0.0013327383,0.033692874,0.02066994,-0.020721728,0.022385316,0.0108456155,-0.005668518,0.044262912,0.043411035,-0.0034285772,-0.045402303,0.009598015,0.003315349,0.07514246,0.00056962745,0.007710083,0.033533607,-0.025834423,0.03312245,0.025386684,0.025360528
0,0.01467383,0.0046237446,-0.003404091,0.013915379,0.02228455,-0.0058155777,-0.009459785,-0.011789828,0.008349373,-0.028811438,0.011153825,0.019045107,-0.04022432,0.012350479,-0.019068118,0.008372155,-0.022666754,-0.022888325,-0.013962898,0.006565254,-0.00770582,0.01253028,-0.015436763,-0.015705494,0.019591466,0.0116097545,0.03790838,-0.028685909,-0.009425796,0.0314281,-0.0021427425,-0.00042456365,0.017086381,-0.00418411,0.017759293,-0.0021685357,-0.005922349,-0.016050516,0.012303237,-0.011823314,0.006291085,-0.012068057,0.020173635,-0.011706282,0.002496629,-0.0022691651,-0.010754395,0.0026693728,0.0033485673,-0.0021779144,0.024153473,0.027235381,-0.0058043743,-0.016774192,0.008169355,-0.015277675,0.041890614,0.013226893,0.009094282,0.030331464,-0.015381302,0.023354514,0.016560333,0.019921469
0,0.007913259,0.012281829,-0.0016127977,0.003122426,0.01461908,-0.009537751,0.00072479324,0.0012579352,-0.0120818075,-0.022651173,0.020828659,0.011553843,-0.023260843,-6.883027e-05,-0.0077268076,0.00820917,-0.008496626,-0.016747639,-0.0043417634,0.015456779,-0.012215317,0.0045937365,-0.0075563905,-0.012165948,0.0013982734,0.0014844405,0.006438549,-0.028446004,0.00011438891,0.005013555,-0.0034880848,-0.023903437,0.026582157,0.00017783078,0.0076368744,-0.008385605,-0.0077053388,-0.001154032,0.018949281,-0.00922741,-0.0070351614,-0.005797976,0.019326763,-0.006392711,0.018376857,0.019268788,-0.0050572497,0.007004093,0.0029454688,-0.007828421,0.008175774,0.014266471,0.014449323,-0.030032696,0.015531969,-0.005269829,0.020607831,0.0023767834,0.007761586,0.025709761,-0.0036959092,0.01061505,0.010380767,0.0067558787
1,0.025643647,-0.014774869,0.0001511862,0.025206288,0.021790436,-0.03257229,0.0042318194,0.019304406,0.018221658,-0.083765484,0.059351284,0.031907335,-0.0702081,0.04320857,-0.035933666,0.046902534,-0.0030600983,-0.034941453,-0.0034047752,0.018663235,-0.005006846,-0.0020244715,-0.050744448,-0.02134999,0.05122158,0.022209132,0.06419292,-0.043566093,-0.016773907,0.028319947,0.0020057135,-0.028332021,0.06601992,0.0017179594,0.059563417,-0.0058124983,0.009045717,-0.009959145,0.010193059,-0.072113074,-0.0024365124,-0.07047225,0.027915565,0.012487977,0.043795526,0.029183166,-0.022631785,0.02126315,0.014600184,0.004168892,0.028196733,0.029255036,0.0012725674,-0.053839557,-0.0010591132,-0.008989898,0.093031265,0.032858055,0.018477358,0.04415989,-0.04380884,0.023908613,0.03374452,0.020983148
0,0.018231064,-0.006436294,-0.008663714,0.022056568,0.020112973,-0.01991161,0.0075537874,-0.009626536,-0.0068626795,-0.03304337,0.011866497,0.008681276,-0.02703185,0.020083554,2.1697982e-05,0.011392127,0.008249621,-0.015920088,-0.011444294,0.0010861431,-0.006041633,-0.00143272,-0.012304035,-0.021192873,0.017707983,0.016408842,0.03660985,-0.032901984,-0.0082126055,0.02012751,-0.00044823383,-0.005782549,0.031404343,-0.0082856435,0.018951708,0.015062347,0.0016480283,-0.0039399615,0.004452824,-0.036734257,-0.00759304,-0.019299302,0.019581722,0.00036294345,0.017647216,0.0050691087,0.0036890504,0.019938188,-0.0070482465,0.01828513,0.031490315,0.010475176,-0.010831273,-0.032950256,-0.0011142264,0.008099225,0.03107448,0.022496214,-0.0056908894,0.0073135146,-0.019459657,0.0035629212,0.010430338,0.018788423
1,0.01820725,-0.022549547,0.00092413253,0.0034343698,0.028293323,-0.022306278,-0.008049683,0.0065242667,-0.0073248604,-0.06768112,0.046013545,0.028295068,-0.06861898,0.052501522,-0.010399364,0.03685502,-0.028078593,-0.051367924,-0.030140733,0.022638943,-0.0008038826,0.018293086,-0.040334746,-0.024365436,0.0354664,0.018019553,0.055669945,-0.05736312,-0.008063687,0.030690666,-0.02126942,-0.016976573,0.06401727,-0.018110763,0.042277344,-0.006192577,-0.009155198,-0.019885657,0.0070367893,-0.064978294,-0.03205695,-0.0629082,0.021600226,-0.006342789,0.03365723,0.009248982,-0.017288933,0.031961013,0.01645665,0.011504501,0.05048887,0.037707936,-0.019307772,-0.08215947,0.007997645,-0.006135284,0.069339216,0.010358517,0.0028821202,0.02892996,-0.017912835,0.020254217,0.009535535,0.037017
0,0.021704512,-0.019479074,0.0025208131,0.0028533433,0.0021465642,-0.013767111,0.010243896,-0.011535109,-0.009087333,-0.06326353,0.051857483,0.047001127,-0.059269693,0.048688866,-0.023853678,0.020551873,-0.01735469,-0.025572127,-0.015214748,0.03612478,-0.010432206,-0.009530835,-0.040358964,0.0010764723,0.032921378,0.020541765,0.06965784,-0.047487315,-0.029442443,0.037417017,0.009468811,-0.009284249,0.036231585,0.0020287815,0.041823667,-0.0045437873,0.0044546435,-0.0048771515,0.017497309,-0.04712795,-0.007663252,-0.05875788,2.7689268e-05,0.016804151,0.028438462,0.004151382,-0.009853904,0.034792922,0.020366075,-0.005703077,0.040633295,0.017419122,-0.010692514,-0.048444748,0.0047814883,0.0023159338,0.060905628,0.02936163,0.00920556,0.03476262,-0.009841247,0.016198331,0.024771526,0.006416158
1,0.0061268075,0.007598945,-0.0009771171,-0.0042787483,0.02113278,-0.0118172895,0.018657735,0.0024446691,0.01368554,-0.06337072,0.017977577,0.01371053,-0.036451414,0.016312731,-0.0092687085,0.013093789,0.0036226811,-0.026287057,-0.012638074,0.031395916,0.003746025,-0.0062670866,-0.021845914,0.0020386174,0.035549685,0.026268393,0.05517652,-0.034471538,-0.023487909,0.03422474,-0.00080136326,-0.01597997,0.04115411,-0.005012963,0.03513394,0.010122294,-0.0106397085,-0.01339938,-0.0010689729,-0.051240835,0.0019982585,-0.048118588,-0.0061796103,0.0099020135,0.029515013,0.014742159,0.0034293325,0.009421413,0.023504091,0.017212022,0.032835346,0.02357089,-0.015721684,-0.055346396,0.008253861,-0.016118286,0.051800493,0.014262193,-0.005044417,0.010199591,-0.01825425,0.024897512,0.012538647,0.012642868
0,0.014310698,-0.013240038,-0.011199842,0.004138373,0.0074654166,-0.0037995304,0.007207308,-0.011015587,0.010200606,-0.029909467,0.02712418,0.002904538,-0.0042334558,0.026034717,-0.0026372727,0.010187036,0.0030089584,-0.009280604,-0.018750908,-0.0049529606,-0.001507402,-0.00043438937,-0.0057148715,-0.014734772,0.02413819,-0.0028389734,0.030166047,-0.0067212316,0.0019591455,0.009034422,-0.005735012,-0.017017638,0.009810826,-1.6236343e-05,0.012114562,0.0052599665,-0.006827682,-0.007698025,0.014784227,-0.00050963764,-0.016114933,-0.01367822,0.0068066125,0.013905927,-2.2613793e-05,-0.0046021985,0.002746989,-0.0061220755,-0.0006366828,0.0048123137,0.0017096864,0.010441877,0.009867679,-0.0023292857,0.0045728963,-0.007898142,0.00592646,-0.0039167246,-0.011415202,0.009228076,-0.011758424,0.008855121,0.021004904,0.012224092
1,0.0055834586,-0.017173773,-0.010002658,-0.008442345,0.009829494,-0.00051780086,-0.0037253215,-0.0015891631,0.0041856333,-0.022404168,0.0074697803,0.0135377925,-0.030368902,0.023594225,-0.020136537,0.0194434,0.0051936684,-0.028456176,-0.01826812,-0.0024279833,0.00013067616,0.0036894572,-0.030787608,0.0047445484,0.011763032,-0.0022601658,0.023075772,-0.014529189,-0.006505196,0.020898215,-0.0031727718,-0.02044536,0.021314766,0.007717928,0.031326365,0.002558381,0.010792774,0.0012686868,-0.01060009,-0.028441774,-0.011834555,-0.02936914,-0.0012488628,-0.00487895,0.0014932266,0.0065886155,-0.0074817594,0.010070857,0.012409433,0.0047749956,0.014022752,0.03013109,0.010580631,-0.017456107,0.013599279,-0.009403531,0.021789819,0.00058904826,-0.0028997043,0.028521176,-5.904844e-05,0.010364432,0.0013138057,-0.0018624932
