label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127
1,3.6451871,18.208523,-1.6089467,0.09061528,0.03946513,-0.005993947,-0.00057375117,-0.000109862995,-0.00018795283,5.0176666e-05,-2.771431e-05,-5.1199302e-05,-5.455975e-06,6.370621e-07,3.8176563e-06,-3.508535e-07,1.6066439e-06,-6.018482e-06,5.022611e-07,-2.3838975e-06,1.9674123e-06,-8.568509e-07,1.3813662e-06,1.8963696e-06,-3.660191e-06,-4.1781445e-06,-4.713896e-06,-6.0068814e-06,5.193418e-06,5.081331e-06,-5.373901e-06,-6.390092e-06,-5.7350876e-06,7.1697013e-06,6.4673063e-06,-6.5599097e-06,5.275224e-06,5.5949695e-06,-5.2662167e-06,5.0090957e-06,5.032528e-06,-4.640523e-06,4.9696037e-06,-3.7715135e-06,4.1113153e-06,-3.7172404e-06,-3.070661e-06,-3.0708757e-06,2.7257825e-06,-2.979292e-06,2.6355658e-06,-2.1860264e-06,-1.8972752e-06,1.5806129e-06,-1.3574969e-06,-1.2911441e-06,1.1788259e-06,-1.2129426e-06,-1.0398461e-06,9.672091e-07,8.934094e-07,8.23942e-07,-7.271317e-07,-6.618132e-07,6.893098e-07,-5.137336e-07,4.7524367e-07,-4.6009384e-07,3.7292773e-07,-3.709448e-07,-3.3527897e-07,3.169488e-07,-2.911296e-07,-3.1488875e-07,2.6397333e-07,-2.573804e-07,-2.1756878e-07,-1.7925232e-07,-2.1386577e-07,-2.0184851e-07,1.603546e-07,1.7221349e-07,1.7341748e-07,1.3920433e-07,-1.3834966e-07,1.1234909e-07,1.2088181e-07,-1.2031951e-07,-1.01631954e-07,-9.610909e-08,-8.8288424e-08,-1.0765365e-07,-1.154906e-07,-1.0219352e-07,-1.08093985e-07,-9.8163596e-08,-1.0006052e-07,9.03573e-08,-9.009323e-08,7.7481005e-08,-6.9328244e-08,6.627832e-08,4.891466e-08,-4.3677566e-08,-4.464782e-08,3.5937862e-08,-2.9859457e-08,2.517491e-08,2.14066e-08,1.821798e-08,-1.5180884e-08,1.4752866e-08,1.4351537e-08,1.1734413e-08,7.9675635e-09,-7.2675035e-09,6.9841106e-09,5.6426397e-09,5.372737e-09,-5.4553646e-09,-3.347638e-09,2.7173641e-09,-2.5555342e-09,-1.7995232e-09,-1.6026249e-09,-1.3018783e-09,8.3198715e-10,7.7356277e-10
0,-58.59028,6.996883,-0.58874595,0.014309205,0.04005107,-0.0010703332,-0.001953165,-0.00014408678,-0.00029613602,2.9484327e-05,-2.9885514e-05,-5.410531e-05,-1.1191181e-05,1.17938725e-05,-1.3792965e-05,1.2916285e-06,4.6320594e-05,-2.4017363e-05,-2.0839536e-05,6.815676e-06,-8.93579e-06,7.5148682e-06,-1.6109609e-05,-4.8014836e-06,1.5036644e-06,-2.1248385e-05,4.420834e-06,9.772307e-08,5.1501693e-06,-4.562828e-06,2.291459e-06,8.979194e-07,-1.2004512e-06,-4.0332507e-06,3.3292733e-07,1.3674429e-06,-1.194348e-07,-1.0983798e-06,-1.2497459e-06,-2.538534e-06,3.884204e-07,-4.0795337e-07,-2.3022544e-06,-2.3552357e-06,-1.995127e-06,1.8093087e-07,2.4353456e-06,-8.155495e-07,4.6234553e-07,2.6071657e-06,2.0940113e-06,2.9125936e-06,-8.176888e-09,3.6372796e-06,2.7187202e-06,-5.2934945e-07,-3.5802998e-07,4.566624e-07,-1.0021132e-07,4.1802264e-07,-7.456782e-07,-7.6192947e-07,5.209885e-07,-1.0218651e-08,2.1559734e-07,-1.2394536e-06,-3.9437714e-07,-8.893944e-07,-2.4839248e-06,-2.8005894e-07,-5.1647385e-07,1.0045205e-06,-1.5322408e-07,3.9507538e-07,1.4876334e-06,-2.7563615e-07,1.7741152e-06,2.6181206e-07,1.9618182e-07,1.275552e-06,2.9999208e-06,-1.1040174e-06,6.5647896e-07,4.406864e-07,6.797853e-07,-4.701604e-07,-4.43403e-07,-4.1527457e-07,-1.1204808e-06,-2.6332646e-07,-7.835974e-07,6.7104247e-07,-4.6651954e-07,2.9903768e-07,1.1450034e-06,6.977158e-08,1.339647e-07,1.2491219e-07,-1.5957864e-06,-1.0846609e-06,2.1776451e-07,-7.641326e-07,9.330803e-08,-1.6920139e-07,-4.0839927e-07,-2.728882e-07,-6.389507e-07,-1.0718308e-06,1.5160522e-07,-4.1463363e-07,7.603418e-07,1.2090593e-06,-1.2450394e-06,3.78173e-07,1.4365347e-06,2.3404866e-07,9.635418e-07,-7.523774e-07,9.819021e-07,5.2130713e-07,-2.7890167e-07,-2.6020186e-07,1.266138e-07,3.9147244e-07,2.3638577e-07,-1.4354124e-07,8.464373e-07,-1.0015585e-06
0,-51.00978,15.015746,-0.2780573,-0.026597422,0.037139088,-0.0012259538,-0.0025671665,-0.00018668252,-0.00030113416,3.8950988e-05,-3.2567903e-05,-5.421276e-05,-5.271048e-06,-7.7210156e-05,-7.587663e-06,-5.3420554e-06,-1.8210498e-05,-4.730918e-05,-1.0033118e-05,4.6677815e-06,-4.984594e-06,2.6893356e-06,-1.2888621e-05,-5.078026e-06,-1.2501066e-06,1.5939728e-05,6.0303014e-06,-9.545586e-07,5.479749e-06,-2.6117687e-06,-9.998425e-07,1.6140023e-06,-3.96188e-06,-2.5707811e-06,8.878477e-07,-1.0523515e-06,-4.126812e-07,-1.4891905e-06,-3.9806764e-06,5.181244e-07,-2.3954246e-06,5.1284843e-07,1.5476999e-06,5.5511674e-07,-6.827463e-07,-2.8932202e-06,3.644355e-07,6.7375356e-07,-6.9389114e-07,-1.6339692e-07,1.170132e-06,1.2852861e-06,-1.5179706e-06,9.220159e-07,3.0505643e-07,1.8424549e-06,3.552618e-07,-4.767418e-07,1.7905119e-06,2.7969156e-07,1.1908801e-06,1.0373152e-06,1.4712351e-06,-1.5258553e-06,4.567904e-07,1.5239788e-06,-2.852972e-08,-1.112618e-06,-1.1598411e-06,-3.0223546e-07,-1.3393629e-06,-8.275191e-07,-1.0986198e-06,3.5599092e-07,3.1608675e-07,-6.958675e-07,-1.5018084e-06,1.5056534e-06,-1.740408e-08,-5.656727e-07,-7.5686313e-07,5.306725e-07,-3.940689e-07,1.153878e-06,-5.583527e-07,-1.5024458e-06,-7.9776974e-08,9.554254e-07,-4.3454085e-07,-1.1556926e-06,2.0320624e-07,-7.181999e-07,8.35308e-07,8.420354e-07,-3.229133e-08,-1.0267484e-06,7.677545e-07,3.1149466e-07,-9.717287e-07,-7.2645463e-07,-7.951371e-07,2.1349307e-07,-5.8100888e-08,-3.9006812e-07,5.779772e-07,1.610825e-08,-2.7249115e-07,-4.846392e-08,-9.244979e-08,4.9055313e-07,-3.7174917e-07,6.829953e-08,-1.020049e-07,7.5506637e-07,-2.031356e-06,6.712891e-07,1.7861996e-07,-1.962888e-07,-1.2074173e-06,-2.8504033e-07,4.6842854e-07,-5.435744e-07,-8.2048035e-07,1.0877215e-07,9.205739e-07,-1.3954127e-06,1.9198431e-07,-7.0559946e-07
1,15.04488,0.40767336,0.20472705,-0.9175075,0.14775828,-0.022216957,0.0021813302,0.00081218954,0.00056199636,-0.00012087773,-3.089928e-05,-5.3826832e-05,2.4816469e-05,1.5821246e-06,5.5581363e-06,-5.721351e-06,-1.0035078e-05,4.6998584e-06,-6.2309205e-06,6.1955325e-06,-1.1419014e-05,6.3254897e-06,-4.898532e-06,-4.626877e-06,-1.341525e-06,-1.9467043e-06,-1.4478288e-06,-3.1351224e-06,7.3760623e-07,-2.403087e-07,3.2602852e-06,-8.122162e-07,-5.719082e-07,-1.1290216e-06,2.5362776e-06,2.534863e-06,-1.3327445e-06,5.3964715e-07,1.4640688e-06,5.411481e-06,-5.2368887e-07,-9.3470663e-07,4.0650377e-07,-1.5352919e-06,-2.0626187e-06,1.656473e-06,3.4702093e-06,-2.1958035e-06,-1.3373559e-06,-1.9970184e-06,-2.5598215e-06,8.372069e-07,-4.0003047e-06,1.2249092e-06,-2.5199342e-06,-2.4476249e-06,1.2539682e-06,-2.9327301e-08,-1.7939394e-06,1.7331172e-06,1.7069602e-06,-3.8723592e-06,-2.8934176e-06,-2.0147201e-08,-1.946874e-06,-1.3703199e-06,4.4537168e-07,1.7471322e-07,2.6229162e-07,-1.1970616e-06,2.7888825e-06,1.6224325e-06,9.850953e-07,-1.1940159e-06,-2.936112e-06,2.8542704e-06,-4.038291e-06,3.4500588e-06,3.9342303e-06,-5.4037898e-08,-5.7748434e-07,2.7978401e-06,-3.841994e-06,2.6811774e-06,4.1678427e-06,-9.863e-07,2.2264405e-06,-5.849869e-06,-2.5111376e-06,1.9716729e-06,2.8786985e-06,-1.8263086e-07,-7.7240963e-07,-1.4494342e-06,3.1467087e-06,-1.5372599e-06,5.440797e-07,2.1298913e-06,3.6313745e-06,-2.0449595e-06,-2.9114053e-06,-1.2582644e-06,-8.028453e-07,-2.0279099e-06,-1.0465113e-06,-3.1715088e-06,-6.657162e-07,9.530748e-06,-3.9556467e-06,1.9946508e-06,-2.272307e-06,-6.578973e-07,3.0883402e-06,-3.6039994e-06,7.712532e-07,1.1312663e-06,-3.5797113e-06,-9.117597e-07,-3.7545936e-07,-5.5751264e-07,6.9406315e-07,-1.5486156e-06,-1.806177e-06,-3.9384945e-06,-2.726737e-06,1.0143165e-07,2.5047661e-06,3.7127277e-06
0,-81.06991,9.625824,1.3619527,-0.4827232,0.08188673,-0.011404204,0.0015160769,0.00015039345,0.00014114456,-4.863102e-05,-2.4033843e-05,-5.1781706e-05,9.0982985e-06,-3.3352196e-06,1.9362258e-05,-1.5132802e-05,1.05943745e-05,-1.3548369e-05,-1.7916566e-06,-1.107223e-06,4.5556812e-06,-9.832645e-07,3.3578285e-06,-1.0549575e-06,1.5676353e-06,-1.919943e-06,-2.3272949e-06,1.372942e-06,-4.805207e-07,1.0825785e-06,-6.8520976e-06,1.4137262e-06,7.456881e-06,-8.827862e-07,2.4225208e-06,5.0686117e-07,3.1878349e-06,2.8164677e-06,2.0686937e-06,8.217267e-07,-3.0012536e-06,6.792124e-07,-3.509866e-06,-9.6936176e-08,-3.6887903e-07,-4.468015e-06,-5.4317256e-06,6.9145144e-06,3.2774508e-06,4.6171292e-07,1.2351886e-06,-3.3728381e-06,4.4925023e-06,-2.6708744e-06,1.2170349e-06,-6.419129e-06,-3.2782114e-06,1.768206e-06,-3.1816792e-06,3.2939497e-06,-1.4220538e-07,8.80109e-09,8.1874356e-07,4.454171e-06,6.207046e-06,6.415142e-06,-1.6084845e-06,7.2373155e-07,2.9772123e-06,3.4060201e-06,-1.3157637e-06,-2.2290453e-06,-6.4106125e-06,4.1813105e-06,-5.723925e-06,-6.97286e-06,7.8055604e-07,-4.3449867e-07,7.495871e-07,-4.9864834e-06,-1.7636768e-06,-1.4412508e-06,-4.0489413e-06,3.2228636e-06,-3.1047016e-06,-6.419502e-06,-2.0140192e-06,-2.4646622e-06,-4.613319e-06,2.4460676e-06,-1.7233668e-06,4.220847e-06,-1.643605e-06,-1.0795043e-07,-1.1294596e-06,5.2534306e-06,-2.1678998e-06,2.1649564e-06,2.5112674e-06,1.6721077e-06,1.0705629e-06,1.4329022e-06,1.992581e-06,5.6927925e-06,-6.321583e-07,-1.752561e-08,-5.104833e-07,3.88222e-06,-1.5046262e-06,4.6549715e-07,-1.3991976e-06,9.625175e-08,-7.6258054e-08,-1.9112688e-06,1.0800866e-06,-2.4062246e-07,-4.579813e-06,2.9889177e-06,-4.0328885e-07,2.3745008e-07,-1.45626e-06,1.1290502e-06,5.7993935e-07,1.6127353e-06,-2.4436788e-06,4.607385e-08,2.166319e-06,-9.676642e-07
1,126.85444,-5.508249,-1.0114436,-0.69722223,-0.0071311467,0.015433391,-0.0090577565,0.0010972033,-0.0003647018,0.00023813485,-7.6843735e-06,-6.176684e-05,-3.1453026e-05,2.584768e-05,-1.8919145e-06,3.07726e-05,7.825311e-07,-1.7123808e-06,-6.712304e-06,1.0809197e-05,-1.9765864e-06,-4.608407e-06,9.621502e-06,-3.9757047e-06,-1.3762156e-06,7.832403e-06,-3.820276e-06,4.168123e-07,5.517096e-07,-7.1738305e-06,2.3036148e-06,-4.05453e-06,-3.8969742e-06,-2.7113151e-06,1.3287836e-06,5.949236e-07,6.745956e-06,-3.7096559e-06,3.7291688e-06,-8.804939e-07,4.5756638e-06,5.505566e-06,1.5170435e-06,-1.3071891e-08,-3.943978e-06,-3.5406867e-06,-2.0367238e-06,4.126528e-06,-1.600842e-06,-5.581516e-06,4.215834e-07,4.0183236e-06,6.240218e-06,1.0123796e-05,5.5961414e-06,2.5046777e-06,2.439628e-06,2.5918457e-06,2.409493e-06,3.6185733e-07,5.3480594e-06,-4.919702e-06,-2.0468024e-06,4.2679067e-06,9.268799e-07,-5.9952176e-06,-2.3529806e-06,-1.7618894e-06,-2.4661126e-06,-1.262755e-06,1.1746118e-06,1.0723752e-06,-1.6751015e-06,3.8720727e-06,6.0860486e-07,6.5485006e-07,-2.5679008e-06,4.418664e-07,2.5194836e-07,-2.3308783e-06,4.805544e-07,-1.2315985e-06,2.9611224e-06,-1.0644804e-06,-2.3653824e-07,-2.1012977e-06,4.381243e-07,-1.790693e-07,4.6245006e-07,-8.9868865e-07,-5.300303e-07,4.192959e-06,1.5012646e-06,9.308312e-07,-3.5764483e-06,3.7318367e-07,1.8661174e-06,2.599374e-06,-5.847628e-08,-3.217442e-07,-1.2278173e-07,5.0072555e-07,7.897581e-07,2.328209e-06,9.592568e-07,3.8179332e-06,4.760265e-07,1.1169009e-06,-5.6277764e-07,1.1839278e-06,1.0483335e-06,-3.9958908e-07,8.326312e-07,-2.7782355e-06,7.6318526e-07,2.7228962e-06,-3.5413496e-08,1.7259571e-06,-1.0782534e-06,-2.075772e-06,-1.896087e-07,-1.0060941e-06,-6.4428104e-07,7.5894025e-07,-9.579703e-07,1.4242343e-06,1.3918497e-06,-2.0424543e-06
0,-9.513392,16.334494,1.2361603,-0.21342279,-0.058431726,-0.004097,0.010442451,0.00041211385,0.00021014964,0.00020273571,6.92076e-06,-7.116481e-05,-3.1154013e-05,1.0033202e-05,6.251868e-08,-2.4777755e-05,6.3325956e-06,-8.555915e-06,5.1465204e-06,4.0452305e-06,4.581245e-06,-1.0917535e-05,2.4255025e-06,-3.2940823e-06,-1.9932357e-07,2.174008e-06,-3.0301846e-06,-8.5272944e-07,2.960864e-07,-6.5007004e-07,4.8984487e-07,-9.417291e-07,1.8289795e-06,-1.2563908e-06,2.6674406e-06,6.704001e-07,1.10830946e-07,1.4243018e-06,-2.6180728e-06,-4.8636975e-06,-8.0452537e-07,4.018006e-06,8.50109e-07,-1.5154396e-06,-1.7656658e-06,1.9858783e-06,1.4564392e-06,-3.46509e-06,7.741533e-07,-3.0259387e-06,-6.2980945e-07,-5.289913e-06,-1.5049739e-07,-4.0370963e-07,1.4230077e-06,1.009356e-06,1.7269697e-06,2.4170415e-06,-5.0751196e-06,-2.0559542e-06,-1.1602889e-06,3.6448364e-07,3.2405256e-07,1.8748786e-06,7.9735605e-07,-3.5138894e-06,-2.0705882e-06,-2.822877e-06,-2.0541886e-06,-7.6327814e-07,-7.50989e-06,2.1154133e-06,4.2026436e-06,7.4037666e-07,-1.3013479e-06,-5.2699042e-06,1.6259554e-06,-2.366821e-06,4.7480935e-06,3.404086e-06,-2.9718974e-06,-2.6488963e-06,-9.346617e-07,3.5930946e-06,-8.559101e-07,7.822764e-06,2.6075732e-06,2.773677e-06,5.7311663e-06,2.476032e-06,-3.9116944e-06,8.2638394e-07,1.3202524e-06,-2.7851017e-06,-5.7899723e-07,-1.3779372e-06,-2.150303e-06,-1.3248549e-06,-3.091434e-08,4.1831223e-07,7.679373e-07,-5.9405465e-07,-4.1188386e-07,-4.9622763e-06,2.9096655e-06,-3.933403e-06,-2.4661247e-06,2.1241253e-06,-3.7279133e-06,-2.2326642e-06,-3.1880863e-06,4.1213022e-07,3.383627e-06,4.2256065e-06,-2.9199712e-06,2.581816e-06,-2.843118e-06,1.9039256e-06,2.1112353e-06,7.668736e-07,3.3255556e-06,-2.4471498e-07,-5.9774175e-06,-2.3762243e-06,3.0075128e-06,1.8102743e-06,3.01712e-06,1.6364413e-07
1,22.113432,-4.6855545,-1.296396,-0.036126032,-0.04953221,0.017920949,0.00056117924,-0.0006260843,0.00015540654,2.8087502e-06,-6.643133e-05,-2.9922856e-05,3.6599536e-06,-7.30053e-07,6.376847e-06,4.0620334e-06,2.8627485e-06,9.124221e-06,-4.5334004e-06,8.86763e-06,4.913105e-07,-9.778418e-06,4.2923707e-06,1.14309444e-07,2.1285446e-06,2.634862e-06,-1.7001626e-06,1.1278232e-06,1.3332643e-06,-1.155578e-06,-1.407632e-07,7.6832305e-07,-1.1872618e-06,-2.5402524e-06,-1.31579e-07,-1.3755531e-06,1.3597482e-06,3.2093774e-07,-4.094328e-06,-4.1870517e-06,-2.7440412e-06,4.2864635e-06,-1.9703707e-06,-4.2095985e-06,5.0545623e-06,1.3038663e-06,8.351603e-06,9.428308e-08,1.1816741e-07,-2.077974e-06,2.4659498e-06,2.2523307e-07,1.0164846e-06,-1.962543e-06,2.2234555e-07,-9.527324e-07,-2.0925293e-06,-5.9112917e-06,1.4657978e-06,3.403994e-06,-3.2478331e-07,2.1317287e-06,1.7985602e-06,-6.02162e-06,5.3297326e-06,6.100275e-06,1.4144495e-06,-1.6705683e-06,-5.9610966e-06,-6.5700175e-07,2.026596e-06,-9.0441563e-07,-1.5844389e-06,8.341482e-08,-6.075409e-07,8.939264e-07,1.1105777e-06,3.8947087e-06,2.3138463e-07,-5.7310754e-06,2.777713e-06,-1.5421521e-06,-2.800107e-06,-2.5795143e-06,5.042396e-06,2.5337602e-06,-3.6478527e-06,-3.211527e-06,2.6527787e-06,3.5291216e-06,-3.7798118e-06,-4.5950122e-07,-3.8616736e-06,-1.938714e-06,-2.0758637e-06,9.985403e-07,4.890304e-06,1.9647361e-07,-2.2450645e-06,-1.1775645e-06,1.6544464e-06,3.946473e-06,2.1117357e-06,5.2930943e-07,-3.137731e-07,-1.1320012e-06,-1.873277e-06,-7.365253e-07,-6.0815876e-07,-3.0688233e-07,-2.3403997e-07,1.6136773e-06,-3.365548e-06,-1.9982376e-06,1.3810495e-06,2.6313712e-08,1.8666486e-06,-1.4570774e-06,2.715438e-07,-1.0770615e-06,-8.259673e-07,-5.499216e-07,3.8077428e-06,-3.8598017e-08,-3.7358818e-06,1.3774921e-06,-9.924291e-07,1.5510107e-06
0,-74.14913,4.1939707,-0.3336987,-0.004747137,0.04018621,0.00016293614,-0.0023027868,-0.00016082797,-0.00032184494,2.6191941e-05,-2.7304788e-05,-5.1723273e-05,-5.1807997e-06,1.8910068e-05,2.8762395e-06,-9.345831e-06,-3.5923704e-06,-5.6995937e-06,-1.2399785e-07,-2.3323814e-06,-3.4337643e-06,-5.8899223e-09,-6.5092934e-07,7.74571e-07,-6.158804e-07,4.247991e-07,-1.5653848e-06,-2.2429292e-06,1.5165999e-06,-3.3210088e-07,-3.499304e-06,1.3544867e-06,1.9286415e-06,-2.9743715e-06,3.1217855e-06,-3.1978022e-06,-3.0324386e-06,-4.941007e-06,-1.9731544e-06,5.59953e-06,5.149999e-06,2.7844935e-06,-4.043153e-06,2.9369596e-07,2.072418e-06,2.8214515e-06,-6.7618595e-07,1.8987618e-06,-4.9711264e-07,-1.8400666e-06,-3.2675296e-06,2.7073697e-06,-2.1325623e-06,1.9699412e-06,-3.0900094e-06,9.585022e-06,5.825323e-07,-3.4444172e-06,2.2354966e-06,2.8290438e-06,-3.948783e-07,-6.297173e-07,-2.476538e-06,3.599016e-07,-2.373116e-06,2.959355e-06,3.6163835e-06,4.6660616e-06,-3.1714498e-07,1.5936757e-06,-7.535236e-06,-3.2180296e-07,3.144742e-06,1.9439265e-06,-1.7588613e-06,-4.9847786e-06,4.633423e-06,-5.514905e-06,1.1488268e-06,-1.9235772e-06,3.1569411e-06,-6.1292767e-06,1.9684358e-06,-4.0425016e-06,-8.7024426e-07,-2.3275402e-06,-7.8861484e-07,-7.826103e-06,3.7915092e-06,1.1076878e-06,2.3720252e-06,-1.3506435e-06,7.3599057e-07,-6.289098e-07,-1.9260358e-06,4.0459936e-06,-3.7731168e-06,-2.0502605e-06,-2.1698856e-06,4.897687e-07,3.5459604e-07,-1.4681972e-06,-4.4001936e-06,-7.015724e-06,1.6876199e-07,5.370578e-06,3.4269326e-06,-3.8885418e-07,9.3781796e-07,-1.8438473e-06,6.212134e-07,1.0072491e-06,-2.9169917e-06,1.9680385e-06,3.4386273e-06,3.7950383e-06,-2.5134373e-06,-1.1234242e-06,2.6349906e-06,-3.000554e-07,3.820563e-06,-6.6827886e-07,4.078017e-06,-1.3123546e-06,-1.107879e-06,-4.203221e-07,-3.6409478e-08,1.9373447e-06
1,-2.7299817,10.744184,-0.5951369,0.116936445,-0.068725556,0.010079776,0.007004114,-0.0008624891,0.00036983404,2.3325242e-06,-5.914112e-05,-3.1770804e-05,1.9615427e-06,-1.3736878e-05,6.854805e-06,-3.937024e-06,4.370686e-06,3.6366516e-06,1.476257e-06,-1.6180591e-06,-9.02117e-06,-2.5032916e-06,6.6223066e-07,6.9075463e-07,6.0535294e-06,-4.2008185e-07,8.0670776e-07,-6.475655e-07,-5.884965e-06,-2.479222e-06,-1.6515556e-07,8.297126e-08,1.4854309e-09,-3.1779182e-06,-4.0833592e-07,-2.5978313e-06,3.5313162e-06,-1.3764458e-06,-1.8990424e-06,3.7756693e-06,3.2495022e-06,1.0876524e-06,9.316814e-07,5.658895e-06,2.931551e-06,-3.033166e-06,3.097577e-06,3.828153e-06,2.3063808e-06,-9.3688504e-07,8.290774e-07,3.6839533e-06,2.6027533e-06,-2.3985972e-06,-2.3027414e-06,1.7533007e-07,-7.817037e-07,-4.2991462e-07,-3.6144531e-06,-2.6395828e-06,-1.2322164e-06,3.6337663e-06,1.8145009e-06,-2.0804155e-06,-1.7648191e-06,-4.1241983e-06,-1.1261315e-06,-1.6292709e-06,-2.1427935e-07,-1.4019593e-06,1.2395473e-06,2.8989592e-07,5.6091125e-07,-4.9677265e-06,-6.753131e-06,1.3388976e-07,-1.1193816e-06,-2.7925532e-06,7.1332545e-07,3.0506674e-06,-3.2224234e-06,2.6486688e-07,-8.735692e-07,1.9152654e-07,-8.799255e-06,-3.103637e-06,5.202443e-06,-2.9550745e-06,1.9871843e-06,-5.6200804e-07,-2.747013e-06,4.3937234e-06,1.8309843e-06,-1.1731409e-07,2.4868012e-07,-1.1196726e-06,4.0994968e-07,-3.6105298e-06,-1.1622482e-06,-9.294163e-07,-7.523448e-06,-5.2583177e-06,-1.0670958e-06,-2.749831e-06,5.9395678e-08,-3.5699109e-06,-1.265992e-06,6.693022e-07,-1.8939569e-06,2.6479645e-06,-1.1805629e-06,-2.170353e-06,2.429448e-06,-3.3798945e-06,4.578958e-06,-1.4380861e-06,2.75568e-06,-4.96155e-07,-1.7919541e-07,-1.8549313e-06,3.1533128e-07,-1.7727174e-06,4.6763266e-06,1.4592408e-06,1.0447413e-06,2.4515894e-06,-6.854561e-07,3.3820554e-06
