dataset,method,dim,accuracy,f1,auc,clf_train_time_s,embed_time_s,fit_time_s,peak_tracemalloc_mb,rss_before_mb,rss_after_mb,rss_delta_mb
ENZYMES,GIN,64,0.21249999999999997,0.15724092033026757,0.5710208333333333,21.095628798007965,0.08925843238830562,,1.7287529706954956,1570.28515625,1676.78515625,106.5
ENZYMES,GIN,128,0.2395833333333333,0.17727033217603413,0.56525,24.70711201429367,0.08962541818618769,,2.5035593509674072,1685.14208984375,1686.0615234375,0.91943359375
ENZYMES,GIN,256,0.2145833333333333,0.16267413372176232,0.5820208333333333,25.914139211177826,0.09673053026199335,,4.233044147491455,1706.0302734375,1709.22998046875,3.19970703125
ENZYMES,Graph2Vec,64,0.18888888888888888,0.17953336961520258,0.5011944444444444,4.070932586987813,0.0004,0.5966,7.73,650.46,667.96,17.5
ENZYMES,Graph2Vec,128,0.20277777777777772,0.19607313258566417,0.5388611111111111,7.560119907061259,0.0004,0.7097000000000001,7.7,671.96,669.78,-2.1800000000000637
ENZYMES,Graph2Vec,256,0.2069444444444444,0.20058442910478672,0.5516944444444445,14.970451752344767,0.0005,0.5777,7.7,670.08,671.08,1.0
ENZYMES,NetLSD,64,0.17777777777777773,0.16958460965886923,0.5268888888888889,4.063048720359802,0.10100000000000002,0.1584,1.2,637.73,639.61,1.8799999999999955
ENZYMES,NetLSD,128,0.19444444444444442,0.19231318788821394,0.5329027777777778,7.80717138449351,0.1077,0.1584,1.75,645.36,645.73,0.37000000000000455
ENZYMES,NetLSD,256,0.22638888888888886,0.20825323557006806,0.6024722222222222,13.100934386253357,0.0001,0.1584,1.16,646.14,646.14,0.0
IMDB-MULTI,GIN,64,0.38749999999999996,0.36519757200440517,0.5817291666666666,23.34220838546753,0.09960651397705075,,1.9617501497268677,1590.76171875,1698.19921875,107.4375
IMDB-MULTI,GIN,128,0.3908333333333333,0.37371334582668575,0.5911458333333334,22.68714800477028,0.10180392861366268,,2.9408111572265625,1705.35546875,1706.24609375,0.890625
IMDB-MULTI,GIN,256,0.38999999999999996,0.3563529968410344,0.5780333333333334,29.20326292514801,0.10409188270568843,,4.995631098747253,1721.55810546875,1723.07763671875,1.51953125
IMDB-MULTI,Graph2Vec,64,0.34833333333333333,0.34633265999930146,0.5374916666666667,5.377872586250305,0.0009000000000000001,1.039,8.28,669.2,672.45,3.25
IMDB-MULTI,Graph2Vec,128,0.3311111111111111,0.3293440819293835,0.5006944444444444,10.272886872291565,0.001,0.9549,8.28,676.32,676.32,0.0
IMDB-MULTI,Graph2Vec,256,0.37777777777777777,0.3750408575498214,0.5461166666666667,20.82280679543813,0.0011,0.9974,8.27,678.7,678.82,0.12000000000000455
IMDB-MULTI,NetLSD,64,0.38000000000000006,0.3764173433870795,0.5488694444444444,5.0845175584157305,0.2291,0.1721,2.81,643.47,644.09,0.6200000000000045
IMDB-MULTI,NetLSD,128,0.37666666666666665,0.3727510415867599,0.544525,9.611316124598185,0.2267,0.1721,4.03,653.62,653.87,0.25
IMDB-MULTI,NetLSD,256,0.365,0.3525977103740083,0.5621166666666667,16.69651671250661,0.0004,0.1721,2.9,656.62,656.62,0.0
MUTAG,GIN,64,0.7105263157894737,0.5368458318732929,0.7676282051282052,4.943875968456268,0.028057128190994225,,0.9723739624023438,1580.93359375,1689.23046875,108.296875
MUTAG,GIN,128,0.7302631578947368,0.5629872311827957,0.7924679487179488,4.11425843834877,0.027293413877487138,,1.1567822694778442,1703.91796875,1705.98046875,2.0625
MUTAG,GIN,256,0.7236842105263158,0.5752210910729056,0.7684294871794872,4.10843500494957,0.02791470289230341,,1.5871268510818481,1717.00732421875,1717.72021484375,0.712890625
MUTAG,Graph2Vec,64,0.7192982456140351,0.7155846400594227,0.8046153846153846,0.3681172927220662,0.0001,0.2312,1.45,632.48,635.86,3.3799999999999955
MUTAG,Graph2Vec,128,0.736842105263158,0.7361123276199425,0.822051282051282,0.5399643977483114,0.0001,0.128,1.39,638.11,638.36,0.25
MUTAG,Graph2Vec,256,0.7236842105263158,0.7233671963865955,0.785128205128205,0.9120514392852783,0.0001,0.12020000000000002,1.39,638.88,638.88,0.0
MUTAG,NetLSD,64,0.8157894736842105,0.8088065835818371,0.8369230769230769,0.27922578652699787,0.0784,0.0256,1.13,618.88,621.13,2.25
MUTAG,NetLSD,128,0.7807017543859649,0.7543881654967559,0.8358974358974359,0.7307725350062052,0.0034,0.0256,1.09,623.75,623.75,0.0
MUTAG,NetLSD,256,0.8245614035087719,0.8251098385660014,0.8812820512820512,0.8855110804239908,0.0,0.0256,0.36000000000000004,624.61,624.61,0.0
