dataset,method,dim,accuracy,f1,auc,clf_train_time_s,embed_time_s,fit_time_s,peak_tracemalloc_mb,rss_before_mb,rss_after_mb,rss_delta_mb
ENZYMES,GIN,64,0.35416666666666663,0.34526026091086653,0.6709166666666667,27.89902886748314,0.09594339132308956,,1.146454095840454,1232.15234375,1313.96484375,81.8125
ENZYMES,GIN,128,0.36666666666666664,0.35540631152265734,0.6908125,30.767146289348602,0.09986773133277888,,1.9996870756149292,1335.52734375,1338.38671875,2.859375
ENZYMES,GIN,256,0.46458333333333335,0.44765343033444954,0.7524583333333333,42.49157935380936,0.1002576649188995,,3.760733962059021,1369.35791015625,1373.982421875,4.62451171875
ENZYMES,Graph2Vec,64,0.2236111111111111,0.21856384362569592,0.5627083333333333,2.6099501053492227,0.0003,0.9536000000000001,9.89,373.12000000000006,378.89000000000004,5.769999999999982
ENZYMES,Graph2Vec,128,0.20972222222222217,0.20392284572794686,0.5653611111111111,4.872218728065491,0.0003,0.9631,7.7,383.89000000000004,378.56,-5.329999999999984
ENZYMES,Graph2Vec,256,0.23333333333333328,0.22995308912768195,0.553138888888889,9.274297515551249,0.0003,1.2432,7.7,388.58,335.61,-52.96999999999997
ENZYMES,NetLSD,64,0.2652777777777777,0.26390735800232873,0.6123888888888889,2.7032965819040933,2.0756,1.2562,1.36,368.7,371.31,2.6100000000000136
ENZYMES,NetLSD,128,0.22222222222222218,0.2224100034487855,0.5937916666666667,4.901176929473877,2.2731,1.2562,2.05,373.60999999999996,374.95,1.339999999999975
ENZYMES,NetLSD,256,0.2791666666666667,0.26605020862741097,0.6467916666666667,7.952851454416911,0.0001,1.2562,1.16,383.8,383.91,0.11000000000001364
IMDB-MULTI,GIN,64,0.47,0.4547755982789968,0.6637916666666667,66.30661678314209,0.3084986507892608,,1.3862793445587158,1251.10546875,1334.76171875,83.65625
IMDB-MULTI,GIN,128,0.45999999999999996,0.4421128226114812,0.6510041666666667,72.13528689742088,0.3197001218795776,,2.4555459022521973,1353.93359375,1356.55859375,2.625
IMDB-MULTI,GIN,256,0.45916666666666667,0.43708737480124366,0.6462,69.15121594071388,0.3164639472961426,,4.650409460067749,1377.7431640625,1380.7158203125,2.97265625
IMDB-MULTI,Graph2Vec,64,0.41111111111111104,0.40788905082863075,0.588288888888889,3.4327359596888223,0.0008,1.4136999999999997,10.71,389.89000000000004,399.25,9.360000000000014
IMDB-MULTI,Graph2Vec,128,0.4083333333333334,0.4064673281715478,0.5747722222222222,6.9254277149836225,0.0008,1.5435,8.28,401.60999999999996,401.09,-0.5200000000000387
IMDB-MULTI,Graph2Vec,256,0.41277777777777774,0.40959150310050835,0.5910444444444445,12.467692216237387,0.0008,1.481,9.38,403.56,403.03,-0.5300000000000296
IMDB-MULTI,NetLSD,64,0.445,0.4425347594746943,0.6248,2.586006999015808,4.2079,2.0089,6.44,397.48,396.12000000000006,-1.3600000000000136
IMDB-MULTI,NetLSD,128,0.43777777777777777,0.43704881344408303,0.6115194444444444,4.951107740402222,4.3311,2.0089,9.6,401.48,392.55,-8.930000000000007
IMDB-MULTI,NetLSD,256,0.4383333333333333,0.42430615704353175,0.6184472222222223,5.152393500010173,0.0003,2.0089,2.9,400.67,402.23,1.5600000000000023
MUTAG,GIN,64,0.743421052631579,0.6537339667192281,0.8445512820512822,7.040187418460846,0.04441374540328975,,0.5735466480255127,1241.671875,1325.328125,83.65625
MUTAG,GIN,128,0.7960526315789473,0.7622549088703512,0.8173076923076924,10.082662224769592,0.0450411438941955,,0.7346178293228149,1339.5,1341.546875,2.046875
MUTAG,GIN,256,0.8026315789473684,0.7612915726202832,0.8549679487179488,9.552239447832108,0.04520657658576961,,1.1809513568878174,1352.041015625,1353.08984375,1.048828125
MUTAG,Graph2Vec,64,0.6447368421052632,0.6163625047024438,0.6543589743589744,0.2100285291671753,0.0001,0.211,1.61,347.5,350.2,2.6999999999999886
MUTAG,Graph2Vec,128,0.706140350877193,0.697007615448728,0.701025641025641,0.31380903720855713,0.0001,0.1772,1.39,350.48,350.89000000000004,0.40999999999996817
MUTAG,Graph2Vec,256,0.6842105263157895,0.6676100253483342,0.6861538461538461,0.5121036767959595,0.0001,0.1774,1.39,354.56,354.85999999999996,0.30000000000001137
MUTAG,NetLSD,64,0.8201754385964911,0.8164081942977712,0.8656410256410255,0.30789776643117267,0.1472,0.3183,2.19,318.52,322.09,3.569999999999993
MUTAG,NetLSD,128,0.7807017543859649,0.756604435970402,0.817948717948718,0.40154314041137695,0.0133,0.3183,2.18,325.03,327.64,2.6100000000000136
MUTAG,NetLSD,256,0.837719298245614,0.8374577331894377,0.8928205128205128,0.48712507883707684,0.0002,0.3183,0.36000000000000004,331.62,331.84,0.21999999999997044
