Method,Dataset,Dim,Model,Accuracy,F1,AUC,TrainTime
NetLSD,MUTAG,dim64,SVM,0.7894736842105263,0.7847503373819162,0.8246153846153846,0.004673957824707031
NetLSD,MUTAG,dim64,LogisticRegression,0.7894736842105263,0.7894736842105263,0.8061538461538462,0.0031037330627441406
NetLSD,MUTAG,dim64,RandomForest,0.868421052631579,0.8670794633642932,0.916923076923077,0.32773876190185547
NetLSD,MUTAG,dim64,GradientBoosting,0.8421052631578947,0.8421052631578947,0.9446153846153845,0.4516773223876953
NetLSD,MUTAG,dim64,MLP,0.7368421052631579,0.7226652489810385,0.7938461538461539,0.027265071868896484
NetLSD,MUTAG,dim64,Ensemble,0.8947368421052632,0.8923751686909581,0.9076923076923077,1.0329277515411377
NetLSD,MUTAG,dim128,SVM,0.7894736842105263,0.757209114740875,0.7969230769230768,0.009209871292114258
NetLSD,MUTAG,dim128,LogisticRegression,0.7368421052631579,0.7407581453634084,0.7938461538461539,0.003082752227783203
NetLSD,MUTAG,dim128,RandomForest,0.7894736842105263,0.7691729323308271,0.8892307692307693,0.31801295280456543
NetLSD,MUTAG,dim128,GradientBoosting,0.8421052631578947,0.8421052631578947,0.8861538461538462,0.7934396266937256
NetLSD,MUTAG,dim128,MLP,0.6578947368421053,0.5633016968651137,0.6584615384615384,0.14113306999206543
NetLSD,MUTAG,dim128,Ensemble,0.868421052631579,0.8670794633642932,0.8830769230769231,1.1443805694580078
NetLSD,MUTAG,dim256,SVM,0.8421052631578947,0.8385627530364372,0.8861538461538463,0.004182338714599609
NetLSD,MUTAG,dim256,LogisticRegression,0.868421052631579,0.8670794633642932,0.9292307692307693,0.0074193477630615234
NetLSD,MUTAG,dim256,RandomForest,0.8157894736842105,0.8173210804789752,0.8676923076923078,0.33998680114746094
NetLSD,MUTAG,dim256,GradientBoosting,0.8157894736842105,0.8139112487100103,0.8984615384615384,1.1292638778686523
NetLSD,MUTAG,dim256,MLP,0.8421052631578947,0.845766590389016,0.8861538461538461,0.0903937816619873
NetLSD,MUTAG,dim256,Ensemble,0.8421052631578947,0.8421052631578947,0.8892307692307693,1.3515043258666992
NetLSD,ENZYMES,dim64,SVM,0.26666666666666666,0.26095544324202097,0.6025,0.08903312683105469
NetLSD,ENZYMES,dim64,LogisticRegression,0.2916666666666667,0.28985278656331287,0.5666666666666665,0.006977558135986328
NetLSD,ENZYMES,dim64,RandomForest,0.3,0.3019626746229128,0.6661666666666667,0.3910634517669678
NetLSD,ENZYMES,dim64,GradientBoosting,0.25833333333333336,0.2585211555799791,0.6345833333333334,8.525249242782593
NetLSD,ENZYMES,dim64,MLP,0.21666666666666667,0.21574333159699013,0.5471666666666667,0.09525060653686523
NetLSD,ENZYMES,dim64,Ensemble,0.25833333333333336,0.2564087564087564,0.65725,7.112205505371094
NetLSD,ENZYMES,dim128,SVM,0.14166666666666666,0.1446569334804629,0.5808333333333333,0.09575653076171875
NetLSD,ENZYMES,dim128,LogisticRegression,0.175,0.17585889639300223,0.51075,0.008976221084594727
NetLSD,ENZYMES,dim128,RandomForest,0.30833333333333335,0.31209519119915835,0.6534166666666666,0.35413312911987305
NetLSD,ENZYMES,dim128,GradientBoosting,0.23333333333333334,0.23591915828757934,0.6066666666666667,16.202568292617798
NetLSD,ENZYMES,dim128,MLP,0.25833333333333336,0.2482579614655086,0.55925,0.22338390350341797
NetLSD,ENZYMES,dim128,Ensemble,0.21666666666666667,0.21767187986700182,0.6518333333333334,12.52224349975586
NetLSD,ENZYMES,dim256,SVM,0.25833333333333336,0.24747208594279105,0.6244999999999999,0.09534263610839844
NetLSD,ENZYMES,dim256,LogisticRegression,0.2833333333333333,0.23389846340666012,0.6536666666666667,0.07445859909057617
NetLSD,ENZYMES,dim256,RandomForest,0.325,0.32389060056033964,0.6725833333333332,0.31368136405944824
