Method,Dataset,Dim,Model,Accuracy,F1,AUC,TrainTime
Graph2Vec,MUTAG,dim64,SVM,0.631578947368421,0.6117313485734538,0.6369230769230769,0.004534244537353516
Graph2Vec,MUTAG,dim64,LogisticRegression,0.5526315789473685,0.5638558762497642,0.4953846153846154,0.0038526058197021484
Graph2Vec,MUTAG,dim64,RandomForest,0.7105263157894737,0.6559794301306607,0.7753846153846153,0.3503115177154541
Graph2Vec,MUTAG,dim64,GradientBoosting,0.631578947368421,0.5960526315789473,0.6307692307692307,0.4649333953857422
Graph2Vec,MUTAG,dim64,MLP,0.6842105263157895,0.6771255060728746,0.6923076923076924,0.02763819694519043
Graph2Vec,MUTAG,dim64,Ensemble,0.6578947368421053,0.5934302356089626,0.6953846153846154,0.4089012145996094
Graph2Vec,MUTAG,dim128,SVM,0.6842105263157895,0.6842105263157895,0.6707692307692307,0.007996320724487305
Graph2Vec,MUTAG,dim128,LogisticRegression,0.6578947368421053,0.6544066047471621,0.633846153846154,0.0059757232666015625
Graph2Vec,MUTAG,dim128,RandomForest,0.7631578947368421,0.7544147489313934,0.796923076923077,0.3332996368408203
Graph2Vec,MUTAG,dim128,GradientBoosting,0.6842105263157895,0.6771255060728746,0.72,0.7840802669525146
Graph2Vec,MUTAG,dim128,MLP,0.7105263157894737,0.6892230576441103,0.6369230769230769,0.06919527053833008
Graph2Vec,MUTAG,dim128,Ensemble,0.7368421052631579,0.7226652489810385,0.7476923076923077,0.6823070049285889
Graph2Vec,MUTAG,dim256,SVM,0.6842105263157895,0.6671982987772462,0.6707692307692308,0.011413097381591797
Graph2Vec,MUTAG,dim256,LogisticRegression,0.5789473684210527,0.5789473684210527,0.5138461538461538,0.00538945198059082
Graph2Vec,MUTAG,dim256,RandomForest,0.7368421052631579,0.7309379217273955,0.7446153846153846,0.3494448661804199
Graph2Vec,MUTAG,dim256,GradientBoosting,0.7105263157894737,0.699840248693925,0.7169230769230768,1.4362013339996338
Graph2Vec,MUTAG,dim256,MLP,0.7105263157894737,0.6749769159741458,0.7538461538461538,0.0876765251159668
Graph2Vec,MUTAG,dim256,Ensemble,0.6842105263157895,0.6537593984962405,0.7169230769230769,1.1824967861175537
Graph2Vec,ENZYMES,dim64,SVM,0.2,0.19684412007903662,0.5489999999999999,0.0803372859954834
Graph2Vec,ENZYMES,dim64,LogisticRegression,0.19166666666666668,0.1900919232172777,0.5474166666666668,0.01632070541381836
Graph2Vec,ENZYMES,dim64,RandomForest,0.225,0.22375448368465958,0.57625,0.33678674697875977
Graph2Vec,ENZYMES,dim64,GradientBoosting,0.23333333333333334,0.2331277238283836,0.5535,8.487406253814697
Graph2Vec,ENZYMES,dim64,MLP,0.23333333333333334,0.21599733905000357,0.5791666666666666,0.08727884292602539
Graph2Vec,ENZYMES,dim64,Ensemble,0.25833333333333336,0.25156747189481465,0.5709166666666666,6.651570796966553
Graph2Vec,ENZYMES,dim128,SVM,0.21666666666666667,0.21329525391671433,0.5414166666666667,0.10429787635803223
Graph2Vec,ENZYMES,dim128,LogisticRegression,0.20833333333333334,0.20256238859180034,0.5225,0.041452884674072266
Graph2Vec,ENZYMES,dim128,RandomForest,0.225,0.2193173975782671,0.6003333333333334,0.31221675872802734
Graph2Vec,ENZYMES,dim128,GradientBoosting,0.20833333333333334,0.2103103738653611,0.5764166666666667,16.200108528137207
Graph2Vec,ENZYMES,dim128,MLP,0.18333333333333332,0.16502531166465592,0.55525,0.1562955379486084
Graph2Vec,ENZYMES,dim128,Ensemble,0.21666666666666667,0.21302634875088247,0.59625,12.418940782546997
Graph2Vec,ENZYMES,dim256,SVM,0.20833333333333334,0.20759976247781126,0.5643333333333334,0.13595271110534668
Graph2Vec,ENZYMES,dim256,LogisticRegression,0.24166666666666667,0.2408125643419761,0.54825,0.08861184120178223
Graph2Vec,ENZYMES,dim256,RandomForest,0.31666666666666665,0.30960436106812683,0.5906666666666667,0.311920166015625
Graph2Vec,ENZYMES,dim256,GradientBoosting,0.21666666666666667,0.2180859276283404,0.5370833333333334,31.126962184906006
Graph2Vec,ENZYMES,dim256,MLP,0.19166666666666668,0.17943323454083676,0.515,0.32944583892822266
Graph2Vec,ENZYMES,dim256,Ensemble,0.225,0.2241826847090005,0.5635,23.652892351150513
Graph2Vec,IMDB-MULTI,dim64,SVM,0.43,0.42177338439160506,0.59265,0.29050421714782715
Graph2Vec,IMDB-MULTI,dim64,LogisticRegression,0.4066666666666667,0.4054312045635776,0.5710833333333334,0.024880647659301758
Graph2Vec,IMDB-MULTI,dim64,RandomForest,0.43666666666666665,0.4352600704889193,0.6008666666666665,0.32120823860168457
Graph2Vec,IMDB-MULTI,dim64,GradientBoosting,0.42,0.41728807859406886,0.5894,11.235888242721558
Graph2Vec,IMDB-MULTI,dim64,MLP,0.37666666666666665,0.37463716483227716,0.5695166666666668,0.1912524700164795
Graph2Vec,IMDB-MULTI,dim64,Ensemble,0.39666666666666667,0.3929444021013368,0.6062166666666666,8.532681941986084
