Method,Dataset,Dim,Model,Accuracy,F1,AUC,TrainTime
Graph2Vec,MUTAG,dim64,SVM,0.7368421052631579,0.7368421052631579,0.8,0.007245302200317383
Graph2Vec,MUTAG,dim64,LogisticRegression,0.6578947368421053,0.6544066047471621,0.6646153846153846,0.05304265022277832
Graph2Vec,MUTAG,dim64,RandomForest,0.7105263157894737,0.699840248693925,0.8553846153846154,0.5966460704803467
Graph2Vec,MUTAG,dim64,GradientBoosting,0.6842105263157895,0.6771255060728746,0.796923076923077,0.7915048599243164
Graph2Vec,MUTAG,dim64,MLP,0.7894736842105263,0.7943554538520212,0.8707692307692307,0.032190561294555664
Graph2Vec,MUTAG,dim64,Ensemble,0.7368421052631579,0.7309379217273955,0.84,0.728074312210083
Graph2Vec,MUTAG,dim128,SVM,0.7105263157894737,0.7075748194014448,0.7969230769230768,0.008875370025634766
Graph2Vec,MUTAG,dim128,LogisticRegression,0.6842105263157895,0.6771255060728746,0.7446153846153847,0.009764671325683594
Graph2Vec,MUTAG,dim128,RandomForest,0.7631578947368421,0.7678495578638451,0.88,0.5786614418029785
Graph2Vec,MUTAG,dim128,GradientBoosting,0.7894736842105263,0.7894736842105263,0.8738461538461538,1.330873727798462
Graph2Vec,MUTAG,dim128,MLP,0.6578947368421053,0.660739149460954,0.7938461538461539,0.11437439918518066
Graph2Vec,MUTAG,dim128,Ensemble,0.8157894736842105,0.8139112487100103,0.8430769230769231,1.1972367763519287
Graph2Vec,MUTAG,dim256,SVM,0.7105263157894737,0.7075748194014448,0.7538461538461538,0.00892496109008789
Graph2Vec,MUTAG,dim256,LogisticRegression,0.6052631578947368,0.6130825964397421,0.6338461538461538,0.007258892059326172
Graph2Vec,MUTAG,dim256,RandomForest,0.7368421052631579,0.7407581453634084,0.8769230769230769,0.584524393081665
Graph2Vec,MUTAG,dim256,GradientBoosting,0.7894736842105263,0.7894736842105263,0.8061538461538462,2.499889850616455
Graph2Vec,MUTAG,dim256,MLP,0.7105263157894737,0.699840248693925,0.8338461538461538,0.24713373184204102
Graph2Vec,MUTAG,dim256,Ensemble,0.7894736842105263,0.7894736842105263,0.8061538461538462,2.1245768070220947
