label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
1,0.10363819,1.3501537,0.3484237,0.15313572,0.57967097,0.74016565,-0.89940584,1.4435866,0.56297266,-1.300883,-0.74621195,0.43032718,1.051966,-0.57050675,-0.788175,-0.39040208,0.15085086,1.1908629,1.0225619,0.062754184,0.6586487,-0.36031768,0.6864694,-0.94798666,0.5666107,-0.54823655,0.07551144,0.98563397,-0.13545997,0.6798732,-1.2594339,-0.6840326,0.81071734,0.7282682,0.8013091,-0.78296876,1.0383905,-0.6519313,-0.019571796,-0.71152794,0.21594638,-0.45568317,-0.64107877,0.24522568,0.4381574,0.9857218,-0.15161556,0.66288227,0.7743727,0.59119225,0.48152757,0.054007195,-1.5577785,0.4653024,-0.69255215,0.06835393,-0.79138094,0.097529896,0.5510037,0.48203722,0.3380531,0.18915525,-0.6217171,-1.2430725
0,-0.2196201,0.094921365,-0.061237983,-0.14734688,-0.12764865,-0.110337935,0.11132943,0.09972905,-0.14003591,0.006358754,-0.121380545,-0.15119463,-0.1077683,0.18351959,0.22361578,0.23980051,-0.027674736,-0.095455326,-0.09122669,-0.15375903,-0.053511355,0.03609279,-0.052518863,0.2346158,-0.08849626,-0.049290113,-0.0005520396,0.049080633,0.19820847,-0.057228297,0.05706839,0.10401469,0.079748884,-0.13584076,0.18548825,0.06679383,-0.032495335,0.12455444,0.22379822,0.24039362,-0.022940213,-0.041780345,0.18343994,-0.1613329,0.07899071,-0.11957034,0.076663636,-0.033164278,-0.042609442,-0.12133486,-0.047100954,0.18017608,0.13358031,-0.15150656,0.045934428,-0.07343845,0.08288833,-0.12652129,-0.11363716,-0.097114116,-0.2066396,-0.04795046,0.18327051,0.040497523
0,-0.23210303,0.086489946,-0.06565075,-0.15342104,-0.13933933,-0.12991789,0.14312592,0.07356419,-0.15663455,0.031613525,-0.12040134,-0.16419667,-0.12752599,0.2139713,0.250671,0.25331265,-0.038582653,-0.12457793,-0.104509525,-0.1557551,-0.058901712,0.03661985,-0.066295624,0.26294369,-0.10505878,-0.041867636,-0.009275421,0.03698807,0.21256,-0.06578246,0.08406938,0.11837818,0.08177386,-0.14363049,0.17979404,0.08465797,-0.04666948,0.1310114,0.2268908,0.26818454,-0.030757096,-0.03201259,0.20100702,-0.17346431,0.07846067,-0.13550171,0.09147528,-0.053175427,-0.06538852,-0.13814394,-0.06573971,0.18029658,0.16925098,-0.14923857,0.06525153,-0.07386797,0.11064698,-0.12343258,-0.13664836,-0.11135985,-0.22265354,-0.064596355,0.19650105,0.07141959
1,0.23274106,1.946561,0.54545057,0.2741907,0.90642303,1.1221572,-1.3343778,2.065822,0.8738896,-1.9047306,-1.0332514,0.68109465,1.5889494,-0.9022316,-1.2418103,-0.6717664,0.21976027,1.7800416,1.5440494,0.15261883,0.99024683,-0.54582703,1.0216624,-1.483788,0.8528273,-0.7853978,0.10362287,1.4195917,-0.27336752,1.0256286,-1.8542516,-1.0416665,1.1566367,1.1418399,1.1117338,-1.1715084,1.5464467,-1.0115334,-0.12555502,-1.139168,0.32500204,-0.6321221,-1.0238508,0.42476493,0.60791916,1.5011387,-0.23573211,0.9539694,1.1479433,0.9128926,0.70807636,0.0066243336,-2.326798,0.75183344,-1.0416238,0.13296275,-1.1877561,0.19584596,0.83336526,0.74323446,0.56557226,0.28582108,-0.9932992,-1.830083
0,-0.23344682,0.08375225,-0.083464816,-0.16630562,-0.1475248,-0.13574868,0.15602778,0.060175452,-0.16635859,0.03219216,-0.11551453,-0.17735708,-0.12867326,0.23044801,0.26188976,0.26300684,-0.044896707,-0.13732426,-0.11033661,-0.16193178,-0.065647565,0.039131016,-0.075410135,0.27661312,-0.12136267,-0.032939147,-0.011506761,0.029425226,0.22177179,-0.073258236,0.0978798,0.12865625,0.078617945,-0.13852295,0.18697211,0.09779002,-0.05399463,0.14367023,0.23569447,0.27602324,-0.03232913,-0.029308457,0.20431098,-0.18518774,0.06993326,-0.14144506,0.10498795,-0.06034279,-0.074658856,-0.14510071,-0.07005847,0.18758886,0.19263414,-0.14815801,0.0649547,-0.07448234,0.122736864,-0.12503272,-0.1432082,-0.1167797,-0.2306278,-0.074247174,0.20315044,0.079392575
1,0.0038577467,0.95147115,0.24435669,0.06799019,0.36484593,0.48253822,-0.599787,1.0470436,0.3503162,-0.8902704,-0.5507748,0.26630574,0.6923322,-0.3609051,-0.49763313,-0.20559402,0.10042712,0.7925583,0.6796574,0.0005987622,0.43350568,-0.24183328,0.46594924,-0.5792439,0.38992953,-0.40942448,0.0449177,0.69765747,-0.045850992,0.4431918,-0.8511088,-0.44451937,0.5769093,0.45004007,0.6113962,-0.5451888,0.7172598,-0.41411087,0.040500507,-0.42727414,0.14684346,-0.32205802,-0.3838663,0.13536923,0.3427788,0.643397,-0.09789094,0.43330634,0.53156215,0.38842052,0.3226063,0.08170544,-1.0561333,0.2519123,-0.4598633,0.023526952,-0.5422404,0.034843728,0.35577923,0.3076614,0.18583961,0.1423927,-0.38776773,-0.851021
0,-0.05501456,0.6525947,0.11279276,-0.0028525516,0.19304463,0.28832328,-0.38552448,0.71230626,0.19148585,-0.594381,-0.40577608,0.12939976,0.42313242,-0.17244786,-0.24810407,-0.051599592,0.06884805,0.50062954,0.41123414,-0.047017403,0.2644294,-0.14025135,0.28490153,-0.31612217,0.21927354,-0.26526785,0.045591258,0.4756108,0.032761566,0.27568302,-0.5546396,-0.2620432,0.40346694,0.24765977,0.44318688,-0.3194545,0.44050035,-0.22192854,0.110796586,-0.20838594,0.08500312,-0.24581176,-0.19303721,0.030917317,0.23741591,0.37974927,-0.048123583,0.31537724,0.33723283,0.2082086,0.21147978,0.11363735,-0.64596486,0.12965728,-0.29343945,-0.0071145995,-0.32228902,-0.020834625,0.21700609,0.17823647,0.062410638,0.07593552,-0.18142186,-0.5493622
1,0.042357657,1.1238453,0.27757624,0.09519296,0.45257092,0.5830654,-0.7103703,1.2003188,0.43083048,-1.0610731,-0.6344979,0.32228893,0.8409183,-0.430469,-0.6036006,-0.2750622,0.11253884,0.9520258,0.82042074,0.02404093,0.52982694,-0.29086748,0.5523216,-0.7301079,0.44901782,-0.46216828,0.060001906,0.8146045,-0.07125963,0.547043,-1.0151725,-0.5391709,0.68130994,0.5727207,0.6911354,-0.6294624,0.8468357,-0.51325166,0.021043964,-0.53669673,0.17082928,-0.37543452,-0.48746455,0.16996513,0.3772138,0.7863636,-0.10555829,0.5275834,0.6245242,0.46278876,0.38157728,0.076995835,-1.2483087,0.3546215,-0.5558803,0.045072846,-0.6319627,0.059706397,0.42733735,0.37547484,0.23777328,0.14701264,-0.47751182,-1.0080363
0,-0.22488695,0.11202733,-0.0029093623,-0.11840226,-0.106647596,-0.09209226,0.08218352,0.14889486,-0.118868575,-0.006691333,-0.14012368,-0.1184942,-0.09698153,0.13101812,0.18360567,0.21271978,-0.011588374,-0.056817636,-0.067420654,-0.13721377,-0.038264252,0.018473947,-0.023693396,0.21825445,-0.045413654,-0.085659996,-0.012903896,0.08350737,0.18028623,-0.03244399,0.023223622,0.07963723,0.09155317,-0.1402587,0.19493966,0.020983383,4.887581e-05,0.089924276,0.20597082,0.22134419,-0.010828811,-0.046025366,0.16839622,-0.12733492,0.11537604,-0.09513028,0.04699526,-0.036354892,-0.027200203,-0.09358041,-0.044316225,0.16993141,0.061378904,-0.16077538,0.044802155,-0.07445313,0.051965296,-0.12299033,-0.11162058,-0.08866894,-0.19132227,-0.03382554,0.15329252,0.009249527
1,0.14823206,1.5595659,0.42113563,0.19558337,0.69552165,0.8736387,-1.0493269,1.6632894,0.6711509,-1.5126793,-0.84809643,0.5175887,1.2405548,-0.68882686,-0.948761,-0.4898128,0.17341322,1.3969071,1.206262,0.09508808,0.7764776,-0.42715508,0.8052557,-1.1350651,0.66909987,-0.6343236,0.083684176,1.138493,-0.1830627,0.80248284,-1.4675916,-0.810117,0.93302935,0.87257844,0.91206205,-0.921222,1.2189485,-0.77987075,-0.057451174,-0.86049944,0.25470448,-0.5159833,-0.7751217,0.3080684,0.4997166,1.1675438,-0.1797988,0.76147264,0.90448296,0.7049047,0.5591336,0.03858202,-1.8299568,0.5643901,-0.8128451,0.09108877,-0.93084204,0.13193241,0.64726573,0.57255554,0.416694,0.22268316,-0.75339234,-1.4500605
