label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
5,-0.18671198,0.4631511,0.068874754,-0.24850807,-0.52168995,0.14609279,0.42673847,0.3469863,0.17172101,0.40449262,0.04342949,-0.3685459,0.10147922,0.1512472,-0.032825723,-0.07266829,-0.106166705,-0.19183545,0.22431332,0.031582832,0.054431953,-0.10533622,0.34669685,0.4289549,0.38889354,0.088215195,0.3571213,-0.42240068,0.16573057,0.15348119,-0.27967232,-0.18133967,0.025713384,-0.17071533,-0.0069092363,-0.026965737,0.16581583,0.16712135,0.0624531,-0.2931624,0.28954458,0.045816164,0.32003912,-0.14045434,-0.30027124,-0.16886157,0.18402702,-0.25443742,0.057315275,0.11289627,0.056011617,-0.17902291,-0.034279823,0.075586535,0.6515001,0.07542189,-0.049855642,-0.09582939,-0.12166414,0.4638224,-0.18996763,-0.21818069,0.26420444,-0.15285674
5,0.0309322,0.41411775,-0.55804497,-0.75327903,-0.6546744,0.4267242,1.0778177,0.19751316,-0.31720117,0.27656376,0.102085695,0.094648495,0.23556332,-0.22289446,0.16164428,-0.34477293,-0.01804743,0.30941582,-0.09141523,0.088289484,-0.4169246,0.41985315,0.21248396,0.07511324,0.071888596,0.80981797,0.7065855,-0.77346754,0.07407454,0.57259727,-0.32871798,-0.37291846,-0.4502986,-0.01745718,0.16830763,-0.27788305,-0.10351018,0.022894792,0.29017815,0.11039629,0.19052382,0.05925555,0.59552467,-0.006137524,-0.40024754,-0.4937685,0.20678714,-0.76464874,0.31404728,0.4811501,0.04443471,0.047133207,0.37196958,-0.09859293,0.116876476,-0.43475112,0.6019246,-0.011484374,0.2805414,-0.06533718,0.006573431,0.023840886,-0.42711794,0.5876682
5,-0.20486747,0.27413565,0.37939167,-0.12683085,-0.09279466,0.18249312,0.08018783,0.2924263,0.3814309,0.32175377,0.080958486,-0.3409202,0.079839274,0.3037169,0.13379171,-0.12263901,-0.19892347,-0.17566438,0.07769972,0.013062343,0.27059567,-0.09944491,0.11422162,0.6825298,0.14879838,0.01324483,0.37398118,-0.19118476,0.27130038,0.16484316,-0.18900912,-0.20635842,0.09762926,-0.297576,-0.15407883,0.07719546,0.13158274,0.14332783,-0.16220543,-0.1633935,0.29262555,-0.14958283,-0.058630332,-0.19007151,-0.141669,0.013587961,0.11776787,0.05174999,-0.09255217,-0.17533918,-0.05443725,-0.25620905,0.013197035,-0.0735209,0.35449854,0.2259311,-0.21103106,-0.030922662,0.0023529418,0.47793412,-0.30102023,-0.3599744,0.47401434,-0.2240569
5,-0.19097543,0.2401573,0.3275129,-0.15112825,-0.03711617,0.18758707,0.0920749,0.22091275,0.34394115,0.2845062,0.055009898,-0.26494497,0.08642769,0.27863064,0.13610944,-0.12533295,-0.18483707,-0.11506678,0.04460147,0.013976768,0.25801885,-0.05235763,0.057924986,0.61708295,0.11089213,0.049676992,0.3960703,-0.19048896,0.26343894,0.15977184,-0.15250601,-0.23285969,0.0589256,-0.2508953,-0.1302481,0.058406074,0.09824128,0.09079703,-0.15131073,-0.09486123,0.27805364,-0.16811143,-0.05115261,-0.16337585,-0.12568651,0.0016255989,0.108217776,0.024539866,-0.10010737,-0.1391095,-0.0973223,-0.2263077,0.049242005,-0.07683026,0.27471802,0.19390471,-0.133682,-0.011351327,0.061196316,0.40638444,-0.28431997,-0.32827377,0.39767462,-0.13926718
5,-0.1606886,0.38770726,0.23034957,-0.23248231,-0.362571,0.23475106,0.32584167,0.38537037,0.27283484,0.34677452,0.14035715,-0.34941667,0.09061487,0.22279933,0.10595348,-0.15683663,-0.18402871,-0.17804174,0.0920421,0.04304193,0.105074406,-0.06981148,0.25345552,0.62108743,0.2048794,0.16109529,0.4000554,-0.33566102,0.22872093,0.26883546,-0.30496824,-0.17022122,0.06211291,-0.29588732,-0.10675076,0.038337417,0.12169217,0.22559124,-0.07250324,-0.2190401,0.28368878,-0.051334623,0.095539026,-0.18211475,-0.25289807,-0.08220834,0.17270271,-0.098477006,0.024655327,-0.06369084,0.05039589,-0.23604771,0.011648402,-0.087509386,0.43893918,0.123885915,-0.15919684,-0.05549341,-0.059284855,0.47610015,-0.26436436,-0.31339827,0.36806595,-0.18277328
5,-0.1683301,0.37966898,0.2993565,-0.16512816,-0.29630113,0.20118746,0.23268004,0.38918483,0.3129068,0.34705073,0.13662261,-0.3901953,0.08056858,0.23964685,0.11421834,-0.13969421,-0.20779899,-0.20612161,0.12082502,0.041803956,0.16754422,-0.110998616,0.24668896,0.6542286,0.19536382,0.075018875,0.34843224,-0.28247827,0.24548845,0.21393904,-0.2925679,-0.1471191,0.123127885,-0.311092,-0.106998414,0.066652745,0.14931068,0.21782431,-0.10913074,-0.23469794,0.2899644,-0.070483804,0.022461124,-0.19524676,-0.23066613,-0.03972739,0.13986103,-0.031048149,-0.013658121,-0.11166459,0.056679055,-0.2628893,-0.01956658,-0.07729527,0.46158728,0.15918627,-0.22900341,-0.06001007,-0.07032345,0.49963495,-0.27439883,-0.32392296,0.44376242,-0.24418393
5,-0.035923522,0.443768,-0.5126189,-0.7645059,-0.70833755,0.4321866,1.1279413,0.24706328,-0.25222996,0.31221282,0.12531883,0.06284804,0.26084727,-0.1830363,0.14170927,-0.3520509,-0.024231493,0.25694928,-0.09849721,0.06946869,-0.38174385,0.3983526,0.2544557,0.17312534,0.0939668,0.8189114,0.7444399,-0.8071739,0.102564156,0.6103713,-0.36118796,-0.3792861,-0.4174961,-0.06313572,0.124840505,-0.27026832,-0.06477747,0.07302093,0.23268977,0.06772628,0.21994033,0.022697512,0.5749356,-0.029748913,-0.44053218,-0.5111763,0.27077124,-0.76065177,0.30681133,0.42898035,0.05755569,0.034318805,0.35496455,-0.10109655,0.1794282,-0.36468297,0.54848164,-0.021314323,0.25848177,0.0005105287,-0.040010117,-0.02361146,-0.3221271,0.5413831
5,-0.03845456,0.17092773,-0.12347145,0.11871544,-0.25628632,-0.16335401,-0.004225027,-0.11924341,-0.16035144,0.08409908,-0.20237745,-0.12815697,-0.20054464,0.07438843,-0.24831885,0.38658106,0.026481047,-0.13199072,0.4711729,0.029145777,0.04737105,-0.31787795,0.2687752,-0.3715218,0.53283405,-0.40454304,-0.036555186,-0.0039540753,-0.1137366,-0.40449646,0.18390517,-0.06836353,-0.06410256,0.37381235,0.21984507,0.01782456,-0.05428887,-0.040730424,0.40435305,-0.20552158,0.019333523,0.463118,0.5782128,0.12141572,-0.0013657138,-0.022664694,-0.03230224,-0.058304355,-0.06689629,0.5753959,-0.22997457,-0.15385766,-0.017800197,0.43410444,0.6282153,-0.012516498,0.14019293,-0.16786906,-0.2940042,0.30058265,0.1029102,0.13420077,-0.21486787,-0.13921137
5,-0.16191585,0.0940422,0.22682887,-0.18608065,0.10970902,0.20276791,0.08723387,0.04557561,0.23582265,0.17785558,0.0026864521,-0.0734949,0.07407729,0.2541189,0.14060977,-0.0972491,-0.1262131,0.027059294,-0.043258443,0.01602175,0.22520214,0.022835337,-0.0643177,0.46833846,0.025053173,0.09355124,0.4245907,-0.13564616,0.2280692,0.15038863,-0.022886965,-0.29425704,-0.05095218,-0.13319907,-0.1048138,0.03218182,-0.018348299,-0.014968216,-0.111170396,0.061873853,0.20293182,-0.17735557,-0.026520714,-0.08950949,-0.063146055,-0.027489448,0.09405252,0.012901932,-0.11580919,-0.052900672,-0.22799782,-0.15726782,0.16108587,-0.071604304,0.057947583,0.1489833,0.031519797,0.022033203,0.15652955,0.26144096,-0.24083936,-0.25825447,0.22932415,0.030051347
5,-0.13628241,0.015604615,0.28256848,-0.2115884,0.26559937,0.21262197,-0.05897927,-0.011758082,0.28249875,0.19847876,-0.060343843,-0.07535663,0.07228525,0.32007822,0.18284157,-0.11777284,-0.10952065,0.06080043,-0.06731638,-0.002521336,0.28180397,0.061261743,-0.20628342,0.4926363,0.031353384,0.07164342,0.46884054,-0.0764736,0.22953248,0.11875868,0.044782367,-0.35199958,-0.120840594,-0.14393273,-0.15816611,0.015532643,-0.04102788,-0.09584624,-0.08343044,0.10955809,0.234308,-0.23795567,-0.037882663,-0.112140715,0.029211782,0.014352245,0.051439,0.053211026,-0.15503475,-0.10376412,-0.31596732,-0.1290805,0.17570204,-0.10244339,-0.03385704,0.15388246,0.08772089,0.06147405,0.22520085,0.24637376,-0.2568228,-0.31642425,0.18918355,0.053841893
