label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127
1,-0.44567433,0.32540756,0.4265139,-0.34032622,-0.5787675,-0.18653676,-0.5606308,-0.8527696,0.3775003,0.507109,-0.011032369,0.06550772,-0.09200728,-0.1172962,-0.77909285,-0.5537721,0.2200053,0.21324068,-0.14490545,0.028651334,0.3376095,-0.44585723,-0.28581738,-0.31645343,-0.8002635,-0.028055452,-0.047828548,0.6169407,0.3520881,0.10366349,0.35370284,0.11959496,0.29165745,0.28845343,0.026687138,-0.6377524,-0.45751166,-0.14192368,0.1981869,0.28071082,0.4097564,-0.3431713,-0.065730184,-0.56844854,-0.19508165,0.41816103,0.036100946,0.29978645,0.22951964,0.2692323,0.4632834,0.56825054,0.20885079,0.03390497,-0.50595254,0.16926852,0.06722844,-0.8113955,-0.08316303,0.2944926,0.01962205,0.23814991,0.32566708,0.20385207,0.54351443,-0.3130151,0.17718087,0.10707638,0.4055982,0.72098076,0.24651948,-0.918386,0.17277741,-0.15634233,-0.60260326,-0.83620644,-0.25826117,-0.42536512,-0.5444571,0.12987207,0.5151404,0.07487708,-0.1441643,-0.27624232,-0.9225329,0.310531,0.61595994,0.49984467,-0.24989887,0.37395918,-0.673139,-0.050351493,-0.1540808,0.3822902,0.36226773,-0.41622663,0.53255683,0.08075247,-0.43888792,-0.011817589,-0.08461403,0.23243962,0.107916914,0.17952242,-0.28776908,-0.33551213,0.29889446,0.1462582,0.37226564,0.044198573,-0.05732426,-0.08088066,0.47816995,-0.34601298,-0.49990186,-0.5296009,0.41211993,0.04415412,0.3049176,-0.3764383,-0.100372896,-0.0071445405,-0.28995585,-0.47281826,0.17151138,-0.16856313,-0.07333772,0.3546794
0,-0.10615668,-0.020083506,0.0934171,-0.029540664,-0.13659349,-0.00084098056,-0.14671789,-0.10672122,0.025515255,-0.0011984613,-0.03567239,0.03460292,-0.055827957,-0.06501144,-0.090959474,-0.06420631,-0.06260803,0.0048797354,-0.042143207,-0.030306619,0.015597198,-0.018418081,0.050889924,0.036935486,-0.1730907,-0.005942069,0.032106057,0.0018551089,0.0468104,0.11622986,0.07076908,0.039733604,-0.021500565,-0.014281467,0.08381379,-0.112991035,-0.097401604,-0.029031564,0.077570826,-0.01888255,0.10735713,0.0064453296,0.028040936,-0.1264582,0.008966814,0.055566818,0.07961354,0.037269607,0.113199376,0.017143186,0.0063649975,0.12344938,-0.05955455,-0.018938802,-0.15695238,0.030108228,0.010386396,-0.12079237,0.09007409,0.0049766228,-0.04880543,0.060763374,-0.009216247,0.014360245,0.04321039,0.0049974956,-0.061509307,0.02715144,0.122182846,0.139852,0.038091756,-0.075982615,0.013532066,0.06385945,-0.014314853,-0.07326782,-0.13168862,-0.026446436,-0.024144188,0.00438573,0.12539013,0.04178947,0.049579646,0.023164531,-0.10381652,0.006876804,0.028048255,0.012554139,-0.10466364,-0.0054677427,-0.10601794,-0.04133406,-0.018612273,-0.02073935,-0.05329167,-0.07628721,0.074659385,-0.018479884,-0.04628103,0.057310928,-0.014033364,0.0773014,-0.0053094123,-0.055161104,-0.105896585,-0.086238444,0.07076937,-0.05276411,0.09124959,-0.06324016,0.08054116,0.024848284,0.033021316,-0.0052915886,-0.102609195,-0.018611975,-0.0042805783,0.0059051346,0.0019101948,-0.024144644,-0.01765151,-0.038352326,-0.10464282,0.0011424199,-0.055927295,0.012016248,0.09050629,0.015525803
0,-0.069280885,-0.06570346,0.043275736,0.009224333,-0.08746567,0.024488073,-0.08912282,-0.008427614,-0.012592329,-0.06800203,-0.03833666,0.030054905,-0.047624387,-0.05910677,-0.0036058165,0.00017895875,-0.0978984,-0.02732937,-0.022615315,-0.038071997,-0.030879792,0.03724406,0.09836164,0.07678629,-0.09647085,-0.00735284,0.031572662,-0.08114684,0.009340256,0.11488742,0.028247822,0.030366708,-0.060288455,-0.05195756,0.09477647,-0.043651238,-0.049326647,-0.017571256,0.06571539,-0.05219599,0.065693565,0.050426565,0.035330094,-0.06976287,0.029155444,0.0061178766,0.087629445,0.0051849317,0.092026904,-0.017073372,-0.056882836,0.06268814,-0.09511464,-0.021595063,-0.11382916,0.001022948,-0.0042570233,-0.03654665,0.10974586,-0.033643063,-0.058828883,0.034881625,-0.055973284,-0.009686533,-0.020998368,0.035555277,-0.090482645,0.013881313,0.087843485,0.069319986,0.020754939,0.032598622,-0.010095667,0.09486592,0.064307556,0.025294678,-0.114456445,0.02752202,0.04247962,-0.011353932,0.069333196,0.03553854,0.07688557,0.059685335,0.003059676,-0.035187617,-0.044803485,-0.050766457,-0.08750137,-0.04964605,-0.035738233,-0.046783023,-0.0035690144,-0.07164976,-0.10910744,-0.038947802,0.021334684,-0.033076458,0.009093637,0.06740347,-0.0054638446,0.058735587,-0.02249508,-0.08907041,-0.082711115,-0.057759695,0.043763634,-0.07687695,0.058126405,-0.07400037,0.097436845,0.041206993,-0.030488815,0.037680857,-0.054940738,0.047870055,-0.055182606,0.00024750736,-0.040178243,0.023128519,-0.0042587873,-0.043280095,-0.08500595,0.058016125,-0.08640445,0.039468266,0.109086104,-0.03085722
1,-0.5586603,0.43718126,0.5327562,-0.44033054,-0.7255193,-0.24633574,-0.6943529,-1.0942218,0.49372947,0.67163783,-0.0030382313,0.074333064,-0.10227372,-0.13512006,-1.0048788,-0.7125541,0.31137434,0.27813208,-0.1762909,0.049310423,0.4403844,-0.5878562,-0.39060646,-0.43303898,-1.006077,-0.035494246,-0.07668031,0.81441593,0.45329386,0.0994053,0.4456848,0.14509541,0.39293277,0.38568375,0.010829873,-0.8067595,-0.5743181,-0.18080218,0.23872736,0.37946162,0.5066922,-0.457212,-0.09635732,-0.7130021,-0.26271996,0.53446764,0.020313084,0.38677374,0.26673815,0.35200867,0.61058944,0.71257347,0.2939924,0.053623386,-0.62235534,0.20990285,0.08220498,-1.036044,-0.13994014,0.389985,0.04243347,0.29125297,0.43149105,0.26440585,0.70511407,-0.42247206,0.25418836,0.13204607,0.49878186,0.9121772,0.31387338,-1.192057,0.22245388,-0.2261181,-0.79401946,-1.082774,-0.29977384,-0.5554205,-0.7145488,0.17119907,0.6420021,0.08534915,-0.20538568,-0.3742645,-1.1876458,0.40959185,0.8093041,0.65695757,-0.29812205,0.499708,-0.85709006,-0.05563772,-0.19887859,0.5150673,0.49589285,-0.5284591,0.6831771,0.11175161,-0.56463987,-0.034071848,-0.10588618,0.28488836,0.14329594,0.25695837,-0.34640253,-0.41923356,0.37190515,0.21146068,0.46262893,0.08019538,-0.10095224,-0.112825006,0.62033355,-0.45734295,-0.62914526,-0.69684714,0.5460197,0.055376105,0.4028331,-0.49000916,-0.12587975,0.004095331,-0.35065252,-0.6295696,0.24349475,-0.22695944,-0.12704965,0.46383673
0,-0.06489776,-0.069820434,0.03907342,0.012416511,-0.0865169,0.025624081,-0.08632894,-0.0032505877,-0.015390761,-0.072950736,-0.037812285,0.031046601,-0.045204505,-0.05942105,-0.0035236366,0.0034031873,-0.09802179,-0.02554223,-0.019603208,-0.037025265,-0.035577968,0.037714906,0.10762323,0.076986596,-0.093754575,-0.0035836361,0.034281142,-0.08865291,0.011087557,0.115377106,0.024577737,0.024728991,-0.061816283,-0.058550894,0.0992341,-0.031336457,-0.048997924,-0.022944663,0.06546559,-0.056929324,0.06370546,0.05347281,0.037135594,-0.06924293,0.032754898,1.2185425e-05,0.08796476,0.006028232,0.09130028,-0.01929371,-0.062815025,0.055689085,-0.09782998,-0.019223318,-0.114066415,-0.003036702,-0.009776048,-0.03346766,0.11427088,-0.03459883,-0.058410518,0.03103425,-0.060758762,-0.0070841527,-0.021885877,0.033427138,-0.09251256,0.012499761,0.08550121,0.070073545,0.018242143,0.04115047,-0.014461469,0.09897871,0.07131304,0.036359556,-0.11671211,0.034449693,0.043394107,-0.01068983,0.0689452,0.035809733,0.08014769,0.05927193,0.011076424,-0.03842966,-0.04791492,-0.055639673,-0.093513325,-0.04895036,-0.031891488,-0.051651206,-0.002005525,-0.074115135,-0.112829074,-0.03918036,0.019785894,-0.039451897,0.012827996,0.06824883,0.0009540953,0.06008552,-0.019074399,-0.09398245,-0.08529721,-0.058648013,0.04087842,-0.07836826,0.05256316,-0.072998896,0.0995636,0.045944855,-0.03923482,0.03971287,-0.052947216,0.05239724,-0.06018225,0.0003209943,-0.04598874,0.028884353,-0.0005128179,-0.045164354,-0.08187078,0.057137854,-0.09014521,0.039466895,0.109834775,-0.0359804
1,-0.25793737,0.1296907,0.23624727,-0.16460054,-0.3372127,-0.082398616,-0.32917398,-0.43447712,0.18323132,0.22086404,-0.023309324,0.046202447,-0.068885565,-0.08754539,-0.3980046,-0.2813971,0.061786942,0.094371326,-0.08355963,-0.0021400973,0.1565388,-0.20892158,-0.09022437,-0.12360468,-0.45062637,-0.0141116455,-0.0059482045,0.2699781,0.18351911,0.10786992,0.19490352,0.075606085,0.114352845,0.11462249,0.06253976,-0.3397287,-0.25826862,-0.083389305,0.13074534,0.11481118,0.23892878,-0.14801766,-0.013652714,-0.32619116,-0.083575375,0.21098913,0.058476925,0.15673645,0.16243786,0.12929562,0.20398316,0.31688848,0.057914004,0.0073140487,-0.3148329,0.08615917,0.029690687,-0.42571685,0.012252055,0.13525027,-0.01746855,0.13383557,0.1365518,0.09752821,0.2648974,-0.14267522,0.04268767,0.0585265,0.24779211,0.40162098,0.13025819,-0.44565108,0.0840127,-0.030839164,-0.2746151,-0.406546,-0.19020943,-0.20056243,-0.25625098,0.0628294,0.29839525,0.059082482,-0.032888994,-0.11177263,-0.4622754,0.13931508,0.289758,0.22789381,-0.17411935,0.16533121,-0.35524595,-0.05033688,-0.07982388,0.15982693,0.12822288,-0.23119573,0.28001207,0.02335749,-0.21723792,0.026715007,-0.0402771,0.14763959,0.04702813,0.04817328,-0.18575402,-0.20153724,0.17077926,0.037058357,0.21374416,-0.01611089,0.020474814,-0.017362239,0.22372134,-0.15572108,-0.2776038,-0.24324322,0.17806542,0.022625683,0.13187477,-0.17931809,-0.05129291,-0.026029952,-0.18413238,-0.20960855,0.041369103,-0.068980545,0.014881648,0.16281864
0,-0.3139356,0.19784541,0.30476177,-0.2247153,-0.40706158,-0.11765703,-0.40646142,-0.57494247,0.24200231,0.31846967,-0.020311046,0.054980844,-0.08013956,-0.096872784,-0.5155624,-0.36878204,0.11500784,0.13818285,-0.11110759,0.0048842654,0.21995264,-0.28060132,-0.16771631,-0.17928478,-0.5597936,-0.020531468,-0.01320225,0.39017606,0.23388025,0.110661685,0.24863474,0.09209417,0.1733675,0.17891705,0.04316186,-0.44482684,-0.3212967,-0.09480653,0.15123026,0.1656856,0.29883465,-0.21214174,-0.0312777,-0.40034997,-0.11690612,0.28722268,0.052456275,0.19842066,0.18656504,0.17353192,0.29428574,0.40160006,0.11117074,0.010031018,-0.3689997,0.12423214,0.053777415,-0.5499396,-0.017093785,0.18288642,-0.0071809143,0.17829292,0.20446342,0.13279329,0.3563645,-0.1836631,0.08773516,0.07892875,0.29697615,0.49837092,0.16659854,-0.60190606,0.116050445,-0.07789831,-0.38308585,-0.5530472,-0.20910639,-0.27523997,-0.34672925,0.08206259,0.36838883,0.060989205,-0.075027175,-0.16217744,-0.61568475,0.19527924,0.390478,0.31947052,-0.19101174,0.22726816,-0.45837158,-0.04154888,-0.10231517,0.22913516,0.20783445,-0.28395644,0.35671633,0.045489207,-0.2935824,0.01327987,-0.062138997,0.17128205,0.06731932,0.09159314,-0.218365,-0.23685753,0.21461381,0.07110977,0.2698442,0.00073292106,-0.009140551,-0.04568986,0.31759402,-0.21759582,-0.35090718,-0.33752558,0.2582317,0.03077592,0.1936351,-0.24767375,-0.07287327,-0.01914274,-0.21966241,-0.28797686,0.08930857,-0.09989609,-0.012402691,0.22984809
1,-0.35437995,0.23114668,0.33397877,-0.2550932,-0.45996687,-0.13609716,-0.44746417,-0.6493005,0.28303975,0.36782363,-0.016993541,0.05711025,-0.08139406,-0.10295988,-0.59263164,-0.4205351,0.14325479,0.15616068,-0.11564987,0.01379659,0.24916553,-0.3297547,-0.19149189,-0.22178361,-0.6296651,-0.021542236,-0.027477324,0.4479357,0.26916218,0.10652669,0.2763872,0.09766261,0.20575345,0.20545986,0.043039564,-0.493675,-0.35990542,-0.11212059,0.16573977,0.19970696,0.32735014,-0.24824458,-0.041766666,-0.44991577,-0.14053354,0.318529,0.047779277,0.23013712,0.19691166,0.20039925,0.33727023,0.44577074,0.1353991,0.020791113,-0.41200003,0.12947357,0.04959294,-0.6231923,-0.03624498,0.21564883,0.001253128,0.18815225,0.23360482,0.15246727,0.4072457,-0.22907847,0.112058535,0.08414125,0.32871434,0.5644617,0.19067734,-0.6879083,0.12911937,-0.09596062,-0.4422267,-0.62812346,-0.22403443,-0.31508443,-0.40347818,0.09646305,0.408728,0.06565118,-0.09024284,-0.19560176,-0.6982925,0.2276831,0.45653185,0.36755556,-0.2127187,0.2720322,-0.5180289,-0.04936036,-0.11742023,0.27363047,0.24847671,-0.32566357,0.4100293,0.05291014,-0.33097595,0.007113371,-0.063639425,0.19061647,0.078127705,0.11538867,-0.23858334,-0.26921552,0.23706523,0.092841655,0.2954207,0.015097469,-0.020401798,-0.050401025,0.3550791,-0.25317088,-0.39229217,-0.3899049,0.29794404,0.033094894,0.22164878,-0.2809464,-0.076849125,-0.015868247,-0.23849356,-0.34416586,0.10862642,-0.11940217,-0.030674607,0.2615073
0,-0.05352895,-0.09071242,0.025421258,0.022335013,-0.08175437,0.03375559,-0.07919017,0.020600563,-0.026703812,-0.09173828,-0.03888187,0.030508246,-0.03826674,-0.060209103,-0.0010648072,0.015848652,-0.10728893,-0.026077751,-0.0065905116,-0.035621673,-0.051139586,0.040935397,0.13784258,0.07669065,-0.083122246,0.005781319,0.0426478,-0.11671443,0.017849796,0.11238567,0.014928969,0.008956894,-0.06557803,-0.08177152,0.111018375,0.0066567548,-0.042922694,-0.039240934,0.06348265,-0.0709081,0.05093767,0.06552087,0.04938077,-0.062138993,0.044784598,-0.023234367,0.09212434,0.0042563705,0.090045914,-0.025845915,-0.08678081,0.038108174,-0.110696875,-0.011042688,-0.11994624,-0.017898994,-0.02923255,-0.020639917,0.1258899,-0.035108514,-0.056837697,0.015718877,-0.08141511,-0.005868688,-0.031621,0.02649045,-0.10276857,0.005760812,0.077767394,0.06681844,0.009224895,0.06948609,-0.026250713,0.11792779,0.0938089,0.073333085,-0.123335615,0.05343673,0.050134696,-0.011799173,0.06468292,0.041687336,0.0922714,0.06371365,0.039646648,-0.050959006,-0.060137555,-0.07906131,-0.10933954,-0.048964627,-0.017315935,-0.06539975,0.0034575053,-0.08199075,-0.12754643,-0.036493637,0.011934284,-0.05582267,0.02757314,0.069142655,0.022539316,0.066471234,-0.015659349,-0.10836066,-0.0883044,-0.060705036,0.034118455,-0.08662023,0.03497587,-0.068097174,0.10901593,0.059957538,-0.06816755,0.0504122,-0.039085038,0.06916591,-0.07825943,-0.0027963715,-0.06551912,0.05194147,0.013451217,-0.052635215,-0.072318986,0.05473156,-0.10551955,0.039621055,0.11768778,-0.05348727
1,-0.47546956,0.35406086,0.45395672,-0.3660721,-0.617532,-0.20199049,-0.59521,-0.9150256,0.40802494,0.54930377,-0.009141345,0.067867406,-0.09489286,-0.12182916,-0.8382964,-0.59533566,0.2433556,0.22992513,-0.15243292,0.034193635,0.3640787,-0.4833172,-0.3121407,-0.34737775,-0.85432327,-0.029756002,-0.055722468,0.6674436,0.37855214,0.101873055,0.3774246,0.12568194,0.31795365,0.31294647,0.023094788,-0.68119013,-0.48796305,-0.15252575,0.20866257,0.30664134,0.43453294,-0.37257195,-0.073130846,-0.6063161,-0.2126402,0.4474715,0.032399356,0.3226819,0.23945564,0.29044577,0.501306,0.6058836,0.230677,0.039341874,-0.537111,0.179379,0.07011081,-0.869983,-0.09815205,0.31967783,0.025945798,0.25131017,0.3526958,0.2195117,0.58532655,-0.34234288,0.19734012,0.11328111,0.4300629,0.77102864,0.26428276,-0.98941797,0.18544447,-0.17375213,-0.65201485,-0.89962804,-0.2692524,-0.45926538,-0.58871746,0.14042936,0.54815984,0.07814063,-0.15958545,-0.30174154,-0.9914682,0.3366067,0.6668317,0.5403501,-0.26320645,0.40684527,-0.72144693,-0.052485395,-0.16563487,0.41683024,0.3968124,-0.4460487,0.5720768,0.088987485,-0.47157204,-0.017299362,-0.08956032,0.24601129,0.1167944,0.19955257,-0.30334395,-0.3579119,0.31764108,0.16297239,0.39493302,0.05411102,-0.067892894,-0.08868474,0.51412433,-0.37484968,-0.5331551,-0.57266045,0.44639465,0.04705068,0.3299631,-0.40518662,-0.10644084,-0.004460633,-0.30578023,-0.5145864,0.18992826,-0.18410689,-0.08696442,0.38262787
