label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
1,0.12934753,0.8484906,0.22559929,0.043906547,0.35425454,0.45922768,-0.4805516,0.9267216,0.1486879,-0.68730205,-0.51513606,0.20307395,0.5842715,0.08818263,-0.45710382,-0.009520285,0.10405063,0.7010907,0.55160904,-0.09244371,0.32814965,-0.13795155,0.25471005,-0.40645716,0.20599009,-0.28337494,-0.11855578,0.6592047,0.025144473,0.29063824,-0.70564777,-0.4403232,0.4235196,0.3039779,0.60259795,-0.4392365,0.47500843,-0.06661239,0.11639464,-0.31788033,0.14877681,-0.39118478,-0.31499344,0.022228926,0.2989169,0.5181571,0.029807372,0.3204534,0.39658517,0.29347032,0.1799837,0.07050448,-0.89127547,0.17289588,-0.23470694,-0.065948695,-0.48901132,-0.100755066,0.30075982,0.21028188,0.12609282,0.0054145865,-0.11892241,-0.64308625
0,-0.14071035,0.16945133,-0.008006938,-0.12147228,-0.06535445,-0.055593025,0.11249825,0.11209113,-0.068850696,0.04818461,-0.16330469,-0.07860334,-0.082967624,0.11867735,0.16981146,0.15231852,-0.07011418,-0.07931787,-0.055550687,-0.085161254,-0.019884124,-0.00209824,-0.0202539,0.16203149,-0.04685031,-0.04287376,-0.0121634845,0.11906529,0.104994476,-0.027976336,0.037326425,0.06910289,0.15590772,-0.023203563,0.13468267,0.08345921,0.02807296,0.11478193,0.14472169,0.1785603,-0.032015532,-0.057358313,0.111327246,-0.13316134,0.118350424,-0.06696954,0.07540995,0.010053746,0.024204507,-0.031222992,0.011118695,0.13250007,0.13538006,-0.04406681,-0.008074116,-0.035091143,0.02228287,-0.071507156,-0.085495606,-0.037876006,-0.15450974,-0.007992975,0.1763767,-0.015812613
0,-0.13173912,0.15541103,-0.027274277,-0.11295045,-0.07563591,-0.06542316,0.13557257,0.08489455,-0.07104803,0.065660045,-0.15196092,-0.112209864,-0.092879325,0.13909525,0.19375387,0.14915316,-0.08195926,-0.110377975,-0.07605113,-0.08119928,-0.025124732,0.009386096,-0.01937554,0.17041838,-0.05072467,-0.04927637,-0.0037611742,0.09501,0.10344854,-0.04568796,0.07131854,0.090755194,0.15342727,-0.022482693,0.11165551,0.103309564,0.0127174035,0.1041905,0.14069775,0.19783245,-0.03707257,-0.040245097,0.119731404,-0.14572369,0.09729359,-0.0839968,0.07792599,-0.0035354644,0.01400261,-0.033573,0.013498463,0.12698238,0.17406371,-0.03927178,-0.0072592646,-0.029447313,0.040901147,-0.049962603,-0.096018,-0.035762154,-0.14740142,-0.01037173,0.17380388,0.009337474
1,0.2163042,1.0936557,0.30327037,0.09602621,0.49367005,0.62374866,-0.65461934,1.1975135,0.22141683,-0.9283807,-0.63240826,0.28778642,0.8051769,0.0928583,-0.6577892,-0.06256189,0.15085842,0.9571203,0.7616399,-0.10207933,0.4515851,-0.1904699,0.34546706,-0.59383786,0.2851232,-0.3604731,-0.15925938,0.84596545,0.008706942,0.39540842,-0.9456234,-0.60358477,0.52162766,0.42570847,0.7630863,-0.6087874,0.6341755,-0.12673001,0.11210129,-0.47197753,0.20461722,-0.49216673,-0.46546835,0.06651707,0.3585741,0.7155377,0.02963644,0.40832394,0.52203625,0.40108076,0.23187074,0.052605607,-1.2205203,0.24683167,-0.31712636,-0.07946135,-0.6575567,-0.11145261,0.4117774,0.2914739,0.20921974,-0.0007843785,-0.20476912,-0.85543996
0,-0.12580496,0.1520577,-0.030756239,-0.11369829,-0.07503597,-0.059210986,0.124999076,0.086894564,-0.07261732,0.06101072,-0.14958197,-0.11113957,-0.08938964,0.13173269,0.187583,0.14972346,-0.07744367,-0.10682887,-0.07788995,-0.07959978,-0.022770584,0.0125154555,-0.017117523,0.16936454,-0.04954636,-0.052863184,-0.002413869,0.09180157,0.10310918,-0.041744623,0.068729155,0.08996586,0.15055701,-0.02669796,0.11110111,0.09906701,0.0071453005,0.10453984,0.13922486,0.18800466,-0.03307063,-0.04507049,0.11975834,-0.14292121,0.09774834,-0.07972884,0.071633756,-0.0010509565,0.012490656,-0.031603772,0.01667463,0.12680481,0.16769356,-0.036971897,-0.006781224,-0.025963686,0.035177954,-0.05213944,-0.09100467,-0.034120947,-0.13943818,-0.004851721,0.16535985,0.009592649
1,-0.039333846,0.4658813,0.11035048,-0.05363755,0.11793724,0.16662157,-0.15314756,0.4788307,0.024586663,-0.26656792,-0.3144165,0.060025066,0.20031658,0.08928736,-0.10763135,0.08289038,0.018496824,0.27030912,0.2079601,-0.09048622,0.11764192,-0.061907828,0.088429354,-0.07392867,0.05930633,-0.1461926,-0.06037964,0.36659443,0.058788106,0.11300002,-0.2852726,-0.15479185,0.260656,0.115386784,0.3468696,-0.14298451,0.2243414,0.041104537,0.1365915,-0.037814945,0.04631421,-0.20987205,-0.07737659,-0.05470629,0.19932124,0.18089597,0.048434634,0.14818858,0.1885613,0.11487647,0.078794695,0.10181895,-0.32263654,0.041243896,-0.11265537,-0.05334353,-0.20342226,-0.09488703,0.08972144,0.06527103,-0.035694674,0.0014223568,0.04453001,-0.2925343
0,0.009770923,0.5394982,0.12809554,-0.030250087,0.17093936,0.24293281,-0.25145614,0.58273554,0.057287097,-0.37920788,-0.3674465,0.100412026,0.29583406,0.08035135,-0.19816154,0.062162656,0.04775653,0.3757806,0.28374037,-0.082035586,0.1652244,-0.079103865,0.13214327,-0.16167745,0.09737019,-0.17521366,-0.069695465,0.43015558,0.053624764,0.15710725,-0.39950863,-0.23092422,0.30030918,0.14972562,0.40015632,-0.21647856,0.27706432,0.020416517,0.12622383,-0.11488418,0.07461278,-0.2626177,-0.12669115,-0.031540424,0.22840598,0.26576036,0.03558314,0.21044764,0.23732439,0.15602997,0.108951285,0.0936754,-0.46436948,0.07704763,-0.1349195,-0.055307332,-0.27139106,-0.095518485,0.15769374,0.10427197,0.010879178,0.006037295,0.0014309883,-0.38061163
1,0.056733947,0.6696432,0.16624317,-0.004279852,0.2431443,0.32176512,-0.3254615,0.7149597,0.0904358,-0.49063662,-0.42079684,0.1307194,0.40701258,0.09013148,-0.29470035,0.034939058,0.060443744,0.49622056,0.38937637,-0.08924997,0.23127732,-0.102057666,0.17769668,-0.25357,0.13771747,-0.21966487,-0.09045679,0.5190763,0.045958504,0.20776828,-0.5077954,-0.30508912,0.35205847,0.21709919,0.47970897,-0.29921672,0.35585755,-0.017412093,0.1237195,-0.18858099,0.10196294,-0.30371985,-0.20367412,-0.01594285,0.25310567,0.36378556,0.04117108,0.23825705,0.2972193,0.210769,0.13448624,0.08487769,-0.61927795,0.114305094,-0.17585573,-0.058451418,-0.3553538,-0.0953026,0.20114909,0.14296862,0.05281153,0.0033653155,-0.041332006,-0.47965294
0,-0.13378674,0.16270185,-0.02733472,-0.11094121,-0.07986814,-0.05763945,0.1322607,0.07879344,-0.07041694,0.06673617,-0.14862233,-0.11275095,-0.09309934,0.1465733,0.20594546,0.1469305,-0.08006228,-0.10762294,-0.07466312,-0.09271689,-0.008781686,0.012601785,-0.012949392,0.17836367,-0.05609788,-0.048791498,-0.00027253106,0.09300155,0.09945879,-0.04023404,0.081920385,0.097637475,0.1474005,-0.026570477,0.117701754,0.09881458,0.0061228573,0.10787347,0.15070331,0.18887283,-0.03646262,-0.04339204,0.1149915,-0.15243925,0.092196375,-0.083373316,0.07003169,-0.013504691,0.019625474,-0.040179342,0.0122309625,0.13475178,0.16731755,-0.037883885,-0.017141525,-0.031190302,0.025815485,-0.057866573,-0.10124858,-0.031665154,-0.14618899,-0.0045355633,0.16431879,0.02128494
1,0.1584759,0.9253328,0.24834093,0.061396062,0.3985427,0.509554,-0.53199863,1.0084,0.17096713,-0.76182884,-0.5510955,0.22688445,0.6535503,0.09216489,-0.51858515,-0.026061691,0.1159182,0.77839506,0.6182579,-0.09586671,0.3691427,-0.1529917,0.2847397,-0.46485904,0.23119263,-0.30909336,-0.13183278,0.71519846,0.021325007,0.3226408,-0.78040415,-0.48999146,0.45558333,0.34330562,0.65174925,-0.49251673,0.523724,-0.08816311,0.11461343,-0.36414486,0.16698423,-0.4212389,-0.36058486,0.034208328,0.31621575,0.5805708,0.030898323,0.34501433,0.43414077,0.32628277,0.19661917,0.0653553,-0.9924878,0.19596882,-0.25790524,-0.0691445,-0.5399292,-0.10200952,0.33139795,0.23451275,0.15184766,0.0022544414,-0.14519642,-0.70772254
