dataset,method,dim,n_graphs,epochs,batch_size,lr,weight_decay,fit_time_s,embed_time_s,total_time_s,val_acc,test_acc,peak_tracemalloc_mb,rss_before_mb,rss_after_mb,device
MUTAG,GIN,64,188,40,32,0.001,0.0,3.411,0.0263,3.4374,0.8947,0.6316,1.47,1408.81,1408.81,cuda
MUTAG,GIN,64,188,40,32,0.0005,0.0,3.3307,0.0255,3.3562,0.8947,0.6316,0.27,1408.98,1408.98,cuda
MUTAG,GIN,64,188,80,32,0.001,0.0,6.6307,0.0256,6.6563,0.8947,0.6316,0.3,1409.01,1409.01,cuda
MUTAG,GIN,64,188,80,32,0.0005,0.0,6.6877,0.0257,6.7134,0.8947,0.6316,0.3,1409.02,1409.02,cuda
MUTAG,GIN,64,188,40,64,0.001,0.0,2.4758,0.017,2.4928,0.8421,0.6316,0.2,1409.02,1409.02,cuda
MUTAG,GIN,64,188,40,64,0.0005,0.0,2.4862,0.0167,2.503,0.8421,0.6316,0.2,1409.02,1409.02,cuda
MUTAG,GIN,64,188,80,64,0.001,0.0,4.9699,0.0169,4.9868,0.8947,0.6842,0.22,1409.02,1409.02,cuda
MUTAG,GIN,64,188,80,64,0.0005,0.0,4.9417,0.0171,4.9588,0.8421,0.6316,0.21,1409.02,1409.02,cuda
MUTAG,GIN,128,188,40,32,0.001,0.0,3.2896,0.0256,3.3152,0.8421,0.6842,0.27,1409.02,1409.02,cuda
MUTAG,GIN,128,188,40,32,0.0005,0.0,3.3575,0.0258,3.3833,0.8947,0.6316,0.27,1409.77,1409.77,cuda
MUTAG,GIN,128,188,80,32,0.001,0.0,6.587,0.0258,6.6127,0.8947,0.6316,0.31,1409.79,1409.79,cuda
MUTAG,GIN,128,188,80,32,0.0005,0.0,6.6572,0.0258,6.683,0.8421,0.6316,0.29,1409.79,1409.79,cuda
MUTAG,GIN,128,188,40,64,0.001,0.0,2.4878,0.0167,2.5045,0.8947,0.6316,0.2,1409.79,1409.79,cuda
MUTAG,GIN,128,188,40,64,0.0005,0.0,2.4847,0.0169,2.5016,0.8947,0.6316,0.21,1409.79,1409.79,cuda
MUTAG,GIN,128,188,80,64,0.001,0.0,4.9929,0.0172,5.01,0.8947,0.7368,0.22,1409.79,1409.79,cuda
MUTAG,GIN,128,188,80,64,0.0005,0.0,4.8651,0.0171,4.8822,0.8947,0.6316,0.21,1409.79,1409.79,cuda
MUTAG,GIN,256,188,40,32,0.001,0.0,3.3267,0.0258,3.3525,0.8947,0.6316,0.26,1409.79,1409.79,cuda
MUTAG,GIN,256,188,40,32,0.0005,0.0,3.3223,0.0259,3.3482,0.8947,0.6316,0.26,1417.11,1417.11,cuda
MUTAG,GIN,256,188,80,32,0.001,0.0,6.5276,0.0256,6.5532,0.8947,0.6316,0.3,1417.12,1417.12,cuda
MUTAG,GIN,256,188,80,32,0.0005,0.0,6.6279,0.0259,6.6538,0.8947,0.6316,0.3,1417.12,1417.12,cuda
MUTAG,GIN,256,188,40,64,0.001,0.0,2.4927,0.0173,2.5101,0.8947,0.6316,0.2,1417.16,1417.16,cuda
MUTAG,GIN,256,188,40,64,0.0005,0.0,2.4754,0.0169,2.4922,0.8947,0.6316,0.2,1417.18,1417.18,cuda
MUTAG,GIN,256,188,80,64,0.001,0.0,5.0186,0.0174,5.0359,0.8947,0.6316,0.21,1417.18,1417.18,cuda
MUTAG,GIN,256,188,80,64,0.0005,0.0,4.9351,0.0174,4.9525,0.8947,0.6316,0.21,1417.23,1417.23,cuda
ENZYMES,GIN,64,600,40,32,0.001,0.0,10.684,0.0816,10.7655,0.3,0.2833,0.34,1417.43,1417.43,cuda
ENZYMES,GIN,64,600,40,32,0.0005,0.0,9.6397,0.08,9.7197,0.3167,0.35,0.33,1417.43,1417.43,cuda
ENZYMES,GIN,64,600,80,32,0.001,0.0,19.2699,0.0803,19.3502,0.3333,0.3,0.32,1417.48,1417.48,cuda
ENZYMES,GIN,64,600,80,32,0.0005,0.0,19.2544,0.0803,19.3347,0.3167,0.25,0.32,1417.48,1417.48,cuda
ENZYMES,GIN,64,600,40,64,0.001,0.0,6.7505,0.0546,6.8051,0.3,0.2833,0.22,1417.66,1417.66,cuda
ENZYMES,GIN,64,600,40,64,0.0005,0.0,6.6898,0.0567,6.7465,0.3333,0.3333,0.23,1417.66,1417.66,cuda
ENZYMES,GIN,64,600,80,64,0.001,0.0,13.4218,0.056,13.4778,0.3167,0.2333,0.23,1417.75,1417.75,cuda
ENZYMES,GIN,64,600,80,64,0.0005,0.0,13.4232,0.0552,13.4783,0.35,0.2833,0.23,1417.75,1417.75,cuda
ENZYMES,GIN,128,600,40,32,0.001,0.0,9.717,0.0826,9.7995,0.3333,0.35,0.32,1417.92,1417.92,cuda
ENZYMES,GIN,128,600,40,32,0.0005,0.0,9.6028,0.0795,9.6823,0.3667,0.3833,0.32,1417.92,1417.92,cuda
ENZYMES,GIN,128,600,80,32,0.001,0.0,19.4001,0.0835,19.4836,0.3167,0.25,0.32,1421.45,1421.45,cuda
ENZYMES,GIN,128,600,80,32,0.0005,0.0,19.2738,0.0799,19.3537,0.3833,0.3,0.32,1421.45,1421.45,cuda
ENZYMES,GIN,128,600,40,64,0.001,0.0,6.7629,0.0548,6.8177,0.3833,0.35,0.22,1421.49,1421.49,cuda
ENZYMES,GIN,128,600,40,64,0.0005,0.0,6.7745,0.0546,6.8292,0.3667,0.35,0.22,1421.49,1421.49,cuda
ENZYMES,GIN,128,600,80,64,0.001,0.0,13.558,0.0555,13.6135,0.3833,0.35,0.23,1421.58,1421.58,cuda
ENZYMES,GIN,128,600,80,64,0.0005,0.0,13.3645,0.0546,13.419,0.4,0.3667,0.23,1421.58,1421.58,cuda
ENZYMES,GIN,256,600,40,32,0.001,0.0,9.8008,0.0859,9.8866,0.3333,0.2667,0.32,1421.58,1421.58,cuda
ENZYMES,GIN,256,600,40,32,0.0005,0.0,9.8705,0.0813,9.9518,0.35,0.3,0.31,1421.91,1421.91,cuda
ENZYMES,GIN,256,600,80,32,0.001,0.0,19.5902,0.0812,19.6714,0.2667,0.2167,0.31,1424.7,1424.7,cuda
ENZYMES,GIN,256,600,80,32,0.0005,0.0,19.6047,0.0795,19.6842,0.4,0.3333,0.31,1424.7,1424.7,cuda
ENZYMES,GIN,256,600,40,64,0.001,0.0,6.8929,0.0579,6.9508,0.3833,0.35,0.22,1424.7,1424.7,cuda
ENZYMES,GIN,256,600,40,64,0.0005,0.0,7.1509,0.0565,7.2074,0.3333,0.2833,0.24,1424.7,1424.7,cuda
ENZYMES,GIN,256,600,80,64,0.001,0.0,13.6069,0.0548,13.6616,0.35,0.3333,0.22,1424.7,1424.7,cuda
ENZYMES,GIN,256,600,80,64,0.0005,0.0,13.6135,0.0559,13.6694,0.3833,0.3833,0.22,1424.7,1424.7,cuda
