label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127
5,-0.6471924,0.27400792,-0.15346396,-0.32417732,0.14427039,-0.109027594,-0.38442484,0.3029853,0.5995986,-0.13810618,0.90251887,0.16043437,-0.13874401,-0.1503371,-0.016457342,-0.36267105,0.65783167,-0.63585854,0.05333982,-0.048506595,-0.7714653,-0.1120587,0.046486214,-0.33116183,-0.20824632,0.6232056,0.076231614,-0.07855102,0.27892098,-0.32281685,-0.112736806,-0.99663943,-0.25400567,0.8065881,0.2139548,-0.35770264,-0.062237747,-0.07682264,-0.31951377,-0.31093735,-0.013868485,-1.013155,0.1396211,-0.27563262,-0.10607339,0.25657648,-1.1598494,0.4965566,0.6634359,0.29590455,0.24301112,-0.59054863,-0.100157656,0.16462813,-0.2588778,0.18133897,0.60637426,-0.2819987,-0.21941376,-0.27724177,-0.3167763,0.7956934,-0.25639272,0.26597798,0.1287664,-0.09714941,-0.5398335,-0.5758453,-0.0064972453,0.15920658,-0.8358485,0.68736786,0.11756899,0.0029959753,0.47807127,-0.4736329,0.3215918,0.04531863,-0.5687576,-0.6060386,-0.51373947,-0.10652333,0.1596961,0.2211465,-0.411901,0.73956215,-0.13400617,-0.6890309,0.6177978,-0.10909947,-0.5315137,0.5054562,-0.6127845,0.14795963,0.09615711,-0.12919256,-0.24983889,0.26195976,-0.4680734,0.1518545,0.4079438,0.42516965,0.52995086,0.83177775,0.5300229,0.34350732,-0.23345013,-0.4427204,-0.119819485,-0.0680827,-0.66135055,0.15550809,-0.79451764,0.33492756,-0.6897615,-0.92845213,0.21899691,-0.15273046,0.45991793,1.1508118,0.8046202,-0.4844619,0.28275946,0.51421416,0.12589887,-0.48357207,0.52293175,-0.1718738
5,-0.47264045,-0.12368825,-0.28816247,0.12000739,-0.73034036,-0.96479124,-0.056896392,-0.12828776,0.75422674,-0.39146072,1.5564939,-1.3228506,-0.19754884,-0.15649575,0.094605215,-0.09559238,0.6376715,-0.7504288,0.5570422,-0.43075624,-1.1096368,0.21252158,-0.43875396,-0.8555662,0.13119572,0.0729268,0.09387502,0.14083433,-0.51930416,0.14985153,-0.3182383,-1.0116239,0.39080423,1.0843754,0.100988925,-0.05543389,-0.23818028,-0.28764448,0.20603047,0.22968858,0.60242593,-1.0069878,0.9109146,-1.2234823,-0.6819,0.33538356,0.14359829,-0.5671373,0.612786,1.1232446,0.06711447,-0.45188567,0.092719875,-0.12841038,-0.1315426,0.12638412,1.4087632,-0.8259234,-0.4867589,0.26169103,-0.1754553,-0.038689815,-0.30962878,0.714658,0.5543499,-0.26025555,-0.0071532875,-1.2944704,-0.20510937,0.15556727,-0.83361846,1.463955,1.3250617,-0.2995272,-0.20507053,-0.029303372,-0.6300407,0.1716347,-1.3184102,-1.1585846,0.17416781,-0.44609874,0.07492477,-0.08252947,0.15911403,0.13853897,-0.17929837,-0.7030206,0.4063687,0.6630793,-0.32106477,0.015391064,0.08421187,0.3778718,0.11398011,0.41761968,-1.1906495,-0.59531736,-0.23205626,0.32428014,1.025759,-0.31054178,0.35189816,0.36982614,0.20042785,0.3111265,0.9679786,-0.96711844,-0.5115722,-0.19574869,-0.922769,-1.3867975,-1.4074899,-0.1049943,-0.7785644,-0.49729148,-0.9399674,-0.076171406,0.09931561,0.95106465,1.6384927,0.30590332,0.6243531,0.47985354,0.17790088,-0.09981298,1.0914097,-0.33013827
5,-0.42192006,0.47608256,-0.5890779,0.590665,-0.19450712,0.62910694,-0.30327544,-0.4250032,-0.1493349,0.006236852,0.7911532,-0.7444985,-0.13105236,0.48989755,0.36911368,-0.4966432,0.13602296,-0.4123731,-0.12421012,-0.36836183,-0.8806473,0.25421005,0.45245588,0.001951091,0.11015326,0.6890726,0.11781135,-0.11251024,-0.18688035,0.42828247,-0.60917157,-0.26346976,-0.6670052,0.12333899,0.21264485,0.15673465,-0.631052,0.3921333,-0.06379114,0.018765833,0.20899041,-0.27948233,-0.57638216,0.30254683,-0.108841814,-0.40734544,0.10440538,0.31168568,0.25014296,0.1261192,0.39612132,0.21253887,-0.6393009,-0.046164915,-0.03551414,0.4097315,0.18733323,0.43680245,0.18365169,-0.34168953,-0.14747849,0.1769796,0.164232,-0.11721539,-0.45098704,-0.69798243,0.020647436,-1.0510138,0.5148282,-0.87039685,0.23348504,0.4796012,0.20060752,0.16633138,0.3527179,-0.16062197,0.15597901,0.10900806,-0.07090449,0.119077206,0.12836137,0.14282541,-0.08418991,1.0895159,-0.23920909,0.2361109,0.09872184,0.058847733,0.36524805,0.28610554,-0.06933099,-0.8163613,-0.7189128,-0.16647293,0.110940374,-0.32582083,-0.2614141,0.3064478,-0.5878537,0.014848613,0.4743107,-0.3694114,0.4053366,0.2872758,-0.20431753,-0.21888639,-0.23597081,-0.24628183,0.4049041,-0.7537669,0.14555278,-0.14886506,-0.5045321,0.6889782,-0.13422267,-0.42064583,-0.5752938,0.07957039,0.33695403,0.05379954,-0.19833647,-0.09963937,0.5286284,0.31373706,-0.22840257,-0.08937728,0.61021245,-0.16428976
5,-0.3481682,0.33470213,-0.21392797,0.4745557,-0.02994403,0.57023907,-0.34738874,-0.32485372,-0.14972836,0.1302409,0.87964356,-0.5714028,-0.07104635,0.5250767,0.16078386,-0.7042034,0.11725189,-0.28657764,-0.07530974,-0.06899173,-0.64724356,0.39303446,0.5303546,0.045908444,0.023555845,0.8746343,0.067382365,-0.08124145,-0.26378274,0.55307513,-0.64523596,-0.39622176,-0.5424112,0.18182477,0.25470278,0.14673367,-0.65617603,0.4727319,-0.18461919,-0.12058982,-0.07266526,-0.1795237,-0.6746995,0.14601512,0.07367977,-0.5121251,0.2534094,0.46608806,0.37933895,-0.19073105,0.5473449,0.3746103,-0.66629416,-0.21444197,-0.056383036,0.40940988,-0.052885443,0.17657077,0.47425288,-0.44437414,-0.15083939,0.23166743,0.28774858,-0.0355312,-0.5385837,-0.7325835,0.072288275,-0.7970677,0.66545033,-0.88107055,0.24093118,0.33936906,0.10456031,-0.036066636,0.53546846,-0.362288,0.42560723,0.34012654,-0.22434412,0.2304819,0.22261536,0.1028653,0.03404853,1.340816,-0.33543417,0.24319741,0.08331441,-0.13373938,0.30452204,0.35432568,-0.30731204,-0.7824755,-0.8627135,-0.29388762,0.45735443,-0.36965492,-0.18937343,0.15958138,-0.5121819,-0.31170058,0.118157916,-0.153833,0.4686503,0.28396142,0.083414264,0.0027249055,-0.34603262,-0.17198467,0.52288896,-0.5243339,-0.03514772,0.09816835,-0.6962191,0.5437422,-0.07586658,-0.35961553,-0.31034786,0.13195795,0.14672847,-0.010485426,-0.12974165,0.110989526,0.5036814,0.1668979,-0.32870242,-0.17576692,0.72174793,-0.06896253
5,-0.432266,0.6126834,-1.4439094,0.9724643,-0.8779966,0.42552823,-0.09496805,-0.7784069,-0.019419331,-0.14880231,0.62402314,-1.5258118,-0.31190822,0.39627424,0.7063568,-0.34011772,0.2845044,-0.71101594,-0.19931242,-0.9614133,-1.2786787,0.11392848,0.21101372,-0.25112057,0.14602247,0.17365257,0.31349814,-0.3411944,-0.4165295,0.17883542,-0.47339657,-0.26622862,-0.90718687,-0.040152602,0.27140364,0.16069445,-0.8921404,0.23959836,0.42823717,0.260005,0.7242938,-0.54616576,-0.21182239,0.06668171,-0.5683784,-0.044653036,0.12872487,-0.17247128,-0.05396644,0.8494524,-0.08211106,-0.015437454,-0.5048071,-0.028854832,0.2880057,0.45739126,0.9172582,0.76466477,-0.23234913,0.14634675,0.00056476146,-0.2316769,-0.24880497,-0.14783049,0.025450334,-0.5316623,0.016680777,-1.6627294,-0.024262886,-1.0367923,0.13710707,1.1447834,0.62579745,0.4568061,-0.112927325,0.26624417,-0.5432367,-0.3458285,0.28617522,-0.16223729,0.04848914,0.3149858,-0.32975084,0.4960268,-0.10662143,-0.06513553,0.11006486,0.14380586,0.60962117,0.49074897,0.38339695,-0.95113254,-0.34173572,0.14687347,-0.6672311,-0.05663628,-0.6437542,0.37208563,-0.4742156,0.85086906,1.4045675,-0.8300832,0.14860329,0.4087745,-0.66407317,-0.4611549,0.075096294,-0.50788003,0.17186166,-1.3448452,0.31267044,-0.9960728,-0.093832225,0.6661943,-0.2411771,-0.43327305,-1.1587318,0.047468476,0.67784494,0.022780642,-0.05206509,-0.31704503,0.5841587,0.8966267,0.20906347,0.23609197,0.56171066,-0.45690107
5,-0.4192196,0.5361042,-1.2388661,0.8608163,-0.6959268,0.45366925,-0.12260705,-0.6599514,-0.03264739,-0.15895462,0.61188143,-1.2534243,-0.24776824,0.3660466,0.5991954,-0.29705408,0.25304776,-0.6036649,-0.16331437,-0.80147105,-1.1651142,0.1095359,0.20767377,-0.18845025,0.13679364,0.19359866,0.27415037,-0.2762679,-0.2960159,0.20197845,-0.48504823,-0.21553177,-0.8125278,-0.0043013915,0.23726293,0.15309417,-0.7427934,0.24051613,0.3085268,0.24524665,0.63369316,-0.47247732,-0.21464096,0.16494432,-0.4654364,-0.07775263,0.08857538,-0.092107445,0.0013107732,0.75769126,-0.0019476563,-0.0029972196,-0.50233966,0.023949116,0.20133558,0.39122975,0.73226047,0.6963038,-0.20136943,0.05169849,-0.009374402,-0.14136261,-0.19601445,-0.13278133,-0.05817063,-0.50548816,0.0022099018,-1.4345282,0.02848043,-0.88666254,0.15848368,0.94266933,0.48874706,0.41678852,-0.0475268,0.21441469,-0.4375064,-0.22581251,0.1968765,-0.1250146,0.027201913,0.23233615,-0.29417607,0.5096155,-0.09089498,-0.00017602742,0.072173946,0.14553568,0.5086693,0.40475097,0.3147714,-0.86031985,-0.3809384,0.09494886,-0.5163282,-0.101361014,-0.5222158,0.39447364,-0.48496094,0.6623353,1.1422074,-0.6847759,0.15313411,0.31900293,-0.5783655,-0.40997228,0.04330423,-0.45552486,0.1717205,-1.1497009,0.2999654,-0.7897051,-0.13629597,0.65058595,-0.20960481,-0.41234246,-1.0045383,0.01796911,0.6090557,0.0452635,-0.08632021,-0.24737783,0.5128844,0.69615316,0.10421376,0.17769116,0.46951967,-0.40155262
5,-0.6017868,-0.28868574,0.20971996,-0.22916684,-0.19455595,-0.9875279,-0.23750284,0.2948836,0.87937266,-0.6156538,1.9886358,-0.8878428,0.00210799,-0.2889233,-0.10888039,0.23834682,0.6391456,-0.5303052,0.68748933,-0.22769085,-1.1272234,0.051008135,-0.53268456,-0.8985875,0.3431244,0.3111235,-0.17964873,0.4330517,-0.08112818,0.080195874,-0.49477163,-0.9439828,0.7487098,1.4981146,-0.06356946,-0.04385861,0.3303867,-0.3810426,-0.12841897,0.25724104,0.650109,-0.9220914,1.0113506,-1.054222,-0.62552834,0.2409226,-0.035573624,-0.38786724,0.889715,0.9459372,0.3927658,-0.52634263,0.20224883,0.076890126,-0.581566,-0.078864396,1.2465208,-1.1702836,-0.695818,-0.08714938,-0.404699,0.36036474,-0.07263222,0.88773084,0.26785058,-0.33982024,-0.14325678,-0.99013346,-0.0029754452,0.62945575,-0.9312643,1.160684,1.2404785,-0.49226585,-0.060447507,-0.3266614,-0.34437186,0.51318365,-1.8946209,-1.4029394,0.22076964,-0.7916042,0.08674367,0.018568508,0.3115747,0.5298915,-0.24032316,-0.77562183,0.22127661,0.43750492,-0.5298232,0.33068335,-0.028836891,0.33194768,0.55169,0.24886659,-1.037222,-0.6797642,-0.45432138,-0.04692536,0.5145091,-0.09339616,0.5412578,0.1932575,0.42003816,0.31244943,1.1183966,-0.9269214,-0.6353293,0.29091915,-1.1229241,-1.1211627,-1.9606338,0.008339118,-0.9350089,-0.6392494,-0.763024,-0.17521414,-0.090895906,1.3299186,1.7947868,0.43520093,0.5856757,-0.10681844,-0.048741877,-0.5296319,1.0923947,-0.16830249
5,-0.25191796,-0.048218906,-0.19107123,0.2996823,-0.3466819,-0.18957096,0.47981372,0.090690486,1.0055662,-0.29899523,0.28347638,-0.541179,0.18922426,-0.5580784,-0.19278565,-0.22894397,0.021698624,-0.100050844,0.08824429,-0.08269269,-0.33370364,-0.0090512335,-0.5632572,-0.4697372,0.18694392,-0.41713703,0.16475078,-0.015361883,0.08892952,-0.43540078,0.15026467,-0.23604953,0.122364014,0.101482786,-0.13400623,0.10802548,0.1710906,-0.064234525,-0.027060162,0.41001022,0.22964825,-0.11882165,0.58547777,0.007995442,-0.55685157,0.26669607,0.09367497,-0.17271549,0.09389565,0.6761745,-0.2741112,-0.46076146,0.28775877,-0.014786929,0.0603044,-0.4982577,0.3613147,0.058927048,-0.40509307,0.02553664,-0.34582582,-0.3626633,-0.25588527,-0.027898766,0.38032258,-0.17233258,-0.4981808,-0.29409108,-0.76074064,-0.22129981,-0.3502884,0.32930934,0.16452296,-0.029356234,-0.019031398,-0.091664284,-0.22195908,0.0648434,-0.30096757,-0.59505093,-0.20233849,0.25411144,-0.013804037,-0.6392088,0.19416495,-0.15004928,0.044344135,-0.18899204,0.02642304,0.08782251,-0.05442092,0.27651486,0.1136972,0.30044058,0.3424578,-0.0802791,0.2584371,0.10582864,0.23065856,0.18604432,0.48072508,-0.1248665,-0.061775915,-0.1320445,-0.10121911,-0.3125268,0.022952888,-0.3269183,-0.41040772,-0.33872372,-0.12953806,-0.20555344,-0.14519256,-0.38002563,-0.12854403,0.020202503,-0.082086675,-0.33107904,0.0499467,0.05594088,0.5073405,-0.035855275,-0.2968715,-0.34553728,0.51113474,0.1787306,-0.03601161,0.13255268
5,-0.22187936,0.26698852,-0.19760843,0.38907838,-0.11951733,0.34599316,-0.23280093,-0.30552888,-0.108842,0.14270152,0.71386725,-0.5769771,-0.05527201,0.4173235,0.08663634,-0.6399473,0.0839375,-0.29204175,-0.0007018186,-0.026065089,-0.4402276,0.40840933,0.43485433,-0.029514454,-0.065032214,0.69847405,0.09603545,-0.11367088,-0.35816357,0.4987495,-0.43869695,-0.4193907,-0.42325678,0.15522549,0.2350674,0.1488966,-0.6194253,0.37075016,-0.06589815,-0.12761804,-0.112067625,-0.20136161,-0.5173559,-0.07816452,0.10397349,-0.39930293,0.2884096,0.32589784,0.29759035,-0.16488993,0.38689443,0.32358652,-0.45319468,-0.32202315,0.06301383,0.40980715,0.053661346,0.07990985,0.50990814,-0.27160072,-0.09992991,0.094872005,0.20011248,0.05520074,-0.3470171,-0.4955869,0.13973236,-0.6641928,0.5037998,-0.77705866,0.15500905,0.37905717,0.17547666,-0.11529771,0.39159998,-0.2677222,0.3179297,0.20933636,-0.19775347,0.12829757,0.1765748,0.12182173,0.07982346,1.0440378,-0.3145406,0.08594261,0.05068969,-0.15581198,0.31007555,0.40645614,-0.27823436,-0.60751504,-0.6589771,-0.20019622,0.3751118,-0.19286636,-0.21334547,-0.00052012317,-0.28350428,-0.2346447,0.15674902,-0.093723506,0.33289495,0.26744717,0.10264472,0.04529101,-0.2703734,-0.19101319,0.41914517,-0.48045698,-0.12032866,0.020522755,-0.5408503,0.31775558,-0.07784352,-0.23907906,-0.25760242,0.14209118,0.029514212,-0.0813608,-0.0019558836,0.14030476,0.4280708,0.22724414,-0.22612873,-0.10458454,0.66708916,-0.10299556
5,-0.18021259,0.07332386,0.23978806,0.22345829,0.119199455,0.23186663,-0.20201766,-0.0049517434,0.059906688,0.1842564,0.6293759,-0.18932378,0.036950767,0.20357507,-0.20134652,-0.63371235,0.065950476,-0.06444766,0.08248679,0.24856028,-0.15281811,0.39191398,0.22301005,0.022867776,-0.047460474,0.7209206,-0.0015109666,0.05895535,-0.13646679,0.4782445,-0.39571333,-0.28115594,-0.19472131,0.28266168,0.11758399,0.16922277,-0.3002483,0.39602512,-0.28046983,-0.12052879,-0.34407887,-0.061564405,-0.38959396,0.038581014,0.105739534,-0.44550082,0.33695132,0.45939428,0.4090822,-0.34219807,0.44879913,0.35540384,-0.4463986,-0.22507754,-0.084069915,0.1887596,-0.27133572,-0.20189926,0.48399362,-0.37715957,-0.15475973,0.10601065,0.18154748,0.052675925,-0.46518064,-0.51833624,0.065026,-0.15633622,0.39390966,-0.57868487,0.038504906,0.10385407,0.02142579,-0.27470037,0.48482627,-0.46603885,0.5204809,0.56790316,-0.32096618,0.18960872,0.25810888,0.06900725,0.22055066,0.96302825,-0.2473956,0.08367981,0.002497144,-0.29338345,0.16882809,0.33543172,-0.42128164,-0.3891831,-0.65160733,-0.2991675,0.79163736,-0.2938659,-0.0012788251,-0.0076536667,-0.17726511,-0.5566217,-0.26073077,0.14144689,0.39839765,0.010661617,0.33098057,0.16128248,-0.32190984,-0.024280243,0.37743023,-0.09220334,-0.20524012,0.3519344,-0.5908936,0.121035755,-0.044809118,-0.0903494,0.09621594,0.06879798,-0.089565694,0.0005389303,0.07300635,0.35879305,0.20388599,-0.23220783,-0.26757506,-0.26254147,0.50618213,0.11605126
