label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
5,-0.21536362,0.4728973,0.08063118,-0.09065245,-0.11284599,0.15412277,0.5927926,0.0835233,0.26746082,0.46055704,-0.068642765,-0.6757333,0.16571732,-0.14238116,-0.18895829,0.044155188,0.7311599,-0.31778032,0.25763357,0.42138413,0.030353062,-0.123156235,0.14757282,0.47477555,0.6922095,-0.2781462,0.9471522,-0.28242517,0.3410705,0.33774737,-0.064180225,-1.111735,-0.14230275,-0.34521717,0.055611037,-0.1835353,0.08530084,-0.2004146,-0.37959164,-0.42033976,0.382673,0.21908556,0.9752147,-0.06034318,0.0064250305,-0.3181739,-0.0650097,-0.34994978,0.5002821,0.20209733,-0.1212946,0.61277866,-0.014304064,0.08414315,0.30737978,0.05578912,-0.14348425,-0.060257014,0.021105278,0.17539537,-0.2350131,-0.4295856,0.12406991,-0.0475017
5,-0.017594341,0.38958573,-0.17434181,-0.44227618,0.08500445,0.16621718,0.53616405,-0.11482078,0.19095024,0.35517156,-0.060571358,-0.4257041,0.26768118,-0.37321466,-0.106759034,-0.109508045,0.7667408,-0.06869437,0.19838156,0.4965803,-0.4748715,0.1460681,-0.16931543,0.5228723,0.3924585,0.13836476,0.9593013,-0.3801838,0.5613521,0.3436686,-0.25717586,-1.0721557,-0.1316714,-0.23108435,0.14180154,-0.29082733,0.18329853,-0.49574944,-0.41611433,-0.27218932,0.3846435,-0.032882378,0.9373559,-0.17240195,0.26567012,-0.21552531,-0.27119184,-0.4849934,0.7262784,0.21360205,-0.08956204,0.7766688,0.15482944,-0.33357072,-0.28936666,-0.34184054,0.22648676,0.0074855722,0.35050002,-0.31644514,-0.25328094,-0.553929,-0.17421326,0.20289682
5,-0.40034175,0.2889138,0.46006876,0.2539237,-0.037059918,0.1666727,0.41942614,0.15863214,0.30175418,0.2742382,0.15838207,-0.40172324,0.07904486,0.030914336,-0.03208985,0.06223569,0.19784838,-0.17864873,0.03986884,0.33412752,0.57969546,-0.23353878,0.18240401,0.5742409,0.2791585,-0.40009344,0.640971,-0.1670843,0.28564763,0.29471016,0.15193614,-0.7555564,0.050487183,-0.37795,-0.15309983,0.120106734,-0.006545596,0.28245062,-0.3689828,-0.20659664,0.21662413,0.07341948,0.20480973,0.057586927,-0.29103985,-0.27980998,0.14246725,-0.05221282,0.021396957,0.014138758,-0.16795984,-0.001887545,0.13945545,0.3544837,0.38558555,0.40183058,-0.6017256,-0.037869643,-0.09418399,0.40995604,-0.3838684,-0.28967115,0.6152253,0.018219259
5,-0.32804397,0.26908997,0.36925253,0.17002392,-0.010455422,0.16496725,0.40386456,0.115541875,0.25210238,0.24593529,0.13876644,-0.35368738,0.07967329,0.0014231652,-0.02192115,0.044893615,0.2015419,-0.1401213,0.04480041,0.31937248,0.4504809,-0.17868133,0.1484558,0.5313119,0.24866892,-0.3118329,0.6148061,-0.17813312,0.29957667,0.2712524,0.11624779,-0.7155501,0.043654323,-0.31591982,-0.1134819,0.09274024,-0.009421147,0.19050777,-0.3440494,-0.17341089,0.20606185,0.0486878,0.23449051,0.039318953,-0.22171074,-0.23917991,0.09615734,-0.074322954,0.0629734,0.042891532,-0.15998639,0.037721753,0.14362872,0.27232042,0.28846592,0.30583996,-0.47734624,-0.03554952,-0.050114773,0.32400727,-0.35056394,-0.2891672,0.4999688,0.0504529
5,-0.41930202,0.33723292,0.4760419,0.22054854,-0.045250148,0.20226939,0.48880768,0.1601016,0.34681076,0.31920195,0.15266941,-0.46549228,0.111255616,-0.010022879,-0.07629763,0.054550968,0.28854883,-0.2132157,0.050725795,0.38542038,0.5636153,-0.22879103,0.18063149,0.62651354,0.33701217,-0.4260319,0.7572298,-0.1965215,0.32198244,0.35635185,0.12172249,-0.8737822,0.033972993,-0.4508739,-0.14257878,0.08177924,0.034861334,0.26985925,-0.40834832,-0.27132475,0.24017823,0.081304654,0.30129611,0.027338658,-0.28037506,-0.33542463,0.12937257,-0.09938325,0.08450643,0.012046896,-0.15116747,0.07983266,0.13885619,0.3400115,0.3952316,0.38298786,-0.6195367,-0.042955443,-0.077180594,0.3805355,-0.41309136,-0.34933344,0.6189656,0.020578276
5,-0.40019655,0.31349722,0.4560038,0.22941571,-0.042686045,0.17889243,0.45216972,0.15664904,0.31931043,0.29034916,0.15226567,-0.42897704,0.09336981,0.0070663095,-0.052418925,0.056822278,0.2492486,-0.1900468,0.04631757,0.36065087,0.5570308,-0.22515848,0.17614146,0.59431845,0.30927515,-0.4025938,0.6963125,-0.1816366,0.3041651,0.32262787,0.1334853,-0.81644696,0.039717957,-0.40727,-0.14021465,0.095381215,0.013964422,0.26605168,-0.381661,-0.24203175,0.23117125,0.07699591,0.26134703,0.04273763,-0.27873504,-0.30249596,0.12946689,-0.08296202,0.059168793,0.023177378,-0.16322936,0.04749097,0.14228924,0.33888686,0.3791992,0.38492408,-0.5942052,-0.041441213,-0.08320966,0.39168426,-0.39369643,-0.31996688,0.5998461,0.022260886
5,-0.05438785,0.44583562,-0.1373519,-0.4410632,0.06556572,0.18384689,0.5774263,-0.098864555,0.23320884,0.41578335,-0.04549884,-0.5002103,0.3075108,-0.3844642,-0.14025924,-0.13330388,0.81964934,-0.10984205,0.2072843,0.53413403,-0.45196798,0.13833728,-0.16127637,0.58611125,0.4292009,0.09086156,1.0370883,-0.40227976,0.60427755,0.39943036,-0.27575272,-1.1628221,-0.13533187,-0.29538974,0.11965743,-0.302261,0.19406846,-0.4747041,-0.4639874,-0.30587894,0.40938345,-0.050658926,0.99955,-0.17494944,0.24485087,-0.2523181,-0.24856643,-0.5262417,0.75856215,0.17482744,-0.059834853,0.8136973,0.13234457,-0.32885107,-0.25711346,-0.3193932,0.17247736,-0.0027756058,0.3563485,-0.29364866,-0.3055907,-0.60384953,-0.10401244,0.19691153
5,0.13755466,0.21954398,-0.17475171,0.15404016,-0.19009916,-0.14596894,0.20272224,0.06486343,-0.0665607,0.094540276,-0.32477894,-0.34467027,-0.1521043,0.19435528,-0.07317049,0.36340928,0.3183124,-0.28269726,0.3114058,0.03847015,0.045394205,-0.31640947,0.36227047,-0.25399035,0.66183406,-0.28411233,0.270674,-0.028699372,-0.21007419,-0.2521097,0.27712977,-0.26905295,-0.12923695,0.2566612,0.23000446,0.0067189783,-0.17864385,-0.13522382,0.26885659,-0.14607337,0.15363948,0.513368,0.74579465,0.18394312,0.04671269,0.0012992751,-0.023595646,-0.0073568374,-0.007963292,0.6042186,-0.28635818,0.19994448,-0.111788385,0.34262574,0.4231702,0.053782776,0.20871162,-0.100019634,-0.3260618,0.47373962,0.1519263,0.032184385,-0.33257678,-0.27353337
5,-0.20655063,0.20316333,0.28563437,0.1075809,0.045432188,0.16431102,0.33528322,0.053688914,0.16547698,0.13971195,0.13520327,-0.22576481,0.05463396,0.0028469115,0.0057321414,0.053628176,0.09860373,-0.08531614,0.033200882,0.2505418,0.3418755,-0.12839691,0.13541274,0.40808928,0.1607789,-0.22986709,0.4917712,-0.14365225,0.24845389,0.19445851,0.103252456,-0.5272206,0.061435733,-0.19927171,-0.058473907,0.1031518,-0.031749703,0.13657379,-0.24757126,-0.0902841,0.12979367,0.015355989,0.1562587,0.0508381,-0.17234856,-0.17202584,0.06116488,-0.019998267,0.009811826,0.08598418,-0.14576063,-0.022143677,0.1467382,0.21471488,0.1905497,0.1859442,-0.3237706,-0.033081662,-0.030422319,0.2481231,-0.2949826,-0.22367668,0.36891654,0.08138104
5,-0.15962821,0.16716675,0.18676604,0.05875404,0.037117302,0.09471498,0.2750399,0.027014427,0.107431196,0.13231611,0.0944944,-0.19243872,0.04391379,-0.0036154166,0.052844502,0.04173962,0.12806398,-0.03406757,0.06592184,0.23864931,0.2121979,-0.09486721,0.073958226,0.35854322,0.15423836,-0.14192177,0.4128091,-0.14691971,0.24809662,0.13308384,0.08802222,-0.51376307,0.046756297,-0.10861518,-0.034944855,0.063808024,-0.050195925,0.026479706,-0.2090565,-0.05508495,0.14971267,0.01780875,0.1845507,0.033579938,-0.10689058,-0.10435836,0.0098924115,-0.06128344,0.06654968,0.13763256,-0.17927879,0.027874082,0.14668265,0.13836579,0.10222794,0.13600695,-0.19989577,-0.010732418,-0.002302923,0.20856866,-0.23803747,-0.21023238,0.26223326,0.08617805
