label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
0,0.29354933,-1.1381149,-0.6178392,-0.8205761,0.16287498,0.2982568,-0.053146705,-0.27323186,0.1462676,-0.3828234,-0.6701947,0.5613285,0.13719237,0.7518463,-0.20348814,-0.9176543,0.47879586,-0.3148597,-0.034605872,-0.5234528,0.3752573,-0.013015937,0.64149195,0.13112225,0.06324628,-0.31075794,-0.2957375,-0.08184069,0.29448184,-0.7115382,0.21886155,0.061648093,0.24310154,0.56179494,0.11372514,-1.051669,-1.1813658,-0.09203324,-0.077940464,-0.18699658,0.4286599,0.0030330736,-0.7325445,-0.24803641,0.19172914,0.5603798,-6.840378e-05,-0.21079724,-0.19229521,-0.44581002,-0.22966734,-0.17151783,0.86415255,-0.09196023,-0.22290675,-0.42829746,-0.39117515,0.74927175,0.6737169,-0.04399675,-0.45793316,0.4075058,-0.34602377,-0.16095014
0,0.21207437,-1.0024408,-0.5506826,-0.70774835,0.08248834,0.27171996,-0.008223265,-0.16385923,0.16654828,-0.3311506,-0.5407977,0.47917178,0.17571746,0.6396446,-0.15054229,-0.7860949,0.44592232,-0.2967995,0.016691301,-0.52079695,0.31295037,-0.046859857,0.5263709,0.103773996,-0.01224938,-0.2448731,-0.21180014,-0.10426564,0.2996552,-0.57650536,0.18890435,0.03910602,0.22641703,0.4744571,0.174945,-0.84319246,-1.0665729,-0.13480705,-0.0331589,-0.19777787,0.37036023,0.029755684,-0.6132366,-0.2738759,0.22029981,0.5690784,0.0050197393,-0.112609416,-0.12184028,-0.39740002,-0.1454876,-0.114558056,0.7267946,-0.08560369,-0.15717527,-0.36309406,-0.34987992,0.6686098,0.58117795,-0.00693509,-0.35341176,0.27065766,-0.35338297,-0.16459942
0,0.29354933,-1.1381149,-0.6178392,-0.8205761,0.16287498,0.2982568,-0.053146705,-0.27323186,0.1462676,-0.3828234,-0.6701947,0.5613285,0.13719237,0.7518463,-0.20348814,-0.9176543,0.47879586,-0.3148597,-0.034605872,-0.5234528,0.3752573,-0.013015937,0.64149195,0.13112225,0.06324628,-0.31075794,-0.2957375,-0.08184069,0.29448184,-0.7115382,0.21886155,0.061648093,0.24310154,0.56179494,0.11372514,-1.051669,-1.1813658,-0.09203324,-0.077940464,-0.18699658,0.4286599,0.0030330736,-0.7325445,-0.24803641,0.19172914,0.5603798,-6.840378e-05,-0.21079724,-0.19229521,-0.44581002,-0.22966734,-0.17151783,0.86415255,-0.09196023,-0.22290675,-0.42829746,-0.39117515,0.74927175,0.6737169,-0.04399675,-0.45793316,0.4075058,-0.34602377,-0.16095014
0,0.29354933,-1.1381149,-0.6178392,-0.8205761,0.16287498,0.2982568,-0.053146705,-0.27323186,0.1462676,-0.3828234,-0.6701947,0.5613285,0.13719237,0.7518463,-0.20348814,-0.9176543,0.47879586,-0.3148597,-0.034605872,-0.5234528,0.3752573,-0.013015937,0.64149195,0.13112225,0.06324628,-0.31075794,-0.2957375,-0.08184069,0.29448184,-0.7115382,0.21886155,0.061648093,0.24310154,0.56179494,0.11372514,-1.051669,-1.1813658,-0.09203324,-0.077940464,-0.18699658,0.4286599,0.0030330736,-0.7325445,-0.24803641,0.19172914,0.5603798,-6.840378e-05,-0.21079724,-0.19229521,-0.44581002,-0.22966734,-0.17151783,0.86415255,-0.09196023,-0.22290675,-0.42829746,-0.39117515,0.74927175,0.6737169,-0.04399675,-0.45793316,0.4075058,-0.34602377,-0.16095014
0,0.18379124,-1.0643264,-0.5069573,-0.80512035,0.08208583,0.2569484,-0.05370225,-0.16537674,0.21885525,-0.38329852,-0.78192854,0.6308575,0.21318465,0.7574477,-0.2551109,-0.98689926,0.5965006,-0.37360448,-0.041857388,-0.585114,0.27023575,0.07189597,0.62018514,0.06577228,0.05425188,-0.30144262,-0.43298167,-0.10019208,0.20719804,-0.6877182,0.25246033,0.050422184,0.17083645,0.5486572,0.14662035,-0.9846126,-1.2900382,-0.106789544,-0.15942925,-0.19865131,0.5090009,0.06279495,-0.7645517,-0.3090539,0.27380866,0.5848658,-0.009204447,-0.06290831,-0.15797885,-0.49326122,-0.23181894,-0.2620452,0.8191869,-0.11938333,-0.1680195,-0.35781503,-0.44520673,0.8981424,0.7793467,0.014790386,-0.35292467,0.36559695,-0.3089158,-0.09209659
0,-0.117176965,-0.71233684,-0.1459637,-0.693214,-0.1661897,0.06393385,-0.07930663,0.13830303,0.4231194,-0.30669612,-0.9350698,0.79770166,0.32204345,0.67486334,-0.40276396,-1.0113721,0.8279661,-0.5264385,-0.08374931,-0.68587023,-0.07042606,0.30376115,0.4769621,-0.050562263,0.0009924918,-0.2989577,-0.7770707,-0.11573208,-0.09017427,-0.5392987,0.2955331,0.026724376,-0.032610804,0.42211187,0.17613009,-0.7455132,-1.4051838,-0.15300225,-0.27252212,-0.19313914,0.67216706,0.24644187,-0.81168467,-0.40900344,0.45301586,0.602401,0.015966468,0.3128779,-0.032362193,-0.5887788,-0.2162888,-0.44276327,0.61844534,-0.27994326,-0.0035398556,-0.10291052,-0.5973223,1.1981518,0.9483832,0.17240119,-0.011827983,0.1987261,-0.16552575,0.13350457
0,0.29354933,-1.1381149,-0.6178392,-0.8205761,0.16287498,0.2982568,-0.053146705,-0.27323186,0.1462676,-0.3828234,-0.6701947,0.5613285,0.13719237,0.7518463,-0.20348814,-0.9176543,0.47879586,-0.3148597,-0.034605872,-0.5234528,0.3752573,-0.013015937,0.64149195,0.13112225,0.06324628,-0.31075794,-0.2957375,-0.08184069,0.29448184,-0.7115382,0.21886155,0.061648093,0.24310154,0.56179494,0.11372514,-1.051669,-1.1813658,-0.09203324,-0.077940464,-0.18699658,0.4286599,0.0030330736,-0.7325445,-0.24803641,0.19172914,0.5603798,-6.840378e-05,-0.21079724,-0.19229521,-0.44581002,-0.22966734,-0.17151783,0.86415255,-0.09196023,-0.22290675,-0.42829746,-0.39117515,0.74927175,0.6737169,-0.04399675,-0.45793316,0.4075058,-0.34602377,-0.16095014
0,-0.11717698,-0.71233684,-0.14596373,-0.69321406,-0.16618976,0.06393382,-0.0793066,0.13830304,0.42311934,-0.30669612,-0.9350698,0.79770166,0.32204348,0.67486334,-0.402764,-1.0113721,0.8279661,-0.52643853,-0.083749294,-0.6858703,-0.07042606,0.30376112,0.4769621,-0.050562292,0.0009925067,-0.2989577,-0.7770707,-0.115732126,-0.09017421,-0.5392988,0.2955332,0.02672439,-0.03261085,0.42211193,0.17613012,-0.7455132,-1.4051838,-0.15300228,-0.27252212,-0.1931391,0.67216706,0.24644187,-0.8116848,-0.40900338,0.4530159,0.6024011,0.01596652,0.3128779,-0.032362193,-0.58877873,-0.2162888,-0.44276327,0.61844534,-0.2799433,-0.0035398407,-0.10291051,-0.5973223,1.1981518,0.9483832,0.17240119,-0.011827983,0.19872607,-0.16552573,0.13350457
0,0.21207437,-1.0024409,-0.5506826,-0.7077484,0.08248834,0.27171996,-0.008223295,-0.1638592,0.16654834,-0.33115065,-0.54079777,0.47917178,0.17571749,0.63964474,-0.15054226,-0.786095,0.44592234,-0.29679948,0.016691316,-0.52079695,0.31295037,-0.046859827,0.52637094,0.10377398,-0.01224941,-0.24487308,-0.21180017,-0.10426565,0.2996552,-0.57650536,0.1889044,0.039106034,0.22641705,0.4744571,0.17494497,-0.84319246,-1.0665729,-0.13480702,-0.033158988,-0.19777781,0.37036029,0.029755661,-0.6132367,-0.2738759,0.22029981,0.5690783,0.005019702,-0.11260943,-0.12184031,-0.39740002,-0.14548767,-0.11455804,0.72679466,-0.08560373,-0.15717527,-0.3630941,-0.34987998,0.66860986,0.58117795,-0.00693509,-0.3534117,0.27065778,-0.35338295,-0.16459945
0,-0.21098022,-1.0503116,-0.17077741,-0.8083957,-0.09758861,0.03674245,-0.09438947,0.176208,0.51535547,-0.41075397,-1.1686325,1.0351905,0.36526573,0.8915986,-0.46512157,-1.2660097,0.9911728,-0.5245763,-0.050148245,-0.8628135,-0.057649314,0.25682983,0.6297599,-0.16671929,-0.029516011,-0.24869105,-0.86053777,-0.22054526,0.006657496,-0.5805597,0.32943052,0.072013,-0.071911514,0.6324474,0.21180516,-0.8578479,-1.8255354,-0.18658607,-0.43589482,-0.22987032,0.8316157,0.33012193,-0.9257422,-0.59763575,0.6180606,0.80618024,0.064254805,0.43695325,-0.071343765,-0.7436091,-0.2792974,-0.5596119,0.7124116,-0.33171836,0.056148145,-0.06872566,-0.6872419,1.4600539,1.1922235,0.26567635,0.011237346,0.26255983,-0.159023,0.18597785
