label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127
1,-0.39231223,0.2951726,0.48823425,-0.33932212,-0.5103353,-0.1596556,-0.59495807,-0.7640871,0.30877692,0.44872755,-0.14560284,0.02030021,-0.22121409,-0.049894236,-0.6648838,-0.5118916,0.18931407,0.096513,-0.03488596,-0.0041172877,0.3911972,-0.36110762,-0.248788,-0.4225453,-0.7029815,0.006071016,-0.078212194,0.5928692,0.27857533,0.08246529,0.44091582,0.065622345,0.30138582,0.19447225,0.0435864,-0.5973606,-0.36089694,-0.11930479,0.27514273,0.36261302,0.4447393,-0.38653564,-0.024581984,-0.46620834,-0.2702099,0.37974766,-0.035630733,0.3301253,0.21761367,0.21833885,0.36760268,0.56257266,0.12325929,0.04834345,-0.5628108,0.25116193,0.093716934,-0.76102245,-0.19521312,0.24000613,0.047656365,0.23439322,0.29936087,0.21526393,0.48803115,-0.28713232,0.1566127,0.1117376,0.38060462,0.6430899,0.18985975,-0.78863066,0.1765415,-0.14748752,-0.602514,-0.823635,-0.14202932,-0.42850012,-0.45373666,0.1518841,0.52889645,0.13547593,-0.11501559,-0.21176966,-0.9358502,0.32204783,0.5631269,0.38376933,-0.21614753,0.3087545,-0.5636419,-0.08415731,-0.2433573,0.3572238,0.32294407,-0.49239707,0.58953255,0.22365259,-0.3706241,-0.03719162,-0.18724659,0.20971805,0.16203085,0.12631968,-0.21457162,-0.33566758,0.27477103,0.10938361,0.3998732,-0.019597922,-0.0665554,-0.13157444,0.5207013,-0.2960144,-0.4866755,-0.51176435,0.40278593,-0.010707146,0.31942576,-0.30779842,0.002564434,-0.058953423,-0.12135658,-0.50567245,0.14913206,-0.26938727,-0.11493229,0.33988225
0,-0.069276646,-0.032177813,0.07151721,0.015380625,-0.113081746,0.019529406,-0.113178134,-0.054069154,0.00097231194,-0.045488816,-0.045606315,0.039976276,-0.04402846,-0.07285267,-0.014989229,-0.03894421,-0.07280737,-0.007904306,-0.007592112,-0.04712655,-0.0036918595,0.015851174,0.08848716,0.04163259,-0.12900153,0.010107476,0.03319477,-0.061916992,0.0346153,0.12101562,0.06255504,0.014001764,-0.053863913,-0.054971714,0.10221554,-0.049761146,-0.06371549,-0.027159858,0.076377265,-0.04103989,0.0890231,0.02363816,0.023951408,-0.088993,0.035485037,0.02486764,0.06977354,0.015614278,0.13089249,0.011917181,-0.036168784,0.09348792,-0.10145293,-0.013536289,-0.1216725,0.0032018088,0.0063586086,-0.08121376,0.086342126,-0.0245592,-0.030007236,0.04211934,-0.058865704,0.031562753,0.014491428,0.013411198,-0.076720126,0.031003954,0.106368884,0.09908797,0.0003124103,0.004342478,-0.0060192775,0.091244675,0.054584026,0.013147547,-0.11812912,0.013665192,0.002764199,-0.0010953038,0.10554617,0.04250804,0.08464252,0.034668088,-0.030476036,0.0019087456,-0.0083771795,-0.011614991,-0.12556116,-0.015658934,-0.07101797,-0.057467893,0.00013656914,-0.07369643,-0.08396885,-0.09231047,0.05383002,-0.027071599,-0.015576176,0.07427471,0.0041423263,0.074422315,-0.015227758,-0.09115816,-0.09425062,-0.061821945,0.02620703,-0.08719368,0.07434498,-0.07277329,0.08786875,0.043604486,0.005309075,0.013542058,-0.06481318,0.02565562,-0.04865764,-0.00637649,-0.019264013,0.00533293,0.01729773,-0.054763153,-0.076502495,0.032151986,-0.07051554,0.051696006,0.11035753,-0.0048636794
0,-0.04754559,-0.050276957,0.04945016,0.037206296,-0.09714555,0.027421579,-0.08467491,-0.0141647,-0.016764907,-0.0743444,-0.032539614,0.03892165,-0.039627872,-0.070045665,0.013878395,-0.012769492,-0.08417186,-0.0062297843,0.011378206,-0.050956354,-0.0248316,0.036745902,0.11724629,0.054599244,-0.09716521,0.012126539,0.038315218,-0.10028702,0.021834686,0.115636975,0.040396992,0.009353451,-0.08457046,-0.075393006,0.105842546,-0.0028985552,-0.042195715,-0.03015839,0.06783043,-0.06253988,0.06601009,0.04579217,0.025811672,-0.07573638,0.048068784,-0.0017157011,0.07944153,0.01068052,0.12566838,0.001063291,-0.068774804,0.06660051,-0.11553244,-0.0065428875,-0.09868016,-0.022617001,-0.010095056,-0.04462358,0.0997214,-0.041856065,-0.025641713,0.026262522,-0.07964699,0.030839596,-0.0073625334,0.01618965,-0.09104038,0.02261543,0.083084255,0.07370494,-0.0003554821,0.05933516,-0.019320613,0.108100876,0.08852662,0.06898703,-0.122097895,0.054951105,0.024364877,-0.0075440393,0.0874423,0.04364175,0.098939635,0.042142935,0.026190309,-0.014899932,-0.037010863,-0.0323138,-0.14257948,-0.03338302,-0.04852689,-0.072278954,0.012214214,-0.09582806,-0.1069502,-0.07782167,0.031192642,-0.049348537,0.013940011,0.08168429,0.028828211,0.06444645,-0.023663424,-0.11160659,-0.08874629,-0.056387182,0.010643695,-0.09177438,0.054760393,-0.07177709,0.093155265,0.059939515,-0.03343176,0.03199035,-0.046742316,0.057977177,-0.07567284,-0.0045286566,-0.045124102,0.022249887,0.020991575,-0.066034,-0.06490259,0.055867054,-0.08348757,0.068766326,0.115861066,-0.02409311
1,-0.49567738,0.39890876,0.6193532,-0.4505785,-0.64283085,-0.21665937,-0.74856997,-0.9922316,0.40857548,0.60681105,-0.17650472,0.013274316,-0.2753672,-0.043333434,-0.8740366,-0.66655743,0.27476907,0.12734236,-0.037073623,0.0076322183,0.51726997,-0.48607284,-0.35057744,-0.5751198,-0.8896334,0.008651137,-0.11703714,0.7988329,0.35911188,0.0690285,0.56235045,0.08094537,0.4117024,0.2688625,0.029727224,-0.7675493,-0.45607826,-0.15418217,0.3397501,0.4914543,0.55724806,-0.51557755,-0.041917622,-0.5894775,-0.36618355,0.4905446,-0.07042569,0.43215147,0.24664904,0.28863627,0.49361247,0.71236485,0.19203497,0.07106905,-0.7041573,0.3232741,0.11496197,-0.9808694,-0.2854511,0.32355654,0.07635859,0.29093462,0.4108907,0.2788247,0.6394536,-0.38913238,0.23096994,0.13743724,0.46891877,0.8193911,0.24724525,-1.0408673,0.23229401,-0.21977213,-0.81108105,-1.0850687,-0.1519543,-0.5698463,-0.6032009,0.20175087,0.6667421,0.1673817,-0.17428488,-0.29351777,-1.2241108,0.42815802,0.7502299,0.51104784,-0.25152016,0.41698706,-0.72316647,-0.09636148,-0.31961742,0.4940052,0.45192242,-0.626945,0.7653379,0.301602,-0.48280933,-0.072170466,-0.23996212,0.25329584,0.21888839,0.1951212,-0.25469774,-0.42457566,0.35166764,0.1714132,0.50136393,-0.0027931854,-0.11288967,-0.18240736,0.67924166,-0.39596128,-0.6201823,-0.68457973,0.5448296,-0.012444392,0.42641985,-0.4059126,0.0023462288,-0.061543334,-0.13393635,-0.6798516,0.21538201,-0.36902732,-0.18746886,0.44831374
0,-0.04956886,-0.04870157,0.048321053,0.034633428,-0.095530435,0.024731308,-0.08492928,-0.015934486,-0.0145404115,-0.075398214,-0.031990964,0.03955164,-0.03882233,-0.06867074,0.014214097,-0.011681262,-0.082922734,-0.004795149,0.009318598,-0.04976925,-0.02504627,0.037189633,0.11533982,0.055247776,-0.096750736,0.010169979,0.037855383,-0.09736909,0.018141847,0.117221296,0.039044194,0.011391621,-0.08412359,-0.072698295,0.10419105,-0.006822288,-0.044088498,-0.02800861,0.06891513,-0.060454104,0.0654292,0.045031592,0.022328328,-0.07610443,0.04500389,0.0011601113,0.08152017,0.012241523,0.123110645,0.0003021881,-0.06733323,0.0656543,-0.11267039,-0.007597862,-0.10080738,-0.020987762,-0.007872455,-0.043558545,0.101244465,-0.04265267,-0.028458394,0.030134305,-0.07706688,0.028861716,-0.0069855694,0.01790359,-0.09010297,0.022275135,0.083996445,0.07372826,0.004325308,0.058063038,-0.01668903,0.105875716,0.08802087,0.06376333,-0.12017382,0.05499512,0.026070086,-0.0072077764,0.085899636,0.041511863,0.09634359,0.04157728,0.024816202,-0.01632867,-0.037819177,-0.030941302,-0.14069775,-0.035179656,-0.046849117,-0.07105473,0.011501446,-0.09417754,-0.104761675,-0.07499285,0.032017693,-0.04817878,0.013165105,0.081650876,0.025331177,0.06336333,-0.02089671,-0.10962114,-0.0890954,-0.057093535,0.012769686,-0.091367066,0.05571285,-0.07113002,0.09094902,0.05790575,-0.0329873,0.030720226,-0.04891108,0.05796178,-0.0749474,-0.0042604897,-0.044182412,0.021142634,0.0183301,-0.063810065,-0.066064276,0.058216386,-0.08184107,0.067775294,0.11462507,-0.02273044
1,-0.21100254,0.109800935,0.25361615,-0.13784394,-0.29169556,-0.05793814,-0.325371,-0.36427736,0.13605088,0.1678004,-0.08872698,0.030860242,-0.121931635,-0.06258675,-0.29448828,-0.24932505,0.04251845,0.03389249,-0.017759368,-0.030504644,0.1676289,-0.15156373,-0.052490555,-0.16480608,-0.37643582,0.010348119,-0.013544353,0.21880862,0.1423172,0.10270086,0.23150155,0.038241588,0.099017076,0.051927693,0.0802208,-0.28806797,-0.19414258,-0.06849128,0.16131562,0.1364775,0.24322967,-0.15669696,0.002702034,-0.25439173,-0.09721859,0.18163855,0.018402245,0.15079251,0.16855352,0.104549564,0.14076865,0.29686248,-0.005462058,0.014791612,-0.31667948,0.112403154,0.0448985,-0.37803844,-0.036088176,0.09131482,0.0053571016,0.12351784,0.09571192,0.10875475,0.21993724,-0.119725525,0.026511155,0.06416878,0.22558308,0.34123564,0.07901873,-0.3416487,0.074822605,-0.010923989,-0.23013078,-0.3536022,-0.12985511,-0.18119732,-0.19516945,0.06611802,0.28987968,0.083603114,-0.0024262965,-0.07335841,-0.424277,0.14394961,0.24003379,0.1650464,-0.16617884,0.12652594,-0.28587177,-0.07286559,-0.10558218,0.116191775,0.096803896,-0.2686385,0.29020745,0.08628929,-0.17085078,0.02528844,-0.078850746,0.13727663,0.062067207,0.0045198426,-0.14678866,-0.18187106,0.13351308,-0.005838245,0.21567693,-0.049494456,0.022728965,-0.032154314,0.23241451,-0.123691715,-0.24464497,-0.2097987,0.14671902,-0.0108067,0.12837917,-0.13395184,0.013302807,-0.0540321,-0.09484249,-0.20362094,0.02270472,-0.08806671,0.011174496,0.1460402
0,-0.26140043,0.16158263,0.32168284,-0.1969025,-0.3437991,-0.088192426,-0.40029195,-0.47564209,0.18227601,0.2479118,-0.10661362,0.030115306,-0.15102541,-0.059669502,-0.39613113,-0.31616282,0.082054034,0.054494023,-0.033908166,-0.022371355,0.22936921,-0.2033858,-0.12031671,-0.22701173,-0.4639507,0.0037390366,-0.028216163,0.32928157,0.17720623,0.098342985,0.28701085,0.047398534,0.16121057,0.0994683,0.063109085,-0.38402176,-0.2421312,-0.07320098,0.19276014,0.19730493,0.3021964,-0.22024174,-0.0047121467,-0.30983704,-0.1462869,0.24106166,0.0072159357,0.19584502,0.18101281,0.13024889,0.20801106,0.36997268,0.03523308,0.01770446,-0.3819907,0.15956467,0.06735088,-0.48222023,-0.0783755,0.13269968,0.010568202,0.16185533,0.15893528,0.13437276,0.29399908,-0.15432459,0.06318209,0.079993084,0.27078968,0.42059207,0.1121627,-0.4700758,0.10765203,-0.055233635,-0.33609715,-0.49272135,-0.12945616,-0.25258812,-0.2633969,0.087328546,0.3538758,0.09473618,-0.039619282,-0.107113875,-0.56997555,0.1882065,0.32498914,0.22332262,-0.16720219,0.17155227,-0.36019436,-0.06717244,-0.145255,0.18373667,0.15765432,-0.3211683,0.36666742,0.12727307,-0.23027119,0.007110223,-0.12024797,0.15491287,0.08981793,0.040498488,-0.16566807,-0.22071639,0.17725338,0.02715743,0.26974332,-0.042000968,-0.0034773126,-0.06653982,0.32125556,-0.17067125,-0.31356812,-0.2936418,0.2222334,-0.008434942,0.18630004,-0.18291226,0.004490543,-0.053525392,-0.10850656,-0.2825476,0.06285382,-0.14196248,-0.021191016,0.20047864
1,-0.30738363,0.20893663,0.3773637,-0.24401623,-0.4074504,-0.11360948,-0.46669137,-0.57699525,0.22753687,0.3164056,-0.118249476,0.026232418,-0.17356747,-0.055058084,-0.49236265,-0.38706917,0.12116596,0.068480544,-0.027011424,-0.01664044,0.285169,-0.26193872,-0.15724334,-0.30035532,-0.5498089,0.007205233,-0.048280768,0.41887745,0.21249223,0.09135756,0.34056336,0.052519493,0.20581308,0.12760422,0.060629863,-0.45260003,-0.28349283,-0.09412877,0.22265926,0.2559451,0.34963578,-0.2771272,-0.014261567,-0.3673504,-0.18983321,0.28676638,-0.007958382,0.24607424,0.1925588,0.16508132,0.26123282,0.43643343,0.063722104,0.031305812,-0.44636104,0.18401013,0.07038653,-0.58021307,-0.11956005,0.16865389,0.027154759,0.18302214,0.20556572,0.16669026,0.36225855,-0.20712629,0.095702596,0.08923632,0.30863795,0.50097585,0.14013395,-0.57806164,0.12985696,-0.084503524,-0.4276228,-0.60287225,-0.13566786,-0.31087908,-0.332614,0.11148153,0.41643846,0.11027869,-0.061760046,-0.14792237,-0.6948967,0.23765498,0.4118905,0.2809731,-0.19299923,0.22290356,-0.43256932,-0.0788196,-0.17872718,0.2444021,0.2161119,-0.3865753,0.44849283,0.15819876,-0.27637383,-0.006935265,-0.13597573,0.1747017,0.116425425,0.0694601,-0.18326932,-0.26384372,0.20891657,0.056774747,0.31330094,-0.033780668,-0.023961104,-0.08411333,0.38380417,-0.2147721,-0.37397024,-0.36924016,0.28252503,-0.00905047,0.23028542,-0.22569653,0.0069513135,-0.055958007,-0.11021583,-0.36133507,0.09000015,-0.18403621,-0.055499993,0.24863231
0,-0.04352054,-0.052192584,0.046490334,0.040693685,-0.09480241,0.032598052,-0.08816557,-0.011651321,-0.016327683,-0.07433678,-0.028418638,0.037465215,-0.039137,-0.06852838,0.011096038,-0.012451973,-0.09071484,-0.004241705,0.018594857,-0.049092762,-0.02098371,0.036426082,0.12290436,0.053493008,-0.09756143,0.015461508,0.038283594,-0.10446743,0.026674844,0.11659053,0.04020665,0.0060466453,-0.08734302,-0.078694455,0.10496558,0.0077987574,-0.03772892,-0.036591046,0.06484367,-0.06528118,0.06628462,0.046936102,0.032360718,-0.075464986,0.05366629,-0.0046174414,0.08183093,0.014074127,0.12919065,0.0027207257,-0.07112705,0.06969276,-0.12147332,-0.0008266568,-0.10598498,-0.02412906,-0.014151026,-0.04383814,0.1011817,-0.0417142,-0.023636743,0.025601085,-0.08286067,0.031608816,-0.009563124,0.01479432,-0.09267635,0.019772166,0.08452053,0.07048137,-0.002850026,0.064593986,-0.02407707,0.11873139,0.092875056,0.07977165,-0.12751956,0.056330204,0.023191653,-0.009683305,0.08979635,0.05032229,0.10132794,0.045766696,0.028116802,-0.014367815,-0.036550995,-0.03936186,-0.15381882,-0.03424245,-0.046643987,-0.07567691,0.017209686,-0.098311245,-0.10687388,-0.07743195,0.02841292,-0.055886634,0.016427523,0.07817919,0.04319953,0.06725943,-0.02138496,-0.11254014,-0.08481255,-0.05786734,0.011715759,-0.09130024,0.052709952,-0.07404027,0.09225157,0.06788638,-0.0432209,0.040309545,-0.04545046,0.062228,-0.079663545,-0.0036236085,-0.05059591,0.027440323,0.021973584,-0.065241575,-0.059799764,0.051618867,-0.08940421,0.067924306,0.11684886,-0.025065772
1,-0.42276183,0.32564497,0.52594626,-0.37208778,-0.5493828,-0.1759794,-0.63952935,-0.83043635,0.33827597,0.4950878,-0.15426841,0.018045302,-0.2371957,-0.047965936,-0.7268545,-0.5574831,0.21404395,0.105599925,-0.034467634,-0.00016785413,0.4285496,-0.39808127,-0.27764168,-0.467606,-0.7587555,0.0073275045,-0.090347335,0.65310913,0.30222654,0.0786908,0.47649065,0.070011206,0.33376175,0.21585324,0.03982052,-0.64613867,-0.38815546,-0.1307475,0.2939607,0.40062082,0.47729206,-0.42419568,-0.029629,-0.5023286,-0.29858744,0.41138795,-0.045373097,0.3612099,0.22620977,0.23930049,0.40399855,0.60722286,0.14317174,0.055900633,-0.6044451,0.27125978,0.09859569,-0.82555616,-0.22201614,0.26472312,0.056394383,0.25047296,0.33134365,0.23454572,0.5324998,-0.3182409,0.17782748,0.119043656,0.40568158,0.6942938,0.20767987,-0.86197394,0.19183832,-0.16835737,-0.6637174,-0.89886075,-0.14498508,-0.4694216,-0.49779636,0.16684899,0.56911254,0.14478987,-0.13175783,-0.23634142,-1.0200542,0.35343942,0.6185738,0.42099482,-0.2280196,0.3411765,-0.6107895,-0.08801801,-0.2656551,0.39698672,0.36085004,-0.53272647,0.64133996,0.24556853,-0.4026888,-0.047472622,-0.20172332,0.22217311,0.17831379,0.14585909,-0.22574167,-0.36190858,0.29705885,0.12835392,0.42955753,-0.014424,-0.08046316,-0.14590128,0.5656568,-0.3247086,-0.52659416,-0.56222075,0.44394884,-0.011199502,0.34975836,-0.3360093,0.0025639944,-0.060381774,-0.12430473,-0.5569644,0.16827402,-0.29804698,-0.13630804,0.37151185
