label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
1,0.06902501,0.9306998,0.21157897,-0.05634842,0.3323462,0.4495834,-0.6454593,0.9965515,0.22985974,-0.8021236,-0.50952494,0.15057015,0.7410429,-0.41265845,-0.5249386,-0.12580398,0.03236265,0.7566241,0.5992884,0.041903466,0.29991987,-0.20928483,0.40642762,-0.60493624,0.3202432,-0.35048765,0.020361874,0.67133415,-0.0022221357,0.43789476,-0.79962456,-0.42259708,0.5414169,0.37336835,0.6501641,-0.44280887,0.6804961,-0.4311028,0.12645519,-0.40002263,0.13083653,-0.29080495,-0.39693388,-0.01880382,0.30242506,0.6718366,0.0058009066,0.4701365,0.446933,0.35730508,0.3189094,0.17694089,-0.9915847,0.27345598,-0.35245135,0.063709125,-0.4650081,-0.025539864,0.33072498,0.29924023,0.1857502,0.08998051,-0.25895894,-0.8453931
0,-0.10357271,0.14193901,-0.039440498,-0.117687955,-0.05531398,-0.019144744,0.017759115,0.15072119,-0.07362819,-0.022236051,-0.16611335,-0.08176226,-0.03875883,0.07517397,0.117945954,0.15680803,-0.012287562,-0.0340764,-0.060610045,-0.058948442,-0.022721112,0.039984692,-0.014686046,0.11847789,-0.011680691,-0.072458446,0.031750016,0.083639055,0.11267008,-0.010966159,-0.014965655,0.038713392,0.14932185,-0.050318427,0.12499051,0.05023214,0.017601147,0.07890315,0.12730242,0.11042152,0.0049188384,-0.09226238,0.118292585,-0.1210656,0.1290572,-0.039420754,0.03185507,0.076751836,0.025985291,-0.018596014,0.051650353,0.103813745,0.093734115,-0.027400443,-0.012570597,-0.001165079,0.0038124993,-0.05769123,-0.010246523,-0.03036905,-0.093157694,0.03478484,0.11387934,-0.050058197
0,-0.10201202,0.12966916,-0.041163523,-0.119831845,-0.07001889,-0.04246898,0.06512228,0.11294086,-0.08409618,0.019694144,-0.14896123,-0.10595883,-0.061406545,0.10107901,0.14253505,0.1615391,-0.02095434,-0.07859102,-0.08723501,-0.06324016,-0.027349282,0.04464978,-0.021968514,0.14895071,-0.03069159,-0.06949204,0.026502674,0.057388004,0.11021991,-0.028669832,0.019191189,0.06388001,0.14136896,-0.04554963,0.10382162,0.0715964,-0.003960997,0.08891047,0.12368114,0.13867047,0.014276391,-0.07235283,0.12712051,-0.13444519,0.11352313,-0.06683287,0.05519498,0.04812316,0.0019051265,-0.024565985,0.03197214,0.10901244,0.14564306,-0.031326223,5.144626e-06,-0.002573479,0.028905313,-0.056455787,-0.0382307,-0.041674923,-0.111100554,0.022142027,0.11906495,-0.012869537
1,0.12559253,1.2161548,0.30231118,-0.038016394,0.46572745,0.6081291,-0.8647541,1.2910539,0.3368294,-1.0690535,-0.63146,0.22753301,1.0110198,-0.5780788,-0.74291205,-0.22199616,0.048902456,1.0300616,0.83007973,0.070371106,0.41363978,-0.2956225,0.5514197,-0.85506654,0.42887878,-0.4458011,0.015823636,0.8768504,-0.041711316,0.5932801,-1.0692141,-0.5815389,0.68044597,0.5280106,0.8368285,-0.60954213,0.9180248,-0.6098455,0.13106284,-0.5726097,0.17699605,-0.35362226,-0.5810797,0.017516926,0.36150151,0.9197993,0.008050401,0.60244054,0.59311295,0.48758623,0.40614185,0.20614094,-1.3614264,0.37675655,-0.4758789,0.08343291,-0.62481916,-0.019445676,0.4434491,0.41458482,0.2755192,0.10329421,-0.3883381,-1.1240038
0,-0.097797625,0.12653929,-0.044903822,-0.12158135,-0.068477236,-0.042215854,0.061032973,0.11218366,-0.08491967,0.01633138,-0.14642802,-0.10517491,-0.057678595,0.09726148,0.13855371,0.16216852,-0.019344926,-0.0778521,-0.0852162,-0.062267475,-0.02688425,0.045382906,-0.02093159,0.1485264,-0.03258309,-0.06873903,0.02437082,0.055870727,0.11189782,-0.026464917,0.015027391,0.063549444,0.14042206,-0.0474766,0.10369783,0.069458604,-0.00728352,0.09057178,0.12310687,0.13538523,0.015507126,-0.07434836,0.12850732,-0.13571385,0.112121366,-0.063293464,0.052473295,0.046798885,0.0021980498,-0.022793336,0.03586656,0.11055335,0.14173579,-0.029664857,0.0016410537,-0.0008639898,0.027606383,-0.056407325,-0.03683725,-0.04199204,-0.107836865,0.023382574,0.11667867,-0.014082868
1,-0.031483226,0.51345634,0.08698472,-0.09350602,0.12480693,0.19881713,-0.29646724,0.56082714,0.06299009,-0.39464107,-0.33162662,0.03165099,0.32832742,-0.1634703,-0.18735583,0.023526229,0.009519781,0.3389886,0.2515853,-0.010808693,0.1206552,-0.08143246,0.18369888,-0.21410048,0.14891696,-0.20644102,0.024463426,0.3670205,0.06044419,0.20229596,-0.38242853,-0.1788786,0.33055884,0.14905718,0.37835512,-0.18538284,0.33965012,-0.15855478,0.12677294,-0.12828109,0.056251954,-0.18732044,-0.11922967,-0.0693744,0.22011244,0.2973674,0.019965123,0.25740975,0.22787935,0.15696378,0.17647459,0.13923275,-0.4211208,0.10889728,-0.17650728,0.029505022,-0.21947162,-0.046242762,0.15504864,0.12494901,0.035920553,0.065799005,-0.062460624,-0.43293554
0,-0.0064299796,0.5749092,0.09653594,-0.08080757,0.16378117,0.25332177,-0.37216067,0.6332153,0.09553973,-0.47047102,-0.3622539,0.057098016,0.4007068,-0.20387053,-0.24951608,-0.0031184852,0.015177588,0.41791144,0.31026942,0.0052928086,0.15339217,-0.10150805,0.22268692,-0.2913704,0.18543163,-0.23152404,0.025334377,0.41892576,0.048226565,0.24196105,-0.45868498,-0.22785473,0.36786568,0.18267718,0.4188967,-0.23143172,0.38706648,-0.20580891,0.12323254,-0.18358645,0.06657192,-0.21313153,-0.16661611,-0.05853039,0.23182586,0.36242852,0.0041388087,0.3069563,0.26645452,0.19342615,0.20957279,0.14133883,-0.526651,0.14293304,-0.20161283,0.03682883,-0.26540533,-0.03461835,0.19361009,0.1590062,0.074205905,0.071850374,-0.09481711,-0.50110835
1,0.019840827,0.7221515,0.147614,-0.074583955,0.22801036,0.32440794,-0.46909803,0.77574027,0.14704579,-0.59651715,-0.41945097,0.08970791,0.5342124,-0.28635356,-0.35452488,-0.051460505,0.02180076,0.5474671,0.425088,0.014823554,0.21138814,-0.14352213,0.2951452,-0.40988004,0.23239578,-0.2774266,0.02226131,0.5162875,0.028070658,0.31891453,-0.5915664,-0.30083716,0.4367357,0.2626952,0.51423526,-0.3125991,0.50815094,-0.2950035,0.12690666,-0.2635729,0.09560163,-0.23766677,-0.25901106,-0.044384338,0.25812,0.48488128,0.014746841,0.3636484,0.33606386,0.25809753,0.24758476,0.15890262,-0.7046444,0.1918521,-0.26453543,0.04544464,-0.34096393,-0.036122967,0.24100439,0.21254496,0.110678986,0.07631169,-0.16264668,-0.6369422
0,-0.09265471,0.13669628,-0.047218353,-0.11773816,-0.06540775,-0.04985825,0.06662875,0.1064208,-0.07959945,0.012540361,-0.1434424,-0.110282004,-0.05640501,0.102421224,0.14748,0.16438271,-0.01656985,-0.078941755,-0.0758965,-0.07064554,-0.014882036,0.047247235,-0.024210963,0.14950292,-0.039586645,-0.064110145,0.030517686,0.048957966,0.11499374,-0.023285298,0.014757635,0.07054053,0.13409746,-0.056203917,0.1040575,0.06505541,-0.006663069,0.09502214,0.1332568,0.13786499,0.022502145,-0.074402645,0.12894452,-0.14495699,0.10212587,-0.07094443,0.0480961,0.041158535,0.010863861,-0.03336262,0.036659814,0.10768695,0.1405611,-0.035063848,-0.0016584285,0.0018645395,0.030339725,-0.059999865,-0.042973705,-0.046614796,-0.11121815,0.0275825,0.113634974,-0.004973229
1,0.0858164,1.0172335,0.24020344,-0.050925564,0.37219524,0.49581295,-0.7093104,1.0840714,0.2624358,-0.8808957,-0.54676276,0.17329434,0.8219218,-0.46167672,-0.58955896,-0.15438518,0.03763243,0.8380269,0.66904384,0.049381927,0.33503875,-0.23447631,0.44987947,-0.67863923,0.35132617,-0.3788802,0.01849613,0.7325357,-0.014363602,0.48434508,-0.8806104,-0.46988794,0.5830133,0.41997683,0.70672286,-0.4924066,0.75152147,-0.48531553,0.12875424,-0.4502976,0.14647222,-0.30895555,-0.45268866,-0.007991858,0.31945726,0.7463417,0.0077485032,0.50845903,0.49014974,0.39623186,0.34362203,0.18610168,-1.102562,0.3033735,-0.38913465,0.069491446,-0.5120161,-0.024746288,0.3624825,0.33326712,0.21143447,0.09317185,-0.29837087,-0.9283754
