 dataset,method,dim,n_graphs,epochs,batch_size,lr,weight_decay,fit_time_s,embed_time_s,total_time_s,val_acc,test_acc,peak_tracemalloc_mb,rss_before_mb,rss_after_mb,device,test_f1_macro,test_f1_micro,test_auc_macro,test_auc_micro
MUTAG,GIN,64,188,40,32,0.001,0.0,4.3272,0.0258,4.353,0.8947,0.6316,0.25,1398.58,1398.58,cuda,0.6145,0.6316,0.6905,0.6905
MUTAG,GIN,64,188,40,32,0.0005,0.0,4.2795,0.0257,4.3053,0.8947,0.6316,0.29,1399.31,1399.31,cuda,0.6145,0.6316,0.6905,0.6905
MUTAG,GIN,64,188,100,32,0.001,0.0,10.5551,0.0255,10.5806,0.8947,0.6316,0.28,1399.33,1399.33,cuda,0.6145,0.6316,0.6905,0.6905
MUTAG,GIN,64,188,100,32,0.0005,0.0,10.5367,0.0255,10.5622,0.8947,0.6316,0.26,1399.34,1399.34,cuda,0.6145,0.6316,0.6905,0.6905
MUTAG,GIN,64,188,40,64,0.001,0.0,3.4194,0.0169,3.4363,0.8421,0.6316,0.19,1399.34,1399.34,cuda,0.6145,0.6316,0.6667,0.6667
MUTAG,GIN,64,188,40,64,0.0005,0.0,3.4474,0.0166,3.4639,0.8421,0.6316,0.19,1399.34,1399.34,cuda,0.6145,0.6316,0.6786,0.6786
MUTAG,GIN,64,188,100,64,0.001,0.0,8.5354,0.0174,8.5528,0.8947,0.6316,0.21,1399.36,1399.36,cuda,0.6145,0.6316,0.7619,0.7619
MUTAG,GIN,64,188,100,64,0.0005,0.0,8.5279,0.0168,8.5447,0.8421,0.6316,0.2,1399.36,1399.36,cuda,0.6145,0.6316,0.6786,0.6786
MUTAG,GIN,128,188,40,32,0.001,0.0,4.2286,0.0252,4.2539,0.8947,0.6316,0.27,1399.36,1399.36,cuda,0.6145,0.6316,0.7738,0.7738
MUTAG,GIN,128,188,40,32,0.0005,0.0,4.2018,0.0254,4.2272,0.8947,0.6316,0.26,1400.09,1400.09,cuda,0.6145,0.6316,0.6905,0.6905
MUTAG,GIN,128,188,100,32,0.001,0.0,10.5795,0.0254,10.6049,0.8947,0.6842,0.27,1400.11,1400.11,cuda,0.6761,0.6842,0.7738,0.7738
MUTAG,GIN,128,188,100,32,0.0005,0.0,10.4539,0.0255,10.4794,0.8947,0.6316,0.26,1400.11,1400.11,cuda,0.6145,0.6316,0.6905,0.6905
MUTAG,GIN,128,188,40,64,0.001,0.0,3.4579,0.0168,3.4748,0.8421,0.6316,0.19,1400.11,1400.11,cuda,0.6145,0.6316,0.6786,0.6786
MUTAG,GIN,128,188,40,64,0.0005,0.0,3.4099,0.0166,3.4265,0.8947,0.6316,0.19,1400.11,1400.11,cuda,0.6145,0.6316,0.6786,0.6786
MUTAG,GIN,128,188,100,64,0.001,0.0,8.5948,0.0169,8.6117,0.8947,0.7895,0.2,1400.86,1400.86,cuda,0.7841,0.7895,0.8929,0.8929
MUTAG,GIN,128,188,100,64,0.0005,0.0,8.6899,0.017,8.7069,0.8947,0.6316,0.19,1400.86,1400.86,cuda,0.6145,0.6316,0.6786,0.6786
MUTAG,GIN,256,188,40,32,0.001,0.0,4.202,0.0252,4.2272,0.8947,0.6316,0.26,1400.86,1400.86,cuda,0.6145,0.6316,0.6429,0.6429
MUTAG,GIN,256,188,40,32,0.0005,0.0,4.2154,0.0255,4.2408,0.8947,0.6316,0.26,1401.58,1401.58,cuda,0.6145,0.6316,0.7143,0.7143
MUTAG,GIN,256,188,100,32,0.001,0.0,10.6299,0.0258,10.6557,0.8947,0.6316,0.27,1401.6,1401.6,cuda,0.6145,0.6316,0.6667,0.6667
MUTAG,GIN,256,188,100,32,0.0005,0.0,10.5803,0.0253,10.6056,0.8947,0.6316,0.26,1401.6,1401.6,cuda,0.6145,0.6316,0.7738,0.7738
MUTAG,GIN,256,188,40,64,0.001,0.0,3.7562,0.0174,3.7736,0.8947,0.6316,0.25,1401.6,1401.6,cuda,0.6145,0.6316,0.6548,0.6548
MUTAG,GIN,256,188,40,64,0.0005,0.0,3.5384,0.0168,3.5553,0.8947,0.6316,0.21,1401.85,1401.85,cuda,0.6145,0.6316,0.7619,0.7619
MUTAG,GIN,256,188,100,64,0.001,0.0,8.5435,0.0171,8.5605,0.8947,0.6316,0.21,1401.85,1401.85,cuda,0.6145,0.6316,0.6429,0.6429
MUTAG,GIN,256,188,100,64,0.0005,0.0,8.671,0.0179,8.6889,0.8947,0.6316,0.2,1401.85,1401.85,cuda,0.6145,0.6316,0.7619,0.7619
ENZYMES,GIN,64,600,40,32,0.001,0.0,11.157,0.0821,11.2391,0.3333,0.2667,0.29,1401.92,1401.92,cuda,0.2082,0.2667,0.6707,0.6672
ENZYMES,GIN,64,600,40,32,0.0005,0.0,11.0592,0.0809,11.1401,0.3333,0.3,0.29,1401.92,1401.92,cuda,0.2385,0.3,0.712,0.6936
ENZYMES,GIN,64,600,100,32,0.001,0.0,27.6475,0.0786,27.7261,0.3333,0.3667,0.29,1401.92,1401.92,cuda,0.3407,0.3667,0.711,0.6936
ENZYMES,GIN,64,600,100,32,0.0005,0.0,27.7816,0.08,27.8615,0.3167,0.3167,0.28,1401.92,1401.92,cuda,0.2568,0.3167,0.7117,0.6975
ENZYMES,GIN,64,600,40,64,0.001,0.0,8.3087,0.0551,8.3638,0.3167,0.2333,0.2,1401.92,1401.92,cuda,0.2049,0.2333,0.6673,0.6749
ENZYMES,GIN,64,600,40,64,0.0005,0.0,8.333,0.0542,8.3872,0.3333,0.3,0.2,1401.92,1401.92,cuda,0.2332,0.3,0.663,0.6752
ENZYMES,GIN,64,600,100,64,0.001,0.0,20.9108,0.0542,20.965,0.3333,0.3167,0.21,1401.92,1401.92,cuda,0.3099,0.3167,0.6593,0.6535
ENZYMES,GIN,64,600,100,64,0.0005,0.0,20.6259,0.0544,20.6803,0.3333,0.3333,0.21,1401.92,1401.92,cuda,0.2603,0.3333,0.677,0.6871
ENZYMES,GIN,128,600,40,32,0.001,0.0,11.2041,0.0811,11.2852,0.3333,0.2833,0.29,1401.92,1401.92,cuda,0.2122,0.2833,0.674,0.6448
ENZYMES,GIN,128,600,40,32,0.0005,0.0,11.2037,0.0778,11.2815,0.3667,0.3833,0.28,1403.58,1403.58,cuda,0.3388,0.3833,0.6773,0.686
ENZYMES,GIN,128,600,100,32,0.001,0.0,27.9467,0.0792,28.0259,0.35,0.3,0.29,1403.92,1403.92,cuda,0.2744,0.3,0.68,0.6542
ENZYMES,GIN,128,600,100,32,0.0005,0.0,27.6436,0.0791,27.7227,0.3667,0.35,0.28,1403.93,1403.93,cuda,0.285,0.35,0.696,0.679
ENZYMES,GIN,128,600,40,64,0.001,0.0,8.363,0.0543,8.4174,0.3833,0.4167,0.21,1403.93,1403.93,cuda,0.3734,0.4167,0.664,0.6634
ENZYMES,GIN,128,600,40,64,0.0005,0.0,8.2772,0.0533,8.3305,0.3833,0.3833,0.21,1403.93,1403.93,cuda,0.3448,0.3833,0.6503,0.6807
ENZYMES,GIN,128,600,100,64,0.001,0.0,20.895,0.0552,20.9502,0.4,0.4,0.22,1403.93,1403.93,cuda,0.3623,0.4,0.7473,0.7412
ENZYMES,GIN,128,600,100,64,0.0005,0.0,20.8675,0.0541,20.9216,0.3333,0.3167,0.21,1403.93,1403.93,cuda,0.2493,0.3167,0.6427,0.6436
ENZYMES,GIN,256,600,40,32,0.001,0.0,11.2537,0.0804,11.3341,0.2833,0.2333,0.29,1403.93,1403.93,cuda,0.1731,0.2333,0.5867,0.6122
ENZYMES,GIN,256,600,40,32,0.0005,0.0,11.5922,0.0801,11.6723,0.35,0.35,0.34,1404.93,1404.93,cuda,0.2944,0.35,0.655,0.6471
ENZYMES,GIN,256,600,100,32,0.001,0.0,28.3874,0.0802,28.4676,0.3167,0.2333,0.37,1404.93,1404.93,cuda,0.1915,0.2333,0.6603,0.6568
ENZYMES,GIN,256,600,100,32,0.0005,0.0,27.7718,0.08,27.8518,0.35,0.3167,0.29,1404.99,1404.99,cuda,0.2948,0.3167,0.6717,0.6919
ENZYMES,GIN,256,600,40,64,0.001,0.0,8.375,0.055,8.43,0.3333,0.3,0.21,1405.93,1405.93,cuda,0.1965,0.3,0.6857,0.6529
ENZYMES,GIN,256,600,40,64,0.0005,0.0,8.3306,0.0539,8.3845,0.3667,0.3333,0.2,1405.93,1405.93,cuda,0.2768,0.3333,0.645,0.6449
ENZYMES,GIN,256,600,100,64,0.001,0.0,20.814,0.054,20.868,0.35,0.25,0.21,1405.93,1405.93,cuda,0.154,0.25,0.648,0.6392
ENZYMES,GIN,256,600,100,64,0.0005,0.0,20.8076,0.0537,20.8613,0.35,0.3333,0.21,1405.93,1405.93,cuda,0.2901,0.3333,0.6837,0.645
IMDB-MULTI,GIN,64,1500,40,32,0.001,0.0,26.3771,0.2057,26.5828,0.4733,0.44,0.33,1405.93,1405.93,cuda,0.3916,0.44,0.584,0.6004
IMDB-MULTI,GIN,64,1500,40,32,0.0005,0.0,26.2739,0.2078,26.4818,0.48,0.4133,0.33,1405.93,1405.93,cuda,0.3535,0.4133,0.5707,0.587
IMDB-MULTI,GIN,64,1500,100,32,0.001,0.0,66.0469,0.2082,66.2551,0.5,0.46,0.35,1405.93,1405.93,cuda,0.429,0.46,0.6129,0.6249
IMDB-MULTI,GIN,64,1500,100,32,0.0005,0.0,66.1517,0.2057,66.3574,0.5067,0.46,0.34,1405.93,1405.93,cuda,0.4126,0.46,0.6052,0.6268
IMDB-MULTI,GIN,64,1500,40,64,0.001,0.0,18.5038,0.1441,18.6479,0.5067,0.4267,0.24,1405.94,1405.94,cuda,0.3761,0.4267,0.5812,0.6042
IMDB-MULTI,GIN,64,1500,40,64,0.0005,0.0,18.9387,0.142,19.0807,0.4867,0.4467,0.33,1405.94,1405.94,cuda,0.3849,0.4467,0.5826,0.6047
IMDB-MULTI,GIN,64,1500,100,64,0.001,0.0,46.5596,0.142,46.7016,0.52,0.4333,0.34,1405.95,1405.95,cuda,0.391,0.4333,0.6102,0.6201
IMDB-MULTI,GIN,64,1500,100,64,0.0005,0.0,46.0668,0.1413,46.2081,0.4933,0.4533,0.23,1405.95,1405.95,cuda,0.393,0.4533,0.6007,0.6359
IMDB-MULTI,GIN,128,1500,40,32,0.001,0.0,26.6002,0.2103,26.8105,0.48,0.4133,0.33,1405.95,1405.95,cuda,0.3699,0.4133,0.58,0.5805
IMDB-MULTI,GIN,128,1500,40,32,0.0005,0.0,26.4988,0.2134,26.7123,0.4667,0.44,0.33,1405.95,1405.95,cuda,0.3541,0.44,0.6123,0.6235
IMDB-MULTI,GIN,128,1500,100,32,0.001,0.0,66.2539,0.2081,66.462,0.5067,0.4133,0.32,1405.96,1405.96,cuda,0.3805,0.4133,0.6,0.6206
IMDB-MULTI,GIN,128,1500,100,32,0.0005,0.0,66.1481,0.2076,66.3556,0.52,0.4133,0.33,1405.96,1405.96,cuda,0.3883,0.4133,0.6066,0.6218
IMDB-MULTI,GIN,128,1500,40,64,0.001,0.0,18.3736,0.1423,18.5159,0.48,0.4267,0.23,1405.96,1405.96,cuda,0.3772,0.4267,0.5916,0.6158
IMDB-MULTI,GIN,128,1500,40,64,0.0005,0.0,18.8334,0.148,18.9814,0.4467,0.4067,0.28,1405.97,1405.97,cuda,0.3308,0.4067,0.6029,0.593
IMDB-MULTI,GIN,128,1500,100,64,0.001,0.0,46.6903,0.1435,46.8338,0.4933,0.4333,0.39,1405.97,1405.97,cuda,0.3795,0.4333,0.5849,0.6031
IMDB-MULTI,GIN,128,1500,100,64,0.0005,0.0,46.0767,0.1427,46.2194,0.5067,0.46,0.25,1405.98,1405.98,cuda,0.4057,0.46,0.6063,0.6325
IMDB-MULTI,GIN,256,1500,40,32,0.001,0.0,26.5161,0.226,26.7422,0.5067,0.4133,0.33,1405.99,1405.99,cuda,0.3767,0.4133,0.5911,0.6105
IMDB-MULTI,GIN,256,1500,40,32,0.0005,0.0,26.5764,0.208,26.7844,0.4933,0.48,0.33,1406.18,1406.18,cuda,0.4274,0.48,0.5996,0.6247
IMDB-MULTI,GIN,256,1500,100,32,0.001,0.0,66.4767,0.2146,66.6913,0.4933,0.4467,0.33,1406.18,1406.18,cuda,0.3958,0.4467,0.5978,0.6221
IMDB-MULTI,GIN,256,1500,100,32,0.0005,0.0,66.5352,0.2111,66.7463,0.5067,0.4,0.33,1407.65,1407.65,cuda,0.3644,0.4,0.5954,0.6036
IMDB-MULTI,GIN,256,1500,40,64,0.001,0.0,18.6016,0.144,18.7457,0.4933,0.44,0.23,1407.66,1407.66,cuda,0.3991,0.44,0.5903,0.6115
IMDB-MULTI,GIN,256,1500,40,64,0.0005,0.0,18.3492,0.1464,18.4957,0.48,0.42,0.23,1407.66,1407.66,cuda,0.3584,0.42,0.5805,0.5987
IMDB-MULTI,GIN,256,1500,100,64,0.001,0.0,47.495,0.1439,47.6389,0.5067,0.42,0.43,1407.66,1407.66,cuda,0.3725,0.42,0.5935,0.603
IMDB-MULTI,GIN,256,1500,100,64,0.0005,0.0,46.3496,0.1433,46.4929,0.5133,0.4067,0.27,1407.67,1407.67,cuda,0.3748,0.4067,0.5947,0.6109
