graph_index,label
31,4
242,2
541,1
376,3
16,2
93,5
346,2
488,3
226,3
532,3
73,0
244,3
199,1
194,5
457,1
177,3
547,3
361,4
38,0
505,5
563,0
417,1
366,0
356,5
172,2
515,4
371,2
387,1
597,0
27,1
176,0
501,3
549,0
19,3
333,0
508,0
395,3
314,3
233,5
265,3
270,1
373,5
330,5
348,3
582,5
427,4
289,0
398,4
181,2
155,4
564,0
4,5
312,1
109,0
466,4
195,1
533,1
163,4
385,1
231,0
459,1
266,5
413,1
349,4
92,4
472,1
318,4
578,5
524,1
230,1
369,3
377,3
279,2
422,2
12,2
246,4
245,4
54,4
79,1
517,5
284,5
426,1
359,2
520,0
49,5
68,4
253,1
441,3
87,1
197,3
261,0
342,2
458,1
156,1
518,0
189,4
22,2
509,3
238,4
131,0
499,5
449,0
30,0
302,0
259,0
23,3
276,3
538,4
404,1
35,1
102,3
439,1
100,3
85,4
311,0
543,5
423,2
148,4
519,3
579,3
116,4
391,3
596,5
326,0
237,0
202,4
382,0
594,0
555,0
208,5
51,1
138,5
263,5
10,5
516,2
136,1
542,2
26,0
337,3
504,2
137,4
118,4
317,5
323,3
456,4
559,0
303,1
510,3
465,5
213,2
448,0
435,2
425,3
227,5
514,5
351,1
367,0
264,2
390,3
528,0
203,4
285,1
63,4
207,2
47,1
474,0
180,5
184,1
134,2
412,3
166,2
121,2
140,2
254,3
442,0
6,1
316,5
158,2
257,4
157,1
581,5
185,0
258,2
143,3
186,0
354,4
374,2
357,4
48,2
490,3
497,0
322,0
587,4
126,5
103,5
560,3
503,3
198,0
481,4
598,3
320,0
325,1
296,0
24,4
62,5
71,4
37,3
588,2
70,3
39,1
262,0
0,4
568,5
416,1
331,5
168,5
50,4
565,3
389,4
595,3
315,0
464,2
477,5
491,4
589,2
99,1
403,2
41,4
544,5
106,4
299,0
287,2
535,2
548,4
273,1
243,0
498,2
574,0
494,1
309,2
480,2
241,2
218,5
383,2
584,1
113,3
468,5
82,4
150,5
384,2
124,3
44,5
562,1
502,1
478,5
108,0
408,4
188,5
500,2
364,1
402,2
561,3
399,3
13,3
298,0
365,0
290,3
540,0
411,5
127,2
240,5
5,0
268,2
300,0
191,2
352,2
120,5
56,2
96,4
280,0
182,0
60,1
576,1
216,4
8,4
347,1
381,1
552,2
65,4
61,1
222,2
577,2
511,4
43,5
3,1
141,4
21,2
224,0
586,5
375,4
67,5
546,3
145,1
52,0
277,2
84,0
479,0
583,2
392,1
46,2
215,0
247,3
437,4
66,5
420,3
421,1
179,5
445,0
447,2
211,1
123,0
250,3
455,4
536,5
98,3
122,1
353,5
42,0
72,3
239,3
368,2
569,3
432,3
164,5
234,0
9,5
539,0
297,3
15,1
355,3
232,2
554,1
90,5
294,5
217,1
388,2
493,1
461,5
451,1
175,4
492,3
450,2
221,3
308,2
506,0
196,4
161,3
386,2
119,2
205,5
132,1
328,4
305,1
570,0
460,3
475,3
147,5
252,5
88,5
522,0
370,5
288,4
171,3
414,3
590,1
2,5
405,3
396,3
40,0
75,2
170,4
476,2
358,1
434,5
487,2
135,2
545,0
531,1
225,2
527,5
393,3
525,4
28,2
125,4
394,5
36,5
183,2
192,0
360,5
17,2
419,4
255,4
206,4
438,2
29,3
530,5
142,4
485,4
482,3
344,4
471,5
269,4
453,0
571,1
53,4
235,3
209,3
20,4
446,2
335,1
114,1
428,1
462,5
407,0
430,1
324,3
301,3
57,2
115,2
74,3
473,1
210,3
454,4
321,5
248,4
272,0
32,4
339,4
223,5
110,4
97,3
236,5
18,1
336,5
267,4
160,5
329,2
149,0
111,2
293,1
162,2
409,1
484,4
572,4
59,4
513,5
201,0
14,0
470,0
33,3
173,0
363,5
433,1
278,2
429,1
144,1
128,5
95,5
174,2
319,1
249,1
112,1
566,4
599,4
130,4
133,3
406,0
567,2
200,0
