graph_index,label
949,1
1280,0
1443,1
943,0
129,2
539,1
347,0
962,2
955,1
559,2
813,0
64,0
1408,0
1400,1
623,0
1149,2
850,0
1261,0
637,1
1474,0
1463,1
942,0
579,0
318,2
383,2
1162,2
745,1
1488,2
144,0
825,1
225,2
339,1
1342,1
491,1
1327,0
1378,2
985,2
1336,2
889,1
15,0
256,0
786,1
1210,2
502,1
965,2
300,2
1250,0
7,1
1419,1
406,2
959,1
652,1
984,2
168,0
171,2
423,2
1428,1
826,0
192,0
338,0
983,0
1024,0
120,1
688,0
323,0
1078,2
1066,1
389,0
553,1
753,2
903,1
790,1
993,2
1374,1
1330,1
1049,2
894,2
1204,0
522,2
292,2
789,1
634,1
1061,0
470,0
755,1
526,2
1159,0
91,2
1005,2
1324,1
1377,1
619,1
465,1
1401,0
947,0
1080,1
1460,1
47,1
1164,0
128,1
1001,0
123,0
193,1
967,2
521,1
107,0
743,2
1198,1
1245,1
827,1
574,2
721,0
919,0
399,0
1483,1
1106,0
441,2
997,1
488,1
908,2
222,0
40,2
411,2
53,1
42,2
661,2
1230,0
132,0
566,1
390,2
78,1
334,1
695,1
335,1
1047,0
697,2
1471,2
710,0
111,1
931,0
1069,2
1344,1
1265,2
36,1
1175,1
1067,1
267,1
303,2
859,1
945,0
525,0
1361,0
817,0
1444,2
1453,1
867,0
1277,2
65,2
30,0
164,1
617,2
320,1
621,0
994,0
326,1
872,2
1392,2
1233,1
452,2
394,0
730,1
1287,1
768,2
378,2
1310,1
555,2
1354,1
937,0
1316,1
731,2
1065,1
493,0
906,0
1115,0
563,2
1472,0
424,2
587,1
638,1
1031,1
1397,0
1478,1
668,0
177,2
264,1
204,1
601,0
809,1
972,0
1124,2
1454,0
41,0
632,1
1412,1
1375,2
1103,2
538,2
1359,1
1157,0
259,0
1170,1
432,1
60,2
1003,0
622,2
1495,1
958,2
494,0
355,0
750,1
1255,2
1122,2
1329,0
1199,2
1155,0
1267,0
1121,2
797,2
1489,2
1402,1
10,2
1076,2
373,0
910,0
734,2
1288,0
131,1
670,2
814,0
940,2
1254,1
150,2
1346,1
467,0
666,1
1063,2
18,1
523,1
1045,1
1366,1
1410,1
1145,0
798,0
1221,2
301,1
866,2
848,1
173,2
232,2
1036,1
457,1
183,2
427,1
425,0
333,0
682,1
723,1
1082,0
500,1
1234,1
266,2
68,1
1113,2
1135,1
480,2
857,2
1016,2
294,0
1252,1
386,1
198,2
706,0
122,2
1099,2
1062,0
520,0
125,2
999,1
655,0
1417,1
681,2
934,2
1273,2
922,2
1321,2
547,0
1040,0
989,0
1187,0
769,1
501,0
899,2
397,0
365,0
45,2
1173,1
1237,1
1383,1
407,0
536,2
1493,1
14,2
606,2
61,1
998,2
227,2
381,2
1143,0
718,1
882,1
990,1
108,2
686,1
1476,1
732,0
282,1
1002,1
1,0
654,1
870,0
583,2
821,2
89,1
875,0
152,2
1192,2
787,2
1020,2
568,2
1247,2
748,1
537,0
724,0
1228,1
289,0
1300,0
505,0
1313,0
1060,2
1086,2
856,2
818,2
758,1
901,1
880,0
1322,1
490,0
570,2
392,0
393,0
715,1
1092,1
550,0
1435,2
377,1
1422,1
759,0
1450,0
1105,1
556,0
1107,0
1015,0
689,2
1309,2
163,2
747,1
1340,1
147,1
247,2
1152,1
694,2
685,0
1109,1
360,2
299,1
1023,1
251,1
893,2
80,1
815,2
1257,2
1070,0
1213,2
