label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
5,0.16781914,-0.06698983,-0.20854019,0.11829112,0.06555995,-0.08270078,-0.015486498,-0.069155976,-0.074451834,-0.0032832443,-0.07705998,-0.10713109,-0.17990674,0.19609357,0.17133842,0.15891473,0.02567397,-0.33048865,-0.21431415,0.057234444,0.04704201,-0.08313752,-0.058053225,0.07980797,0.23755087,-0.04839194,0.38600296,-0.13519867,-0.09513943,0.2300267,-0.048731886,-0.01737761,0.12267007,0.099676594,-0.052125704,-0.09962237,-0.01052361,0.007476442,-0.0143934395,-0.028479472,0.14223973,-0.19454657,-0.14466746,-0.054366052,0.20221409,0.13359597,-0.02920802,0.11478281,0.07454368,0.04471166,0.13948758,0.043063596,-0.024491344,-0.06066951,0.08471649,0.09213619,0.013289603,0.15260868,-0.13179985,0.17529045,0.09349795,0.110871844,0.030563379,0.16966304
5,0.12952606,-0.05763868,-0.18208621,0.11082826,0.07627252,-0.057750188,-0.020830799,-0.07374876,-0.04428064,0.01831634,-0.063316405,-0.09761357,-0.1419041,0.14273469,0.11351565,0.11005669,0.0046087913,-0.27754733,-0.16805205,0.035370365,0.027748717,-0.05048418,-0.03493532,0.062224682,0.19058082,-0.03512234,0.2982047,-0.10467983,-0.06658358,0.19376464,-0.026839085,0.008346379,0.09710145,0.085455805,-0.04042537,-0.086189225,-0.0120037235,-0.010545375,-0.015574445,-0.0044994187,0.13266467,-0.14322859,-0.09557317,-0.053302474,0.14035271,0.08820491,-0.023809519,0.08009378,0.05432143,0.036897656,0.105089515,0.031915255,-0.021201136,-0.041717246,0.06896042,0.050217967,0.013745891,0.13617194,-0.09850797,0.14798434,0.070876494,0.08862313,0.021315143,0.1356678
5,0.16745198,-0.071559735,-0.23583114,0.13640186,0.09272371,-0.08142618,-0.009726152,-0.08222817,-0.08173818,0.015231769,-0.061523855,-0.13338074,-0.18211341,0.18647932,0.16568479,0.15357485,0.022926474,-0.37276772,-0.21341442,0.056366142,0.03591282,-0.082579486,-0.04799703,0.087926425,0.23680128,-0.058060728,0.3721728,-0.15081899,-0.0828551,0.23330069,-0.03539725,-0.018295968,0.15269272,0.11603213,-0.058920097,-0.11806747,-0.016220765,0.0005191883,-0.013246504,-0.015060767,0.15761842,-0.19653593,-0.12791915,-0.061883286,0.21323434,0.15007775,-0.023270404,0.120869964,0.07792703,0.047181107,0.12508564,0.03245883,-0.008281722,-0.08555652,0.10151882,0.08021753,0.005895295,0.17241411,-0.12995888,0.19857521,0.10446876,0.10606718,0.02483478,0.16748492
5,0.16891623,-0.08804469,-0.23701067,0.1444071,0.08645171,-0.09115464,-0.014610462,-0.065316364,-0.055537254,0.009502229,-0.05391424,-0.14480834,-0.16771078,0.1873947,0.14823231,0.16359344,0.045165464,-0.349024,-0.1926569,0.039265268,0.039883763,-0.09023188,-0.05018766,0.087269336,0.2485453,-0.06119428,0.36548725,-0.10909492,-0.085045986,0.21741265,-0.02384059,-0.004980984,0.1505104,0.11820769,-0.031293478,-0.122270755,0.0059691835,0.0042865975,-0.03209528,-0.03879301,0.16776498,-0.21260725,-0.1284714,-0.04435089,0.2129678,0.14292444,-0.030731298,0.11341825,0.07377308,0.05050226,0.11384154,0.01674933,-0.016225016,-0.05212437,0.07398103,0.07994945,0.019300653,0.18674827,-0.12738205,0.17766422,0.08316819,0.09677117,0.030807864,0.15680005
5,0.1938775,-0.0968324,-0.27635908,0.17169335,0.11033012,-0.10250193,-0.0087313615,-0.104169115,-0.08964486,0.02261602,-0.088144355,-0.16495842,-0.19208534,0.22378515,0.1996396,0.16870017,0.048273917,-0.40837145,-0.24725239,0.042699605,0.045576166,-0.098808594,-0.050989088,0.09110825,0.27898464,-0.049044445,0.44078565,-0.16406661,-0.09494617,0.27258784,-0.03985258,0.0072876867,0.16476333,0.11932392,-0.057315283,-0.10842992,-0.00993477,0.0028170336,-0.03159501,-0.039798878,0.17401664,-0.22653474,-0.14703596,-0.06547428,0.23046757,0.14336088,-0.017575365,0.14536314,0.071164586,0.08094337,0.1649167,0.025543865,-0.041396283,-0.08834018,0.091963805,0.10701345,0.0064138654,0.21141599,-0.16703586,0.19069368,0.10117097,0.10145788,0.0215253,0.19987185
5,0.16892917,-0.1000897,-0.24581662,0.12867056,0.10152067,-0.086993285,-0.028133731,-0.081827275,-0.08711926,0.029377433,-0.07297643,-0.15458575,-0.17681894,0.20907916,0.18519928,0.15756418,0.01841087,-0.38395736,-0.23239124,0.047621164,0.04674008,-0.070453316,-0.041247144,0.084206715,0.24631622,-0.06232448,0.379133,-0.14360495,-0.07286741,0.23303472,-0.053837143,0.012556629,0.15381433,0.10191224,-0.053768717,-0.12250986,-0.015047024,-0.007196268,-0.033100113,-0.03253077,0.14040323,-0.2159104,-0.13773538,-0.0683328,0.21117774,0.1250665,-0.026150871,0.12920918,0.08015913,0.06489477,0.15003426,0.027590197,-0.04354684,-0.09151308,0.091823235,0.08989711,-0.0063593397,0.1691089,-0.1524887,0.17059326,0.11248822,0.09115083,0.004772029,0.18690088
5,0.15417512,-0.089678176,-0.21439323,0.11352292,0.06375655,-0.07022092,-0.0040701097,-0.087001264,-0.07723434,0.013725627,-0.052145254,-0.1021597,-0.1598578,0.19015145,0.1418742,0.1314613,0.021931712,-0.31590465,-0.1939608,0.06197805,0.030260202,-0.088681124,-0.049270548,0.097604014,0.2218507,-0.045273304,0.3621174,-0.1212637,-0.09202207,0.21798454,-0.015757492,0.012786467,0.117135815,0.109545186,-0.037445787,-0.10339026,0.0002962207,0.004037566,-0.018342331,-0.01992352,0.15005851,-0.19828926,-0.14259964,-0.035946444,0.18380491,0.10667331,-0.017652817,0.11977518,0.0807733,0.03915455,0.12816912,0.010794755,-0.029221015,-0.059645075,0.07250343,0.08505733,0.0007264746,0.1722626,-0.1227885,0.16613783,0.105326496,0.08636876,0.02760095,0.13687178
5,0.16355123,-0.06310181,-0.25657636,0.09126248,0.090841785,-0.08475003,-0.0012483234,-0.097236566,-0.07031256,-0.0026673656,-0.1257719,-0.14526,-0.1508776,0.1630936,0.20469157,0.14175646,0.061065044,-0.38018468,-0.21487962,0.05338758,0.036993317,-0.13543555,-0.048641466,0.12029873,0.23070036,-0.040617097,0.43287066,-0.11291591,-0.06360608,0.30964735,-0.01896751,0.049282067,0.13434696,0.1321849,-0.038099177,-0.08987885,-0.02602874,-0.021029597,-0.026873358,-0.01744726,0.19388077,-0.218623,-0.14834882,-0.046680983,0.2224422,0.1509462,0.010720501,0.10296817,0.11649763,0.07044056,0.16653962,0.008447793,-0.03713006,-0.100753516,0.08298057,0.092416026,-0.012499546,0.19995601,-0.18753512,0.17453222,0.12533061,0.11462705,0.019270517,0.1748144
5,0.16527434,-0.09364978,-0.23314138,0.13156664,0.08224641,-0.074654914,-0.00522716,-0.09125527,-0.054638665,0.004775697,-0.048212938,-0.13268833,-0.15191178,0.20587629,0.16149777,0.1497403,0.03366213,-0.35129103,-0.2212932,0.036797427,0.04579354,-0.082016416,-0.047823615,0.08113872,0.252168,-0.05639059,0.37892604,-0.12178954,-0.07631896,0.22901675,-0.039948065,-0.012645378,0.1322918,0.11142489,-0.04375711,-0.0995593,-0.015277701,-0.006967673,-0.015352006,-0.00929399,0.13223015,-0.20233291,-0.1371433,-0.03973467,0.18379906,0.1169155,-0.014918329,0.100095846,0.069982514,0.057122458,0.11609508,0.02855224,-0.010363144,-0.05442201,0.08564716,0.0717481,-0.004862796,0.16079102,-0.14605796,0.17210513,0.08877783,0.10092688,0.03447856,0.16463257
5,0.16125211,-0.102907754,-0.24120463,0.12096254,0.088190116,-0.06676973,-0.014864225,-0.08591867,-0.060904562,0.021176029,-0.075776726,-0.12964626,-0.17281164,0.20286073,0.1514046,0.15793642,0.03711381,-0.37603158,-0.22978748,0.03582327,0.04795056,-0.07596137,-0.06680385,0.10758997,0.23967543,-0.06458923,0.37017712,-0.12223397,-0.08905892,0.23884465,-0.03763215,-0.015251356,0.14344962,0.12280949,-0.027547028,-0.11187385,0.006071985,-0.00074762205,-0.044931225,-0.036554772,0.14104785,-0.21808216,-0.15249366,-0.060638364,0.18563871,0.13126665,-0.020575184,0.11712514,0.08057992,0.057403393,0.12631252,0.04609981,-0.008640347,-0.057481684,0.0965713,0.07402771,6.332586e-05,0.16648121,-0.14368981,0.19549575,0.108135186,0.10076494,0.0105168745,0.15335111
