label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127
1,0.0088511305,0.0065406654,-0.010507531,0.004334946,0.0049694544,-0.00945239,0.012087385,-0.005251046,-0.007797016,-0.012616357,-0.017144343,0.029022146,-0.029797783,0.021335553,-0.0052254,0.0045119342,-0.011565088,-0.010931258,-0.0029387427,0.0060564186,0.0041199857,-0.0073563065,-0.010244025,-0.0052428134,-0.0046738246,0.01289068,0.01704638,-0.011901624,-0.027444331,-0.015382226,-0.008768786,-0.011337893,0.0053582704,-0.00582419,-0.0051125484,0.012647171,-0.012782171,-0.011675728,0.013324411,0.001345553,-0.009542735,-0.019497182,0.0030495913,0.0077636507,0.015205403,0.007608986,-0.011518693,0.002885519,0.0002666022,-0.004973493,0.02476658,0.008896256,0.02285178,-0.022000488,0.0074051777,0.018719403,0.020954743,0.004145146,-0.012172955,0.012715861,0.0039938753,0.008599623,0.02061256,0.022696426,0.0043777693,0.00020679893,-0.003582341,-0.008960823,0.01992269,0.0023225877,-0.0063001416,-0.0044093067,-0.0028525447,-0.0073619904,0.0011160364,-0.019241508,-0.019154338,-0.0025766557,-0.011735165,0.013004377,-0.008528288,-0.017114202,-0.021463796,0.011145084,0.0002352189,0.018429143,0.01190157,-0.0006411529,0.022048905,-0.0030687817,0.017124247,-0.011378736,0.0050956174,0.027029928,0.01517263,0.0017587562,0.0054581133,-0.0048062443,0.018424332,-0.02132099,-0.0048238854,-0.008979895,-0.012323018,0.0054703467,0.023973066,-0.0024213495,0.010090729,-0.028106265,0.00445641,-0.011594736,0.010797487,-0.0006336738,-0.0032832737,-0.0029458713,-0.0020525227,0.015048581,-0.024639951,0.0027948073,0.0067524835,-0.0006181899,-0.0024085005,0.0038316855,0.010096057,-0.0030857846,-0.0033128802,0.0142800985,0.00866219,-0.0073172753
0,0.004737376,0.006753743,-0.01986778,0.010006482,0.016617706,-0.00801838,0.0153832575,-0.0091335615,-0.009768478,-0.005217582,-0.011009226,0.021660265,-0.02757243,0.013229766,-0.012588406,0.00030130259,-0.012973887,-0.020903502,0.0019959954,0.0055540404,-0.0045370576,-0.0032687741,-0.0056241094,-0.0026607676,-0.010762274,0.011301873,0.002417736,-0.013905769,-0.019409787,-0.020590704,-0.003522121,-0.012659461,0.016593717,0.00045965964,-0.004639418,0.009247009,-0.014058484,-0.015643531,0.015999636,0.009248191,-0.005525116,-0.014907435,0.014577963,0.0045189573,0.014650644,0.011371451,-0.007680156,0.0032423846,-0.0004294963,-0.0038903328,0.016170964,0.0034031558,0.0316936,-0.032344174,0.011395192,0.011886205,0.016340518,0.009981197,-0.00972058,0.017943239,0.007457777,0.0055389507,0.020387309,0.01973255,0.005719964,-0.0068357303,-0.004717164,-0.008613927,0.016218292,-0.004953875,-0.0018185432,0.01019865,-0.0005870221,-0.0114714345,0.010986168,-0.02632279,-0.013467012,-0.00091982895,-0.013002781,0.022573212,0.0062041907,-0.012518611,-0.011296346,0.010226107,0.0019408558,0.010311492,0.010345809,0.0008649996,0.026403042,-0.0069774515,0.011656156,-0.002679367,0.008352249,0.015213007,0.020244274,-0.0028059646,0.014979733,0.00042276215,0.026798856,-0.026238414,0.0036149446,-0.0031442656,-0.017169934,-0.007847738,0.024821868,-0.01506676,0.009592246,-0.017041186,0.017409233,-0.001611179,0.009731217,0.00037869895,-0.0017740305,-0.0021703946,-0.010947362,0.005321022,-0.02045534,0.003404675,0.0011974479,0.00675213,-0.0018599284,0.007995512,0.010829712,-0.007044096,-0.008542872,0.006047594,0.010276803,-0.0136951
0,0.007457265,-0.0013616992,-0.016465595,0.013878362,0.013672154,-0.008971653,0.011371095,-0.0108338,-0.006838247,-0.0022845806,-0.013011117,0.007541986,-0.012703937,0.011453954,-0.0017089001,-0.00081933104,0.0014915568,-0.010240519,-0.00079456146,-0.0042466936,-0.0020297721,-0.0045364536,-0.00010007968,-0.0065450263,-0.0032326863,0.00999298,0.009002723,-0.008795944,-0.01222315,-0.008235466,-0.0003194512,0.000799362,0.010396813,-0.0030316531,-0.0015540081,0.014016781,-0.004940346,-0.009400448,0.0045167976,-0.0026516465,-0.0030732006,-0.008783337,0.010433366,0.0041536884,0.008026238,0.0008036233,0.0009286671,0.006043113,-0.006763727,0.008005789,0.017624466,-0.0016587587,0.009036367,-0.017302644,0.0013047021,0.014356382,0.007584813,0.013654557,-0.0123283835,0.0016390664,-0.0005978822,-0.0020201886,0.010098218,0.015710715,0.0023907695,-0.008384972,-0.0042092837,-0.013537131,0.013817737,-0.00061121915,-0.007898178,0.0026054312,-0.010418215,-0.0006472833,0.0026361234,-0.018561069,-0.0073862863,0.003634784,0.0027421678,0.011076573,-0.006220701,-0.015028855,-0.016815681,0.006247875,0.002269165,0.014605404,0.010888052,-0.0024417515,0.010053156,-0.0078878105,0.0024608814,-0.0066111423,0.009748519,0.008073087,0.0019304949,0.004175212,0.01088592,-0.0073915203,0.010476294,-0.018164767,-0.003947365,-0.0064452053,-0.0115030445,-0.0045031747,0.0025041532,-0.0077602696,0.0050903885,-0.016903127,0.0080028605,-0.008079276,0.0066078147,0.004267027,0.00045887078,0.0017345957,0.0033116073,0.0058684614,-0.020856205,-0.009996398,0.0043609384,0.005333466,-0.010141599,-0.0037214402,-0.00011716549,-0.009385373,0.004747384,0.00057121547,-0.003793826,5.3987555e-05
1,0.0077307518,-0.006161702,-0.018999705,0.004665001,0.006223863,-0.0052380026,0.016972642,-0.015772864,-0.010213781,-0.0051624468,-0.007625566,0.027213408,-0.025151864,0.024446545,-0.013603069,-0.0026157636,-0.01228384,-0.014356046,0.000736482,0.009751148,-0.0035534173,-0.011057254,-0.008340465,0.007726985,-0.0046856664,0.012066482,0.016738106,-0.008463753,-0.026890872,-0.012711049,0.0049603404,0.0023704022,0.006656708,0.003171436,0.00133273,0.008377443,-0.006413517,-0.013912906,0.011685152,0.0054156114,-0.00086161913,-0.025189139,0.00070565986,0.014537952,0.011989695,-0.0016321073,-0.005568384,0.009826543,0.005334914,-0.004927025,0.02205772,-0.005039153,0.01878374,-0.022162573,0.0047801337,0.01799635,0.013488624,0.017788712,-0.011060082,0.012662264,0.011691009,0.00071698654,0.020383365,0.012085611,-0.00085400336,0.0028819686,-0.0034491732,-0.019254837,0.017913079,0.0013676488,0.0068395585,0.0026390313,-0.0011273911,-0.01616147,-0.00078296143,-0.025698004,-0.009073628,-0.005940544,-0.004018381,0.011083338,0.0063172155,-0.014466247,-0.017942624,0.019782234,0.0056623886,0.007905338,0.013717727,0.009488706,0.025377067,0.0013435025,0.018701468,-0.008336933,-0.00019993522,0.024414115,0.016158123,-0.0025976077,0.011770569,-0.0046169665,0.021999441,-0.015334713,-0.0070134746,-0.0066194264,-0.01906994,-0.008834909,0.023004567,-0.014339181,-0.0048775706,-0.016912185,0.014558961,-0.0050861994,0.019218676,-0.00054404244,0.0059222304,0.0060045095,-0.0012218519,0.0094198575,-0.028228285,-0.010153684,0.006707955,-0.0002970011,-0.0052395444,0.0023789427,0.00086150743,-0.015944678,-0.0012484131,0.011284684,0.004147762,-0.012393973
0,0.008222829,-0.0064092493,-0.024175683,0.011058099,0.014047666,-0.006233366,0.019270264,-0.015177616,0.001445856,-0.012179266,-0.0066667786,0.01890975,-0.020689126,0.028471414,-0.010775533,0.002373693,-0.007626483,-0.019203609,-0.0057492335,-0.003353716,0.0007547346,-0.005975844,-0.006647047,-0.0042281006,0.002646878,0.010604039,0.017187368,-0.0052318517,-0.019650761,-0.017128242,-0.005186906,-0.010358359,0.009612594,-0.00014152678,-0.00072552304,0.01653612,-0.014020852,-0.019578269,0.014458951,0.011722582,-0.010916316,-0.020898223,0.008607586,0.014855007,0.006290717,0.00032236884,-0.0043479404,-0.0020842233,-0.0014888021,0.0023290617,0.014734724,0.003255597,0.029485881,-0.02093006,0.0060338206,0.010167525,0.011518718,0.007864233,-0.017860873,0.010759858,0.0025724587,0.00599516,0.026505545,0.023302693,-2.0207542e-06,-0.011449375,-0.006885873,-0.020626787,0.0150787635,0.004720667,-0.0036184017,0.0009953157,-0.0049800943,-0.0063537164,0.0007370859,-0.021346046,-0.01677312,0.0040873117,-0.012891063,0.019877395,0.004891844,-0.021430604,-0.02484699,0.007962085,0.0040716003,0.014689477,0.0031651666,0.009734377,0.020552991,-0.008924373,0.012006913,-0.0060336296,0.0055698585,0.02397034,0.015131331,-0.009286825,0.008950672,0.0008635856,0.027366431,-0.019765569,0.002899194,-0.0008182236,-0.023937415,-0.004390192,0.015286493,-0.01311244,-0.00028221234,-0.02589919,0.0048306216,-0.0070736874,0.013099771,0.004124741,0.0018437115,0.0007103205,-0.0062155193,0.018124247,-0.01746813,0.0004194121,0.010090251,0.0018603479,-0.010125179,-0.0018933036,0.0048975023,-0.0033396545,0.003936934,0.008874511,0.0020634506,-0.017912416
1,0.010414187,-0.002666196,-0.027051114,0.015110109,0.009537435,-0.004793036,0.022345163,-0.019307068,0.0031804238,-0.0032263387,-0.022145525,0.03528898,-0.03964988,0.032607384,-0.02022721,0.0015819723,-0.011923633,-0.031911075,-0.0010446034,0.00972544,0.004083016,-0.013912766,-0.014444089,0.0017414715,-0.005826448,0.021664344,0.012045667,-0.0065028504,-0.026249016,-0.02878077,-0.009933059,0.00017579918,0.01681818,-0.0008668775,-0.0072477506,0.021003123,-0.012619768,-0.020292275,0.014620433,0.009318024,-0.008211669,-0.028073,0.008605938,0.018189004,0.0069604265,-0.0012069438,-0.0029137568,0.0018881907,0.0041206256,0.003950502,0.016283019,0.008761453,0.032711457,-0.0340618,0.006776135,0.010731677,0.027523343,0.013098461,-0.02114272,0.015657373,0.0021323583,0.0038839818,0.030659268,0.024621237,0.007872526,-0.013379631,0.004327868,-0.015113749,0.012578497,-0.0036599808,0.0050155013,0.0027250662,-0.0054674027,-0.009122989,0.006841457,-0.0323626,-0.028431337,0.0038037132,-0.012586664,0.020184252,-0.0022261906,-0.01830858,-0.020397833,0.023064109,0.008063299,0.014041685,0.017543113,0.012600507,0.032270063,-0.008677146,0.017379807,-0.012080554,0.006163056,0.02635142,0.017626958,-0.007829788,0.014547847,-0.0102192145,0.029074268,-0.029184468,-0.007298864,-0.0060168435,-0.023423096,0.00492695,0.021619022,-0.015785467,0.011767152,-0.02574647,0.009769496,-0.013214277,0.024495397,0.0035952218,-0.0004287588,-0.00130718,-0.0034359181,0.014416078,-0.037963893,-0.009263522,0.008182346,0.008256733,-0.004685332,-0.0054838043,0.0150560215,-0.020091489,-0.004333437,0.00548865,0.01320493,-0.02207327
0,-0.004460919,-0.0068806806,-0.023800317,0.009167367,0.00536294,0.0009366631,0.018226521,-0.005665703,0.0011511667,-0.010081895,-0.0103791,0.02443578,-0.029998543,0.0238622,-0.0066248565,0.0031190715,-0.013077959,-0.013854103,-0.0016015053,-0.0024590718,0.0021565643,-0.0020112535,-0.01680499,0.008604715,-0.00453904,0.019905124,0.007424122,-0.012634661,-0.025858598,-0.009450378,-0.0031196394,-0.0017114703,0.0138683645,0.0048526544,-0.0047086887,0.0068674595,-0.005139579,-0.021240605,0.0012044274,0.009022625,0.00025255268,-0.026143461,0.0020152447,0.006253054,0.006007242,-0.0010275072,-0.014555501,0.011439201,-0.0056558778,0.0022688396,0.023579903,0.000618944,0.028407726,-0.0247841,-0.0025152052,0.019078644,0.021798445,0.018745527,-0.01671692,0.015512027,0.0032062668,0.009085597,0.011000011,0.018969106,-0.0018531543,-0.00824859,0.0039771902,-0.007755778,0.014534072,0.009198927,-0.0041587153,0.0031768659,-0.007934478,-0.004798117,0.011914499,-0.011427678,-0.009832573,0.0002194073,-0.0041668294,0.012343541,0.00071706064,-0.020814652,-0.021664778,0.013726759,0.009691544,0.006592828,0.0075201876,0.008654052,0.027591169,-0.0019990061,0.018461708,-0.0017002117,0.0044526914,0.015283151,0.010852056,-0.0006377793,0.0057724076,-0.0061185984,0.025699666,-0.022282146,-0.0022455284,-0.0045577516,-0.012680226,-0.007175449,0.021498041,-0.0050837523,0.0055234735,-0.023685718,0.0063074552,-0.0033835417,0.019870512,0.0058843377,-0.0042246524,0.004902354,-0.0032167076,0.009292794,-0.029027548,-0.00093932234,-0.0034819779,0.005979088,-0.0058522755,-0.0055423225,0.00905586,-0.008438601,0.0015387649,0.013122677,0.010400022,-0.007146951
1,0.0088787135,-0.00486128,-0.02445558,0.018010547,0.014497037,-0.010998887,0.030159725,-0.011239897,0.00029264877,-0.004995775,-0.022103615,0.030172974,-0.045347072,0.04231892,-0.020403191,0.0006850746,-0.014604741,-0.035669923,0.006405775,-0.0042794305,0.0010835525,-0.0069566118,-0.01615346,0.009726739,-0.014308959,0.023528995,0.020050464,-0.016299004,-0.040883977,-0.03213406,-0.0064809327,-0.010208259,0.022162931,0.0048543285,-0.006278546,0.028887788,-0.01638824,-0.020607008,0.020789897,0.0077150976,-0.011791186,-0.031059127,0.0064130947,0.017900757,0.023320155,0.011428796,-0.005729799,0.0075874976,0.00038015717,0.003768638,0.033376466,0.0036950463,0.040334012,-0.04694206,0.012951663,0.01692903,0.03714144,0.021144595,-0.018029526,0.022257047,0.007865442,0.013198605,0.036853928,0.031605117,-0.005948489,-0.004389834,0.003626847,-0.022045543,0.014289933,0.0049336525,-0.0072446903,0.0007175241,-0.0047351145,-0.0132815745,0.014807195,-0.040169574,-0.026642919,0.009764035,-0.01676551,0.02789028,0.0053684413,-0.029408438,-0.037342586,0.025589067,0.007044228,0.024305137,0.00945714,0.0024567915,0.02892408,-0.0067121726,0.018019691,-0.009669262,0.015931187,0.039760336,0.020273639,-0.0054372624,0.01162521,-0.0011435287,0.035132993,-0.029430224,-0.0040109186,-0.009393794,-0.022004452,-0.0008939976,0.036670752,-0.016708346,0.0044329357,-0.038206823,0.023018302,-0.010879185,0.019854803,0.012223945,-0.0077138,0.00728939,-0.008004042,0.018840183,-0.04226311,-0.009858537,0.0070203855,0.0041056373,-0.0061213644,0.0022584186,0.021825407,-0.02053771,-0.008165785,0.022251846,0.0027120046,-0.022381986
0,0.008386421,7.860627e-05,-0.013190639,0.0005749173,-0.0011395108,-0.0023911502,0.013401258,-0.00049462536,0.00093509426,-0.000724401,-0.0042758565,0.013604477,-0.02044724,0.011525865,-0.005712812,0.007745098,-0.0058561275,-0.011042713,0.0007615133,0.0057120626,-0.0016043764,0.0044290787,0.0024742086,0.006742586,-0.00781437,0.007842322,0.003993724,-0.0073230807,-0.0087621305,-0.014880712,-0.004978882,-4.113005e-05,0.0070397723,0.0050612297,-0.004003112,0.007563304,-0.0016965237,-0.015795449,0.007991553,0.0021364393,-0.0028032418,-0.0063530672,-0.0022447128,0.009209942,0.0011456115,0.005169684,-0.010773237,0.0017056151,-0.007529973,0.0027134812,0.011131195,0.0055546244,0.012728582,-0.014715106,0.009919422,0.010143354,0.0099822255,-0.0018658004,-0.011355026,0.008421154,-0.00018316714,0.0018349444,0.0118321935,0.002694576,0.007050153,-0.0062308526,-0.00066625635,-0.008876626,0.009300991,0.004758074,-0.0048070406,0.004926523,-0.0014819525,-0.0030487273,0.009039558,-0.008399583,-0.004125883,0.005994307,0.00056818547,0.014872943,0.0059853196,-0.013479951,-0.011669181,0.01410049,0.004773119,0.014345924,-0.0027471427,0.010162234,0.013196021,0.0028008432,0.0057924762,-0.011603197,-0.0045846426,0.010880993,0.0020379124,-0.008378883,0.007778661,-0.0076221544,0.013474323,-0.009450599,-0.0071921,0.0059183906,-0.014368185,-0.0013450059,0.008674287,0.0004755558,-0.0013268985,-0.013423087,-0.00035654975,0.0033597108,0.0026463754,0.007678678,-0.00032546936,0.0037705067,-0.0050357273,-0.0015293051,-0.009618239,-0.003479699,0.0020826294,-0.0040947744,-0.008444806,-0.0034875139,-0.0023911896,-0.0075204866,-0.0031670595,0.011806721,-0.0039726347,-0.0115554435
1,0.007446583,0.0020639,-0.025542129,0.007000121,0.020600038,-0.004793815,0.023438549,-0.01260555,0.0044683325,-0.012918548,-0.012394923,0.023073062,-0.034259133,0.030075938,-0.020383842,0.0060558007,-0.020191217,-0.021222016,0.008955713,0.0055934386,-0.0043207966,-0.011316513,-0.016772885,0.0037118853,-0.0019570289,0.023012334,0.01512446,-0.007082757,-0.027444215,-0.019236475,-0.009197821,-0.01169879,0.0057951193,-0.0088264365,-0.00674908,0.020684926,-0.014786026,-0.019803533,0.0045002326,0.0045798626,-0.0084051145,-0.030177683,0.010799062,0.010364697,0.013710026,-0.00033903745,-0.01552359,0.0064355247,-0.0031409734,-0.0020908874,0.020784184,3.133215e-05,0.02801425,-0.033711098,0.003797892,0.010253744,0.024140378,0.00641554,-0.018596532,0.019619161,-0.0011582408,0.012790871,0.026460277,0.025550818,-0.0062848097,-0.0024412407,0.0016914294,-0.016541716,0.015003514,-0.0009876445,0.0070973793,0.0021864094,-0.001378248,-0.0050217495,0.0016620695,-0.03058935,-0.022123994,0.0030675635,-0.008788483,0.02615028,-0.0018656953,-0.024312597,-0.018078493,0.013558821,0.0018157233,0.020801278,0.0036865892,0.006990671,0.02664072,-0.0003699906,0.013413808,-0.010548175,0.013314447,0.031415295,0.023373911,-0.001434604,0.009744796,0.0008321156,0.022600114,-0.02848714,-0.0044855024,-0.0043421127,-0.019511143,-0.0028310919,0.018950831,-0.015183669,0.0034230512,-0.026231067,0.013163777,-0.014635034,0.010679888,0.0035323966,0.0023968103,0.0062667206,-0.013916541,0.011522647,-0.022878349,-0.006570607,0.010843139,0.0020197402,0.0023366502,0.0024558934,0.004751606,-0.015641889,-0.009576513,0.0054797754,0.010953506,-0.012663332
