label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
1,0.021666594,0.004532899,0.0061948793,-0.009348554,0.00804219,-0.016481481,-0.004887941,0.015635898,0.0016587306,-0.050583538,0.008544587,0.032741208,-0.05041484,0.039733566,-0.016417678,0.03189876,-0.00930105,-0.008835871,-0.027552202,0.013822874,-0.00058516546,0.009449166,-0.021874158,0.0068745255,0.02042733,0.018329466,0.050787482,-0.04458046,-0.02445337,-0.0024283282,-0.0019427432,-0.013019898,0.03271577,-0.02352836,0.021332905,-0.00015593373,-0.016788166,0.000113526614,0.0069110296,-0.030259535,-0.00918867,-0.050750956,0.011301225,0.008517367,0.031261396,0.0092083905,-0.020437943,0.0069998563,0.013638886,0.0060246247,0.03076412,0.032639038,0.008800474,-0.02447002,0.0064080176,-0.006018467,0.057206117,-0.005871116,-0.008540596,0.021746848,-0.010420383,0.026718464,0.027951876,0.02070816
0,0.018858202,-0.0019071985,-0.013472973,0.010026481,0.03674406,-0.008309069,-0.010254613,-0.0052322666,0.017450903,-0.0325403,0.005204642,0.018472135,-0.05231057,0.029057559,-0.039037023,0.01843164,-0.022945281,-0.02949893,-0.025480367,0.00044924923,-0.014223931,0.025641471,-0.01285397,0.011299034,0.021828393,0.020715958,0.04534855,-0.042341124,-0.01452767,0.009899715,0.011749906,0.013117549,0.038342725,-0.014988379,0.027597489,-0.003264696,-0.016111674,-0.020166678,0.0033235883,-0.01000634,0.015365249,-0.039477125,0.03321868,-0.0030364862,0.010111358,-0.007465031,-0.015695617,-0.0002562183,0.011418255,0.012887127,0.023670033,0.02952018,0.0043929596,-0.021077722,0.006403035,-0.029897546,0.057026505,0.014533713,-0.002850297,0.031381477,-0.012216555,0.029108733,0.028555872,0.023835683
0,0.009773401,0.009216504,-0.008091924,0.00019379075,0.022756293,-0.010262561,-9.773746e-05,0.005346598,-0.006978863,-0.021570822,0.015118852,0.009931876,-0.027830997,0.008316189,-0.01898433,0.013160637,-0.008032981,-0.019461693,-0.0108368965,0.010689523,-0.016254451,0.012307513,-0.004036537,0.004623692,0.0006667572,0.0057909074,0.008277606,-0.034341615,-0.0018304511,-0.009596786,0.0055121016,-0.014412655,0.038312938,-0.006127315,0.011977172,-0.008858444,-0.014385411,-0.003126312,0.012835121,-0.006379041,-0.0007498671,-0.020602887,0.026881527,-0.0013883521,0.02239775,0.01537831,-0.0073913513,0.0040057963,0.0078952415,0.0014322471,0.006552759,0.014049135,0.02085322,-0.029772768,0.01447705,-0.013696749,0.026930368,0.0019013071,0.00016933426,0.025396843,-0.00057486614,0.013002376,0.016873965,0.008245234
1,0.020362908,-0.0144441705,-0.016141785,0.011563442,0.0265631,-0.022652395,-0.001002938,0.022495678,0.021717198,-0.037940964,0.024134668,0.0039917002,-0.03644461,0.030302232,-0.039476454,0.035205994,0.006772823,-0.017365139,-0.0020845963,-0.0021233247,-0.010537423,0.007886217,-0.01477335,0.013275241,0.027143423,0.011217319,0.029653788,-0.021262554,-0.007497683,-0.015417715,0.019218767,0.0030988986,0.053259198,-0.003121827,0.041380852,-0.01195889,0.0014242996,-0.0073182676,-0.005148339,-0.034834113,0.015862186,-0.05979214,0.030590143,0.019083783,0.033985615,0.013145154,-0.018604945,0.0015901048,0.012896507,0.013885668,0.0058025364,0.008216627,0.01380847,-0.016776768,-0.0046231905,-0.014143755,0.054386236,0.02173562,-0.00086447626,0.023018148,-0.021825038,0.010716144,0.029240983,0.010778083
0,0.021862311,-0.013315947,-0.01978732,0.018210733,0.037335586,-0.021569047,0.006671211,-0.0022880442,0.002560007,-0.038805835,0.00795233,0.00930912,-0.04209989,0.040261637,-0.022215655,0.02428805,0.0072297705,-0.024793895,-0.023691898,-0.0050612674,-0.013033263,0.013679081,-0.010977487,0.008126041,0.021161882,0.026663154,0.046222687,-0.049338203,-0.01356188,-0.0018697142,0.014233271,0.007853407,0.056168936,-0.019918723,0.030599069,0.014155475,-0.011189668,-0.009127753,-0.0043958356,-0.037042502,0.00022110391,-0.05069175,0.03353318,0.00903683,0.027480949,0.00011116932,-0.0022037867,0.018109735,0.0012031811,0.035993796,0.03240241,0.015451288,0.0004363868,-0.04103863,-0.00243539,-0.0073243044,0.050859742,0.023323026,-0.017170329,0.009408957,-0.016634298,0.010610745,0.023671059,0.023427248
1,0.01732043,-0.025651723,-0.015996652,-0.008463173,0.03975357,-0.015659496,-0.012868449,0.012184934,7.873416e-06,-0.037412032,0.017926108,0.007913477,-0.051457696,0.052735515,-0.023249391,0.034613747,-0.020860253,-0.043334838,-0.03615592,0.0030319747,-0.008481638,0.033775073,-0.0130327195,0.01664444,0.01999211,0.014658228,0.0345286,-0.049604636,-0.004080375,-0.013029432,-0.0011591989,0.012966244,0.06706817,-0.02765878,0.0348177,-0.011340456,-0.020067532,-0.020778043,-0.008631248,-0.037017193,-0.014116633,-0.07076383,0.030396232,0.0032290465,0.029726753,-0.0048799682,-0.016517593,0.015315365,0.02032721,0.02760716,0.033448894,0.02501058,-0.0047037,-0.058503814,0.004127781,-0.018402742,0.050446566,0.002384217,-0.017645005,0.013983028,-0.0004840146,0.014728296,0.012974844,0.032227296
0,0.021706944,-0.023447359,-0.012627604,-0.0071520573,0.01462709,-0.010545933,0.006737339,-0.0054884106,-0.0011854437,-0.04268481,0.029432662,0.033676855,-0.049894985,0.053494826,-0.039061014,0.021440046,-0.013102549,-0.020744016,-0.022763956,0.021001292,-0.017829798,0.004651257,-0.020631097,0.03647843,0.022595033,0.020931402,0.05669957,-0.045091826,-0.027613722,0.0009177752,0.027450383,0.01520403,0.044408284,-0.008074218,0.038580805,-0.0080259,-0.006684644,-0.006358528,0.003633588,-0.026452787,0.0077544847,-0.07160618,0.010474056,0.025386121,0.0288334,-0.0077893077,-0.0108003225,0.022194814,0.026221685,0.009513395,0.028683648,0.008412487,0.002869077,-0.032577794,0.0017371911,-0.010299746,0.051739965,0.02370518,-0.008321441,0.025193807,0.003330968,0.013406022,0.0314262,0.0034754828
1,0.013551042,-0.0041960278,-0.017653272,-0.009551622,0.047567014,-0.016525514,0.017012756,0.0144762015,0.028480746,-0.076691724,0.011925593,0.016050989,-0.06219183,0.047297463,-0.04419035,0.034339547,0.0014991986,-0.0405986,-0.03181805,0.022726787,-0.008005377,0.015701981,-0.02128206,0.04554669,0.04250166,0.04401115,0.07106201,-0.06100216,-0.033143815,0.0021334048,0.021747302,0.0034268775,0.08060393,-0.022875097,0.054695215,0.009152281,-0.030011224,-0.022081947,-0.015141678,-0.05381319,0.014491131,-0.097288966,0.015349446,0.023258433,0.044824023,0.0077048293,-0.0063969437,0.0063649104,0.037068143,0.042847097,0.035740495,0.032480244,0.0019990106,-0.06858339,0.005672872,-0.040613376,0.0841073,0.016823594,-0.022783885,0.014622656,-0.014753519,0.036430944,0.03417767,0.021256004
0,0.016963718,-0.017394627,-0.016390204,0.0019303611,0.0153771965,-0.0047531803,0.0065900045,-0.007378684,0.015452387,-0.032736633,0.024293719,0.0028087692,-0.011335199,0.03530936,-0.012946188,0.016387347,0.002785959,-0.013360465,-0.025072956,-0.008760036,-0.00513465,0.0069447355,-0.0042089596,0.00022079302,0.02529748,0.0018881069,0.03452455,-0.014425192,-0.0011773787,-0.0024826184,0.0020735196,-0.009802402,0.021897724,-0.0059239245,0.017799977,0.004335505,-0.012946032,-0.0103623755,0.009669373,5.1612355e-05,-0.011357519,-0.029032238,0.013746889,0.018454881,0.004003756,-0.007550494,-5.8319754e-05,-0.007814581,0.0040017045,0.013225621,0.0018508501,0.012455465,0.015646528,-0.005245153,0.003540331,-0.01610419,0.014734219,-0.0033879983,-0.017667323,0.009789078,-0.009734499,0.01239116,0.027478503,0.014647203
1,0.014739784,-0.029802224,-0.023133669,-0.010239052,0.03737641,-0.008364368,-0.0040838374,0.009646545,0.019814242,-0.04972739,0.012160583,0.024422377,-0.068907015,0.0621408,-0.05614134,0.044353973,0.000532833,-0.04917646,-0.039945252,-0.004390445,-0.01017777,0.02512113,-0.0407029,0.04199686,0.02687742,0.019416299,0.052027754,-0.0504568,-0.020150328,-0.0008686198,0.01618719,-0.0083362125,0.06805492,-0.010100121,0.05874998,0.002869322,-0.007629109,-0.008166084,-0.021163806,-0.042545572,-0.0033243147,-0.08661413,0.022182986,0.008174525,0.021166708,0.004087934,-0.019522961,0.0136618735,0.02851356,0.030464524,0.02450556,0.04495303,0.025224552,-0.043023653,0.012235027,-0.034445412,0.06808768,0.0071882084,-0.015417587,0.03963989,-0.002684484,0.02697889,0.026000287,0.01066747
