label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127
5,28.927664,-14.000741,-14.70603,5.282856,2.1439295,0.274093,-0.14430203,-0.039378736,-0.058104075,-0.009164093,-0.0025123465,-0.00019026658,-3.6318244e-05,0.00012182037,2.9742832e-05,4.077174e-06,4.2995394e-05,-2.8600674e-05,3.7763133e-05,2.0443249e-05,1.8406018e-07,-1.2580956e-05,1.1577876e-05,6.8835975e-06,3.1086383e-05,-4.096773e-06,2.5821337e-05,-8.000374e-06,2.899626e-05,-2.5077077e-07,1.3609138e-05,-5.264389e-06,6.236965e-06,-3.842237e-06,5.7654415e-06,6.3337106e-06,-1.2661288e-05,7.920944e-06,8.560526e-06,-1.2720886e-05,-1.10672945e-05,2.2072275e-06,1.0008763e-05,-2.5901904e-06,8.316029e-06,1.1467291e-06,8.993122e-06,3.9293475e-08,-1.1360562e-05,2.141024e-05,6.725448e-06,-1.2013268e-05,-1.579136e-05,2.3855107e-05,-4.234199e-06,1.06145435e-05,1.5640823e-06,1.4841076e-05,1.8364208e-05,1.1672287e-05,-1.0182506e-05,9.948781e-06,-3.5836338e-06,1.702631e-05,2.9874317e-07,1.0906883e-05,-7.936377e-06,1.1330244e-05,-3.009409e-06,-1.4998431e-05,1.0955345e-06,-6.3987923e-06,-9.967219e-06,1.7599754e-05,-6.133679e-06,-2.1727583e-05,-8.081699e-06,-1.0156741e-05,-3.3480808e-06,-1.52251405e-05,-1.0387228e-05,4.741956e-06,2.8435068e-06,1.5803037e-06,2.3288376e-05,2.0427674e-07,-1.4504518e-05,3.2079633e-06,-6.4136298e-06,-4.1094895e-06,1.3765948e-05,-7.998301e-07,-8.370388e-06,1.4932475e-06,7.386831e-06,8.388182e-06,-4.6734813e-06,2.2224685e-05,1.9521092e-06,5.467207e-06,1.0561813e-05,-9.9838694e-08,6.7118044e-06,4.937564e-06,-1.0667467e-05,1.7845236e-05,7.429699e-06,-2.1949187e-05,-2.7868518e-06,5.865766e-07,-8.944971e-06,6.4648602e-06,8.970121e-06,-1.156566e-05,-4.3149003e-06,2.3034906e-06,2.7711517e-06,1.022188e-05,-1.212449e-05,6.096016e-06,3.355426e-06,-1.28306965e-05,4.4629573e-06,1.1668272e-06,-1.8971452e-06,1.7311124e-05,-9.425494e-06,-1.1928692e-05
5,-105.39564,0.39843056,-7.0810947,3.741841,1.1668196,0.010791751,-0.029142264,-0.031806752,-0.006006803,-0.013713464,-0.0008014342,-0.001149009,-0.00037005238,0.00014155885,1.6873371e-05,1.3649816e-07,8.072683e-06,1.177764e-05,-3.8422168e-05,3.0776628e-05,4.5649285e-05,1.0188179e-06,5.0657245e-06,-3.6522367e-06,-2.4788316e-05,-6.8195186e-06,1.5687069e-06,-8.902902e-06,-1.4863326e-05,1.613946e-05,1.2035631e-05,2.6133723e-06,-9.330007e-06,1.6634378e-05,-5.1556017e-05,4.3036758e-05,-2.6656116e-06,-1.82122e-05,6.9320586e-06,-1.5654763e-05,1.66741e-05,9.146814e-06,1.2147497e-06,-2.646183e-05,-1.8695946e-05,-1.5860442e-05,-2.9537045e-05,1.4898799e-05,-2.74648e-05,2.1219252e-05,8.99179e-06,1.6932128e-05,-1.955593e-05,-4.7592207e-06,1.3147861e-05,-2.9187453e-05,-2.5617976e-05,6.2575928e-06,5.9008053e-06,-1.7304072e-05,-1.6936438e-05,3.6494803e-06,-2.6318212e-05,3.49137e-05,1.836124e-06,-1.4565958e-05,1.1610366e-05,9.657351e-07,-1.8613e-05,1.7325507e-05,1.374232e-05,-2.1328517e-05,-1.995821e-05,3.6492213e-05,2.4785251e-05,-1.9473822e-05,-8.236042e-06,-1.080136e-05,-5.307809e-06,9.481314e-06,3.6739937e-05,4.0734467e-06,-1.7602625e-06,-1.4024602e-05,-2.5731697e-05,-4.970203e-06,-2.9533436e-05,1.5993814e-05,4.57221e-06,2.4976074e-05,5.1841263e-05,1.4412097e-05,2.8588315e-07,-2.495112e-06,-3.4256725e-05,-1.9230354e-05,-2.0705635e-05,1.5442123e-05,2.4509968e-06,-7.5621197e-06,-1.7045391e-05,-1.4601397e-05,1.18954e-05,1.678354e-05,-1.652296e-05,1.557685e-05,2.1503218e-05,-1.0029417e-05,-2.8227834e-05,1.9611334e-05,8.822456e-08,2.8627406e-05,-1.1654719e-05,1.7138762e-05,3.7170736e-05,7.568717e-06,1.9320349e-05,1.5306043e-05,-1.544419e-05,-2.2969234e-06,4.80951e-05,-7.3509074e-07,6.9697594e-06,2.015782e-05,2.5295622e-06,1.1387613e-05,-2.4343131e-05,-1.4434069e-05
5,-84.739075,2.626017,-6.2660537,5.4324493,1.6699375,-0.2217836,-0.0879539,-0.09653179,-0.033885166,-0.009904371,-0.0025608286,-0.000115878785,0.00024312794,0.00011102023,2.1577414e-05,4.7664722e-05,5.2642877e-06,-5.828327e-06,1.7005766e-07,6.636792e-06,-1.4516752e-06,7.0887786e-06,-1.0968836e-05,1.8176002e-05,-2.3749695e-05,-1.1093633e-05,6.914583e-06,-1.8466117e-05,-2.8667791e-06,7.4760846e-06,1.5946214e-05,6.594757e-06,9.899852e-06,-1.803414e-05,1.3842066e-05,3.3932494e-05,1.22524425e-05,2.6658037e-05,-1.3962137e-05,-1.0325274e-05,2.4245497e-05,2.9172597e-05,2.102868e-05,-8.819299e-07,-9.616276e-06,2.2134807e-05,-2.0129866e-05,5.618728e-06,2.9819343e-05,2.3930872e-05,-3.5365513e-06,2.012685e-05,1.3044675e-05,-1.6242737e-05,-3.5946607e-05,-3.188841e-05,-2.39973e-06,8.024295e-06,5.690129e-06,9.6753965e-06,-1.4243052e-05,1.1353678e-05,1.7870841e-05,-1.30998305e-05,1.3282643e-06,1.7520408e-05,-2.0512343e-05,1.672804e-05,-1.9266452e-05,7.3900205e-06,-4.2182473e-05,-1.884518e-05,5.0993867e-06,3.1580257e-05,2.596063e-05,7.0971714e-06,-3.3743272e-06,-1.46072725e-05,-2.2232725e-05,9.016052e-06,-1.8683542e-05,2.4249957e-06,-1.1403255e-05,-1.8557703e-05,6.6350863e-06,2.9991782e-06,2.4721016e-05,3.2390424e-06,-3.057248e-05,5.7101724e-06,-1.4029701e-05,-1.8858595e-05,1.8300267e-05,-8.674964e-06,1.0795481e-05,2.1527105e-05,-1.2899436e-05,-3.3121025e-05,1.5512244e-06,1.0567737e-05,1.0893708e-06,2.9475464e-07,-2.677131e-05,-6.504361e-07,-1.1733896e-05,-2.724367e-05,1.4970305e-05,1.1830943e-05,1.4698413e-06,-2.2314794e-05,8.534186e-06,-2.4677976e-05,-1.9536297e-05,1.2950006e-06,1.674025e-05,7.734443e-06,-1.7005532e-05,-1.7736927e-05,-1.8019977e-05,7.353785e-07,1.1309757e-05,1.176693e-05,-2.6992589e-06,-1.2252638e-05,-1.4586407e-05,-1.1248186e-05,1.01264195e-05,5.841894e-06
5,-94.31025,4.4842987,-6.2136226,5.8005695,1.1262971,-0.13552496,0.022173557,-0.047014162,-0.030217858,-0.012365713,-0.00034242077,-0.00026332703,-8.3310566e-05,0.00012493461,1.3029417e-05,3.7328096e-05,1.9570385e-05,-2.9945625e-06,1.2339247e-05,-4.2894058e-06,2.2339742e-05,-2.2035452e-05,3.0764288e-05,6.666892e-07,9.85545e-06,2.2072156e-05,5.390831e-06,1.37113375e-05,-1.9507466e-05,8.266763e-07,1.8384115e-05,-1.0297344e-05,1.9466483e-05,4.3451353e-05,-1.465288e-05,1.9772286e-05,-1.7374889e-06,-3.0403748e-06,7.223652e-06,3.4415876e-07,1.2303296e-05,2.5295301e-05,-2.1045706e-05,1.2451907e-05,1.2616047e-05,2.1421226e-06,3.2536998e-06,4.568187e-06,1.616608e-05,-6.9166626e-06,1.2271121e-05,-7.5290286e-06,-6.0403454e-06,1.4826015e-06,1.1315536e-05,6.524032e-06,-6.3275925e-06,-1.2485165e-05,1.3130849e-05,-3.5588473e-06,4.795652e-06,6.6989132e-06,4.334071e-05,-1.2731542e-05,1.0883314e-06,8.3849807e-07,-1.9362333e-05,2.1503967e-05,1.750351e-05,2.3350503e-05,6.1044843e-06,3.8341273e-05,1.5080665e-05,-2.0821237e-05,-1.3249975e-05,-7.727483e-07,-1.6872369e-05,-2.0999112e-05,-1.9557061e-05,3.8560497e-06,2.0653659e-05,4.7938693e-06,1.6807337e-05,2.1372403e-05,-2.2784126e-05,3.578242e-05,-6.96506e-06,-1.1126428e-05,-1.0132648e-05,-6.33204e-06,-2.462143e-05,2.1377418e-05,1.6690507e-05,-9.043207e-06,1.0822038e-05,-2.0251235e-05,-1.6550592e-05,-2.0678248e-05,-9.533679e-06,-1.8913437e-05,-4.0535047e-05,-1.2195165e-05,2.7419728e-05,-1.1909068e-05,1.767386e-05,1.6106294e-05,1.5047062e-05,2.7786024e-05,6.0103316e-06,-9.175322e-07,-1.7310766e-05,-1.5443875e-05,-1.4293694e-05,-1.7117018e-05,-3.2830016e-05,-1.7376175e-05,1.3547158e-05,-8.3672995e-07,-2.6046224e-05,-1.0234749e-05,-4.9582004e-06,2.2685983e-06,-3.4083947e-05,1.9068679e-05,7.416293e-06,2.4105646e-05,1.4898284e-05,2.2677465e-05
5,-104.52747,3.119987,-6.035188,4.835988,1.1910985,-0.11717685,0.03338247,-0.06661441,-0.02909504,-0.012891481,-0.0025806155,-0.00035051545,0.0005141021,0.00010913535,3.975416e-05,2.0488167e-05,4.9759083e-06,-1.2805549e-05,-1.0035285e-05,-9.743502e-06,-1.2966222e-05,-4.105328e-06,-3.43348e-06,-1.0843384e-05,1.8713561e-05,-8.805779e-06,-1.7291215e-07,2.2720726e-05,-1.2206869e-05,3.2487333e-05,1.273962e-05,1.2046977e-05,6.3025864e-06,-4.8678285e-06,-5.97345e-08,-3.0709416e-05,2.6013855e-05,-4.201809e-05,-7.4074055e-06,4.6675204e-06,7.0653573e-06,2.5937257e-05,-1.0284867e-08,-2.8192694e-06,3.607144e-05,-1.22499505e-05,3.5713198e-05,1.674373e-05,-4.711744e-06,-1.19114575e-05,8.384268e-07,-2.7817478e-05,-2.2786995e-05,-2.353751e-05,1.1501054e-05,3.3205208e-05,-5.560942e-06,-9.850327e-06,9.792747e-06,-2.4764571e-05,-9.999395e-06,-1.4796373e-05,-3.6918268e-06,-1.9643514e-05,-7.639044e-06,-3.2932014e-05,-3.0758678e-05,1.3621325e-05,6.932668e-06,2.5975181e-05,-8.622015e-06,-9.239301e-06,-6.4746732e-06,-5.791751e-06,-3.5484286e-06,6.1657524e-06,2.459253e-06,-4.7591634e-06,2.154555e-05,5.2124574e-06,2.010625e-05,-1.5385916e-05,-2.192559e-05,-1.2464003e-05,-1.2177339e-05,-1.5297612e-05,8.9654695e-06,-6.0285097e-06,-3.5005633e-06,-1.1187646e-05,2.0698637e-06,2.8942384e-06,-1.5877142e-05,-1.6084765e-05,1.7880937e-05,1.2404152e-05,-9.3956805e-06,1.10189485e-05,-2.4017618e-05,-7.7006125e-06,2.4103143e-05,2.21344e-05,-9.91367e-06,-5.185511e-06,-4.1359588e-05,-2.2089234e-05,-1.3591246e-05,5.2143496e-06,8.983956e-06,1.48747395e-05,2.1659514e-05,-1.538012e-05,-1.8104452e-05,-2.6296042e-05,1.2422528e-05,7.1851815e-07,2.9233766e-05,4.297398e-05,-5.309324e-06,3.5945883e-05,-2.525424e-05,-1.8164325e-06,-1.209744e-05,2.3728344e-05,1.6339874e-05,6.973924e-06,1.3838279e-06,-6.8109016e-06
5,-94.695244,2.888269,-6.3340993,5.227688,1.3133928,-0.09636173,-0.0011065798,-0.05915986,-0.03534381,-0.0144452555,-0.0018855751,0.00016276237,0.00033288862,0.00010883463,-1.1412914e-05,6.489515e-05,-1.8699728e-05,7.2903736e-06,5.6986946e-06,4.447038e-06,-1.5412033e-06,7.4956333e-06,-1.5443899e-05,-9.677599e-06,-3.860228e-06,1.4441421e-05,-8.182156e-06,-1.2404391e-05,-2.0975067e-06,2.0022408e-06,2.9403232e-06,7.5037906e-06,-9.70902e-06,1.599552e-05,-1.7749753e-05,-9.679534e-06,-1.38952655e-05,4.4447224e-06,8.983455e-06,-2.6966418e-06,2.3805544e-06,5.2584555e-06,-1.44759715e-05,-9.502368e-06,7.680181e-06,1.09991515e-05,-8.154748e-06,-1.35916425e-05,5.800665e-06,1.0414298e-06,1.2710247e-05,1.4034278e-05,1.4074076e-05,-1.8090896e-05,-1.4097418e-05,1.2991951e-05,1.8757566e-05,6.449689e-06,5.6789186e-06,-9.2507125e-06,-2.165709e-05,2.2283699e-05,-7.5987705e-06,-1.6895421e-05,2.1748743e-05,-8.940116e-06,2.3093804e-05,-1.4686571e-05,-1.276489e-05,-6.658238e-06,2.5926884e-06,8.026347e-06,2.8015953e-07,-3.0885474e-06,1.2529584e-05,-8.80636e-06,5.6213366e-06,1.5385034e-05,9.789168e-06,-1.1687791e-06,1.20521845e-05,6.7595106e-06,-3.3588792e-06,1.3735873e-05,-2.2229938e-06,1.1538682e-05,7.2670523e-06,1.2210037e-05,4.1485524e-05,-6.782558e-06,-1.597499e-05,1.2005546e-05,-2.5172696e-06,2.6610032e-05,-2.3027098e-05,-2.2871668e-06,8.41683e-06,-9.526288e-06,-9.688049e-06,-3.10862e-05,-2.5716897e-06,1.2706889e-06,1.253719e-05,9.434992e-06,-1.2955137e-05,-2.180674e-05,-1.1946606e-05,-1.2804676e-05,3.9781985e-06,-1.5890748e-05,-5.4308775e-06,7.1469253e-07,1.5740668e-05,-6.7215165e-06,-1.2379127e-05,-3.6499812e-06,-1.921167e-06,-1.09814455e-05,2.1065513e-05,4.1811927e-06,-8.381969e-07,-7.846071e-06,-3.5057058e-06,-1.1755255e-05,2.4443141e-05,1.2074516e-05,-6.617177e-06,2.9345361e-05
5,-76.89071,-3.7242746,-8.892417,3.8963127,1.1262096,0.010808636,0.08995838,-0.046568274,-0.028042397,-0.013730413,0.0007170079,-0.0005734126,-0.00016172232,0.00012496756,3.2552714e-05,-2.5997891e-05,-3.1938576e-05,-5.4026896e-06,-8.616647e-06,-1.3985641e-05,-1.8842597e-05,-8.096842e-06,6.8899465e-07,-1.6716576e-05,3.9878437e-06,-1.3078247e-05,-1.3114274e-05,9.050351e-07,-8.791652e-06,1.6658169e-05,-2.1274266e-06,-1.732523e-06,-1.370648e-05,-1.4206796e-05,-1.6308564e-05,4.4268984e-07,-9.4608495e-06,2.0009506e-07,-3.775046e-06,1.0056398e-05,-3.111154e-05,7.433942e-06,4.067044e-06,4.286558e-06,2.5977922e-06,8.6841055e-06,-3.8026135e-06,1.251163e-07,-1.3089996e-05,-1.3493559e-05,-8.127155e-06,4.50028e-06,-2.2916003e-05,1.4792269e-05,1.7794822e-05,1.2471846e-05,-3.6825147e-06,-6.8040804e-06,7.332963e-06,-2.339526e-07,-1.0781529e-05,-9.015583e-06,1.37669595e-05,-6.5178406e-06,-2.6933487e-05,1.4646408e-05,-1.8753414e-06,-2.7445481e-05,-4.896336e-06,-6.9469697e-06,1.4832347e-05,-2.0422445e-05,-4.2296424e-06,2.2453569e-05,2.6108507e-06,-4.9097202e-06,-4.013678e-06,-4.200923e-06,-7.985928e-06,8.885037e-06,-4.2427035e-07,-1.5740525e-05,-3.904936e-06,-7.1684003e-06,-4.791107e-06,6.7100727e-06,-6.6968146e-06,-2.6185797e-05,1.1144016e-05,1.3403804e-06,6.9139624e-06,2.61106e-06,-3.3398803e-05,-8.076234e-06,6.074005e-06,3.5697424e-06,6.2592367e-06,2.9641512e-06,-6.052388e-07,1.0368515e-05,-5.558173e-06,2.7882443e-06,1.7579512e-05,-2.0686966e-05,1.6099508e-05,1.7763763e-06,-2.0727528e-05,-8.981013e-06,1.0137189e-05,1.0658634e-06,4.6678556e-06,7.251905e-06,-9.1527645e-06,-1.8908362e-05,3.4908044e-06,2.007383e-06,5.2873593e-06,-2.8511775e-05,-1.9497238e-05,-2.282617e-06,2.2385952e-06,-2.0097157e-05,-6.781329e-06,-6.7638706e-07,-1.4765018e-05,-1.9919002e-05,-2.5657775e-05,-9.601051e-06
5,523.07684,-66.262695,-28.404572,10.035085,8.722461,-0.9688435,0.28111,0.24989104,0.12911023,0.03818444,0.0092374915,0.002591043,0.0006487348,9.743512e-05,0.00013854279,3.450384e-05,-2.136256e-05,-7.772166e-06,8.501308e-06,2.1219703e-06,7.837166e-06,-1.0695913e-06,-1.1012635e-06,5.9483946e-06,4.55222e-06,-2.090401e-05,2.0664795e-06,5.0212784e-06,-3.251442e-06,-1.7345736e-06,-5.833683e-06,2.0112786e-06,-3.0349656e-06,-4.7578133e-06,2.277953e-06,6.2660097e-06,-1.2456772e-05,5.100753e-06,-1.35021755e-05,-9.420752e-06,5.3792655e-07,1.5940626e-05,-4.0373816e-06,6.3083417e-06,4.0216705e-06,2.854868e-06,5.2834457e-06,1.1281012e-05,1.3189455e-07,-1.6448658e-06,5.7262105e-06,7.843476e-06,2.9601715e-06,-7.0407004e-06,2.6287084e-06,7.623935e-07,-1.7280216e-05,3.1118243e-06,-8.2302895e-06,5.969346e-06,-1.3685199e-05,3.817466e-06,4.7406043e-06,1.9952272e-06,3.1829497e-06,2.6122534e-06,-3.3811187e-07,-6.122819e-06,-3.8735175e-06,3.0481638e-06,6.658716e-06,6.84906e-06,-8.1770196e-07,8.817739e-06,-2.7534227e-06,-1.1757544e-05,-1.0937342e-06,-7.1705595e-06,5.472246e-06,-7.1029826e-06,-2.3652565e-06,-3.915041e-06,5.5409478e-06,-1.3787233e-06,-6.246686e-07,3.430495e-06,1.1013808e-05,1.2290248e-05,-5.8571727e-06,-3.533502e-07,1.0072607e-05,-1.7494124e-06,-2.9058322e-06,2.9041964e-06,1.4947915e-06,-1.8110213e-06,-1.051782e-05,2.6588132e-06,-7.315523e-06,-2.4931358e-06,-3.8395096e-06,-5.753816e-06,1.0791551e-05,-2.2938168e-06,1.3693452e-06,-1.7757593e-05,1.9602655e-06,-1.0204593e-05,-5.6459357e-06,4.031514e-07,-3.879863e-06,-1.8809499e-06,-2.131427e-06,-6.7021106e-06,5.785609e-06,-7.939177e-06,-2.735049e-06,5.9764902e-06,-4.812526e-07,-8.807573e-07,-1.2551445e-05,9.1372306e-07,3.281774e-06,6.4740664e-07,4.3321565e-06,-1.8036695e-06,-1.6038048e-06,-2.014827e-06
5,-103.324165,6.828852,-4.6661396,6.065868,1.4491464,-0.17184919,-0.03808322,-0.029134456,-0.01547011,-0.018260708,-0.0032408219,0.00011790088,4.9680857e-05,0.00012033579,-5.3004147e-05,9.901421e-06,-5.806681e-06,3.002567e-05,-7.449954e-06,-1.9818133e-05,4.195407e-06,3.9396305e-06,2.3466406e-05,-1.627673e-05,-2.8018374e-05,4.7285657e-06,-1.0806914e-05,2.2237644e-05,2.2941509e-05,-2.9743774e-06,-8.813778e-06,-1.8983816e-05,6.71191e-06,-1.0023484e-05,-4.4167796e-06,-4.1445674e-06,-8.40403e-06,1.000851e-05,1.4083783e-07,-2.5044226e-05,-1.545615e-05,-2.3669238e-06,2.2917648e-07,-2.8225118e-06,5.447055e-06,2.6925782e-05,1.4771781e-05,-4.5696663e-07,1.6329534e-05,2.5130187e-06,5.379375e-05,-8.824742e-06,1.654353e-05,-5.777999e-06,-1.3381046e-07,-1.623281e-07,3.6052577e-05,-5.4385446e-06,-7.4885643e-06,-3.077659e-05,2.7726566e-07,-4.2036395e-06,2.1379965e-05,1.5267153e-05,-1.0148497e-05,1.5652775e-05,-2.323649e-05,-9.031092e-06,1.4409386e-05,4.59897e-05,5.9700888e-06,7.528838e-07,-8.205046e-06,1.8863373e-05,2.217022e-05,-5.3149834e-06,1.5099238e-07,1.2949728e-05,-6.3223945e-07,5.3419217e-06,-2.3938572e-05,6.312049e-07,6.7187148e-06,-1.9075784e-05,-8.085311e-07,1.8952765e-05,-1.0245211e-05,-1.1429865e-05,-6.3561747e-06,-3.0892923e-05,1.291646e-05,-3.977941e-06,-8.5666585e-08,1.1804568e-05,8.729893e-06,-8.123469e-06,-2.3319894e-06,-2.1687558e-05,4.651634e-06,9.085918e-06,1.2108989e-05,-6.6228818e-06,-2.8326856e-05,-3.3343502e-05,-3.0916388e-05,1.0468824e-05,-2.1106764e-05,-1.3786393e-05,1.5210717e-05,-8.170291e-07,-1.3679086e-05,1.6979513e-05,3.032206e-05,7.673988e-06,-7.673784e-06,-1.266883e-05,-1.6234262e-05,1.077154e-05,-1.3221322e-05,-2.364719e-05,-1.3235011e-05,4.218375e-06,1.236962e-05,-2.2695047e-05,-1.0042901e-05,-1.15872535e-05,-2.0449046e-05,2.042945e-06
5,-15.99204,0.7019072,-8.679739,7.970387,2.0623868,-0.11622423,0.007196357,-0.027274055,-0.039957885,-0.013045004,-0.0037648084,8.615811e-05,-0.00028401986,0.00012796589,-7.732607e-06,-4.382909e-05,-8.582282e-06,-8.789151e-06,5.3272047e-06,3.1830778e-06,-2.1602613e-05,1.5572754e-05,-1.4883344e-05,-2.3675477e-05,-3.5060268e-06,-2.1684644e-05,1.2134286e-05,-5.0455037e-06,-1.2944756e-05,1.8466611e-05,-6.1856563e-06,-2.3816272e-05,-4.4682865e-06,7.422572e-06,-4.870876e-06,-2.8433868e-05,-1.2017557e-05,-4.723179e-06,-7.4363925e-06,7.1063487e-06,1.493517e-05,-2.254177e-05,1.1142636e-05,1.1669519e-05,-2.71511e-05,1.8735009e-06,6.298279e-06,-5.243712e-06,3.0051926e-05,-2.8569286e-05,-4.922198e-06,-8.668015e-06,1.2250802e-05,1.5334685e-05,-1.9204559e-05,-2.6818505e-05,-6.7915903e-06,2.1919606e-05,7.757965e-06,-1.2727081e-05,1.210659e-05,-1.1481119e-05,-1.5308178e-05,2.8082104e-06,2.2253518e-05,9.521834e-06,1.0538997e-05,-1.7909344e-05,-2.1555254e-05,9.816065e-07,-8.740534e-06,-2.2422799e-05,-8.764776e-06,-7.068933e-06,-1.5507785e-05,-2.6470607e-06,-1.2941345e-05,-3.3541733e-06,-1.0611053e-05,-2.6935435e-05,-1.8560399e-05,-4.724059e-06,2.0508787e-05,-1.1844623e-06,1.7741144e-05,-1.2013587e-05,-2.0072982e-06,2.4380053e-05,3.0044906e-05,1.0297173e-05,-2.3354325e-05,-1.0943923e-05,-1.6511227e-05,-6.428841e-06,-2.7184835e-05,-2.7143233e-06,4.0817717e-06,-1.48199515e-05,-1.162387e-05,-1.7536322e-05,-3.607981e-06,8.870025e-06,-1.6890212e-05,3.708976e-06,8.723078e-06,4.8162956e-06,-1.15734165e-05,3.0171228e-05,6.729683e-06,1.4492177e-05,8.499844e-06,1.5636244e-05,-2.1390997e-05,-2.1806303e-05,1.4708793e-05,-1.1210649e-06,6.8698573e-06,1.5623496e-05,8.449807e-06,-1.07144515e-05,-1.1708941e-05,-2.5184236e-06,-1.1681628e-05,5.9763e-07,-4.1381222e-07,2.071655e-06,-4.516611e-06,1.2568146e-05
