label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
5,28.929,-14.0007,-14.70603,5.282855,2.1439288,0.27409074,-0.14430805,-0.03938352,-0.0580996,-0.009186991,-0.002483746,-0.00021779878,-2.9045297e-05,0.00012127263,4.6307163e-05,1.6293538e-06,-1.3555455e-05,-3.1369447e-05,4.3451633e-05,-3.5840065e-05,-4.849646e-06,4.2848344e-05,-4.2056337e-05,-3.1129066e-06,4.5700267e-06,-4.5976205e-05,-2.3366605e-05,-8.316955e-06,1.1696871e-05,-1.7514732e-05,-9.498549e-06,-3.4388242e-05,-2.1536556e-05,2.3155097e-05,3.7167716e-05,1.0955388e-05,1.6992014e-06,-9.920653e-06,-4.9337355e-05,3.1780964e-06,2.3867491e-05,-2.5035202e-05,-2.2709762e-06,-1.2855164e-05,1.281693e-05,-1.4465443e-06,-3.1121774e-05,2.1980444e-05,6.1722376e-06,1.823967e-05,-2.1130249e-05,4.761808e-07,-3.4263772e-05,6.9774437e-06,-5.124033e-06,-2.9344787e-05,1.020228e-05,7.1817285e-06,-2.8297052e-05,-3.867531e-06,-1.7831822e-05,1.7457913e-05,2.4613564e-05,2.2082384e-06
5,-105.39567,0.39801955,-7.081138,3.741829,1.1668521,0.01084712,-0.029089298,-0.031857744,-0.0059377598,-0.013807483,-0.000685875,-0.0012496823,-0.00029725797,0.00012344061,-3.6036734e-05,4.1271163e-05,7.96986e-06,5.007392e-06,3.3769826e-05,2.3242079e-05,5.0412145e-05,1.7596398e-05,-4.4534427e-06,1.31423085e-05,-1.9427944e-05,5.1563773e-05,3.634829e-07,1.9002098e-05,4.8915554e-05,-1.432112e-05,-2.0391835e-05,-1.4489436e-05,-1.9725663e-05,-1.6234217e-06,-6.02558e-06,2.262509e-05,-3.8130558e-05,4.6109843e-05,-2.0643593e-05,-5.992732e-06,4.7861085e-05,4.581318e-05,8.310335e-06,4.6504337e-07,-2.856008e-05,1.7471448e-05,-1.1643557e-05,1.13454635e-05,1.9692521e-05,8.248846e-06,3.747493e-06,2.1445849e-05,1.2455249e-06,3.5032335e-05,-1.0752182e-05,3.7088946e-06,2.241765e-05,-4.6409357e-07,5.21802e-05,-3.2013766e-05,1.1215748e-05,3.9943377e-05,-3.2992055e-05,2.9992205e-05
5,-84.73913,2.6260111,-6.2660933,5.432452,1.6699339,-0.22179087,-0.08795543,-0.09655022,-0.03386916,-0.009913338,-0.00256468,-0.00012859133,0.00025661668,0.00011253629,1.784107e-05,3.188315e-05,-5.7555967e-06,9.570554e-06,-8.049034e-06,4.2199442e-08,-8.008194e-06,-8.8028617e-07,1.4509945e-05,-1.3536503e-06,5.6401655e-06,9.535664e-06,3.426476e-06,1.0860316e-06,-4.125983e-06,-7.3304096e-07,1.2383837e-06,-1.3136393e-05,5.083503e-06,-2.4460057e-06,-2.3738444e-06,-1.8770568e-05,5.456141e-06,-2.041231e-05,9.143906e-06,5.407549e-06,4.738734e-06,2.9314601e-06,-1.079137e-06,8.307575e-06,-3.7534578e-06,1.607985e-05,1.8711118e-05,1.0708819e-05,-9.964306e-06,-1.3932282e-06,-4.735386e-06,2.355141e-06,2.7156286e-06,-1.4603651e-06,1.02486065e-05,-7.2470934e-06,-5.530069e-06,9.872196e-06,3.7558798e-06,5.7818966e-06,2.1944263e-06,-6.8900263e-06,7.4367526e-06,3.6176116e-06
5,-94.31026,4.4843316,-6.2136235,5.800634,1.12629,-0.13553359,0.022157094,-0.046990328,-0.030235041,-0.012331921,-0.00037328372,-0.00022942573,-0.00011250353,0.00012352319,4.1986055e-05,1.5115968e-06,-6.256158e-06,2.9579442e-07,-5.524253e-06,2.747404e-06,-7.573817e-06,7.208333e-06,1.4660271e-05,1.1002749e-05,4.665587e-06,2.0610048e-06,4.2296e-06,1.2621983e-05,-7.764965e-06,1.2669929e-05,-1.1021743e-05,9.324367e-06,7.773904e-06,-1.8584963e-06,1.0017219e-05,4.9406017e-06,-4.679853e-06,1.2164412e-05,1.7706985e-06,-4.0807026e-06,5.9054396e-06,-2.333119e-06,-1.4405985e-06,-6.9997157e-07,1.0872451e-05,-2.0408504e-05,7.5167895e-06,7.9301735e-06,-1.148099e-06,5.1259603e-06,-5.8926744e-06,1.1363954e-05,5.230854e-06,-1.0366626e-05,5.062055e-06,1.947945e-05,-2.1102212e-05,-1.5852858e-05,-6.556787e-06,-7.125214e-06,2.0917289e-05,-6.7392733e-07,-1.0891338e-06,1.2123606e-05
5,-104.52753,3.1200361,-6.0351877,4.8359885,1.1911042,-0.11718171,0.033380408,-0.06661911,-0.029091915,-0.012902015,-0.0025653653,-0.00035475695,0.00051773596,0.00010989293,3.3637003e-05,2.3015193e-05,6.992086e-06,1.9043573e-06,-8.80783e-06,-2.0595307e-06,4.026017e-08,-1.896551e-05,-5.7989255e-06,-4.374534e-06,1.7081423e-06,9.641495e-06,-5.4863385e-06,4.05533e-06,6.871475e-06,2.8767429e-06,1.1033567e-05,-9.416621e-06,2.1268943e-05,1.0042455e-05,-2.2940771e-06,-1.533146e-06,-8.701151e-06,1.6968636e-06,1.3397107e-05,6.9737034e-06,-1.1193359e-05,-5.0458134e-06,1.265632e-07,-2.5086938e-06,-4.989809e-06,2.0311407e-05,2.5232393e-05,6.4953997e-06,1.3518532e-05,-9.837525e-06,1.2053334e-05,-6.4001365e-06,6.499204e-07,2.5680679e-06,-3.9227098e-06,9.4676125e-06,-3.3332879e-06,2.5838332e-07,-1.580125e-05,1.539548e-06,-7.652073e-06,6.919879e-06,3.844466e-06,6.121886e-06
5,-94.695244,2.8882692,-6.3341002,5.227711,1.3133848,-0.09637207,-0.0011146272,-0.059165686,-0.035340764,-0.014409807,-0.0019369875,0.00019765014,0.00032463038,0.00011161716,5.274335e-06,5.135509e-05,5.7422562e-06,7.64451e-06,-5.313549e-06,3.1237292e-07,-2.2691647e-06,-7.209394e-06,-3.7905393e-06,6.272087e-06,8.477374e-06,1.0261362e-05,5.384009e-06,-7.3711067e-06,-1.7364282e-05,-4.5956617e-06,2.09499e-06,1.3243153e-05,1.9468496e-06,1.1146968e-05,-2.13347e-06,-9.3702965e-06,-9.601903e-06,9.943739e-06,9.673151e-06,2.1142391e-06,1.2497901e-05,-8.843138e-06,7.6282113e-06,3.8981517e-07,-7.575443e-06,5.926379e-06,-1.4584317e-05,3.6240997e-06,1.2911464e-05,-2.9376038e-06,1.4141805e-06,-1.1549798e-06,1.0309631e-05,-4.0289465e-06,3.1346726e-06,9.476071e-07,1.1704536e-05,-5.369355e-06,6.820718e-06,1.41126075e-05,-3.726223e-06,-6.8071636e-06,1.8174947e-05,-8.047212e-07
5,-76.89072,-3.7242968,-8.892431,3.896322,1.126216,0.010814986,0.08996922,-0.0465843,-0.028031863,-0.013733574,0.00072126114,-0.0005781965,-0.00014677741,0.00012558601,2.1214262e-05,-1.7650713e-05,-3.6729973e-06,5.9735758e-06,-4.1504345e-06,1.9656422e-06,-3.166518e-06,1.9404354e-06,2.931584e-06,-4.508785e-06,1.0218396e-05,-8.719444e-06,-5.3280905e-07,2.6000114e-06,-1.4091363e-06,3.972524e-06,-1.1933921e-05,3.4327675e-06,3.3499298e-06,-1.8566914e-05,4.109376e-06,-6.3200055e-06,-4.8789065e-08,-7.980711e-06,6.5700683e-06,5.440559e-07,-6.9396715e-06,4.5695497e-06,-5.042288e-06,1.2027281e-05,-9.343972e-07,-1.4979759e-05,8.48071e-06,1.511426e-05,6.2565045e-06,-3.559221e-06,-1.5167184e-06,1.12003545e-05,7.870064e-07,5.483423e-06,1.1266919e-05,3.0384658e-06,-5.7677303e-06,1.5914727e-06,-4.354566e-06,2.4015267e-06,-5.6890412e-06,-9.791184e-06,-6.712273e-06,-1.1704057e-05
5,523.0772,-66.26264,-28.404602,10.035091,8.722466,-0.96884984,0.28112176,0.24989216,0.12912604,0.038180903,0.009232335,0.0025790152,0.0006536023,0.00010562928,0.00013287079,3.357058e-05,-2.0223995e-06,7.383938e-06,-5.5385312e-06,-7.629277e-07,-5.350501e-06,5.9246636e-06,1.8811859e-07,1.1929328e-06,5.195568e-06,-7.1533727e-06,4.1242406e-06,1.2216557e-06,1.332608e-06,-3.152469e-06,8.740665e-07,1.0260891e-06,-3.5358837e-06,-3.8440744e-06,-1.08494205e-05,1.5879982e-06,-4.233781e-06,-1.2779176e-06,-7.6173865e-06,9.57139e-06,8.00836e-06,-6.5146155e-06,-5.7923658e-06,5.9087356e-06,-1.06665375e-05,4.849374e-06,5.2889673e-06,5.0789954e-06,-4.0447103e-06,9.184326e-06,1.5606141e-06,1.6738135e-05,1.2031662e-06,7.985106e-07,2.672933e-07,7.420095e-06,1.0735073e-06,-6.427695e-06,-2.6902712e-06,1.6988283e-06,-2.1665328e-06,8.50236e-06,8.235298e-06,1.8356334e-06
5,-103.324234,6.828767,-4.666138,6.0658846,1.4491355,-0.17186831,-0.038093027,-0.02912395,-0.015503877,-0.018237697,-0.0032524897,0.00016041561,2.1891166e-05,0.000117725285,-5.412826e-05,-3.134557e-06,-1.7584684e-06,3.161027e-06,-1.5841973e-05,3.1561747e-06,-1.810948e-06,3.953576e-06,1.4276727e-06,-1.0352031e-06,7.8982885e-06,3.1242887e-06,1.4777936e-05,2.3109235e-06,-2.5428044e-06,6.38169e-06,3.4728023e-07,8.942638e-06,2.2967045e-06,2.3521646e-07,3.5132452e-06,5.0773483e-06,1.647375e-06,7.4948625e-06,5.763059e-06,3.6181941e-06,3.0034225e-06,3.9283323e-06,-2.4791132e-06,5.7672282e-06,-6.027359e-06,7.888863e-07,-5.7486363e-06,5.2524747e-06,-8.684219e-06,1.0339116e-05,4.429435e-06,2.7634608e-06,1.9197416e-06,-6.6176663e-06,-9.68835e-06,3.920865e-06,2.7711842e-05,-2.5424297e-06,5.4431835e-06,2.3569648e-06,-9.633519e-06,5.647166e-06,-2.4731006e-07,-1.3504711e-05
5,-15.992022,0.7018967,-8.679746,7.9703927,2.0623827,-0.116218455,0.00719548,-0.027274875,-0.039962303,-0.0130505655,-0.0037559748,8.310141e-05,-0.00029067625,0.00012478557,-2.195515e-05,-2.9765837e-05,5.343564e-07,8.5588454e-07,-1.1979809e-05,1.3163458e-07,-3.6926463e-06,-6.794171e-06,7.874674e-06,-2.2570932e-06,-7.0242913e-06,7.1033915e-06,2.3197244e-06,2.4825767e-06,-5.831745e-06,-1.1490998e-06,-8.993444e-08,7.652695e-06,4.570498e-06,-6.872753e-08,1.0851394e-06,-4.9500163e-06,-1.5435401e-06,8.634728e-07,1.945903e-06,-1.834186e-06,-5.4740226e-06,-2.2812274e-06,-5.572715e-06,-1.95932e-06,-3.7171426e-07,-6.6218677e-06,3.3420208e-06,-2.6837647e-06,-4.992819e-07,2.244204e-06,7.970757e-06,2.9543055e-06,3.66104e-06,-8.00281e-06,1.400367e-06,2.6503499e-06,1.0858656e-06,-2.5492707e-06,1.37184e-06,1.753984e-06,4.5071775e-07,-3.3782715e-06,2.00821e-06,-6.0088137e-06
