label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63
5,0.4395188,0.1881803,0.1340296,-0.5174352,-0.22687015,0.66589296,-0.2860121,0.36219132,0.39011648,0.4064852,-0.1160685,0.14847316,0.12838987,0.62028587,0.41718084,-0.25976005,0.21997763,0.29056504,-0.18066433,0.42140943,0.2943081,-0.16785981,-0.49426937,0.10991536,0.42981505,-0.3279414,0.4463819,-0.1285516,0.062251434,0.13908301,0.3840325,-0.2201007,0.18802641,-0.471124,-0.10802927,-0.6814194,-0.17700858,-0.2496085,0.5076289,-0.41038206,0.34478498,-0.11856857,0.20430577,-0.48507592,0.118781656,-0.1285202,-0.15258572,-0.18554257,0.013978437,0.055913478,-0.23183537,-0.15793008,-0.25661477,-0.15271544,-0.24374852,-0.051177986,-0.050872587,-0.09660025,0.042618655,0.44330472,-0.1388542,-0.9239163,0.021132857,-0.52493334
5,-0.14872521,0.7319581,0.043811634,0.12505028,0.20238574,0.64413726,0.8381477,-0.66604507,-0.25984672,1.2067624,0.33288527,-0.7589062,-0.31761968,-0.9423941,-1.1520065,-0.012134261,0.12096949,-0.13335899,1.2039218,0.062494613,0.12625113,-0.1297327,0.07455669,-0.40354523,0.47269744,0.481795,0.6317557,-0.47427872,0.24700007,1.0005963,-0.7629189,-0.7867001,-0.8184129,-0.054196566,0.49248627,-0.09667668,-0.22696167,-0.20176417,-0.24772409,-0.6510373,0.1397135,0.83830607,1.7070264,0.2057389,0.50146306,-0.5201676,-0.5746209,-0.8210393,1.0314245,-0.10603389,0.14736712,-0.040410265,0.29891664,0.4331385,0.79364115,-0.6222342,0.3335899,0.2879965,0.6872825,-0.5114942,-0.07290666,0.17916371,-0.3634429,0.22538762
5,-0.13690141,0.10879234,1.1149383,0.18463445,0.24299458,0.6230923,-0.301897,0.36196804,0.6164761,0.52242225,0.06758607,-0.56049687,0.30736965,0.5282365,0.38229632,-0.10053409,-0.0411501,0.17740686,-0.19907963,0.43120307,0.9714067,-0.4681986,-0.2126924,0.7888086,0.39784467,-0.87502486,0.3916606,0.16277266,0.10751009,0.00903612,0.24494818,-0.06767216,0.28511938,-0.4198925,-0.52420557,-0.028857425,0.19327778,0.43611205,-0.41449106,-0.09945146,0.30665803,-0.09508723,-0.2060192,-0.18382603,0.082378,-0.13484138,-0.14175175,0.40910643,0.05319926,-0.22063369,-0.21851024,-0.2292659,-0.29770443,0.30513877,0.31765994,0.11906709,-0.7555578,0.1736556,-0.20980749,0.6182981,-0.73198026,-0.5442377,0.9382384,-0.3382429
5,-0.15291321,0.04242482,0.9653194,0.11332254,0.33442807,0.4988191,-0.29031366,0.2794791,0.5038412,0.46304482,0.053132705,-0.43991318,0.26477432,0.43990093,0.38032907,-0.11303667,-0.05256784,0.22404161,-0.18080312,0.3464791,0.8479729,-0.35708764,-0.28757608,0.69187504,0.3146675,-0.699082,0.45740634,0.17421353,0.11326391,0.01920811,0.24323738,-0.12850575,0.18533263,-0.31588686,-0.43577236,-0.02533476,0.09941767,0.28386906,-0.41439587,-0.054349832,0.323147,-0.12558769,-0.14919512,-0.15616581,0.13193779,-0.10335568,-0.13219185,0.34564102,0.004003927,-0.14019895,-0.27163953,-0.15510891,-0.227992,0.22016835,0.20590314,0.1094349,-0.5771377,0.19157553,-0.10645399,0.5108434,-0.5959876,-0.4577756,0.8029773,-0.18508461
5,-0.29354575,0.4072912,1.2181602,0.41398177,0.20718125,0.6791996,-0.12884139,0.24391171,0.7483132,0.6778134,0.1803574,-0.83911204,0.33995557,0.27813295,0.023556419,-0.13867188,-0.14271021,-0.08211485,0.0027014092,0.48604023,1.084048,-0.4155683,0.011579953,0.8422807,0.5202136,-0.9767946,0.42444405,0.03269321,0.16998613,0.15042095,0.097013265,-0.04450379,0.26606488,-0.5211476,-0.5222088,0.062351637,0.43174794,0.63430727,-0.60305464,-0.23561135,0.36955118,0.09130928,-0.074716,-0.028579049,0.0023972765,-0.19790812,-0.118058756,0.316711,0.24390069,-0.30935076,0.019015968,-0.3499214,-0.25532904,0.5404832,0.7096452,0.18522131,-0.9910139,0.16786408,-0.15449196,0.53962463,-0.9033294,-0.41668028,1.073424,-0.3389805
5,-0.2462613,0.33884066,1.1367488,0.39084232,0.214268,0.6420951,-0.1129048,0.22900483,0.6850668,0.61209005,0.17106144,-0.7535749,0.3020714,0.28089586,0.04857458,-0.10606032,-0.15944096,-0.06397762,-0.01024922,0.43863738,1.0067782,-0.3875003,0.008972101,0.77318865,0.465088,-0.8957074,0.4119999,0.040477708,0.15450062,0.13623522,0.1011391,-0.046957523,0.24437988,-0.4738543,-0.46375763,0.053306036,0.36847043,0.5824571,-0.5420743,-0.21821043,0.3225054,0.10379267,-0.053295888,-0.011818416,0.029757679,-0.16645943,-0.114998266,0.32109457,0.19441667,-0.23450878,-0.012106821,-0.34044814,-0.23245654,0.49950427,0.63974345,0.15434921,-0.88580763,0.13425307,-0.1644992,0.52547246,-0.8156743,-0.38527626,0.9647186,-0.29998016
5,-0.20683712,0.5492326,0.21312019,-0.588602,0.072188035,1.3846807,0.4543836,-0.32979086,-0.008806873,1.7876402,0.36403367,-0.59659857,-0.10719747,-0.33684012,-0.29172814,-0.40719005,0.67193466,0.34353483,0.8183134,0.20136456,0.17761038,-0.06315546,-0.9582435,0.05819335,0.44581616,0.6529841,0.8763014,-0.6542068,0.5637308,1.2003111,-0.7203028,-1.0225378,-1.0022402,-0.32654643,-0.22931162,-0.64625144,-0.45693764,-0.354676,-0.10929875,-0.20261371,0.6291972,0.07108633,1.3079367,-0.7681796,0.64773375,-0.71320677,-0.746664,-1.0330914,1.345891,-0.8576316,-0.051231384,0.62363064,0.41276374,-0.52892995,0.18700479,-0.8752692,0.42093015,0.59590256,1.0104675,-0.722543,-0.2994855,-0.66415894,-0.11240709,0.17097756
5,0.32949293,0.04460618,-0.4812439,0.08100419,-0.5044335,0.22351474,0.1548095,0.054714963,-0.32842234,-0.013339393,0.14602867,-0.16822128,-0.4201141,0.22778004,-0.19369961,0.16087243,0.16318928,0.009887353,0.13871644,0.084338345,-0.27901465,-0.17233711,0.35900265,-0.4150063,0.57097924,-0.3446417,-0.124034934,0.07553695,-0.66629094,0.23082043,0.2986369,0.057091225,-0.112393335,0.18960172,0.2335546,0.05700586,-0.5149138,-0.13879052,1.097958,-0.50134474,-0.22441909,0.97377,0.9199248,0.831689,-0.14795803,-0.1989179,-0.0071906336,-0.5318712,0.0960014,0.6365025,-0.20896024,-0.2865486,0.10764095,0.5076007,0.4692288,0.30305323,0.17282285,-0.15671586,-0.75720745,0.74125963,0.21225713,0.21864605,-0.77457404,-0.49159804
5,-0.29783204,0.115683965,0.7729737,0.17074722,0.39908633,0.37918544,-0.1139832,0.17674145,0.47549373,0.41788208,0.14904338,-0.34615415,0.24592683,0.22426823,0.23989242,-0.16163361,-0.14502268,0.08576525,-0.17049992,0.24271655,0.6953102,-0.12730351,-0.20991652,0.6051514,0.21730095,-0.49066165,0.5507532,0.038948935,0.2219058,0.07693033,0.16765827,-0.15435492,0.06995352,-0.24105375,-0.3350638,0.04239609,0.12890202,0.2737737,-0.51522416,0.018484786,0.3784681,-0.09649816,-0.10662062,-0.009175114,0.08973877,-0.08425086,-0.024880124,0.25807416,0.013511032,-0.12070969,-0.1293144,-0.08926502,-0.056196444,0.2084401,0.31610817,0.1742486,-0.46956503,0.13623856,0.00023501087,0.31642184,-0.5651793,-0.26036152,0.70453525,0.009366214
5,-0.11943499,-0.093325906,0.56731796,-0.11075372,0.34811014,0.36932617,-0.19417764,0.17944658,0.28559354,0.4622149,0.07036626,-0.14502451,0.15673214,0.28690204,0.3957057,-0.16535136,0.0385983,0.43244645,-0.13445374,0.24485506,0.46058214,-0.25596163,-0.5000207,0.40852907,0.18111446,-0.29216617,0.5955367,0.11765883,0.06945956,0.1876512,0.20141536,-0.2941818,-0.14067353,-0.083169475,-0.3490287,-0.13007936,-0.2659174,0.0026824847,-0.28191915,0.07904935,0.31475246,-0.17336322,0.08043445,-0.14553663,0.17813687,-0.16622838,-0.20674188,0.061445855,0.10169084,-0.03399059,-0.30961877,0.07591458,-0.06915467,-0.008701518,0.0719332,0.05087047,-0.1675627,0.27836856,0.054267474,0.23872878,-0.33620262,-0.37232786,0.51425874,0.06666559
