label,dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,dim64,dim65,dim66,dim67,dim68,dim69,dim70,dim71,dim72,dim73,dim74,dim75,dim76,dim77,dim78,dim79,dim80,dim81,dim82,dim83,dim84,dim85,dim86,dim87,dim88,dim89,dim90,dim91,dim92,dim93,dim94,dim95,dim96,dim97,dim98,dim99,dim100,dim101,dim102,dim103,dim104,dim105,dim106,dim107,dim108,dim109,dim110,dim111,dim112,dim113,dim114,dim115,dim116,dim117,dim118,dim119,dim120,dim121,dim122,dim123,dim124,dim125,dim126,dim127
1,-0.56136584,0.38392228,0.54042625,-0.39960313,-0.7612697,-0.15510112,-0.78389406,-1.096052,0.6445878,0.49879643,0.080254085,0.16160718,-0.11940904,-0.111203,-1.0776591,-0.7144988,0.3143184,0.22493286,-0.1698316,0.08916538,0.39847943,-0.45874825,-0.25593206,-0.51706094,-0.8338797,0.045098174,-0.10312627,0.74319327,0.4222201,0.025293373,0.3459051,0.3209491,0.5502839,0.38308018,-0.074076466,-0.74559206,-0.56182504,-0.12786509,0.34644544,0.44081804,0.5655104,-0.39485765,-0.14426728,-0.7605195,-0.306118,0.5715073,-0.1704566,0.37790802,0.16884091,0.39290595,0.44316387,0.7409006,0.20041384,0.020278443,-0.6156984,0.17589362,0.12857017,-1.2120105,-0.123015806,0.35812584,0.097330295,0.35870248,0.42456383,0.32250878,0.7736792,-0.4340674,0.3625382,0.1145399,0.53908557,0.84823084,0.302763,-1.0973366,0.2748281,-0.33275515,-0.7368341,-1.1105345,-0.1407815,-0.6091493,-0.6067488,0.17509958,0.6910985,0.018445926,-0.27638474,-0.3144772,-1.1458966,0.4098154,0.73588574,0.5444777,-0.33486083,0.37958634,-0.70279,-0.013584733,-0.2688317,0.58984745,0.47155046,-0.51895446,0.7448994,0.053978644,-0.50704926,-0.23589739,-0.27350035,0.40393746,-0.06270384,0.06837291,-0.25405174,-0.49065608,0.2835582,0.1413735,0.5014927,0.1837286,-0.027138695,-0.0551421,0.85347897,-0.50054026,-0.50074655,-0.6272448,0.7039955,0.09958984,0.4650385,-0.47755703,-0.063884154,-0.07822571,-0.469162,-0.59680766,0.2413767,-0.37366253,-0.22658685,0.40753356
0,-0.061461415,-0.092683785,0.08001258,-0.012534115,-0.07792568,0.027331363,-0.08740247,0.0007151654,-0.022619631,-0.094019294,-0.040963884,-0.0020908043,-0.055230476,-0.025923915,-0.017262172,0.0038701193,-0.10715345,-0.04375525,-0.012029042,-0.05987481,-0.049846116,0.034560487,0.12261897,0.06444462,-0.09120875,0.03282894,0.031440746,-0.11321503,0.017763916,0.11983768,0.006536292,0.013742633,-0.05907802,-0.05647304,0.121150576,-0.024603542,-0.039495543,-0.054990545,0.062994525,-0.061170045,0.028097568,0.05100166,0.054123916,-0.046907604,0.032107703,0.005220199,0.0906045,0.0027235574,0.067032754,-0.015477683,-0.08445814,0.06139168,-0.12691194,-0.030136527,-0.1150431,-0.00037469435,-0.032688368,-0.044494547,0.1331698,-0.010048825,-0.045968696,0.016782898,-0.087552324,-0.010925656,-0.025053274,0.031239457,-0.11184819,-0.008488612,0.07426568,0.084346145,0.004038986,0.028239042,-0.029286517,0.10644114,0.05815164,0.047550455,-0.12753108,0.036779355,0.05896408,-0.018451143,0.08475587,0.04961452,0.10180128,0.07888173,0.009805436,-0.06086596,-0.03870062,-0.075833455,-0.07947233,-0.07828754,-0.022675611,-0.03397855,0.012130778,-0.07327961,-0.12303742,-0.040288817,0.0012726327,-0.016787704,0.03058221,0.082123786,0.0051320596,0.04946959,0.029401086,-0.110046774,-0.11397253,-0.0521194,0.015357535,-0.10035363,0.043053944,-0.084272824,0.13380346,0.07371563,-0.05275265,0.041361906,-0.020506568,0.059042696,-0.07054721,-0.026340684,-0.053849723,0.029594254,0.0084580425,-0.06136913,-0.07257229,0.07441274,-0.10066205,0.046913486,0.12588203,-0.04914545
0,-0.034322314,-0.121941194,0.05665229,0.007966837,-0.04566621,0.03275123,-0.060076922,0.05480133,-0.052381102,-0.13179767,-0.040854037,-0.009490721,-0.0514034,-0.020460784,0.033854626,0.042002797,-0.12644316,-0.054048292,0.0073946957,-0.071344815,-0.08090126,0.05653487,0.15768799,0.08484426,-0.04992885,0.04222134,0.035355233,-0.17220715,0.008146988,0.1337555,-0.020457996,-0.015607312,-0.08595613,-0.091636986,0.14827257,0.026930217,-0.014224432,-0.06856937,0.050869852,-0.0920034,-0.0015860237,0.0785515,0.056663312,-0.014629323,0.053416073,-0.031269684,0.109394796,-0.009258299,0.057089817,-0.040140957,-0.12128219,0.009650432,-0.15037873,-0.022943117,-0.09821713,-0.020696413,-0.05754097,0.012584169,0.15461196,-0.027990013,-0.056046225,-0.019593365,-0.12929766,-0.016669,-0.062217344,0.043789707,-0.13571148,-0.016157521,0.05444534,0.055152748,-0.014005292,0.08908054,-0.06371156,0.13429317,0.11015344,0.11685929,-0.13392028,0.0883978,0.079182595,-0.025628373,0.054233193,0.047457345,0.12302296,0.10128927,0.07756389,-0.09218896,-0.080100335,-0.111052856,-0.0808725,-0.094606444,0.023459306,-0.03990284,0.030630954,-0.10157825,-0.16405226,-0.018214997,-0.03402838,-0.029179357,0.06819578,0.10128031,0.027483836,0.035305876,0.046842754,-0.12678945,-0.109688155,-0.035840053,-0.0010238886,-0.11601046,0.0147457495,-0.096530065,0.15282348,0.0948828,-0.11426696,0.06844963,-0.0011891574,0.09656751,-0.11257574,-0.03601156,-0.0866579,0.064639755,0.022059483,-0.0611628,-0.0520684,0.10200996,-0.12980545,0.07051572,0.14658211,-0.07496919
1,-0.7275005,0.53885686,0.6940289,-0.52776545,-0.99077785,-0.21679625,-1.0173801,-1.4616868,0.8664232,0.6952708,0.121576436,0.2134111,-0.13898893,-0.14151213,-1.4341962,-0.9548236,0.4551611,0.31158903,-0.21736488,0.13710111,0.54506737,-0.6270753,-0.37534714,-0.71507984,-1.0813497,0.05234463,-0.15054618,1.0240989,0.56275886,-0.005934879,0.4556747,0.42114985,0.7548672,0.5267661,-0.1329003,-0.9797911,-0.7364912,-0.15883292,0.4419581,0.60594517,0.74202925,-0.5405091,-0.21103379,-0.99846137,-0.41966859,0.75786436,-0.25808388,0.5043806,0.19897996,0.5307418,0.61216813,0.961797,0.3046791,0.041020885,-0.78447515,0.22733434,0.17590298,-1.6005313,-0.20609319,0.48223585,0.14454037,0.46543157,0.58805895,0.43632585,1.0388647,-0.5953431,0.51906127,0.15520747,0.6928309,1.1059595,0.4001404,-1.4732665,0.36901206,-0.4765795,-1.0010712,-1.4935275,-0.14598548,-0.8190111,-0.8321917,0.23848405,0.8944369,0.0082309265,-0.4009734,-0.44420895,-1.5285519,0.5646631,0.99502605,0.74811393,-0.4218044,0.5355109,-0.9259524,-0.011483908,-0.361976,0.81343895,0.6638968,-0.6798731,0.9932233,0.0725776,-0.68338734,-0.34249425,-0.36262575,0.52404875,-0.09051473,0.12640098,-0.30223235,-0.6386192,0.3713762,0.22239137,0.6518867,0.2740199,-0.075839125,-0.093660384,1.150176,-0.6808937,-0.6618171,-0.8568012,0.9608889,0.14123966,0.6350303,-0.6446402,-0.08524391,-0.084528424,-0.60187864,-0.82349557,0.35140562,-0.51373327,-0.34434333,0.55755895
0,-0.034932375,-0.119632974,0.055838346,0.008583098,-0.04670491,0.031726275,-0.059640653,0.052379504,-0.051768668,-0.12932262,-0.04035981,-0.0077448264,-0.050858937,-0.021708522,0.03428,0.0406041,-0.1246289,-0.05325059,0.006693354,-0.07113759,-0.07937693,0.056322724,0.15606628,0.084750995,-0.051001094,0.040483963,0.03528562,-0.16934502,0.006735917,0.13304771,-0.019287555,-0.013505392,-0.086449035,-0.08973825,0.14614381,0.024655942,-0.0152877495,-0.0660467,0.0509694,-0.0908373,0.00058489665,0.07752539,0.054486644,-0.016402662,0.052091323,-0.02992875,0.10877356,-0.008896549,0.05720167,-0.038953878,-0.119406834,0.01108624,-0.14830446,-0.023101563,-0.09701491,-0.020666702,-0.05532002,0.012089399,0.15324408,-0.029402096,-0.056586675,-0.017329596,-0.1260615,-0.01649504,-0.061048232,0.043790266,-0.13462847,-0.015043808,0.05421243,0.055375382,-0.012134202,0.08816131,-0.06198021,0.13208638,0.10832213,0.113943584,-0.13277143,0.08767196,0.07868867,-0.025619965,0.053505845,0.04673696,0.12130318,0.09912309,0.07605276,-0.09020522,-0.07907919,-0.10789053,-0.08107817,-0.0934312,0.02142279,-0.04094376,0.029537603,-0.101261035,-0.16219842,-0.018874096,-0.031985193,-0.029405212,0.06614118,0.10038315,0.02647907,0.03555441,0.04530886,-0.1252706,-0.10926189,-0.036183596,-0.00042322278,-0.11462019,0.016658202,-0.09595431,0.15047315,0.09269043,-0.11187233,0.06731795,-0.0028795153,0.095482156,-0.11099842,-0.035138845,-0.085936934,0.061911926,0.020155156,-0.06108424,-0.05268849,0.101677895,-0.12764364,0.07054166,0.14400357,-0.07390961
1,-0.30111822,0.13748546,0.30030793,-0.1958096,-0.40584847,-0.06116297,-0.41809005,-0.52393275,0.29928678,0.18342854,0.019449398,0.0764692,-0.08430432,-0.06351,-0.5247122,-0.33889416,0.096177064,0.085972756,-0.086670175,0.011536479,0.16469003,-0.19951892,-0.055141866,-0.2165408,-0.44586828,0.04056639,-0.034288935,0.294598,0.20754461,0.07507931,0.16539343,0.16209409,0.2306042,0.15280892,0.02816337,-0.36953157,-0.29180098,-0.090351075,0.1978896,0.1805839,0.28153968,-0.16222672,-0.04306949,-0.39024523,-0.130081,0.27472568,-0.03441044,0.18495117,0.114769906,0.18354629,0.16687791,0.38475406,0.028404884,-0.005569104,-0.354492,0.08121739,0.041885816,-0.60310215,0.008848809,0.16621676,0.025070138,0.17795466,0.15736644,0.1494818,0.35837576,-0.19455257,0.11669591,0.049792185,0.29815483,0.45063272,0.14651342,-0.5068991,0.11338558,-0.10470331,-0.32069346,-0.5040622,-0.13490704,-0.27002504,-0.25994205,0.07484252,0.37561354,0.033355057,-0.078621835,-0.11122616,-0.53933495,0.16394754,0.33275843,0.22139291,-0.20330033,0.13885984,-0.34590435,-0.025487572,-0.12170269,0.245742,0.16130316,-0.26935068,0.35687336,0.015571216,-0.22667727,-0.06915568,-0.12828766,0.21923484,-0.015795339,-0.024612185,-0.18164557,-0.26482233,0.13976103,0.015640534,0.26062682,0.04534486,0.058084205,0.013912373,0.37751612,-0.22039565,-0.24710967,-0.2668986,0.29875377,0.033172958,0.1925591,-0.21642844,-0.025929423,-0.07053879,-0.26178765,-0.24604341,0.062029965,-0.15426321,-0.044560704,0.16920607
0,-0.35113886,0.18782412,0.3445728,-0.23641942,-0.4707166,-0.07765498,-0.48742843,-0.63241273,0.36431375,0.25136316,0.027572148,0.09569279,-0.09369431,-0.073652096,-0.6256412,-0.40977788,0.13500723,0.11379452,-0.11068516,0.028765172,0.21393596,-0.24374127,-0.10495815,-0.26673728,-0.51948595,0.036158714,-0.043046117,0.38842484,0.24404353,0.06399804,0.20722903,0.19659925,0.28944036,0.20215903,-0.0024060085,-0.4498665,-0.3393776,-0.086922005,0.22641204,0.23097979,0.34189683,-0.21068278,-0.06083896,-0.45965123,-0.16249967,0.33570585,-0.060136333,0.21884762,0.12999535,0.21896416,0.22738175,0.46159846,0.069618866,-0.0061383843,-0.40118915,0.11052586,0.069224864,-0.7181515,-0.01869817,0.20088476,0.03826846,0.2255867,0.21796118,0.17628781,0.4370654,-0.23064817,0.16504918,0.063506104,0.34325773,0.52162075,0.17850609,-0.62232333,0.15702634,-0.15118647,-0.40484318,-0.6264608,-0.13355388,-0.34152937,-0.32040358,0.09400458,0.43462262,0.031393256,-0.117970735,-0.14903326,-0.6618353,0.21314456,0.40524763,0.28696102,-0.22250634,0.18125573,-0.4196321,-0.017649312,-0.151656,0.3075188,0.22653913,-0.31514013,0.43121418,0.030443506,-0.28500053,-0.10244705,-0.16060027,0.25155425,-0.027981397,-0.0045915544,-0.19319679,-0.3028213,0.17264727,0.0401795,0.3110739,0.06844241,0.033239942,-0.0072458377,0.4790776,-0.2720183,-0.29719242,-0.33524206,0.37752217,0.046842165,0.24939305,-0.26754436,-0.03681436,-0.06957526,-0.29873824,-0.30973697,0.10256163,-0.19771416,-0.07912053,0.21733952
1,-0.43008238,0.25831535,0.419054,-0.29707676,-0.5823906,-0.10783366,-0.60020006,-0.8075874,0.46987265,0.3419552,0.049304396,0.11832504,-0.10113756,-0.088635854,-0.7990052,-0.5259044,0.20419982,0.15368742,-0.12747319,0.049918644,0.28024587,-0.3292024,-0.15409838,-0.36562395,-0.638016,0.042477373,-0.0688358,0.5170101,0.31546867,0.050188668,0.25573444,0.24069148,0.38951433,0.26686844,-0.022040106,-0.5556588,-0.42510867,-0.10939511,0.27201623,0.30905348,0.42397484,-0.2773744,-0.09400303,-0.573903,-0.217685,0.421595,-0.10223429,0.2806498,0.14095226,0.28667635,0.303329,0.560898,0.11438061,0.007850658,-0.4842757,0.12755544,0.08528922,-0.9037123,-0.055540413,0.26097643,0.0595508,0.26788354,0.28933993,0.23531906,0.5637331,-0.313575,0.23790434,0.08187674,0.41654542,0.64835775,0.22395681,-0.800444,0.19385287,-0.2178803,-0.5279993,-0.8052434,-0.13770942,-0.43753096,-0.43263245,0.124333225,0.53168863,0.026102418,-0.17697246,-0.21213552,-0.84088594,0.2861606,0.53224325,0.38181958,-0.26903224,0.2596702,-0.5226845,-0.020321846,-0.19532454,0.41667107,0.31460837,-0.39395323,0.55045474,0.03413888,-0.3653425,-0.15292399,-0.19933029,0.31118554,-0.03827599,0.02176518,-0.21769626,-0.37657437,0.21221283,0.07842772,0.38045847,0.113665424,0.015314881,-0.021024805,0.61326915,-0.35835984,-0.37433147,-0.44625598,0.49933293,0.06631647,0.32761604,-0.34565967,-0.044914845,-0.073795296,-0.3642289,-0.42047432,0.15029699,-0.26310313,-0.13584235,0.28721982
0,-0.030847482,-0.12447666,0.059488118,0.007749602,-0.043015696,0.033961225,-0.060557336,0.05888302,-0.0550154,-0.13587049,-0.042024538,-0.009211373,-0.05505612,-0.019014236,0.03456711,0.043205224,-0.12878972,-0.054299537,0.01033335,-0.07442418,-0.08296062,0.05512633,0.16228083,0.08342319,-0.04635224,0.045418907,0.035789523,-0.17584544,0.011510275,0.13261318,-0.022272052,-0.019548602,-0.08634248,-0.09677179,0.14933911,0.033778932,-0.012892511,-0.07297175,0.049710687,-0.09406106,-0.006872382,0.08214582,0.060635697,-0.012515232,0.05543388,-0.03233636,0.10924145,-0.008123699,0.057812635,-0.039248183,-0.12273581,0.009553369,-0.15574142,-0.022188319,-0.10013352,-0.023342509,-0.0597813,0.012494371,0.15628795,-0.026206832,-0.053572454,-0.025330834,-0.1346544,-0.017237714,-0.065029964,0.043841362,-0.13694224,-0.015950235,0.05319257,0.054508522,-0.016267255,0.092920795,-0.06702571,0.13869083,0.1119937,0.12140617,-0.13541506,0.09013027,0.07950499,-0.024926115,0.056674328,0.04889942,0.1264123,0.10715939,0.080672204,-0.09426281,-0.07964888,-0.115201175,-0.08336559,-0.096061856,0.025678476,-0.039792005,0.03421989,-0.102504924,-0.16429222,-0.015833473,-0.037793323,-0.029925764,0.07154801,0.102398515,0.031487662,0.03443941,0.049342643,-0.12898384,-0.1094653,-0.035187304,-0.0045817494,-0.11925787,0.01069472,-0.095518544,0.15849891,0.100094505,-0.11606906,0.07119292,0.0029553622,0.099892296,-0.11598793,-0.03798908,-0.0876171,0.07047763,0.025006974,-0.062361896,-0.049365927,0.101695865,-0.13402045,0.071024895,0.1522513,-0.075832516
1,-0.6102079,0.42925125,0.58600354,-0.43775123,-0.82947004,-0.17299658,-0.85302114,-1.2043862,0.7096684,0.5567639,0.0929134,0.17642197,-0.124956325,-0.12066784,-1.1833525,-0.7859148,0.35635623,0.2500867,-0.18280895,0.10318174,0.4410307,-0.5100056,-0.29029796,-0.5758163,-0.90740764,0.047458913,-0.11773029,0.8256393,0.46433684,0.016278058,0.37826014,0.3498852,0.6114592,0.42543536,-0.09027796,-0.81393296,-0.61389935,-0.13832481,0.37446836,0.48938146,0.61771864,-0.43719265,-0.16363582,-0.83059365,-0.33978352,0.62636304,-0.19654466,0.41516128,0.17764406,0.4341371,0.49311754,0.80538243,0.23050527,0.027240232,-0.6658123,0.1902094,0.14174624,-1.3268147,-0.14675839,0.3945104,0.11072687,0.38892746,0.471834,0.35715646,0.8518551,-0.4820315,0.4081894,0.12675506,0.5842604,0.92450523,0.33165318,-1.2083093,0.30098715,-0.3749699,-0.8143576,-1.2231424,-0.14217357,-0.671115,-0.6740018,0.1940192,0.751169,0.014994336,-0.31327814,-0.35297823,-1.2587193,0.4557991,0.81335264,0.6041496,-0.36119646,0.42646462,-0.76876605,-0.013437286,-0.29612622,0.6557738,0.52822447,-0.5663711,0.818089,0.058587655,-0.55856293,-0.26702103,-0.29959813,0.4398142,-0.0708308,0.08539731,-0.26846862,-0.53458756,0.3092674,0.164957,0.54546666,0.21104968,-0.040751323,-0.06654068,0.9403886,-0.5536113,-0.548589,-0.6957216,0.7795148,0.11223935,0.5153231,-0.52625626,-0.07016988,-0.08004059,-0.5091466,-0.6642701,0.27330664,-0.414272,-0.26109415,0.45187548
