Dataset,Classifier,Embedding_Dim,Run,Random_Seed,N_Samples,N_Classes,Accuracy,F1_Score,AUC,Train_Time_sec,Prediction_Time_sec,Generation_Time_sec,Memory_MB,Train_Samples,Test_Samples
MUTAG,SVM,32,1,42,188,2,0.7632,0.7341,0.6738,0.004,0.001,0.0,0.47,150,38
MUTAG,MLP,32,1,42,188,2,0.7105,0.6892,0.7385,0.014,0.0,0.0,0.63,150,38
MUTAG,SVM,32,2,123,188,2,0.6579,0.6159,0.5908,0.004,0.001,0.0,0.0,150,38
MUTAG,MLP,32,2,123,188,2,0.7105,0.7076,0.6554,0.011,0.0,0.0,0.07,150,38
MUTAG,SVM,32,3,456,188,2,0.7632,0.7185,0.6985,0.004,0.001,0.0,0.0,150,38
MUTAG,MLP,32,3,456,188,2,0.5789,0.5563,0.56,0.021,0.0,0.0,0.06,150,38
MUTAG,SVM,32,4,789,188,2,0.6842,0.6538,0.6492,0.004,0.001,0.0,0.0,150,38
MUTAG,MLP,32,4,789,188,2,0.4737,0.4737,0.5415,0.015,0.0,0.0,0.0,150,38
MUTAG,SVM,32,5,999,188,2,0.7368,0.6965,0.6062,0.004,0.001,0.0,0.0,150,38
MUTAG,MLP,32,5,999,188,2,0.6316,0.5093,0.4769,0.008,0.0,0.0,0.0,150,38
MUTAG,SVM,64,1,42,188,2,0.6842,0.6538,0.6985,0.004,0.001,0.0,0.0,150,38
MUTAG,MLP,64,1,42,188,2,0.5526,0.561,0.64,0.008,0.0,0.0,0.45,150,38
MUTAG,SVM,64,2,123,188,2,0.6316,0.5751,0.6031,0.003,0.0,0.0,0.0,150,38
MUTAG,MLP,64,2,123,188,2,0.6316,0.6316,0.56,0.012,0.0,0.0,0.0,150,38
MUTAG,SVM,64,3,456,188,2,0.7895,0.7572,0.7754,0.005,0.001,0.0,0.0,150,38
MUTAG,MLP,64,3,456,188,2,0.6579,0.5633,0.6831,0.006,0.0,0.0,0.0,150,38
