Dataset,Dim,Model,Accuracy,F1,AUC,TrainTime
MUTAG,dim64,SVM,0.8421052631578947,0.8385627530364372,0.8953846153846154,0.0033478736877441406
MUTAG,dim64,MLP,0.8157894736842105,0.8173210804789752,0.9046153846153846,1.2158823013305664
MUTAG,dim128,SVM,0.8421052631578947,0.8385627530364372,0.8953846153846154,0.007163524627685547
MUTAG,dim128,MLP,0.8157894736842105,0.8173210804789752,0.9015384615384616,0.9683773517608643
MUTAG,dim256,SVM,0.6578947368421053,0.5221386800334169,0.8769230769230769,0.012078046798706055
MUTAG,dim256,MLP,0.8157894736842105,0.8089892491688615,0.8707692307692307,0.981412410736084
ENZYMES,dim64,SVM,0.23333333333333334,0.2022628363697036,0.5876666666666668,0.1101231575012207
ENZYMES,dim64,MLP,0.35,0.32002923338714606,0.6859999999999999,0.4929771423339844
ENZYMES,dim128,SVM,0.23333333333333334,0.2022628363697036,0.5895,0.11685919761657715
ENZYMES,dim128,MLP,0.26666666666666666,0.22649835972043927,0.67175,0.3207516670227051
ENZYMES,dim256,SVM,0.21666666666666667,0.18209348123141225,0.5689166666666666,0.1577460765838623
ENZYMES,dim256,MLP,0.125,0.05714782004516241,0.4595,0.24032974243164062
IMDB-MULTI,dim64,SVM,0.42333333333333334,0.410227696225751,0.5968666666666667,0.3176882266998291
IMDB-MULTI,dim64,MLP,0.43333333333333335,0.4121421563474544,0.5871666666666667,3.152782917022705
IMDB-MULTI,dim128,SVM,0.42333333333333334,0.410227696225751,0.5982666666666667,0.3622148036956787
IMDB-MULTI,dim128,MLP,0.43,0.4118147339386277,0.5838833333333332,5.272628307342529
IMDB-MULTI,dim256,SVM,0.45666666666666667,0.40837381159961805,0.41755000000000003,0.7914021015167236
IMDB-MULTI,dim256,MLP,0.42,0.34822134387351783,0.5868666666666668,3.6625449657440186
